id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
tutorial_pc.tutorial.spouse01.briefing-advance.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.title,사건 브리핑,,,,Tutorial step 1 title — spouse-01 신규 유저 안내. 시스템 메시지 톤. 명사형 단정.
tutorial_pc.tutorial.spouse01.briefing-advance.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.body,사건 개요를 확인한 뒤 시작한다.,,,,Tutorial step 1 body — 학습 의도: 사건은 먼저 요약을 읽고 시작한다.
tutorial_pc.tutorial.spouse01.initial-statement-acknowledge.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.title,양측의 진술,,,,Tutorial step 2 title. 명사구.
tutorial_pc.tutorial.spouse01.initial-statement-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.body,두 사람의 첫 진술이 기록에 남는다.,,,,Tutorial step 2 body — 학습 의도: 진술은 기록으로 남는다.
tutorial_pc.tutorial.spouse01.dispute-focus-d1.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.title,쟁점 선택,,,,Tutorial step 3 title.
tutorial_pc.tutorial.spouse01.dispute-focus-d1.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.body,다룰 쟁점을 골라 심리를 시작한다.,,,,Tutorial step 3 body — 학습 의도: 질문 축 선택.
tutorial_pc.tutorial.spouse01.target-select-b.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.title,대상 선택,,,,Tutorial step 4 title.
tutorial_pc.tutorial.spouse01.target-select-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.body,묻는 대상에 따라 답이 달라진다.,,,,Tutorial step 4 body — 학습 의도: 같은 쟁점도 누구에게 묻느냐가 다르다.
tutorial_pc.tutorial.spouse01.question-fact.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.title,사실 추궁,,,,Tutorial step 5 title — 게임 메커니즘 용어 '사실 추궁' (fact pursuit).
tutorial_pc.tutorial.spouse01.question-fact.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.body,근거를 캐물어 진술의 빈틈을 본다.,,,,Tutorial step 5 body — 학습 의도: 사실 확인 질문의 기본 사용법.
tutorial_pc.tutorial.spouse01.evidence-investigate-e2.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-investigate-e2.title,증거 조사,,,,Tutorial step 6 title.
tutorial_pc.tutorial.spouse01.evidence-investigate-e2.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-investigate-e2.body,증거를 자세히 살펴 단서를 얻는다.,,,,Tutorial step 6 body — 학습 의도: 증거는 조사해야 깊어진다.
tutorial_pc.tutorial.spouse01.evidence-present-e2-to-b.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-present-e2-to-b.title,증거 제시,,,,Tutorial step 7 title — 첫 클라이맥스.
tutorial_pc.tutorial.spouse01.evidence-present-e2-to-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-present-e2-to-b.body,증거를 제시해 진술을 흔든다.,,,,Tutorial step 7 body — 학습 의도: 증거는 대상과 쟁점에 맞춰 써야 한다.
