row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
spouse-01-case-combolab-w1-label,w-1 오피스텔 경비 증언 축,w-1 Officetel Security Guard Testimony Track,case_surface_content,D1,P2,w-1 Officetel Security Guard Testimony Lead,w-1 Officetel Security Guard Witness Line,a,0.78,"combinationLab.nodes[10].label; ""Testimony Track"" is translationese for 증언 축."
spouse-01-case-ledger-order-desc,숨김의 시작과 실제 송금 실행의 순서는 서로 다르다.,The start of the concealment and the actual execution of the transfer happen in a different order.,case_surface_content,D1,P2,The concealment began at a different point than the actual transfer.,The order of concealment and the actual transfer do not match.,a,0.82,duo.relationshipLedger[3].description; awkward agreement and phrasing obscure the intended timing contrast.
spouse-01-phase1-dialogue-002,"블랙박스를 확인해 보고, 매일 같은 오피스텔에 두세 시간씩 방문하는 것을 알게 되었습니다. 네비 즐겨찾기에는 그 주소가 저장돼 있었습니다.",I checked the dashcam and found that he was visiting the same studio apartment every day for two or three hours at a time. The address was saved in his GPS bookmarks.,non_party_scripted_text,D6,P1,I checked the dashcam and found that he was visiting the same Officetel every day for two or three hours at a time. The address was saved in his GPS favorites.,"When I checked the dashcam, I learned he was spending two or three hours at the same Officetel every day. The address was saved in the navigation favorites.",a,0.93,"dialogues[2].text; glossary locks 오피스텔 as Officetel, not studio apartment."
spouse-01-mediation-conditional-a-v0,조건부 조정이라면 저도 받아들이겠습니다. 다만 오피스텔 방문과 새벽 전화의 사실관계부터 먼저 분명히 정리되어야 같은 의심이 반복되지 않습니다.,"If it is a conditional mediation, I can accept that. But the facts about the studio-apartment visits and the late-night calls have to be settled clearly first, or the same suspicion just keeps coming back.",non_party_scripted_text,D6,P1,"If this is conditional mediation, I can accept that. But the facts about the Officetel visits and early-morning calls need to be clarified first, or the same suspicion will keep coming back.","I can accept conditional mediation, but the Officetel visits and early-morning calls must be sorted out clearly first so the same suspicion does not repeat.",a,0.91,paths.conditional.dialogues[0].text; Officetel term drift plus late-night weakens 새벽.
spouse-01-mediation-factfirst-b-v0,저도 해결책보다 사실 정리가 먼저라면 받아들이겠습니다. 다만 오피스텔 방문과 새벽 전화가 곧 외도라는 식으로 굳어지지는 않게 해 주시기 바랍니다.,"If facts come before solutions, I can accept that. But please don't let the studio-apartment visits and late-night calls calcify into a finding of an affair.",non_party_scripted_text,D1,P2,"If we are sorting out the facts before discussing a solution, I can accept that. But please do not let the Officetel visits and early-morning calls harden into a finding of an affair.","I can accept putting facts first, but please do not treat the Officetel visits and early-morning calls as proof of an affair.",b,0.86,"paths.fact_first.dialogues[1].text; ""calcify"" is unnatural in this dialogue and Officetel terminology is inconsistent."
spouse-01-angle-00-label,방문·통화 경위,Reason for Hiding,question_angle_catalog,D2,P1,Visit and Call Circumstances,Circumstances of the Visits and Calls,a,0.94,angles[0].label; EN shifts from visit/call circumstances to motive for concealment.
spouse-01-angle-00-description,"오피스텔 방문, 새벽 전화, 영수증 물건을 같은 의심선상에서 확인한다.","Confirm why the visits, calls, and items were not explained to the spouse.",question_angle_catalog,D2,P1,"Review the Officetel visits, early-morning calls, and receipt items along the same line of suspicion.","Check the Officetel visits, early-morning calls, and receipt items together as part of the same suspicion.",b,0.93,"angles[0].description; KO asks to verify evidence on one suspicion line, not why it was hidden."
spouse-01-angle-01-label,오피스텔 방문 동선,Studio-Apartment Visit Route,question_angle_catalog,D6,P1,Officetel Visit Route,Route of the Officetel Visits,a,0.96,angles[1].label; glossary locks 오피스텔 as Officetel.
spouse-01-angle-04-description,"오피스텔, 전화, 물건이 외도 정황인지 아닌지를 구분한다.","Distinguish whether the studio apartment, the calls, and the items truly point to an affair.",question_angle_catalog,D6,P1,"Distinguish whether the Officetel, the calls, and the items point to an affair.","Separate whether the Officetel visits, calls, and items are actually signs of an affair.",b,0.94,angles[4].description; Officetel term drift.
spouse-01-angle-06-label,목돈 출금 경위,Spouse Consent Excluded,question_angle_catalog,D2,P1,Large Withdrawal Circumstances,Circumstances of the Large Cash Withdrawal,b,0.92,angles[6].label; EN names a different sub-issue instead of the withdrawal circumstances.
spouse-01-angle-11-label,적금·송금 경위,Loss and Legal Responsibility,question_angle_catalog,D2,P1,Savings Cancellation and Transfer Circumstances,How the Savings and Transfer Happened,a,0.92,"angles[11].label; EN jumps to legal responsibility/loss, which is covered by a later angle."
spouse-01-jq-000-v3,"영수증, 통화기록, 방문 시간 가운데 지금 자리에서 인정하는 항목과 아직 다투고 싶은 항목을 구분해 말씀해 주십시오.","Please organize what can be confirmed from records, without filling the gaps with interpretation.",judge_question_script,D2,P1,"Please separate the receipts, call logs, and visit times into what you acknowledge here and what you still wish to dispute.","Tell us which receipt, call-log, and visit-time items you accept now and which you still contest.",a,0.91,judgeQuestions[0].variants[3].text; EN drops the admit-vs-dispute structure and concrete evidence list.
spouse-01-jq-001-v1,"오피스텔 방문 기록, 새벽 통화 내역, 영수증 가운데 본인 손으로 직접 확인한 항목은 무엇입니까. 추정으로 이어진 부분과 분리해 답해 주십시오.",Please separate the parts you directly confirmed from the parts that remained inference.,judge_question_script,D2,P1,"Which Officetel visit records, early-morning call details, and receipts did you personally verify? Please separate those from the parts that remained inference.","Among the Officetel visits, early-morning calls, and receipts, identify what you checked yourself and what you only inferred.",a,0.9,judgeQuestions[1].variants[1].text; concrete evidence anchors are lost.
