check,case,locale,surface,result,evidence,notes
brand_guard,family-01,en,all 7 EN sidecars,PASS,0 occurrences of /Project[ _-]?Solomon/i / /Solomon's Dilemma/i / /Solomon Court/i / /\bSolomon\b/,This-thread independent regex sweep across 7 EN sidecars × family-01.
brand_guard,family-01,ja,all 7 JA sidecars,PASS,0 occurrences of ソロモン法廷 / プロジェクト・ソロモン,This-thread sweep.
brand_guard,family-01,zh-CN,all 7 zh-CN sidecars,PASS,0 occurrences of 所罗门 / 所羅門,This-thread sweep.
brand_guard,friend-01,en,all 7 EN sidecars,PASS,0 occurrences,This-thread sweep.
brand_guard,friend-01,ja,all 7 JA sidecars,PASS,0 occurrences,This-thread sweep.
brand_guard,friend-01,zh-CN,all 7 zh-CN sidecars,PASS,0 occurrences,This-thread sweep.
brand_guard_total,combined,all,42 family + friend sidecars,PASS,Total brand violations = 0,This-thread aggregate sweep.
forbidden_lexeme_non_S5,family-01,en,scriptedText/family-01.en.json,PASS,non-S5 leaks=0 / S5=734 hits,"This-thread audit using ACTUAL localePolicy.forbiddenLexemes.en (21 lexemes: 'birth secret','half brother','half-brother','different bloodline','different father',...,'90:10','will manipulation','reduced his own share','brother's identity'). Thread-27 EN_AUDIT_SUMMARY also reports 0."
forbidden_lexeme_non_S5,family-01,en,scriptedAngles/family-01_interrogation_answers.en.json,PASS,non-S5 leaks=0 / S5=2618 hits,"This-thread audit using actual localePolicy. NPC name 'Jung-hoo' / 'Tae-sung' surface-allowed (not in forbidden list)."
forbidden_lexeme_non_S5,family-01,en,scriptedAngles/family-01_judge_questions.en.json,PASS,non-S5 leaks=0 / S5=0,Surface-only channel.
forbidden_lexeme_non_S5,family-01,ja,scriptedText/family-01.ja.json,PASS,non-S5 leaks=0 / S5=228 hits,"This-thread audit using localePolicy.forbiddenLexemes.ja (19 lexemes: '出生の秘密','異父','血縁が違う','正厚の金','古い定期支援','工場危機の3億','90:10','90対10','遺書操作','自分の取り分を減らした','兄のアイデンティティ',...)."
forbidden_lexeme_non_S5,family-01,ja,scriptedAngles/family-01_interrogation_answers.ja.json,PASS,non-S5 leaks=0 / S5=2445 hits,
