row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
"friend-01-case-meta-anchorTruth","최수민은 예비신랑을 꼬시려 한 게 아니라 경고하려 했고, 그보다 오래전에는 송다은 아버지에게 당한 일을 말하지 못한 채 스스로 악역이 되었다.","チェ・スミンは新郎にいちゃつこうとはしなかったが、彼に警告しようとしたが、そのずっと前に、ソン・ダウンは父親に何が起こったのかを伝えることができずに、自分自身が悪役になった。","case_surface_content","D2","P0","チェ・スミンは婚約者を誘惑しようとしたのではなく、警告しようとしていた。さらにそのずっと前には、ソン・ダウンの父から受けたことをソン・ダウン本人に言えないまま、自分が悪役になる道を選んでいた。","","a","0.94","송다은 아버지에게 당한 일을 송다은에게 말하지 못했다는 핵심 관계가 뒤틀림."
"friend-01-case-meta-emotionalBait","손절한 전 절친이 내 예비신랑에게 계속 연락한다. 결혼 3주 전, 그 장면만 보면 누구라도 친구가 선을 넘었다고 생각한다.","紛失した元親友は、私の婚約者に連絡し続けています。 結婚式の3週間前、現場を見た人は誰でも、自分の友人が一線を越えたと思っていました。","case_surface_content","D2","P1","絶交した元親友が、私の婚約者に連絡し続けている。結婚3週間前にその場面だけを見れば、誰でも友人が一線を越えたと思うだろう。","","a","0.95","손절한 전 절친을 紛失した로 오역했고 시제도 서술 의도와 맞지 않음."
"friend-01-case-meta-resolutionDilemma","최수민의 침묵이 매번 보호에서 비롯됐다 해도, 결과적으로 더 큰 오해와 낙인을 만들었다. 송다은의 성급한 단정은 잔인했지만 아버지의 진실을 모른 채 반응한 것이기도 하다.","たとえチェ・スミンの沈黙が毎回保護から来たとしても、それはより大きな誤解とスティグマをもたらしました。 宋の慌てた主張は残酷だったが、父親の真実を知らずに反応した。","case_surface_content","D6","P1","チェ・スミンの沈黙が毎回「守るため」だったとしても、結果的にはより大きな誤解と烙印を生んだ。ソン・ダウンの早すぎる決めつけは残酷だったが、父の真相を知らないまま反応した面もある。","","a","0.92","glossary상 송다은은 ソン・ダウン인데 宋으로 분기. スティグマ도 게임 톤상 烙印이 자연스러움."
"friend-01-case-partyA-fear","아버지의 진짜 모습을 드러내는 걸 가장 두려워한다.","彼は父親の本当の自分を明らかにすることを最も恐れています。","case_surface_content","D2","P1","彼女は父の本当の姿が明らかになることを何より恐れている。","","a","0.91","partyA는 송다은 여성 인물인데 彼로 처리했고 父親の本当の自分은 의미 불명."
"friend-01-case-partyA-sensitivePoints-1","과거 손절의 진짜 이유","過去のストップロスの本当の理由","case_surface_content","D1","P1","過去に絶交した本当の理由","","a","0.96","손절을 금융/투자 용어인 ストップロス로 직역해 문맥 붕괴."
"friend-01-case-partyA-sensitivePoints-2","확인 없이 단톡방에 올림","確認なしにDantok Roomにアップロードされました","case_surface_content","D1","P1","確認せずグループチャットに投稿したこと","","a","0.93","Dantok Room은 일본어 독자에게 의미가 불명확한 음차/번역체."
"friend-01-case-socialGraph-w3-knowledgeScope","동네 분식집 주인으로, 송다은 아버지가 과거 최수민에게 돈을 빌리러 온 장면을 봤다. 최수민이 울면서 가게로 찾아온 적도 있다.","地元のレストランのオーナーであるソン・ダウンは、父親が過去にチェ・スミンからお金を借りに来たことを見ました。 チェ・スミンは泣きながら店にやってきた。","case_surface_content","D2","P0","近所の軽食店の店主として、ソン・ダウンの父が過去にチェ・スミンへ金を借りに来た場面を見ている。チェ・スミンが泣きながら店に来たこともある。","","a","0.96","증인 오미경의 지식 범위가 송다은 주어처럼 번역되어 증언자/행위자 관계가 뒤바뀜."
"friend-01-case-context-triggerAmplifier","초반에는 최수민의 9일간 연락 기록과 송다은의 단톡방 발언이 겹치며 최수민이 집착하는 사람으로 보인다. 그러나 예비신랑의 선 넘는 메시지와 송다은 아버지의 돈 접근 패턴이 드러나면서 사건의 중심은 집착이 아니라 반복되는 침묵과 낙인으로 뒤집힌다.","当初、チェ・スミンの9日間の接触記録とソン・ダウンのグループチャットの接触記録は重複しており、チェ・スミンは執着しているように見える。 しかし、婚約者のオーバーザトップメッセージとソン・ダウンの父親のお金へのアプローチが明らかになるにつれて、イベントの中心は強迫観念によってではなく、繰り返される沈黙とスティグマによって逆転されます。","case_surface_content","D1","P1","序盤では、チェ・スミンの9日間の連絡記録とソン・ダウンのグループチャットでの発言が重なり、チェ・スミンが執着しているように見える。しかし、婚約者の踏み越えたメッセージとソン・ダウンの父の金銭接近パターンが明らかになるにつれ、事件の中心は執着ではなく、繰り返される沈黙と烙印へと反転する。","","a","0.90","オーバーザトップメッセージ, 強迫観念, スティグマ 등 직역/부자연어가 누적됨."
"friend-01-angle-0-label","9일 연락의 시간표","無応答と反復の理由","question_angle_catalog","D2","P1","9日間の連絡の時系列","","a","0.97","label이 다른 angle(무응답과 반복의 이유) 내용으로 밀려 들어간 것으로 보임."
"friend-01-angle-0-description","전화 6번, 문자 11번이 이어진 기간·시간대·응답 상태를 분리해 확인한다.","連絡回数が増えた理由が執着なのか、返事がなく確認の依頼が繰り返されたのかを切り分ける。","question_angle_catalog","D2","P1","電話6回、メッセージ11件が続いた期間・時間帯・応答状況を分けて確認する。","","a","0.96","전화 6번/문자 11번/시간대 정보가 사라지고 다른 쟁점 설명으로 대체됨."
