locale,path,key_or_id,quality,truth_boundary_risk,tone_risk,recommendation
en,src/data/scriptedText/spouse-01.json,a|d-1|S0|fact_pursuit (3 of 10 variants),accepted,low — A frames suspicion via surface anchors only (`dashcam` / `studio apartment` / `navigation log`). No truth lexeme. Mirrors KO ambiguity.,low — A's S0 register (slow-burn accumulation) preserved. EN reader receives same `it must be an affair` framing as KO without it being asserted as fact.,Approve. Variants v4–v10 should rotate through receipts / late-night call / wallet check anchors per pattern note.
en,src/data/scriptedText/spouse-01.json,b|e-1|early|self (3 of 10 variants),accepted,low — `bookshop` carries faint school-supplies hint same as KO `서점`; faithful preservation. Translator must NOT add `for` clauses naming recipient.,low — B's `hedge` stance preserved. Single short sentence v1; longer hedge v2/v3.,Approve with note: lock translator instruction `do not add recipient clause at lieBand=early`.
en,src/data/scriptedText/spouse-01.json,w-1|vague (3 of 10 variants),accepted,low — security guard explicitly does NOT confirm unit. EN preserves the non-confirmation.,low — formal but plainspoken witness register matches KO.,Approve. Lock translator instruction `do not clarify which unit / floor at depth=vague`.
en,src/data/scriptedText/spouse-01.json,interrogation|repeat_warning (3 of 5 variants),accepted_with_notes,none (system_message — no truth content).,medium — KO 30-char cap exceeded. EN `Repeating the same press only knocks on a closed door. Change direction.` ≈ 70 chars.,"Approve content; flag length-cap policy. Per SCRIPT_REVIEW_FINDINGS P1 system-message length cap row: update `information-surface-policy.md` §6.3 to per-locale cap (EN=50/90)."
en,src/data/scriptedAngles/spouse-01_judge_questions.json,d-1|fact_pursuit|b|general (3 of 5 variants),accepted_with_notes,medium — v3 says `Mrs. Park's claim of an affair`. Naming `claim of an affair` in judge channel allowed because it preserves attribution to A's framing not the judge's assertion.,low — formal courtroom register matches KO.,Approve. Reviewer confirm EN reads as `A's framing` not `judge's assertion`. Lock vocative `Mr. Lee` per honorific table.
en,src/data/scriptedAngles/spouse-01_interrogation_answers.json,b|d-1|S0|fact_pursuit|general (3 of 10 variants),accepted,low — B at S0 enumerates surface actions (visits / late-night calls / receipts) and refuses inference. EN matches.,low — formal-defensive B register preserved.,Approve.
en,src/data/dialogues/phase1/spouse-01.json,opening passage (6 dialogues + first choice),accepted_with_notes,low–medium — `claiming her husband is keeping a second household` preserves attribution. KO 딴살림 leans affair; EN `second household` is more neutral. Acceptable for opening because A's framing is meant to be loaded.,low — system narration formal; A's `Honey, what is the misunderstanding?` colloquial accusatory register preserved.,Approve. Reviewer confirm `second household` does not over-read as affair (translator note).
en,src/data/dialogues/mediation/spouse-v3-01.json,paths.conditional (judge intro + 2 dialogues),accepted_with_notes,low–medium — `personal slush-fund withdrawal` preserves slightly self-incriminating register (B's chosen word in mediation register). Truth-channel allowed at S3+ per disclosure-policy §3.3.,low — judge formal mediation register; B partial-admission tone.,Approve. Confirm engine guarantees lieState ≥ S3 on relevant disputes when mediation invoked (EN intake row matches JA TRUTH_BOUNDARY_RISKS row 8).
ja,src/data/scriptedText/spouse-01.json,a|d-1|S0|fact_pursuit (3 of 10 variants),accepted,low — A retains `매일、같은オフィステル` surface frame; no truth lexeme. JA literal preserves KO ambiguity.,low — JA polite-formal register (`...でした` / `...したのです`) appropriate for courtroom.,Approve.
ja,src/data/scriptedText/spouse-01.json,b|e-1|early|self (3 of 10 variants),accepted_with_notes,medium — JA `書店` carries stronger stationery/school inference than KO `서점` (JA reading culture: stationery + school = clearer signal). v3 risk: JA player at S0 may guess `子供向け` (for a child) earlier than KO player.,low — B's hedge register preserved.,Approve for v1. Re-validate after JA playtest. If premature inference observed paraphrase to `普段の買い物` or list a different store category.
