id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:54,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:54,판단,Judgment,判断,判断,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:60,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:60,관용,Leniency,寛容,宽容,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:61,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:61,판단,Judgment,判断,判断,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:67,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:67,원칙,Principle,原則,原则,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:68,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:68,해결,Resolution,解決,解决,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:74,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:74,화해,Reconciliation,和解,和解,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_progression_PCJudgeProgressionShared.tsx_line:75,hardcoded_source_literal,src/components/pc/progression/PCJudgeProgressionShared.tsx,,line:75,해결,Resolution,解決,解决,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:118,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:118,見逃した接続,Missed Links,見逃した接続,遗漏的连接,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:118,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:118,遗漏的连接,Missed Links,見逃した接続,遗漏的连接,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:118,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:118,놓친 연결 고리,Missed Links,見逃した接続,遗漏的连接,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:132,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:132,見逃した組み合わせはありません。,No missed combinations.,見逃した組み合わせはありません。,没有遗漏的组合。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:133,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:133,没有遗漏的组合。,No missed combinations.,見逃した組み合わせはありません。,没有遗漏的组合。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:134,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:134,놓친 조합이 없습니다.,No missed combinations.,見逃した組み合わせはありません。,没有遗漏的组合。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:142,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:142,閉じる,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:142,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:142,关闭,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:142,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:142,닫기,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:26,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:26,자동 조합,Auto Combinations,自動組み合わせ,自动组合,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:28,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:28,수동 조합,Manual Combinations,手動組み合わせ,手动组合,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:70,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:70,達成率詳細,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:70,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:70,完成率详情,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:70,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:70,클리어율 상세,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:76,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:76,達成率詳細,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:76,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:76,完成率详情,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:76,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:76,클리어율 상세,Completion Details,達成率詳細,完成率详情,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:78,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:78,閉じる,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:78,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:78,关闭,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:78,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:78,닫기,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:95,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:95,すべてのチェック項目を満たし、残った接続をなくすと100%達成です。,Reach 100% by completing every checklist item and clearing all remaining links.,すべてのチェック項目を満たし、残った接続をなくすと100%達成です。,完成全部清单并消除剩余连接后即可达到100%。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:96,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:96,完成全部清单并消除剩余连接后即可达到100%。,Reach 100% by completing every checklist item and clearing all remaining links.,すべてのチェック項目を満たし、残った接続をなくすと100%達成です。,完成全部清单并消除剩余连接后即可达到100%。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCClearanceDetailPopup.tsx_line:97,hardcoded_source_literal,src/components/pc/result/PCClearanceDetailPopup.tsx,,line:97,모든 체크리스트를 채우고 남은 연결 고리를 없애면 100% 클리어입니다.,Reach 100% by completing every checklist item and clearing all remaining links.,すべてのチェック項目を満たし、残った接続をなくすと100%達成です。,完成全部清单并消除剩余连接后即可达到100%。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:101,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:101,判決の中心,Verdict Core,判決の核心,裁决核心,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:101,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:101,判决核心,Verdict Core,判決の核心,裁决核心,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:101,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:101,판결 중심,Verdict Core,判決の核心,裁决核心,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:104,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:104,インベントリ,Inventory,インベントリ,背包,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:104,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:104,背包,Inventory,インベントリ,背包,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:104,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:104,인벤토리,Inventory,インベントリ,背包,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:145,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:145,傾向強化が可能,Disposition Enhancement Available,傾向強化が可能,可强化倾向,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:146,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:146,可强化倾向,Disposition Enhancement Available,傾向強化が可能,可强化倾向,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:147,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:147,성향 강화 가능,Disposition Enhancement Available,傾向強化が可能,可强化倾向,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:37,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:37,보너스,Bonus,ボーナス,奖励,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:89,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:89,判決フラグメント回収完了,Verdict Fragment Recovered,判決フラグメント回収完了,裁决碎片回收完成,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:90,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:90,判决碎片回收完成,Verdict Fragment Recovered,判決フラグメント回収完了,裁决碎片回收完成,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:91,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:91,판결 조각 회수 완료,Verdict Fragment Recovered,判決フラグメント回収完了,裁决碎片回收完成,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:95,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:95,閉じる,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:95,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:95,关闭,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_PCFragmentRewardOverlay.tsx_line:95,hardcoded_source_literal,src/components/pc/result/PCFragmentRewardOverlay.tsx,,line:95,닫기,Close,閉じる,关闭,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_pc_result_resultCopy.ts_line:168,hardcoded_source_literal,src/components/pc/result/resultCopy.ts,,line:168,01 結果確認,01 Results,01 結果確認,01 查看结果,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
