id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,The judge acknowledges the emotional pressure without losing sight of responsibility. Adjust the question intensity for depth 1.,裁判官は感情の圧力を認めつつ、責任の所在を見失わない。depth 1を基準に質問の強度を調整する。,法官承认情绪压力，但不放过责任所在。按 depth 1 调整提问强度。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].text,"최수민 씨, 그 연락을 보내는 동안 가장 두려웠던 점이 무엇입니까.","Ms. Choi, what frightened you most while you were sending those messages?",チェ・スミンさん、その連絡を送っている間、何をいちばん恐れていましたか。,崔秀敏女士，发出那些联系时，你最害怕的是什么？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,The judge acknowledges the emotional pressure without losing sight of responsibility. Adjust the question intensity for depth 1.,裁判官は感情の圧力を認めつつ、責任の所在を見失わない。depth 1を基準に質問の強度を調整する。,法官承认情绪压力，但不放过责任所在。按 depth 1 调整提问强度。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].text,"송다은 씨, 기록을 본 순간 무엇이 가장 먼저 무너졌습니까.","Ms. Song, when you saw the record, what was the first thing that fell apart for you?",ソン・ダウンさん、記録を見た瞬間、まず何が崩れましたか。,宋多恩女士，看到记录的那一刻，你最先崩塌的是什么？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v3].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,The judge acknowledges the emotional pressure without losing sight of responsibility. Adjust the question intensity for depth 1.,裁判官は感情の圧力を認めつつ、責任の所在を見失わない。depth 1を基準に質問の強度を調整する。,法官承认情绪压力，但不放过责任所在。按 depth 1 调整提问强度。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v3_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v3].text,"두 분, 연락 하나가 왜 이렇게 크게 번졌는지 감정부터 말해 보십시오.","Both of you, start with the emotions behind why a single thread of contact grew this large.",お二人とも、ひとつの連絡がなぜここまで大きく広がったのか、まず感情から話してください。,两位，请先从情绪说起：为什么一次联系会发展到这个地步？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v4].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,The judge acknowledges the emotional pressure without losing sight of responsibility. Adjust the question intensity for depth 1.,裁判官は感情の圧力を認めつつ、責任の所在を見失わない。depth 1を基準に質問の強度を調整する。,法官承认情绪压力，但不放过责任所在。按 depth 1 调整提问强度。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v4_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v4].text,"최수민 씨, 오해받을 걸 알면서도 보낸 마음을 설명하십시오.","Ms. Choi, explain what drove you to send them even knowing you could be misunderstood.",チェ・スミンさん、誤解されると分かっていても送った気持ちを説明してください。,崔秀敏女士，请说明你明知会被误解却仍然联系的心情。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v5].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,The judge acknowledges the emotional pressure without losing sight of responsibility. Adjust the question intensity for depth 1.,裁判官は感情の圧力を認めつつ、責任の所在を見失わない。depth 1を基準に質問の強度を調整する。,法官承认情绪压力，但不放过责任所在。按 depth 1 调整提问强度。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v5_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v5].text,"송다은 씨, 결혼 앞에서 그 일이 왜 그렇게 크게 다가왔습니까.","Ms. Song, why did this feel so serious with the wedding approaching?",ソン・ダウンさん、結婚を前にして、その件がなぜそれほど大きく感じられたのですか。,宋多恩女士，婚礼在即，这件事为什么让你感到如此严重？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
