key_or_source,english_text,risk,shorter_alternative,notes
pc.combo.ready,{count} ready to combine — connect now,"P1 — combo card body in compact right-panel drawer. KO: `조합 가능 {count}개 - 지금 바로 연결 가능` is shorter than EN. EN wraps to 2 lines in M/S buckets.",{count} ready to combine,Drop the action verb suffix. Action button below the line already says `Run Combination`.
pc.combo.potential,{count} leads still missing — keep investigating,"P1 — combo card body. EN expansion ~25%. Wraps in narrow drawer.",{count} leads missing,Keep imperative for the action button below. Drop redundant `keep investigating`.
pc.verdictAdvance.minimumVisible,A verdict needs at least {required} revealed disputes. Currently revealed: {visible}.,P2 — toast/banner copy. Two sentences fit fine in default banner width but may wrap to 3 lines on Steam Deck (1280×800).,Verdict needs ≥{required} revealed disputes ({visible} so far).,Compact alt for Steam Deck only. Default UI keeps the two-sentence form.
pc.verdictAdvance.hidden.body,"{visible} disputes are currently revealed.\n{hidden} disputes remain hidden.\n\nProceed to the verdict anyway?",P2 — modal body. Embedded \n preserved. Reads natural at default width.,(none),Acceptable as-is.
pc.verdictAdvance.hidden.confirm,Proceed Anyway,P1 — primary button. KO `그래도 판결 진행` is 8 chars; EN is 14 chars. Fits default modal but tight in narrow.,Proceed,If button overflows in M/S buckets fall back to single-word `Proceed`.
pc.verdictAdvance.hidden.collapse,Hide Verdict Button,P1 — secondary button. KO `판결 버튼만 숨기기` is similar length but English Title-Case expands.,Hide Button,Single-word fallback. The button only ever applies to the verdict CTA so context survives.
pc.verdict.factOption.partyClaimCorrectWithContradiction,This dispute differs from the facts — {party}’s claim is correct,P0 — verdict-step option button. Korean is 1 line; EN with name interpolation runs 2 lines and pushes the radio button alignment.,Differs from facts — {party}’s claim,"Buttons in the verdict picker have constrained height. Provide as a layout-tight fallback. Codex should add `[lang=""en""] .pc-verdict-fact__option-text { font-size: 13px; }`."
pc.verdict.responsibility.major,Primary responsibility: {party},P2 — slider readout label. Names like `이상희` are short; English party names from case data may be 8–12 chars and push the meter.,Primary: {party},Compact alt — drops `responsibility`. Use only if the meter overflows.
pc.verdict.responsibility.greater,Greater responsibility: {party},P2 — same as above.,Greater: {party},Compact alt.
pc.verdict.responsibility.similar,Comparable responsibility on both sides,P2 — long static label without interpolation.,Both sides comparable,Compact alt for narrow meter.
pc.combo.readyDetailLabel,Combinable Item Details,P2 — drawer header in compact right-panel.,Combinable Items,
pc.recordSummary.moreConvincing,{party}’s claim is more convincing.,P2 — record summary row. Long names cause ellipsis; acceptable.,{party} more convincing.,Reads slightly clipped but fits compact-bucket card.
pc.notes.unseen,({count} unverified),P0 if EN is `({count} unseen items)` — would overflow note label. Current proposal trims to `({count} unverified)`. Keep parens compact.,({count} pending),Even more compact. KO `미확인 항목 {count}개` accepts either reading.
splash.subtitle,COURT SIMULATION GAME,P2 — splash eyebrow. ALL-CAPS English is intentional Steam-style. Steam Deck splash already centers; no overflow.,COURT SIM,Drop `GAME` if Steam Deck portrait orientation truncates. Default OK.
home.tagline,Take the bench and weigh every claim against the truth.,P1 — hero tagline. EN expansion vs KO `현대판 재판관이 되어 진실의 결을 가려내세요.` is moderate. Default home width fits.,Take the bench. Weigh every claim.,Two-clause split for narrow Steam Deck portrait orientation.
src/components/pc/home/pcHomeShared.ts:134 (PC_HOME_INTRO_SLIDES),Step onto the bench and untangle every dispute yourself.,P1 — full-screen intro slide title. Currently hardcoded; not yet in i18n. Once promoted: monitor wrap on 1280px width.,(none — uses 1-2 line layout),Brand-clean wording (no Solomon).
src/components/pc/hotbar/PCBottomDock.tsx hotbar slots,Fact Pursuit / Motive Search / Empathy Approach / Free Question / Present Evidence / Call Witness,P0 — fixed-width slot label. KO 4 chars vs EN 12-16 chars. Clips in M/S buckets.,Pursue / Motive / Empathy / Free / Evidence / Witness,Single-word fallbacks for compact bucket. Codex CSS scope `[lang="en"] .slot-nm { font-size: 10.5px; letter-spacing: -0.01em; }` already proposed in prior thread.
src/components/pc/hotbar/PCBottomDock.tsx hotbar special,Separate / Confidential / Demand Answer,P0 — special-skill chip ~90px. KO 4 chars vs EN 8-13. Demand Answer is widest.,Split / Cover / Answer Now,Compact-bucket fallbacks.
