row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
"ui-common.app.title","솔로몬의 딜레마: 진실의 무게","Verdict Zero: Weight of Truth","ui_i18n_message","D6","P0","Verdict Zero: Trial of Truth","","a","0.98","Locked public brand_full_title in docs/localization/glossary.csv is Verdict Zero: Trial of Truth; source KO also appears pre-lock."
"ui-common.brand.subtitle","진실의 무게","Weight of Truth","ui_i18n_message","D6","P0","Trial of Truth","","a","0.98","Locked brand_subtitle is Trial of Truth; current EN preserves stale subtitle."
"ui-common.brand.fullTitle","솔로몬의 딜레마: 진실의 무게","Verdict Zero: Weight of Truth","ui_i18n_message","D6","P0","Verdict Zero: Trial of Truth","","a","0.98","Locked brand_full_title mismatch."
"ui-home.home.gameTitle","솔로몬의 딜레마: 진실의 무게","Verdict Zero: Weight of Truth","ui_i18n_message","D6","P0","Verdict Zero: Trial of Truth","","a","0.98","Main home title must match locked brand_full_title."
"ui-settings.settings.about.credits.title","솔로몬의 딜레마: 진실의 무게","Verdict Zero: Weight of Truth","ui_i18n_message","D6","P0","Verdict Zero: Trial of Truth","","a","0.98","Credits title must match locked brand_full_title."
"ui-home.pc.home.intro.slide.digitalCourt.title","현대판 솔로몬이 되어 갈등을 해결해주세요.","Become a modern Solomon and resolve each conflict.","ui_i18n_message","D6","P1","Take the judge's seat and resolve each conflict.","Step into the judge's seat and untangle each dispute.","a","0.90","EN brand guidance avoids Solomon-based public wording; current intro reintroduces Solomon."
"ui-hotbar.pc.hotbar.slot.fact.title","사실 추궁 - 모순에 집중하기","Press for Facts - Focus on contradictions","ui_i18n_message","D6","P1","Fact Pursuit - Focus on contradictions","","a","0.86","Same action appears as Fact Pursuit in layout help; align to UI glossary fact_pursuit."
"ui-hotbar.pc.hotbar.slot.fact.label","사실 추궁","Press for Facts","ui_i18n_message","D6","P1","Fact Pursuit","","a","0.86","Visible action label diverges from Fact Pursuit used elsewhere."
"ui-hotbar.pc.hotbar.slot.fact.compact","사실 추궁","Press for Facts","ui_i18n_message","D6","P1","Fact Pursuit","Facts","a","0.84","Compact label still uses the divergent full phrase; Facts is acceptable only if layout requires shorter copy."
"ui-hotbar.pc.hotbar.slot.motive.title","동기 탐색 - 숨겨진 쟁점 찾기","Motive Probe - Find hidden issues","ui_i18n_message","D6","P1","Motive Search - Find hidden issues","","a","0.86","Same action appears as Motive Search in layout help; align to UI glossary motive_search."
"ui-hotbar.pc.hotbar.slot.motive.label","동기 탐색","Motive Probe","ui_i18n_message","D6","P1","Motive Search","","a","0.86","Visible action label diverges from Motive Search used elsewhere."
"ui-hotbar.pc.hotbar.slot.motive.compact","동기 탐색","Motive Probe","ui_i18n_message","D6","P1","Motive Search","Motive","a","0.84","Compact label should not introduce a third action name."
"ui-layout.pc.actions.quick.fact","사실 추궁 - 모순에 집중하기","Press for Facts - Focus on contradictions","ui_i18n_message","D6","P1","Fact Pursuit - Focus on contradictions","","a","0.86","Quick action copy should match canonical action label."
"ui-layout.pc.actions.quick.motive","동기 탐색 - 숨겨진 쟁점 찾기","Motive Probe - Find hidden issues","ui_i18n_message","D6","P1","Motive Search - Find hidden issues","","a","0.86","Quick action copy should match canonical action label."
"ui-layout.pc.archetype.action.fact","사실 추궁","Press for Facts","ui_i18n_message","D6","P1","Fact Pursuit","","a","0.86","Archetype recommendation uses a different action name than layout guidance."
"ui-layout.pc.archetype.action.motive","동기 탐색","Motive Probe","ui_i18n_message","D6","P1","Motive Search","","a","0.86","Archetype recommendation uses a different action name than layout guidance."
"ui-tutorial.pc.tutorial.spouse01.question-method-select.body","심문 방식을 골라주세요. [사실 추궁], [동기 탐색], [공감 접근] 중 하나면 돼요.","Pick how you want to question. Choose [Press for Facts], [Motive Probe], or [Empathy Approach].","ui_i18n_message","D6","P1","Pick how you want to question. Choose [Fact Pursuit], [Motive Search], or [Empathy Approach].","","a","0.86","Tutorial teaches action names that conflict with canonical UI glossary labels."
"ui-layout.pc.court.resource.courtControl","법정 장악","Courtroom Control","ui_i18n_message","D6","P2","Court Control","","a","0.88","UI glossary court_control is Court Control; current EN uses Courtroom Control."
"ui-layout.pc.court.recovery.invest.cost","법정 장악 1","1 Courtroom Control","ui_i18n_message","D6","P2","1 Court Control","","a","0.88","Keep resource term consistent with court_control."
"ui-layout.pc.court.recovery.court.desc","판사의 개입을 써서 절차를 정리하고 법정 장악 1을 회복합니다.","Use judge intervention to settle procedure and recover 1 Courtroom Control.","ui_i18n_message","D6","P2","Use judge intervention to settle procedure and recover 1 Court Control.","","a","0.88","Keep resource term consistent with court_control."
"ui-layout.pc.court.control.default","법정 장악 사용","Use Courtroom Control","ui_i18n_message","D6","P2","Use Court Control","","a","0.88","Keep resource term consistent with court_control."
"ui-layout.pc.actions.toast.insufficientControl","법정 장악이 부족합니다.","Not enough Courtroom Control.","ui_i18n_message","D6","P2","Not enough Court Control.","","a","0.88","Keep resource term consistent with court_control."
"ui-layout.pc.right.drawer.trustUpPrivate","비공개 보호","Private Protection","ui_i18n_message","D6","P2","Confidential Protection","","a","0.86","Same mechanic is Confidential Protection in hotbar/control copy; Private Protection creates a third term."
