priority,locale,key_or_source,issue,recommendation
P0,all,brand_full_title verification,"All 4 locales now render Verdict Zero: Trial of Truth / ソロモンのジレンマ：真実の裁き / 真相裁决：零点审判 in 4 surface keys (app.title / brand.fullTitle / home.gameTitle / settings.about.credits.title). PASS — locked brand rule honoured.","No fix needed. Codex may DRY-collapse 4 keys into a single source (read all from brand.fullTitle) per Thread-01 question 4."
P0,en,pcHomeShared.ts:134 (PC_HOME_INTRO_SLIDES),"Hardcoded KO `현대판 솔로몬이 되어 갈등을 해결해주세요.` outside i18n — bypasses brand-rule enforcement for non-KO locales. KO/JA may keep Solomon-based metaphor, but EN MUST avoid Solomon and zh-CN MUST avoid 所罗门. Until promoted to i18n, EN/zh-CN players see KO Korean (or worse, machine-translated Solomon).","Promote PC_HOME_INTRO_SLIDES (8 strings: 4 slide titles + 4 slide bodies) to i18n keys pc.home.intro.slide.{digitalCourt|conflict|interrogation|ready}.{title|body}. Apply Thread-01 brand-clean EN proposals. Apply Thread-03 zh-CN proposals (must avoid 所罗门). KO + JA values may keep Solomon metaphor."
P0,all,result/verdict numeric step prefix conflict (01 / 02 / 03 / 04),"Thread-01 SOURCE_STRING_MAP proposes EN labels `01 Result / 02 Verdict / 03 Epilogue / 04 Bonus` AND `01 Dispute Judgment / 02 Responsibility / 03 Solutions / 04 Verdict` — KEEPS the numeric prefix. Thread-04 P0 row 4 + LAYOUT_RISKS row 4 explicitly says drop the numeric prefix on en/ja/zh-CN. DIRECT CONFLICT between Thread-01 EN proposals and Thread-04 layout recommendation.","User decision required. Recommend Thread-04 path: KO retains `01 ` prefix; en/ja/zh-CN drop it. Update Thread-01 EN proposals: pc.resultTab.{result|verdict|epilogue|bonus} = Result / Verdict / Epilogue / Bonus. pc.verdict.step.{fact|responsibility|solution|confirm} = Disputes / Responsibility / Solution / Verdict. Same drop applies to JA + zh-CN values when they land."
P0,all,PCSettingsPanel CATEGORIES sidebar untranslated,"Thread-04 P0 row 1: 9 sidebar items (화면/오디오/게임플레이/데이터/언어/접근성/키보드/계정/정보) and `준비 중` badge are hardcoded KO. After language switch, sidebar still shows KO except language section.","Apply Thread-04 P0-4. Add 10 settings.category.* keys (display/audio/gameplay/data/language/accessibility/controls/account/about + preview). Wire via t(). Apply CSS clamp to .pc-settings-sidebar__label."
P0,all,PCSettingsPanel AboutSection untranslated,"Thread-04 P0 row 2: only credits.title + credits.description localized. 정보/버전/빌드/엔진/크레딧/라이선스 still KO.","Apply Thread-04 P0-5. Add ~10 settings.about.* keys (title/description/versionGroup/versionBuildLabel/versionBuildValue/engineLabel/engineValue/creditsGroup/licenseGroup/licensePlaceholder)."
P0,all,PCVerdictScreen + PCBottomDock zero t() calls,"Thread-04 P0 rows 3/4: STEPS array / footer / hotbar slots / special actions / advance banner are all inline KO. EN/JA/zh-CN players land on a Korean wall. Most-visible in-play surface unlocalized.","Apply Thread-04 P0-6 (verdict) + P0-7 (hotbar). Adds verdict.step.* / verdict.footer.* + hotbar.slot.* / hotbar.special.* / hotbar.questionChoice.* / hotbar.advance.* / hotbar.emotion.* keys. Couple with CSS clamps for compact buckets."
P0,all,pc.css :4565-4574 eyebrow uppercase + 0.2em tracking,"Thread-04 P0 row 5: existing eyebrow rule applies uppercase + 0.2em letter-spacing to all locales. KO/JA/zh-CN: uppercase is no-op but 0.2em tracking visibly distorts hangul/kana/hanzi. Violates restart rule (English-only uppercase eyebrow) — RESOLVED decision being VIOLATED in current CSS.","Apply Thread-04 P0-2 CSS scope to html[lang^='en'] only. Same fix at .pc-splash__sub :4389. Inline EN brand constants (RESULT DOSSIER / VERDICT STUDIO / GENERAL MODE / JUDGE PROFILE / etc.) stay as-is — they are intentional and only render uppercase under the EN-scoped rule."
P0,en,pc.css :4719-4728 .pc-home-v2__hero h1 nowrap,"Thread-04 P0 row 6: h1 has white-space:nowrap with font-size clamp(44px,4.6vw,64px). EN `Verdict Zero: Trial of Truth` (28 chars) at 64px ≈ 980-1100px. Clips on Steam Deck 1280×800.","Apply Thread-04 P0-3 controlled wrap CSS. Drop nowrap; allow word-break:keep-all + overflow-wrap:break-word; max-width:min(1100px, 100% - 200px); EN-only letter-spacing:-0.02em."
P0,all,PCApp splash language fallback,"Thread-04 P0 row 7 + Q1: PCLanguageSelector was removed; first-launch users with mismatched browser locale see splash/SteamAuth/Preparing in detected language with no in-screen way to switch. Discoverability blocker.","User decision (Thread-04 Q1). Recommend Option A: re-introduce small icon-only selector inside .pc-splash__content (top-right, 36px). Cheaper than launcher/Steam locale handoff and keeps minimum viable language switch path."
P1,zh-CN,pcHomeShared.ts:134 also blocks zh-CN brand-clean translation,"Same root cause as the EN P0 above. Once promoted to i18n, zh-CN must use the brand-clean wording (no 所罗门).","Same fix path. Thread-03 should provide brand-clean zh-CN copy for the 4 slide title/body pairs once keys are added."
P1,all,court_control glossary row VERIFIED,"Thread-02 P1 raised that court_control was missing. Glossary now has it (line 76: 법정 장악 / Court Control / 法廷掌握 / 法庭掌控).","RESOLVED. No action."
P1,ja,pc.verdictAdvance.conditionsMissing 真実 → 真相,"Thread-02 P1: current JA renders 真実 inconsistent with glossary truth=真相 + disclosure-policy hidden-truth lexicon.","Apply Thread-02 patch — change to 真相."
P1,ja,home.tagline 裁き手 → 裁判官,"Thread-02 P1: current JA uses 裁き手; glossary judge=裁判官. Cross-locale alignment with zh-CN (Thread-03) which makes the same KO 재판관 → 裁판官 alignment.","Apply Thread-02 patch."
P1,zh-CN,home.tagline 审判者 → 裁判官,"Thread-03 P1: glossary alignment 재판관 → 裁判官. Marketing-tone deviation 审判者 retired.","Apply Thread-03 patch (needs_native_review for marketing tone)."
P1,zh-CN,home.countdown.ready 即将恢复 → 即将补充,"Thread-03 patch: KO 곧 충전 = recharge; 补充 reads more accurately than 恢复 (recover).","Apply patch."
P1,zh-CN,裁决 / 判决 split — process vs record,"Thread-03 question 1 + audit row: zh-CN distinguishes 裁决 (action of issuing/process; aligns with brand 真相裁决) from 判决 (record/static — 判决记录 / 判决依据). KO 판결 maps to one term in en/ja but zh-CN splits. NOT a contradiction — a deliberate locale-specific nuance.","Add usage note to glossary.csv verdict row: zh-CN renders 判决 for record/static contexts and 裁决 for process/action (brand-aligned). Codex should keep current pc.verdictAdvance.* as 裁决 (already done) and pc.history.recordTitle as 判决记录 when wired. No glossary patch — note only."
