term_id,category,ko,frequency,case_scope,sample_context_1,sample_context_2,sample_context_3,current_en,current_ja,current_zh,notes
PERSON-001,PERSON_NAME,윤정후,830,family-01,"family-01 case_surface_content: 윤정후의 발언 ""어머니가 그렇게 하고 싶어 하셨습니다""","family-01 case_surface_content: 윤정후의 차단 발언 ""지금 단정해서 말할 수 없습니다""",family-01 case_surface_content: 유서의 60:40 비율과 말년 방문 기록이 겹친다. 유서 작성 과정에 윤정후가 곁에 있었는지 다시 확인해야 한다.,Yoon Jeong-hu,ユン・ジョンフ,尹正厚,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
PERSON-002,PERSON_NAME,송다은,743,friend-01,friend-01 case_surface_content: e-5 송다은 아버지 문자,"friend-01 case_surface_content: 송다은의 발언 ""수민이가 또 내 남자한테 연락한다""","friend-01 case_surface_content: 예비신랑이 먼저 선을 넘었다면, 왜 그때 바로 송다은에게 말하지 않았습니까?",Song Da-eun,ソン・ダウン,宋多恩,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
PERSON-003,PERSON_NAME,최수민,699,friend-01,"friend-01 case_surface_content: 최수민의 발언 ""제가 그냥 참았어야 했는데""","friend-01 case_surface_content: 연락 기록과 단톡방 캡처를 대조하면, 최수민의 연락 사실이 확인도 없이 '집착'으로 프레이밍된 과정이 보인다.",friend-01 case_surface_content: 송다은 아버지가 예비신랑에게 보낸 문자와 과거 최수민에게 보낸 차용증과 일부 상환 흐름이 거의 동일하다.,Choi Su-min,チェ・スミン,崔秀敏,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
PERSON-004,PERSON_NAME,윤태성,596,family-01,"family-01 case_surface_content: 윤태성의 발언 ""모시고 산 건 나인데 왜 40이냐""","family-01 case_surface_content: 치매 어머니가 남긴 유서에서 동생 60%, 형 40%로 적혀 있다. 평생 어머니를 모시고 살았다고 자부하는 윤태성은 분노하고, 동생은 끝까지 담담하다.","family-01 case_surface_content: 윤정후는 어머니 통장으로 월 단위 정기 지원금을 보냈고, 형의 공장 위기 때 3억원도 어머니 통장을 거쳐 전달했다. 윤태성은 그 돈이 어머니 돈이라고 믿고 있었다.",Yoon Tae-seong,ユン・テソン,尹泰成,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
PERSON-005,PERSON_NAME,박지연,560,spouse-01,spouse-01 case_surface_content: 박지연 씨의 '제 몫을 지키려 했다'는 말과 위임장 처리 정황이 같은 방향을 가리킨다. 공동 적금 해지가 우발이 아니라 자각된 행위였음이 드러난다.,"spouse-01 case_surface_content: 박지연이 위임장을 조작하여 해지했고, 그 돈을 투자 사기로 전액 잃었다.","spouse-01 case_surface_content: 숨김은 이준호가 먼저, 계좌 감시는 박지연이 먼저. 범죄 행위(위임장 조작)는 박지연 쪽이다.",Park Ji-yeon,パク・ジヨン,朴智妍,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
PERSON-006,PERSON_NAME,이준호,515,spouse-01,spouse-01 case_surface_content: 이 감정 패턴을 이준호 씨에게 직접 추궁하시거나 발신자 미상 문자(e-4)를 제시하면 구체적 사연이 드러날 것입니다.,"spouse-01 case_surface_content: 이제 이준호 씨 가족 쪽 상황을 직접 확인하거나, 동기 탐색으로 숨긴 이유를 물어볼 수 있습니다.","spouse-01 case_surface_content: 이준호 씨의 개인 자금이 어디로, 왜 빠져나갔는지 묻는 카드",Lee Jun-ho,イ・ジュノ,李俊浩,P0 explicit party profile name from generated case metadata. / 검수: 인명 표기 통일
WITNESS-001,WITNESS,최복순,46,family-01,family-01 case_surface_content: w-1 최복순 증언 축,family-01 case_surface_content: 최복순,(global) hardcoded_source_literal: 최복순,Choi Bok-sun,チェ・ボクスン,崔福顺,P0 explicit witness name (w-1) from generated case metadata. / P0 explicit w-1 label from generated case metadata. / 검수: 증인 인명 표기 통일
WITNESS-002,WITNESS,김세라,42,friend-01,friend-01 case_surface_content: w-1 김세라 증언 축,friend-01 case_surface_content: 김세라,friend-01 case_surface_content: 김세라를 통해 단톡방 분위기와 송다은의 최초 발언 경위 확인,Kim Se-ra,キム・セラ,金世罗,P0 explicit witness name (w-1) from generated case metadata. / P0 explicit w-1 label from generated case metadata. / 검수: 증인 인명 표기 통일
WITNESS-003,WITNESS,은행 직원,39,spouse-01,spouse-01 case_surface_content: w-2 은행 직원 증언 축,spouse-01 case_surface_content: 은행 직원을 증인으로 불러 공동 적금 해지 절차와 위임장 진위를 확인해 보십시오.,spouse-01 case_surface_content: 은행 직원,Bank Clerk,銀行職員,银行职员,P0 explicit witness name (w-2) from generated case metadata. / P0 explicit w-2 label from generated case metadata. / 검수: 직책형 증인명 현지화
WITNESS-004,WITNESS,박미라,34,spouse-01,spouse-01 case_surface_content: w-3 박미라 증언 축,spouse-01 case_surface_content: 박미라 증인이 투자방 가입 경로를 결정적으로 채워줄 것입니다.,spouse-01 case_surface_content: 박미라,Park Mi-ra,パク・ミラ,朴美罗,P0 explicit witness name (w-3) from generated case metadata. / P0 explicit w-3 label from generated case metadata. / 검수: 증인 인명 표기 통일
