row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/dialogues/phase1/spouse-01.zh-CN.json$.dialogues[28].text","dialogue","phase1-dialogue-28","P0","truth-leak","가족? 무슨 가족? 재판관님, 거짓말입니다. 제 남편에게 가족이라면 멀리 계신 부모님과 이혼한 형 뿐입니다.","家人？什么家人？裁判官，他在撒谎。说到我丈夫的家人，就只有远在老家的父母和离了婚的哥哥。","家人？什么家人？裁判官，他在撒谎。说到我丈夫那边，也只是远在老家的几位亲属。他们绝不可能需要那些东西。","spouse-01 신규 정책: 가족/형 언급은 이준호의 1회성 모호 알리바이 이후 pre-confession에서 끌고가지 않음. KO source inherited issue."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.dossier.entries[0..1].questionText","dossier","dc-1.b.q1|early,dc-1.b.q1|mid","P0","truth-leak","그 오피스텔에 외도와 다른 집안 사정이 있었다면, 왜 지금까지 한마디도 못 했습니까?","如果那间办公室发生了外遇或者其他家庭情况，你为什么到现在都不敢说？","如果那间韩式商住公寓的情况不是外遇，你为什么到现在都不敢说？","dossier pre-confession에서 家庭情况을 반복해 가족 축으로 유도함. detect-truth-leak는 가족 일반어/동의어를 못 잡는 정적 한계."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.dossier.entries[2].questionText","dossier","dc-1.b.q1|late","P0","truth-leak","그 오피스텔에 있던 사람이 외도 상대가 아니라 형과 조카라면, 왜 지금까지 한마디도 못 했습니까?","如果那个办公室里的人不是你的对象，而是你的兄弟和侄子，你为什么到现在才说一句话？","如果那间韩式商住公寓里的情况不是外遇，你为什么到现在才说一句话？","兄弟和侄子가 형/조카 진실을 직접 말함. requiredLieState=S2라 late band라도 player가 밝히기 전 dossier 질문 누설."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.dossier.entries[6..8]","dossier","dc-3.b.q1|early,mid,late","P0","meaning/truth-leak","공동 적금 2,000만 원을 집안 쪽으로 돌릴 권리가 정말 당신 혼자에게 있었습니까?","你真的有权将2000万韩元的共同储蓄转移给你的家人吗？","你真的有权在未告知配偶的情况下动用个人资金吗？","B가 공동 적금 2,000만원을 집안/형에게 돌린 것처럼 뒤바뀜. 현재 truth는 B=개인 비자금 3,000만원, A=공동 적금 2,000만원 해지."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.dossier.entries[9..11]","dossier","dc-3.b.q2|early,mid,late","P0","meaning/truth-leak","집안 사정을 처리하는 일이었다 해도, 배우자 동의 없이 공동 적금을 깬 책임은 인정합니까?","即使是为了照顾家庭情况，未经配偶同意而破坏联名储蓄账户的行为你是否承担责任？","即使是为了处理个人资金问题，未告知配偶就独自决定的责任你是否承认？","B에게 공동 적금 해지 책임을 묻는 구조 자체가 사실 축을 뒤집음. 家庭情况도 pre-confession dossier에서 반복 노출."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.trust_action.entries[14].variants[*].text","dialogue","trust-b-confidential-S3-v1~v10","P0","truth-leak/lieState","비공개라면 밝히겠습니다. 3,000만 원은 형에게 갔습니다. 개인회생 때문에 현금으로 건넸습니다.","若不公开,我说出来。三千万元给了那位家人。因为他在个人破产程序中,所以用现金转交。","S3에서는 개인회생/현금 전달/행선지를 열지 말고, 필요하면 '비공개라면 숨긴 사정의 윤곽만 말씀드리겠습니다. 구체 행선지와 절차는 확인 뒤 말하겠습니다.'처럼 추상화하거나 S5로 게이트 이동.","spouse-01 정책상 개인회생 중인 형은 진실 노출 전 등장 X. trust_action은 정적 스크립트 제외 채널이라 수동 audit 필요."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.trust_action.entries[14].variants[7].text","dialogue","trust-b-confidential-S3-v8","P0","meaning/style","비공개라면 밝히겠습니다. 3,000만 원은 형에게 갔습니다. 개인회생 때문에 현금으로 건넸습니다.","我无意辩解,但事实是这样:若不公开,我说出来。三千万元给了那位家人。因为他在个人破产程序中,所以用现金转交——其中涉及3。","我无意辩解，但事实是这样：若不公开，我只能先说明有一笔大额现金交付的隐情。具体行선지와 절차는 확인 뒤 말하겠습니다。","'其中涉及3'는 잘린 placeholder/생성 잔재. 같은 row의 P0 truth leak와 별도로 target 자체가 깨짐."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.interrogation.entries[15].variants[*].text","dialogue","a-d-1-S5-fact-pursuit-v1~v10","P0","continuity","공동 적금 삼천만원을 해지할 때 위임장에 제 남편 서명을 제가 썼습니다.","解约共同存款三千万元的时候,委任书上我丈夫的签名是我自己写的。","解约共同储蓄账户2000万韩元时，委托书上我丈夫的签名是我自己写的。","현재 generated case/truth matrix는 A의 공동 적금 해지액을 2,000만원으로 고정. KO source도 삼천만원이라 source inherited P0."
"src/data/scriptedText/spouse-01.zh-CN.json$.channels.interrogation.entries[71].variants[*].text","dialogue","b-d-2-S5-empathy-approach-v1~v10","P0","continuity/cultural","개인 계좌 비자금 이천만 원을 현금으로 뽑아 제 형에게 건넸습니다. 개인회생 중인 형이 계좌로 받을 수가 없어서 그랬지만...","我从私人账户的小金库里取出两千万元现金,亲手交给了哥哥。哥哥正在个人破产程序中,无法用账户收款...","我从个人账户的私房钱中取出3000万韩元现金，亲手交给了哥哥。哥哥正在个人债务重整中，无法用账户收款...","현재 spouse-01 truth는 B 개인 비자금 3,000만원. 两千万元은 case truth와 충돌. 개인회생은 个人破产程序보다 个人债务重整/个人重整이 적합."
"src/data/scriptedText/spouse-01.zh-CN.json$..text[contains('委任书')]","dialogue","multiple S5 interrogation variants","P1","glossary/cultural","위임장 / 위임 서류","委任书","委托书","동일 파일 안에서도 委托书와 委任书가 혼재. zh-CN 법률 문맥과 generated case 표기 기준은 委托书."
"src/data/scriptedText/spouse-01.zh-CN.json$..text[contains('共同存款')]","dialogue","multiple interrogation variants","P1","glossary","공동 적금 / 공동 적금 해지","共同存款 / 夫妻共同存款","共同储蓄账户 / 共同储蓄账户解约","locked glossary: 공동 적금=共同储蓄账户. 共同存款은 금융상품/계좌 맥락이 흐려지고 generated case와 분기."
"src/data/scriptedText/spouse-01.zh-CN.json$..text[contains('小金库')]","dialogue","multiple interrogation variants","P1","glossary/tone","비자금","小金库","私房钱","locked glossary: 비자금=私房钱. 小金库는 조직/공금성 은닉금 뉘앙스가 강해 부부 개인자금 맥락과 어긋남."
"src/data/scriptedAngles/spouse-01_interrogation_answers.zh-CN.json$..text[contains('小金库')]","scriptedAngles","multiple answer variants","P1","glossary/tone","비자금","小金库","私房钱","interrogation_answers에도 小金库가 대량 잔존. scriptedText와 함께 일괄 정리 필요."
"src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json$.angles[1].description","scriptedAngles","visit_route","P2","glossary","퇴근 후 같은 오피스텔에 반복 방문한 시간, 경로, 체류 목적을 확인한다.","确认下班后反复前往同一栋公寓的时间、路线与停留目的。","确认下班后反复前往同一处韩式商住公寓的时间、路线与停留目的。","오피스텔 glossary는 한국식 공간 맥락 보존용. description에서 公寓로 축약되어 Phase 2 이후에도 남은 누락."
