id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:341,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:341,증인 소환,Summon Witness,証人召喚,传唤证人,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:378,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:378,소환,Summon,召喚,传唤,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:383,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:383,직접 목격,Directly Witnessed,直接目撃,亲眼目击,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:383,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:383,전해 들음,Heard Secondhand,伝聞,听他人转述,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:393,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:393,소환 완료 (,Summon Complete (,召喚完了 (,传唤完成 (,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:412,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:412,모든 증인을 소환했다.,All witnesses have been summoned.,すべての証人を召喚しました。,已传唤所有证人。,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:428,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:428,해금 조건: 쟁점 진전 필요,Unlock condition: advance the issue,解放条件: 争点の進展が必要,解锁条件：推进争议点,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:448,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:448,원본 확인,Check Original,原本確認,确认原件,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:449,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:449,맥락 복원,Restore Context,文脈復元,还原语境,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:450,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:450,조작 여부,Manipulation Check,操作の有無,是否被操纵,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:47,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:47,현재 쟁점과 직접 연결됩니다,Directly tied to the current issue,現在の争点に直接つながります,与当前争议点直接相关,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
hardcoded_source_literal_src_components_actions_EvidencePresenter.tsx_line:48,hardcoded_source_literal,src/components/actions/EvidencePresenter.tsx,,line:48,아직 제시하지 않은 핵심 증거입니다,Key evidence not yet presented,まだ提示していない核心証拠です,尚未出示的核心证据,Visible Korean/CJK source literal outside i18n/data. Review whether it should move into i18n or remain developer-only.
