"row_id","channel","key","severity","issue_dim","kr_snippet","target_snippet","recommendation","note"
"src/data/cases/generated/friend-01.zh-CN.json::meta.anchorTruth","case_generated","meta.anchorTruth","P0","D2","최수민은 예비신랑을 꼬시려 한 게 아니라 경고하려 했고","崔秀敏并没有试图勾引准新娘，而是试图警告她","崔秀敏并不是想勾引宋多恩的未婚夫，而是想提醒他；在更早之前，她因为无法说出宋多恩父亲的事而把自己放进了反面角色。","예비신랑이 准新娘으로 뒤집혀 핵심 관계가 반전됨."
"src/data/cases/generated/friend-01.zh-CN.json::duo.partyA.fear","case_generated","duo.partyA.fear","P1","D2;archetype","아버지의 진짜 모습이 드러나는 것을 가장 두려워한다.","他最怕父亲的真面目被揭露。","她最怕父亲的真面目被揭露。","partyA 송다은은 여성 캐릭터인데 他로 표기되어 프로필 일관성이 깨짐."
"src/data/cases/generated/friend-01.zh-CN.json::duo.partyA.verbalTells[1].pattern","case_generated","duo.partyA.verbalTells[1]","P1","D2;archetype","'예전에도 그랬잖아'라며 과거 사례를 현재 판단의 근거로 가져온다.","他们将过去案例作为当前判断的基础，并说：“你以前就这么做过。”","她会把过去的例子拿来支撑现在的判断，说“你以前也这样”。","单수 여성 프로필이 他们으로 바뀌어 캐릭터 설명 주체가 흐려짐."
"src/data/cases/generated/friend-01.zh-CN.json::duo.partyB.verbalTells[1].pattern","case_generated","duo.partyB.verbalTells[1]","P1","D2;archetype","'제가 그냥 참았어야 했는데'라며 책임을 먼저 가져가 상대의 추궁을 무력화한다.","他先承担责任，平息了对方的质疑，他说：“我应该忍受的。”","她会先把责任揽到自己身上，用“我当时应该忍下来”来卸掉对方追问的力道。","partyB 최수민도 여성인데 他로 표기되고, archetype의 자기희생 톤이 약해짐."
"src/data/cases/generated/friend-01.zh-CN.json::duo.socialGraph[*].witnessProfile.addressJudge","case_generated","witnessProfile.addressJudge","P2","D6;cultural","재판관님","法官","裁判官","대화 본문은 裁判官을 쓰는데 증인 프로필만 法官으로 갈라짐. glossary/세계관 용어 통일 필요."
"src/data/cases/generated/friend-01.zh-CN.json::disputes[0].truthDescription","case_generated","d-1.truthDescription","P0","D2","집착이 아니라 송다은 아버지의 돈 접근 패턴을 경고하려 했지만","宋多恩并没有沉迷其中，而是试图警告父亲他获取金钱的方式","崔秀敏联系未婚夫9天。那不是纠缠，而是想提醒他注意宋多恩父亲接近钱财的模式，只是她没有办法直接对宋多恩说。","주체가 송다은으로 바뀌고 '아버지에게 경고'처럼 읽혀 d-1 핵심 진실이 오역됨."
"src/data/cases/generated/friend-01.zh-CN.json::disputes[3].truthDescription","case_generated","d-4.truthDescription","P1","D2","송다은에게 말하면 아버지 문제를 들춰야 해서 차마 말하지 못하고 악역을 자처했다.","因为他必须向父亲提起这件事，所以他称自己为恶棍。","崔秀敏不忍心告诉宋多恩，因为一旦说出口就必须提到宋多恩父亲的问题，所以只能把自己放进反面角色。","他가 누구인지 흔들려 최수민의 보호적 침묵과 자기희생 구조가 흐려짐."
"src/data/cases/generated/friend-01.zh-CN.json::disputes[4].verdictOptions.wrong","case_generated","d-5.verdictOptions.wrong","P1","D2","최수민이 먼저 예비신랑에게 접근해서 스스로 명예를 무너뜨렸다.","崔秀敏率先接近未婚夫，毁了他的名誉。","崔秀敏率先接近未婚夫，结果毁了自己的名誉。","스스로 명예가 무너졌다는 오답 선택지가 未婚夫의 명예 훼손으로 바뀜."
"src/data/cases/generated/friend-01.zh-CN.json::v3Design.leadLines[0].interpretationChoices[0].implication","case_generated","L-1-A.implication","P1","D2","d-1을 집착으로 밀어붙인다.","他痴迷于推动 d-1。","把 d-1 推向“纠缠/执着”的框架。","집착 프레임으로 몰아간다는 구조 설명이 '그가 d-1에 집착한다'는 비문으로 바뀜."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[42].variants[*].text","dialogue","a|d-2|S2|fact_pursuit","P1","D2;lieState","그 사람이 여자들한테 다정한 편인 건 맞습니다. 말도 잘 걸고, 챙김도 있는 편입니다.","她先发了一条，他回了一条，她又主动跟了几条。这个顺序在记录里清清楚楚。","他对女性确实比较亲切。也会主动搭话、照顾别人。","KO는 예비신랑의 애매한 친절 인정인데 ZH는 최수민이 먼저 보냈다는 순서 주장으로 바뀜."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[57].variants[*].text","dialogue","b|d-2|S1|fact_pursuit","P0","D3;lieState","선을 넘는 느낌은 있었습니다.","我先前讲得太轻。我承认我回得不少，可他先开口这一点是事实。","确实有一种越过界线的感觉。","S1 힌트 단계에서 '그가 먼저 시작했다'는 행위/사실을 직접 말함. detect가 보지 않는 interrogation 누설."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[60].variants[*].text","dialogue","b|d-2|S2|fact_pursuit","P0","D3;lieState","따로 보자고 했고, 술 마신 뒤 연락도 했습니다.","原始对话里他先发来了几句明显越线的话。我回了，但内容是想把他停下来。","他说过要单独见面，喝酒之后也联系过我。","S2 부분 단계에서 未婚夫先发/明显越线/我想把他停下来까지 직접 노출."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[72].variants[*].text","dialogue","a|d-3|S0|fact_pursuit","P0","D3;lieState","그분을 그런 사람처럼 말하는 건 받아들일 수 없습니다.","我父亲不是这种人。把他塑造成会向我未婚夫开口要钱的形象，这一点我接受不了。","把我父亲说成那种人，我不能接受。","S0 부정 단계에서 '未婚夫에게 돈을 요구'라는 d-3 행위 사실이 직접 등장."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[75].variants[*].text","dialogue","a|d-3|S1|fact_pursuit","P0","D3;lieState","사위 될 사람한테 인사 차원에서 연락할 수는 있습니다.","父亲是不是有过类似的金钱往来，我不能完全替他打包票。","给将来成为女婿的人问候一下，是可能的。","KO는 인사 연락의 표면 방어인데 ZH는 유사 금전거래 가능성으로 조기 진실을 앞당김."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[94].variants[*].text","dialogue","b|d-3|S1|motive_search","P1","D2;lieState","우연히 알게 됐습니다. 일부러 캔 게 아닙니다.","我之所以一直藏，是因为这一段一旦讲开，多恩对她父亲的信任会被切掉一大块。","我是偶然得知的，并不是刻意去查。","S1에서 우연히 알게 됐다는 절차 방어가, 아버지 신뢰 붕괴를 알고 숨겼다는 동기 고백으로 바뀜."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[108].variants[*].text","dialogue","a|d-4|S0|fact_pursuit","P1","D2","그때 제 전 친구가 변한 겁니다. 돈 얘기만 나오면 피하더니 어느 날부터 아예 사라졌습니다.","群聊里我把通讯记录贴出来，大家自己得出结论。我没有“造谣”。","那时我的前朋友变了。只要一提钱就回避，后来有一天干脆消失了。","d-4 과거 손절/돈 문제 진술이 d-5 단톡방 해명으로 잘못 들어감."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[113].variants[*].text","dialogue","a|d-4|S1|empathy_approach","P1","D2","말해줬으면 도왔을 겁니다. 왜 숨겼는지 그때는 정말 이해가 안 됐습니다.","我承认我在群聊里讲话的方式确实让她在那一圈人面前抬不起头。","如果她当时告诉我，我会帮她。那时我真的不明白她为什么要瞒着。","과거 돈 문제에 대한 이해 불가가 단톡방 공개 모욕 인정으로 교체됨."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[126].variants[*].text","dialogue","b|d-4|S0|fact_pursuit","P1","D2","예전 일은 끝난 일입니다.","群聊里那一段对我的影响是真实的。但我不想从这里开口去要赔偿。","过去的事已经结束了。","d-4 S0의 회피성 단문이 d-5 피해/보상 논점으로 이동함."
"src/data/scriptedText/friend-01.zh-CN.json::channels.interrogation.entries[151].variants[*].text","dialogue","a|d-5|S2|motive_search","P1","D2","패턴이 같다고 확신했습니다. 그래서 더 거칠게 말했습니다.","问题就是：今天就把帐合上，明天我们之间还会不会有人愿意先开口。","我确信模式是一样的，所以话说得更重了。","단톡방 낙인 동기가 금전 장부/청산 뉘앙스로 흐려짐."
"src/data/scriptedText/friend-01.zh-CN.json::channels.evidence_discovery.entries[8-11].variants[*].text","scriptedText","a|e-5|probe/slip/capture/confirm","P1","D2","아버지가 급하면 원래 저런 식으로 말을… 아닙니다. / 비슷한 돈 부탁 방식이 이전에도 있었다는 뜻입니까.","宋多恩女士，关于父亲与未婚夫之间的短信，请把它进入这场争议之前的过程按时间顺序讲一段。","각 단계별로 probe/slip/capture/confirm의 기능을 보존: probe는 문자 경위 질문, slip은 말실수, capture는 '비슷한 돈 부탁 방식' 확인, confirm은 인정문으로 분리 번역.","e-5 증거 발견 4단계가 같은 일반 질문으로 덮여 증거 unlock 단계와 말실수 흐름이 사라짐."
"src/data/scriptedText/friend-01.zh-CN.json::channels.evidence_present.entries[24-29,114-119].variants[*].text","scriptedText","e-5 early/mid/late","P1","D2;continuity","그 문자를 보고 그냥 넘기기 어려웠습니다. / 돈 이야기와 다은이에게 말하지 말라는 문구가 보여서","父亲与未婚夫之间的短信的内容是真的。我没有想要躲过它，只希望它放回完整的顺序里看。","e-5는 '그 문자를 보고 넘기기 어려움', '돈 이야기와 비밀 요청 문구', '그 문자 때문에 연락함'을 단계별로 보존해 번역.","evidence_present e-5 계열이 template 문장으로 평평해져 early/mid/late disclosure 차이가 사라짐."
"src/data/scriptedText/friend-01.zh-CN.json::channels.judge_contradiction.entries[6-8].variants[*].text","scriptedText","d-3|soft/mid/hard","P0","D3;truth-leak","단순한 우려라던 말이 반복 패턴으로 바뀌었습니다. / 비슷한 구조를 봤다는 말","现在记录的关键在于父亲接近钱财与反复出现的模式。","用 '类似结构/重复的 흐름' 等抽象 표현, 不要在裁判官 contradiction 中直接说 '父亲接近钱财'.","judge_contradiction은 pre-confession 스캔 표면인데 ZH가 d-3 hidden fact를 직접 명명. substring detector의 exact keyword 밖이라 누락됨."
"src/data/scriptedText/friend-01.zh-CN.json::channels.judge_evidence_combo.entries[9-14].variants[*].text","scriptedText","dc-3.b/a.q1","P1","D2;continuity","현재 문자와 과거 송금 기록을 함께 보겠습니다.","我们把对照表与父亲相关短信合在一起看。","把宋多恩父亲的当前短信与过往转账记录放在一起看。","KO의 증거 조합은 현재 문자+과거 송금 기록인데 ZH는 对照表+父亲短信으로 바뀌어 combo evidence continuity가 흔들림."
"src/data/scriptedAngles/friend-01_judge_questions.zh-CN.json::judgeQuestions[1].variants[0-3].text","scriptedAngles","judgeq-d-1-fact_pursuit-b-contact_timeline","P1","D2","9일 동안 예비신랑에게 건 전화와 보낸 문자를 발신 시각 순서대로 정리해 주십시오.","请把9天联系的顺序与目的中你直接确认的部分，以及后来通过说明或推测得知的部分分开。","v1~v4는 발신 시각, 통화/부재중, 단톡방에 알려진 횟수와 실제 발신기록 차이, 응답 후 다음 연락까지 기다린 시간을 각각 직접 묻도록 재번역.","여러 variant가 confirmed/inferred generic template로 치환되어 contact_timeline의 구체 질문이 사라짐."
