glossary_id,locked,used_in_keys_count,used_terms_observed,conflicts,status
project_solomon,true,1,Project Solomon,KO source uses 솔로몬의 딜레마 / 솔로몬 법정 as in-game titles distinct from product name; baseline pc.app.title still emits 'Project Solomon',clean
steam_app_id,true,0,,,unused
achievement_api_name,true,0,,,unused
steam_auth_ticket,false,0,,,unused
steam_cloud,true,0,,,unused
steam_deck,true,0,,,unused
court_simulation,false,0,,,unused
courtroom,false,1,法廷,,clean
judge,false,8,裁判官,,clean
party,false,0,,,unused
party_a,false,1,当事者A,,clean
party_b,false,1,当事者B,,clean
witness,false,5,証人,,clean
case,false,0,事件 (used as KO 사건; rendered in hero copy & case browser as 事件),,clean
case_brief,false,0,,KO uses 사건 입장하기 + 사건 목록 + 사건 요약 — no 사건 브리핑 in current PC UI,unused
case_id,true,0,,,unused
phase,false,9,フェーズ (UI uses ブリーフィング/冒頭陳述/etc directly without word フェーズ),,clean
briefing_phase,false,1,ブリーフィング,KO source uses 브리핑 only (drops 단계 in PC UI),clean
pretrial_phase,false,1,冒頭陳述,KO source uses 사전 진술 (drops 단계),clean
interrogation_phase,false,1,尋問,KO source uses 심문 (drops 단계); also referenced as 심문 단계 in advance buttons → still 尋問フェーズ via separate strings,clean
rebuttal_phase,false,1,反論,KO source uses 반박,clean
evidence_phase,false,1,証拠審理,KO source uses 증거 심리 + 증거 정리 단계 in advance text,needs-normalization
re_examination_phase,false,1,再尋問,KO source uses 최종 심문 in PC UI not 최종 심문 단계 verbatim,clean
mediation_phase,false,1,調停,KO source uses 중재 (drops 단계),clean
verdict_phase,false,1,判決,KO source uses 판결 단계 in advance button text,clean
result_phase,false,1,結果,,clean
verdict,false,7,判決,,clean
judgment_basis,false,0,,,unused
responsibility,false,1,責任 (used in 02 責任の所在 step heading + responsibility direction labels),,clean
solution,false,2,解決策 (UI) / 解決案 (verdict step heading 03 解決案 → 03 解決策),"glossary draft = 解決案; UI proposal = 解決策 (more natural for game UI)",needs-normalization
dispute,false,17,争点,,clean
claim,false,3,主張,used in fact option1/3,clean
fact,false,3,事実 (verdict.fact.true) / 事実 (record.section.facts → 確定した事実),,clean
truth,false,4,真相 (intro slide / dispute popover) / 真相 (record row truth.label 真相の把握),,clean
hidden_truth,false,0,,,unused
surface_text,false,0,,,unused
evidence,false,18,証拠,,clean
evidence_card,false,0,,,unused
evidence_stage,false,1,証拠段階 (KO source uses 조사 단계 in interaction panel rendered 調査ステージ),"KO uses two terms (증거 단계 / 조사 단계); UI proposal renders 조사 단계 = 調査ステージ (distinct from glossary 証拠段階)",needs-normalization
deep_investigation,false,0,,,unused
