id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v1].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v1].text,오피스텔 경비님을 즉시 모시겠습니다. 그 출입을 더 이상 정황 해석으로만 처리할 수 없습니다.,The studio-apartment security officer will be summoned at once. The entries can no longer be processed by inference alone. Direct testimony is required now.,オフィステルの警備員にお越しいただきます。出入りがいつ、どれほど繰り返されたのかから整えて確認します。,"请公寓保安先生立刻上来。那次出入,不能再仅以情况推断处理。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v2].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v2_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v2].text,"오피스텔 경비님, 들어오십시오. 차량 출입 빈도와 해당 층 거주 현황을 바로 확인하겠습니다.",The court summons the studio-apartment security officer immediately. The entries can no longer be processed by inference alone. Direct testimony is required now.,オフィステルの警備員を証人としてお呼びします。記録の範囲で答えていただけますか。,"请再讲一次:请公寓保安先生立刻上来。那次出入,不能再仅以情况推断处理。请将这一段串起来。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v3].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v3_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v3].text,오피스텔 경비님의 증언으로 동선을 확정하겠습니다. 외도인지 다른 사정인지 현장부터 가리겠습니다.,Bring the studio-apartment security officer forward without delay. The entries can no longer be processed by inference alone. Direct testimony is required now.,オフィステルの警備員を法廷へお招きします。当時の状況を整えてお話しください。,"请把这一段讲清:请公寓保安先生立刻上来。那次出入,不能再仅以情况推断处理。我们需要把这点定准。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v4].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v4_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v4].text,오피스텔 경비님을 부르겠습니다. 이 방문 기록을 더 미루면 쟁점이 흐려집니다.,"The studio-apartment security officer, please come forward. The entries can no longer be processed by inference alone. Direct testimony is required now.",オフィステルの警備員にお話を伺います。差し障りのない範囲で結構です。,"请按时间顺序复述:请公寓保安先生立刻上来。那次出入,不能再仅以情况推断处理。请您再确认一次。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v5].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v5_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v5].text,오피스텔 경비님 증언을 듣겠습니다. 누가 그 층에 있었는지 지금 확인해야 합니다.,The studio-apartment security officer is called to the stand now. The entries can no longer be processed by inference alone. Direct testimony is required now.,オフィステルの警備員に同席をお願いし、当時の様子を整えて確認します。,"请客观地说:请公寓保安先生立刻上来。那次出入,不能再仅以情况推断处理。这一点必须摆在桌面上。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
