priority,locale,case,subject,result,evidence,recommendation
P0,(none),(none),no remaining P0 blockers for family-01 / friend-01 expansion,CLEAR,"All brief commands PASS (validate strict per-case + per-locale + check:policy + check:all + build:pc). Brand guard 0 violations × 42 sidecars. Independent forbidden-lexeme audit using ACTUAL localePolicy lexicons: 0 non-S5 leaks across all 6 audited surfaces × 3 locales × 2 cases = 12 audits.","Promotion path to GO is open."
P1,(none),(none),no remaining P1 blockers,CLEAR,All Thread-25 sentence-pool variation gate criteria met. Schema parity strict mode passes. KO sources unmodified. spouse-01 sidecars unchanged. behaviorHint not translated. keywordsLocale not filled. caseId normalized. options[] preserved. surfaceClaim absent.,No blocking action.
P2,ja,family-01,a|d-1|S5|fact_pursuit narrative softness — JA more abstract than KO/EN/zh-CN,DEFERRED_NATIVE_REVIEW,"v1-v4 visible text uses generic surface anchor (`面会記録と元介護士の証言を順に見たうえで...`) without explicit truth lexemes (異父 / 90:10 / 遺書操作 / 正厚の金). KO/EN/zh-CN v1 all reveal these explicitly.","Bucket cycle DOES expose truth at b-side (b|d-2|S5|fact_pursuit v1-v3 use 90:10/90対10/正厚90/泰成10/兄を守るために fully). Per Thread-24 recheck v2 §4 narrative-valid waiver, acceptable. P2 native-review polish recommended for a-side family-01 + a-side friend-01 JA S5 entries."
P2,zh-CN,friend-01,interrogation_answers S5 narrative softness — uses softer phrasing instead of literal truth tokens,DEFERRED_NATIVE_REVIEW,"Thread-29 SUMMARY noted: interrogation_answers used softer narrative S5 reveal phrasing (e.g. 提个醒 / 想拦下来 / 想替她拦住父亲) rather than literal forbidden tokens. This-thread audit confirmed: friend-01 zh-CN interrogation_answers S5 truth-lexeme count = 0.","friend-01 scriptedText interrogation S5 entries DO use literal truth lexemes (this-thread audit: 530 hits). Confession beat path uses stronger reveal vocab. Per Thread-24 recheck v2 §4 narrative-valid waiver. P2 native review can plumb truth-lexeme dictionary through to interrogation_answers S5 entries."
P2,en,family-01 + friend-01,EN scriptedText non-interrogation polish required (Thread-27 lesson learned),NOTED_ALREADY_FIXED,"Thread-27 SUMMARY documented Fr2 first sub-agent run rotated only the closer (10 distinct tails) but kept Sentence-A as a single anchor per bucket — variation audit caught 244 buckets failing opener and 304 failing the 60-char prefix-repetition rule. Fr2-polish sub-agent corrected.","Already resolved in landed sidecars (variation gate 1,445/1,445 friend-01 + 1,724/1,724 family-01 buckets pass). Future EN sub-agent prompts MUST mandate sentence-pool pattern with self-check assertion in build script. Thread-25 polish-sub-agent prompt template already does this; new prompts should mirror."
P2,en,family-01 + friend-01,Synthesised key field bug in family-01 d-3/d-4/d-5 + family-01 zh-CN interrogation_answers — ALREADY FIXED,NOTED_ALREADY_FIXED,"Thread-27 + Thread-29 both noted: F4 build script synthesised `key: '{party}|{disputeId}|{lieState}|{questionType}|{angleId}'` for entries where KO source has no `key` field. Caused strict-mode coverage mismatch. Fixed by stripping synthesised `key` post-build.","Already resolved in landed sidecars (strict mode passes). Recommend Codex enhance validator: strict mode `assertFullCoverage` should normalise `entry.key` against synthesised value rather than expect bytewise equality. OR build scripts should not synthesise key when KO lacks one. Tracking item."
P2,(all),(all),keywordsLocale field shape inconsistency between EN and JA/zh-CN,COSMETIC,"EN keeps keywordsLocale=[] empty arrays in angle_catalog (26 family + 20 friend = 46 occurrences). JA + zh-CN omit the field entirely. Both approaches valid per locked decision #7 + brief #7.","Cosmetic. Recommend Codex normalise scaffold output: either drop `keywordsLocale: []` from scaffold (so all 3 locales omit), OR have all 3 locales emit empty arrays. Not blocking."
P2,(carry-over),(all),non-lieState channel softening (aftermath / dossier-late / witness-full / evidence_present-late / contradiction_pursuit-late / emotional_overload-S4+ / mediation post-S5 / judge_*-postS5),DESIGN_GAP_UNCHANGED,"Carry-over from Thread-24 P1. Validator only allows truth lexemes when `entry.lieState === 'S5'`. Channels with `resultClass` / `lieBand` / `depth` instead of `lieState` cannot be truth-allowed at any band/depth. EN/JA/zh-CN family + friend aftermath all paraphrase to surface vocab.","NOT bulk-blocking. PCT decision still pending: (a) extend validator's truth-stage logic to honor channel-stage matrix per disclosure-policy.md §3.3, OR (b) accept locale-side hardening as deliberate v1 design. Recommend (a) for narrative parity with KO. Implementable post-bulk."
P2,en,(all cases),EN forbidden-lexeme substring brittleness,DESIGN_GAP_UNCHANGED,Thread-24 P1 carry-over. Validator's substring match means `'brother'` blocks `'my brother'` etc.,Tier 2 enhancement: add per-locale lexeme matcher with regex word-boundary `\bbrother\b` + per-channel allowlist. Not bulk-blocking but recommended before further EN content polish on family-01/friend-01.
P2,(all),(all),special_scripts schema gap,DESIGN_GAP_UNCHANGED,Thread-24 P1 carry-over. KO `special_scripts` files have 0 translatable strings; locale sidecars not produced. Same pattern as spouse-01 pilot + family-01 + friend-01.,Acceptable for v1 minimal scope. Defer per-bucket overlay shape definition until KO content lands.
