id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추고 안쪽 정서를 끌어내는 질문이다.,It asks for the first emotional reaction rather than a judgment. The question lowers their defenses a little and draws out the feeling underneath.,判断ではなく感情の最初の反応を尋ねる。防御を少し下げ、内側の感情を引き出す質問。,不问判断，而问最初的情绪反应。这个问题会稍微降低防备，把内里的情绪引出来。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].text,"윤정후 씨, 그때 가장 먼저 지키고 싶었던 사람은 어머니였습니까, 윤태성 씨였습니까.","Mr. Yoon Jeong-hu, at that moment, who were you trying to protect first: your mother or Mr. Yoon Tae-seong?",ユン・ジョンフさん、その時まず守りたいと思ったのは、お母様でしたか、それともユン・テソンさんでしたか。,尹正厚先生，当时你最先想保护的人，是母亲，还是尹泰成先生？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추고 안쪽 정서를 끌어내는 질문이다.,It asks for the first emotional reaction rather than a judgment. The question lowers their defenses a little and draws out the feeling underneath.,判断ではなく感情の最初の反応を尋ねる。防御を少し下げ、内側の感情を引き出す質問。,不问判断，而问最初的情绪反应。这个问题会稍微降低防备，把内里的情绪引出来。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].text,"윤태성 씨, 그 시기 어머니 모습을 떠올리면 먼저 드는 감정이 분노입니까, 불안입니까.","Mr. Yoon Tae-seong, when you think back to your mother at that time, what comes first: anger or anxiety?",ユン・テソンさん、その時期のお母様の姿を思い返すと、最初に湧く感情は怒りですか、それとも不安ですか。,尹泰成先生，回想那段时间母亲的样子，你最先涌上来的情绪是愤怒，还是不安？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v3].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,It asks for the first emotional reaction rather than a judgment. The question lowers their defenses a little.,判断ではなく感情の最初の反応を尋ねる。防御を少し下げる質問。,不问判断，而问最初的情绪反应。这个问题会稍微降低防备。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v3_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v3].text,"윤정후 씨, 말년의 어머니 방에 들어설 때 어떤 마음이 먼저 들었습니까.","Mr. Yoon Jeong-hu, when you entered your mother's room in her final years, what feeling came to you first?",ユン・ジョンフさん、晩年のお母様の部屋に入った時、最初にどんな気持ちが浮かびましたか。,尹正厚先生，走进晚年母亲的房间时，你最先感到的是什么？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v4].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,It asks for the first emotional reaction rather than a judgment. The question lowers their defenses a little.,判断ではなく感情の最初の反応を尋ねる。防御を少し下げる質問。,不问判断，而问最初的情绪反应。这个问题会稍微降低防备。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v4_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v4].text,"윤태성 씨, 그 방문기록을 볼 때 가장 아팠던 부분은 무엇입니까.","Mr. Yoon Tae-seong, when you look at that visit record, what part hurts the most?",ユン・テソンさん、その訪問記録を見る時、何がいちばん痛みますか。,尹泰成先生，看着那份探访记录时，最让你痛的是什么？,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v5].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,It asks for the first emotional reaction rather than a judgment. The question lowers their defenses a little.,判断ではなく感情の最初の反応を尋ねる。防御を少し下げる質問。,不问判断，而问最初的情绪反应。这个问题会稍微降低防备。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v5_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v5].text,"두 분, 어머니 마지막 시간을 떠올릴 때 가장 무거운 장면을 말해 주십시오.","Both of you, when you think of your mother's final days, tell me the heaviest scene that remains.",お二人とも、お母様の最期の時間を思い返した時、いちばん重く残る場面を話してください。,两位，回想母亲最后的时间时，请说出最沉重地留在心里的那一幕。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
