row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[15].variants[*].text","dialogue/interrogation","a-d-1-S5-fact_pursuit-v1~v10","P0","D2/lieState/truth_static_limit","공동 적금 삼천만원을 해지할 때 위임장에 제 남편 서명을 제가 썼습니다. ... 그 돈은 투자방에 전액 넣었다가 사기로 전부 잃었고","Your Honor, I now admit that I read the records the wrong way, and what I called an affair was him caring for his nephew at his older brother's studio apartment.","Retranslate from KO so A admits the concrete act: forging/signing the power-of-attorney paperwork, cancelling the joint savings, and losing the money in the investment chat. Do not replace it with B's family-care truth.","S5 is a confession band, but the EN confesses the wrong truth. Action/fact keywords must be preserved; generic admit language is not a substitute for the concrete act."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[16].variants[*].text","dialogue/interrogation","a-d-1-S5_motive_search-v1~v10","P0","D2/lieState/archetype","범죄인 건 압니다. 그때는 살아남는 게 먼저였습니다. 그래서 제 손으로 선을 넘었습니다.","Your Honor, I now admit my suspicion was driven by my own fear, and the truth was that he was caring for his nephew at his older brother's studio apartment.","Restore A's motive for crossing the legal/procedural line: fear of losing marital assets led her to forge/use the paperwork and move the savings.","The EN shifts motive from A's own crime to her misreading of B's family care, flattening the victim_cosplay confession arc."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[17].variants[*].text","dialogue/interrogation","a-d-1-S5_empathy_approach-v1~v10","P0","D2/lieState/emotion","위임장에 서명하던 날부터 매일 후회했습니다. 손이 떨리는데도 멈추지 않은 게… 제일 부끄럽습니다.","Your Honor, I now admit I let betrayal speak first, when in fact he was caring for his nephew at his older brother's studio apartment.","Restore shame/remorse over signing or manipulating the document and continuing despite fear; keep B's nephew/brother truth out of this A-confession entry.","The EN loses the emotional object of confession and substitutes the d-1 family-care reveal."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[51].variants[*].text","dialogue/interrogation","a-d-2-S5_fact_pursuit-v1~v10","P0","D2/lieState/truth_static_limit","수년째 제 남편 계좌를 봐왔습니다. 그리고 위임장에 서명도… 제가 썼습니다.","Your Honor, I now know that the thirty million won went to his older brother for personal-debt rehabilitation, not to anyone else.","Retranslate so A admits long-term account monitoring and writing/signing the authorization paperwork; B's debt-rehabilitation destination can be context only if KO says it.","Concrete A action/fact is replaced by B's cash-use truth. This is outside what substring truth-leak detection can catch."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[52].variants[*].text","dialogue/interrogation","a-d-2-S5_motive_search-v1~v10","P0","D2/lieState/archetype","범죄인 거 압니다. 그 순간에는 범죄보다 이혼이 더 무서웠습니다.","Your Honor, I now know the cash went to his older brother's personal-debt rehabilitation, and my fear filled in the rest with a story that was not true.","Restore the motive contrast: fear of divorce/loss overrode awareness of crime; do not turn it into learning where B's cash went.","The EN changes a self-incriminating motive into a factual realization about B."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[53].variants[*].text","dialogue/interrogation","a-d-2-S5_empathy_approach-v1~v10","P0","D2/lieState/emotion","수년째 계좌를 보고, 위임장 서명까지 흉내 낸 제 잘못이 너무 커서… 여기서 말하는 것도 겁납니다.","Your Honor, I now know the cash went to his older brother for personal-debt rehabilitation, and the wound I built around it was on me too.","Restore A's shame over account surveillance plus imitating/signing the authorization; keep the emotional focus on her own wrongdoing.","S5 admit redundancy policy: generic 'admit my actions' is insufficient when the concrete action disappears."
"src/data/scriptedText/spouse-01.en.json:channels.evidence_present.entries[33-35].variants[0].text; channels.evidence_present.entries[141-149].variants[0].text","evidence_present","b-e-6-*-other/request_original/restore_context-v1","P0","D2/party/pronoun","이건 처음 봅니다. 아내가 이런 걸 했습니까?","About the investment chat group — that was not me, but I was aware of it. ... The act in the record was on my husband's side, not mine.","For B, replace 'my husband's side' with 'my wife's side' or 'the other side'; early entries should preserve uncertainty such as 'Is this saying my wife sent it? I was not aware of this chat.'","B is the husband. The current EN reverses actor attribution and also makes him aware of the investment chat where KO says he is seeing it for the first time."
"src/data/scriptedText/spouse-01.en.json:channels.evidence_present.entries[39-41].variants[0].text; channels.evidence_present.entries[159-167].variants[0].text","evidence_present","b-e-7-*-other/request_original/restore_context-v1","P0","D2/party/pronoun","제 동의 없이 해지됐습니다. 위임장은 제가 쓴 게 아닙니다.","The joint savings cancellation paperwork — I know my wife handled it. ... The act in the record was on my husband's side, not mine.","For B, use 'my wife's side' or 'not my act'; early entries should keep the denial/unknown state: 'I did not cancel it; if those papers exist, someone used my name.'","Pronoun inversion flips responsibility. Early/mid variants also over-confirm the wife handled it before the KO does."
"src/data/scriptedAngles/spouse-01_judge_questions.en.json:judgeQuestions[78,80,82].variants[*].text","scriptedAngles","judgeq-h-d3-*-a-proxy_document","P1","D2/register/legal","위임 서류가 작성된 장소, 시점, 작성자가 누구인지부터 ... 서명, 인감, 본인 확인 절차 ...","please answer first when and through which material you confirmed the power of attorney document; Please separate the parts you directly confirmed from the parts that remained inference.","Retain the procedural/legal questions: who prepared it, where/when, signature/seal/identity-check steps, consent, and later explanation. Avoid reducing them to generic confirmation/inference language.","Meaning-over-form is acceptable, but here the procedural fact target is lost. This weakens h-d3's concrete act/fact audit trail."
"src/data/scriptedText/spouse-01.en.json:channels.judge_question.entries[36-38,45-47].variants[*].text","scriptedText/judge_question","judgeq-h-d4-*","P1","D2/D5/variant_diversity","각자 어느 축에서 먼저였는지 / 실제 송금 실행이 언제였고 / 가장 먼저 드는 감정은 두려움입니까, 수치심입니까","set out the chronology of the order of concealment, monitoring, execution, and manipulation; describe the feelings and fears that were hardest to admit regarding the order...","Rebuild the EN variants from the KO: keep party-specific questions, money/action/date distinctions, and emotion prompts instead of one repeated h-d4 template.","Large variant collapse plus literal 'order of concealment...' phrase. Not a truth leak by itself, but it degrades the 9-dimension h-d4 progression."
"src/data/scriptedText/spouse-01.en.json:channels.judge_contradiction.entries[9-11].variants[*].text","scriptedText/judge_contradiction","judgec-h-d4-soft/mid/hard","P1","D2/D5/variant_diversity","박지연 씨, 이준호 씨가 먼저 숨겼다는 말과 실제 서류 실행은 본인이 했다는 사실이 함께 있습니다.","Ms. Park, your earlier and current accounts of the order of concealment, monitoring, execution, and manipulation differ. Please organize the gap calmly before we proceed.","Restore each contradiction's target: Park's document execution, Lee's earlier silence, money routes, and responsibility split. Use natural English such as 'sequence of what was hidden and what was done' only where needed.","The EN repeats an abstract template across most variants and loses the speaker-specific contradiction."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[105-107].variants[*].text","dialogue/interrogation","b-h-d3-S5_*","P1","D2/archetype/stance","비자금을 숨긴 것, 형에게 현금으로 보낸 것, 아내한테 설명하지 않은 것. 이게 다 출발점입니다.","Your Honor, I did not cancel the joint savings; my spouse forged a power of attorney in my name, cancelled it, and lost the full amount in investment fraud.","Keep B's avoidant self-responsibility: his hidden cash/family situation started the mistrust, while separately acknowledging A's document act where KO does.","S5 can mention the forgery, but the EN over-centers A's crime and suppresses B's own admission arc."
"src/data/scriptedText/spouse-01.en.json:channels.interrogation.entries[117,120].variants[*].text","dialogue/interrogation","a-h-d4-S3/S4_fact_pursuit","P1","D2/continuity","서류 처리 경위까지 한 것은 명백히 제 잘못입니다.; 6,000만원이 사라졌습니다. 남편 3,000만 원, 저 3,000만원입니다.","hiding, surveillance, the moving of money, and the line that was crossed have to be set down as separate items.","Restore concrete facts: A's document handling and the split loss amount, not only the abstract four-thread frame.","The EN template loses the numeric/money continuity needed for h-d4 responsibility ordering."
