namespace,key,current_ja,proposed_ja,status,notes
common,app.title,ソロモンのジレンマ：真実の裁き,ソロモンのジレンマ：真実の裁き,ok,locked brand title with full-width colon
common,brand.internalProjectName,Project_Solomon,Project_Solomon,ok,internal-only name; never localize
common,brand.title,ソロモンのジレンマ,ソロモンのジレンマ,ok,short title for hero
common,brand.subtitle,真実の裁き,真実の裁き,ok,
common,brand.fullTitle,ソロモンのジレンマ：真実の裁き,ソロモンのジレンマ：真実の裁き,ok,full-width colon
common,splash.subtitle,法廷シミュレーションゲーム,法廷シミュレーションゲーム,ok,KO source 법정 시뮬레이션 게임 — direct transliteration
common,language.selectorLabel,言語,言語,ok,
common,language.selectorTitle,表示言語を選択,表示言語を選択,ok,
common,steam.authRequired.title,Steam認証が必要です,Steam認証が必要です,ok,
common,steam.authRequired.description,"Steamクライアントとサーバー認証の状態を確認してから、もう一度お試しください。","Steamクライアントとサーバー認証の状態を確認のうえ、再度お試しください。",needs_native_review,minor flow refinement (確認してから → 確認のうえ; もう一度 → 再度) — both acceptable
common,steam.authRequired.retry,再試行,再試行,ok,
common,steam.authFailedFallback,Steam認証に失敗しました。,Steam認証に失敗しました。,ok,
common,session.preparing.title,セッション準備中,セッション準備中,ok,
common,session.preparing.description,事件データと法廷環境を読み込んでいます。,事件データと法廷環境を読み込んでいます。,ok,事件 matches glossary case=事件
settings,settings.about.credits.title,ソロモンのジレンマ：真実の裁き,ソロモンのジレンマ：真実の裁き,ok,
settings,settings.about.credits.description,"AI同士の対立を人間の知恵で裁く、リプレイ型の推理ゲーム","AI同士の対立を人間の知恵で裁く、リプレイ型の推理ゲーム",ok,natural courtroom-mystery tagline
settings,settings.language.title,言語,言語,ok,
settings,settings.language.description,ゲームUIに使用する表示言語を選択します。,ゲームUIに使用する表示言語を選択します。,ok,
settings,settings.language.displayLanguage,表示言語,表示言語,ok,
settings,settings.language.displayLanguageDescription,"ホーム、設定、システムUIにすぐ適用されます。","ホーム、設定、システムUIにすぐ適用されます。",ok,
settings,settings.language.current,現在の言語,現在の言語,ok,
settings,settings.language.restartNote,"一部の事件本文と保存済み記録は、次の画面遷移後に更新される場合があります。","一部の事件本文と保存済み記録は、次の画面遷移後に更新される場合があります。",ok,
home,home.gameTitle,ソロモンのジレンマ：真実の裁き,ソロモンのジレンマ：真実の裁き,ok,
home,home.tagline,"現代の裁き手として、証言の奥にある真実を見極めましょう。","現代の裁判官となり、証言の奥にある真相を見極めましょう。",changed,"裁き手 → 裁判官 (glossary alignment, KO 재판관). 真実 → 真相 (glossary truth=真相)."
home,pc.home.moreCases,ほか {count}件,ほか {count}件,ok,
home,pc.home.countdown.ready,まもなく回復,まもなく回復,ok,
home,pc.home.countdown.minutesSeconds,{minutes}分{seconds}秒,{minutes}分{seconds}秒,ok,
home,pc.home.countdown.seconds,{seconds}秒,{seconds}秒,ok,
home,pc.resolutionConfirm.rollback,{seconds}秒後に前の解像度へ戻ります。,{seconds}秒後に元の解像度へ戻ります。,needs_native_review,前 → 元 reads more natural for revert-to-previous semantic
court,pc.notes.unseen,（未確認項目 {count}件）,（未確認項目 {count}件）,ok,full-width parentheses appropriate for JA UI
court,pc.combo.ready,組み合わせ可能 {count}件 - すぐ接続可能,組み合わせ可能 {count}件 ─ 今すぐ連結できます,changed,"接続可能 → 連結できます (連結 = collocation for combining cards/materials in JA game UIs); ASCII hyphen → em-dash"
court,pc.combo.potential,手がかりが必要 {count}件 - 未発見の手がかりがあります,手がかり要 {count}件 ─ まだ見つかっていない手がかりがあるようです,changed,"preserves KO 듯 nuance via ようです; tighter phrasing for sidebar; em-dash"
