row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,selected_option,applied_text,status,apply_method,resolved_targets,already_count,target_occurrences_exact,applied_files
spouse-01-phase1-dialogue-2,"블랙박스를 확인해 보고, 매일 같은 오피스텔에 두세 시간씩 방문하는 것을 알게 되었습니다. 네비 즐겨찾기에는 그 주소가 저장돼 있었습니다.",我查了行车记录仪，才发现他每天都会去同一栋公寓停留两三个小时。导航的收藏夹里也存着那个地址。,case_surface_content,D6,P2,我查了行车记录仪，才发现他每天都会去同一处韩式商住公寓停留两三个小时。导航收藏夹里也存着那个地址。,,a,0.90,glossary: 오피스텔=韩式商住公寓; 公寓로 축약되어 한국식 공간 맥락 약화,a,我查了行车记录仪，才发现他每天都会去同一处韩式商住公寓停留两三个小时。导航收藏夹里也存着那个地址。,applied,source_path,1,1,0,src/data/dialogues/phase1/spouse-01.zh-CN.json
spouse-01-phase1-dialogue-13,"재판관님, 제 남편은 항상 저런 식입니다. 사정이 있다, 복잡하다, 나중에 말한다. 시댁 문제 때도 그랬습니다. 큰돈이 얽힌 집안 문제를 저한테 끝까지 숨기고 있었습니다.",裁判官，我丈夫一直都是这样。说有原因、说复杂、说以后再讲。婆家那边出事的时候也是这样——一笔大额家事，他到最后都瞒着我。,case_surface_content,D2,P1,裁判官，我丈夫一直都是这样。说有原因、说复杂、说以后再讲。婆家那边牵涉大额钱款时也是这样，他到最后都瞒着我。,,a,0.91,큰돈이 얽힌 집안 문제를 一笔大额家事로 옮겨 의미와 자연성 모두 손상,a,裁判官，我丈夫一直都是这样。说有原因、说复杂、说以后再讲。婆家那边牵涉大额钱款时也是这样，他到最后都瞒着我。,applied,source_path,1,1,0,src/data/dialogues/phase1/spouse-01.zh-CN.json
spouse-01-phase1-dialogue-23,"재판관님, 그 시간에 통화한 건 맞습니다. 하지만 제 아내가 생각하는 그런 부류의 일은 절대 아닙니다.",裁判官，那个时间我确实通过电话。但绝不是我妻子所想的那种事。,case_surface_content,D1,P2,裁判官，那个时间我确实通了电话。但绝不是我妻子所想的那种事。,,a,0.93,通过电话는 zh-CN 자연 표현이 아님,a,裁判官，那个时间我确实通了电话。但绝不是我妻子所想的那种事。,applied,source_path,1,1,0,src/data/dialogues/phase1/spouse-01.zh-CN.json
spouse-01-mediation-conditional-a,조건부 조정이라면 저도 받아들이겠습니다. 다만 오피스텔 방문과 새벽 전화의 사실관계부터 먼저 분명히 정리되어야 같은 의심이 반복되지 않습니다.,如果是条件式调解，我也接受。但公寓造访和凌晨通话的事实经过得先理清，否则同样的疑心还会再起。,non_party_scripted_text,D6,P2,如果是条件式调解，我也接受。但韩式商住公寓探访和凌晨通话的事实经过必须先理清，否则同样的疑心还会再起。,,a,0.89,glossary: 오피스텔 방문=韩式商住公寓探访; 같은 파일 judge line과 용어 분기,a,如果是条件式调解，我也接受。但韩式商住公寓探访和凌晨通话的事实经过必须先理清，否则同样的疑心还会再起。,applied,source_path,1,1,0,src/data/dialogues/mediation/spouse-v3-01.zh-CN.json
spouse-01-mediation-conditional-b,"저도 조건 자체는 받아들이겠습니다. 다만 제 개인 비자금 3,000만원 출금과 아내의 공동 적금 해지 문제는 따로 구분해서 정리해 주시기 바랍니다.","条件本身我也接受。但请把我个人小金库 3,000 万韩元的提款，和我妻子解约共同储蓄这两件事，分开来整理。",non_party_scripted_text,D6,P1,条件本身我也接受。但请把我从个人私房钱中提取3000万韩元，和我妻子解约共同储蓄账户这两件事分开整理。,,a,0.94,"glossary: 비자금=私房钱, 공동 적금=共同储蓄账户; 小金库/共同储蓄로 분기",a,条件本身我也接受。但请把我从个人私房钱中提取3000万韩元，和我妻子解约共同储蓄账户这两件事分开整理。,applied,source_path,1,1,0,src/data/dialogues/mediation/spouse-v3-01.zh-CN.json
spouse-01-angle-d1-general-label,방문·통화 경위,隐瞒的理由,question_angle_catalog,D2,P1,探访与通话经过,,a,0.95,angle label이 방문/통화 경위에서 숨긴 이유로 이동,a,探访与通话经过,applied,source_path,1,1,0,src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json
spouse-01-angle-d1-general-description,"오피스텔 방문, 새벽 전화, 영수증 물건을 같은 의심선상에서 확인한다.",确认为何没有向配偶说明探访、电话和物品。,question_angle_catalog,D2,P1,确认韩式商住公寓探访、凌晨电话和收据物品是否同属同一条怀疑线索。,,a,0.94,원문은 의심선상 확인인데 target은 설명하지 않은 이유 확인으로 변질,a,确认韩式商住公寓探访、凌晨电话和收据物品是否同属同一条怀疑线索。,applied,source_path,1,1,0,src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json
spouse-01-angle-d1-visit-route-label,오피스텔 방문 동선,公寓造访动线,question_angle_catalog,D6,P2,韩式商住公寓探访动线,,a,0.88,glossary 오피스텔/오피스텔 방문 표기 미준수,a,韩式商住公寓探访动线,applied,source_path,1,1,0,src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json
spouse-01-angle-d2-general-label,목돈 출금 경위,排除配偶同意,question_angle_catalog,D2,P1,大额取款经过,,a,0.93,출금 경위가 배우자 동의 배제로 의미 축이 바뀜,a,大额取款经过,applied,source_path,1,1,0,src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json
spouse-01-angle-d2-cash-withdrawal-description,"이준호 명의 별도 계좌에서 3,000만원이 최근 4개월 동안 현금으로 나뉘어 출금된 시점과 방식 확인.","李俊昊名下另一账户在最近四个月内分批提出 3,000 万韩元现金，确认时点与方式。",question_angle_catalog,D6,P1,李俊浩名下另一账户在最近四个月内分批取出3000万韩元现金，确认时点与方式。,,a,0.98,glossary 인명: 이준호=李俊浩; 李俊昊 오기,a,李俊浩名下另一账户在最近四个月内分批取出3000万韩元现金，确认时点与方式。,applied,source_path,1,1,0,src/data/scriptedAngles/spouse-01_angle_catalog.zh-CN.json
