id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
tutorial_pc.tutorial.spouse01.briefing-advance.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.title,사건 브리핑,Case Briefing,事件ブリーフィング,案件简报,Tutorial step 1 title — spouse-01 신규 유저 안내. 시스템 메시지 톤. 명사형 단정.
tutorial_pc.tutorial.spouse01.briefing-advance.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.body,사건 개요를 확인한 뒤 시작한다.,"Review the case summary, then begin.",事件概要を確認してから開始する。,先确认案件概要，再开始。,Tutorial step 1 body — 학습 의도: 사건은 먼저 요약을 읽고 시작한다.
tutorial_pc.tutorial.spouse01.initial-statement-acknowledge.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.title,양측의 진술,Both Sides' Statements,双方の陳述,双方陈述,Tutorial step 2 title. 명사구.
tutorial_pc.tutorial.spouse01.initial-statement-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.body,두 사람의 첫 진술이 기록에 남는다.,Both parties' first statements are recorded.,両者の最初の陳述が記録される。,双方的首次陈述会被记录。,Tutorial step 2 body — 학습 의도: 진술은 기록으로 남는다.
tutorial_pc.tutorial.spouse01.dispute-focus-d1.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.title,쟁점 선택,Select Issue,争点を選択,选择争议点,Tutorial step 3 title.
tutorial_pc.tutorial.spouse01.dispute-focus-d1.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.body,다룰 쟁점을 골라 심리를 시작한다.,Choose an issue to begin the hearing.,扱う争点を選び、審理を始める。,选择要处理的争议点，开始审理。,Tutorial step 3 body — 학습 의도: 질문 축 선택.
tutorial_pc.tutorial.spouse01.target-select-b.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.title,대상 선택,Select Target,対象を選択,选择对象,Tutorial step 4 title.
tutorial_pc.tutorial.spouse01.target-select-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.body,묻는 대상에 따라 답이 달라진다.,The answer changes with the target.,誰に問うかで答えが変わる。,问谁，答案就会改变。,Tutorial step 4 body — 학습 의도: 같은 쟁점도 누구에게 묻느냐가 다르다.
tutorial_pc.tutorial.spouse01.question-fact.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.title,사실 추궁,Press for Facts,事実追及,事实追问,Tutorial step 5 title — 게임 메커니즘 용어 '사실 추궁' (fact pursuit).
tutorial_pc.tutorial.spouse01.question-fact.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.body,근거를 캐물어 진술의 빈틈을 본다.,Press for grounds and find gaps in the statement.,根拠を問いただし、陳述のほころびを探る。,追问依据，找出陈述中的破绽。,Tutorial step 5 body — 학습 의도: 사실 확인 질문의 기본 사용법.
