id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_conditional_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[conditional].judge,"핵심 책임을 분리한 조건부 조정을 먼저 제시하겠습니다. 유서 작성 절차, 공증본과 자필 연습본의 차이, 장기간 돌봄과 계좌 흐름을 한 덩어리로 처리하지는 않겠습니다.","I will first present a conditional mediation that separates the core responsibilities. The will-drafting procedure, the difference between the notarized copy and the handwritten draft, and the long-running care and account trail will not be treated as one bundle.",まず、核心となる責任を切り分けた条件付き調停案を提示します。遺言書作成の手続き、公証本と自筆下書きの違い、長期の介護と口座の流れを一つの塊として扱うことはしません。,我先提出一份把核心责任分开的条件式调解方案。遗嘱制作程序、公证本与亲笔草稿的差异、长期照护和账户流水，不会被合并成一个问题处理。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_fact_first_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[fact_first].judge,"해결책보다 사실관계부터 정리하겠습니다. 유서 작성 절차, 자필 연습본과 공증본의 차이, 장기간 돌봄과 계좌 흐름의 순서부터 고정하겠습니다.","Before moving to a solution, I will organize the facts. We will first fix the order of the will-drafting procedure, the difference between the handwritten draft and the notarized copy, and the long-running care and account trail.",解決策に入る前に、まず事実関係を整理します。遺言書作成の手続き、自筆下書きと公証本の違い、長期の介護と口座の流れの順序から確定します。,在谈解决方案之前，先整理事实关系。遗嘱制作程序、亲笔草稿与公证本的差异、长期照护和账户流水的先后顺序，将先固定下来。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_immediate_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[immediate].judge,정리된 쟁점을 기준으로 즉시 판단하겠습니다. 판결 단계로 넘어가겠습니다.,I will make an immediate judgment based on the issues as organized. We will move to the verdict stage.,整理された争点を基準に、ただちに判断します。判決段階へ進みます。,我将依据已经整理的争点立即作出判断。进入裁决阶段。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_postpone_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[postpone].judge,확정 가능한 사실만 먼저 고정하고 나머지는 보류하겠습니다. 어머니 뜻을 누가 어떻게 이해했는지는 기록과 증언을 나눠 보겠습니다.,"I will first fix only the facts that can be confirmed and reserve the rest. We will separate records and testimony when examining who understood Mother's wishes, and how.",確定できる事実だけを先に固め、残りは保留します。母の意思を誰がどう理解していたのかは、記録と証言を分けて見ていきます。,先固定能够确认的事实，其余部分暂时保留。谁如何理解母亲的意愿，将分开记录与证言来审视。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].behaviorHint,"윤태성 책임이 중심에 놓이되, 윤정후의 문서 책임은 지워지지 않는 결말이다.","Ending centered on Yoon Tae-seong's responsibility, while Yoon Jeong-hu's document responsibility is not erased.",ユン・テソンの責任を中心に置きつつ、ユン・ジョンフの文書責任は消えない結末。,以尹泰成责任为中心，但不抹去尹正厚文件责任的结局。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v1_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].text,"판결 뒤 윤태성은 자신이 붙잡은 장남의 자리가 어머니 뜻을 제대로 듣는 데 방해가 되었음을 인정해야 했다. 윤정후가 문서를 손댄 책임은 별도로 남았지만, 태성의 전면 무효 주장과 동생에 대한 단정은 핵심 사실을 오래 가렸다. 재산 정산은 자필 연습본과 오래 도운 일을 확인하는 절차로 넘어갔고, 태성은 더 받아야 한다는 말보다 먼저 자신이 무엇을 당연시했는지 설명해야 했다. 두 형제의 대화는 사과보다 사실 확인에서 다시 시작됐다.","After the verdict, Yoon Tae-seong had to admit that the eldest-son role he had clung to had kept him from properly hearing Mother's wishes. Yoon Jeong-hu's responsibility for touching the document remained separate, but Tae-seong's claim that everything was void and his quick judgment of his younger brother long obscured the core facts. The property settlement moved into a process of verifying the handwritten draft and the long-running support. Before saying he deserved more, Tae-seong had to explain what he had taken for granted. The brothers' conversation began again not with apology, but with confirming the facts.",判決後、ユン・テソンは、自分が握りしめていた長男という立場が母の意思を正しく聞く妨げになっていたことを認めなければならなかった。ユン・ジョンフが文書に手を加えた責任は別に残ったが、テソンの全面無効の主張と弟への決めつけは、核心事実を長く覆い隠していた。財産の精算は、自筆下書きと長年の支援を確認する手続きへ移り、テソンは「もっと受け取るべきだ」と言う前に、自分が何を当然視していたのかを説明しなければならなかった。兄弟の対話は、謝罪よりも事実確認から再び始まった。,判决之后，尹泰成必须承认，自己紧抓的长子位置妨碍了他真正听见母亲的意愿。尹正厚动过文件的责任另行存在，但泰成主张全盘无效、并武断认定弟弟的做法，长期遮住了核心事实。财产清算进入确认亲笔草稿和长期帮助的程序；在说自己该多拿之前，泰成必须先说明自己把什么当成了理所当然。两兄弟的对话不是从道歉，而是从事实确认重新开始。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].behaviorHint,윤태성의 과잉 단정과 장남 당연시를 후일담 중심축으로 둔다.,Sets Yoon Tae-seong's over-certainty and eldest-son entitlement as the epilogue's axis.,ユン・テソンの過剰な決めつけと長男としての当然視を後日談の軸に置く。,以后日谈聚焦尹泰成的过度断定和长子理所当然心态。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v2_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].text,"윤태성은 동생이 어머니를 이용했다는 말로 재판을 밀고 왔지만, 마지막에는 그 말이 자신의 상처와 체면에서 출발했다는 판정을 받아들여야 했다. 윤정후의 유서 개입은 위법으로 남았으나, 자기 몫을 줄인 방향과 오래 숨긴 도움이 드러나면서 태성의 공격은 힘을 잃었다. 이후 정산 과정에서 태성은 어머니 돈이라고 믿었던 그 돈의 출처를 다시 확인했고, 동생에게 돌려야 할 말과 돈을 따로 적어 내려갔다. 관계 회복은 즉시 오지 않았지만, 분노만으로는 더 갈 수 없다는 선은 분명해졌다.","Yoon Tae-seong had pushed the trial with the claim that his younger brother had used their mother, but in the end he had to accept that this claim had begun in his own hurt and pride. Yoon Jeong-hu's involvement in the will remained unlawful, but once it was revealed that he had reduced his own share and hidden years of support, Tae-seong's attack lost force. In the later settlement, Tae-seong checked again where the money he had believed was Mother's had actually come from, and wrote separately the words and money he owed his brother. Their relationship did not recover at once, but it became clear that anger alone could take them no further.",ユン・テソンは、弟が母を利用したという言葉で裁判を進めてきたが、最後にはその言葉が自分の傷と体面から出ていたという判断を受け入れなければならなかった。ユン・ジョンフの遺言書への関与は違法なものとして残ったものの、自分の取り分を減らした方向と長く隠していた支援が明らかになるにつれ、テソンの攻撃は力を失った。その後の精算過程で、テソンは母の金だと信じていた金の出所を改めて確認し、弟に返すべき言葉と金を別々に書き出していった。関係の回復はすぐには来なかったが、怒りだけではこれ以上進めないという線ははっきりした。,尹泰成一直以“弟弟利用母亲”为说法推进审判，但最后他必须接受，这句话其实源于自己的伤和体面。尹正厚介入遗嘱仍属违法，可当他把自己的份额调低、以及多年隐瞒的帮助被揭开后，泰成的攻击失去了力量。之后的清算过程中，泰成重新核对那笔他以为是母亲的钱究竟来自哪里，并分别写下自己该还给弟弟的话和钱。关系没有立刻修复，但只靠愤怒已经走不下去，这一点变得明确。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].behaviorHint,법적 위조보다 윤태성의 해석 왜곡이 더 큰 후일담이다.,Epilogue where Yoon Tae-seong's interpretive distortion weighs more than legal forgery.,法的な偽造よりも、ユン・テソンの解釈の歪みが大きい後日談。,尹泰成的解释歪曲比法律伪造更重的后日谈。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v3_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].text,"재판은 윤정후의 조작을 가볍게 보지 않았지만, 윤태성이 어머니의 말년을 자기 공로의 증거처럼 붙들어 온 책임을 더 크게 짚었다. 태성은 유산 비율이 모욕처럼 느껴졌다는 말 뒤에, 자신이 동생의 침묵을 곧바로 탐욕으로 읽은 이유를 인정했다. 남은 절차에서는 유서 효력과 오래된 자금 흐름금 정산이 분리됐고, 태성은 먼저 받은 도움의 실체를 확인하는 자리에 앉게 됐다. 그에게 판결은 패소보다 자기 기억을 다시 쓰는 일에 가까웠다.","The trial did not take Yoon Jeong-hu's manipulation lightly, but it placed greater weight on Yoon Tae-seong's responsibility for treating Mother's final years as proof of his own merit. After saying the inheritance ratio felt like an insult, Tae-seong admitted why he had read his brother's silence as greed so quickly. In the remaining procedure, the validity of the will was separated from settlement of the old account trail, and Tae-seong had to sit down and confirm the substance of the help he had received first. For him, the verdict was less a defeat than a rewriting of his own memory.",裁判はユン・ジョンフの操作を軽く見なかったが、ユン・テソンが母の晩年を自分の功績の証拠のように握りしめてきた責任をより重く指摘した。テソンは、相続比率が侮辱のように感じられたと言ったうえで、弟の沈黙をすぐに貪欲と読んだ理由を認めた。残る手続きでは、遺言書の効力と古い口座の流れの精算が分けられ、テソンは先に受けていた支援の実態を確認する席に着くことになった。彼にとって判決は、敗訴というより、自分の記憶を書き直すことに近かった。,审判并没有轻看尹正厚的操纵，但更重地指出尹泰成把母亲晚年当成自己功劳证明的责任。泰成在说遗产比例像羞辱之后，也承认了自己为什么立刻把弟弟的沉默解读成贪婪。后续程序中，遗嘱效力与旧账户流水的清算被分开处理，泰成要坐下来确认自己先前接受过的帮助究竟是什么。对他来说，判决与其说是败诉，不如说更像是在重写自己的记忆。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
