row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,applied_text,applied_decision
ui-common.app.title,솔로몬의 딜레마: 진실의 무게,ソロモンのジレンマ：真実の重み,ui_i18n_message,D6,P0,ソロモンのジレンマ：真実の裁き,,a,0.98,Locked public brand_full_title in docs/localization/glossary.csv is ソロモンのジレンマ：真実の裁き; source KO also appears pre-lock.,ソロモンのジレンマ：真実の裁き,applied option_a per recommendation=a
ui-common.brand.subtitle,진실의 무게,真実の重み,ui_i18n_message,D6,P0,真実の裁き,,a,0.98,Locked brand_subtitle is 真実の裁き; current JA preserves stale subtitle.,真実の裁き,applied option_a per recommendation=a
ui-common.brand.fullTitle,솔로몬의 딜레마: 진실의 무게,ソロモンのジレンマ：真実の重み,ui_i18n_message,D6,P0,ソロモンのジレンマ：真実の裁き,,a,0.98,Locked brand_full_title mismatch.,ソロモンのジレンマ：真実の裁き,applied option_a per recommendation=a
ui-home.home.gameTitle,솔로몬의 딜레마: 진실의 무게,ソロモンのジレンマ：真実の重み,ui_i18n_message,D6,P0,ソロモンのジレンマ：真実の裁き,,a,0.98,Main home title must match locked brand_full_title.,ソロモンのジレンマ：真実の裁き,applied option_a per recommendation=a
ui-settings.settings.about.credits.title,솔로몬의 딜레마: 진실의 무게,ソロモンのジレンマ：真実の重み,ui_i18n_message,D6,P0,ソロモンのジレンマ：真実の裁き,,a,0.98,Credits title must match locked brand_full_title.,ソロモンのジレンマ：真実の裁き,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.question-method-select.body,"심문 방식을 골라주세요. [사실 추궁], [동기 탐색], [공감 접근] 중 하나면 돼요.",尋問の方法を選んでください。[事実追及]、[動機探索]、[共感接近]の中から一つ選んでみましょう。,ui_i18n_message,D6,P1,尋問の方法を選んでください。[事実追及]、[動機探索]、[共感アプローチ]の中から一つ選んでみましょう。,,a,0.92,"Tutorial uses 共感接近, but the actual UI action label is 共感アプローチ.",尋問の方法を選んでください。[事実追及]、[動機探索]、[共感アプローチ]の中から一つ選んでみましょう。,applied option_a per recommendation=a
ui-hotbar.pc.hotbar.special.separation.label,분리 심문,分離尋問,ui_i18n_message,D6,P2,個別尋問,,a,0.84,UI glossary separate_interrogation uses 個別尋問; current label is literal and less natural.,個別尋問,applied option_a per recommendation=a
ui-hotbar.pc.hotbar.special.separation.compact,분리 심문,分離尋問,ui_i18n_message,D6,P2,個別尋問,,a,0.84,Compact label should match the main mechanic label.,個別尋問,applied option_a per recommendation=a
ui-hotbar.pc.hotbar.special.separation.action,비용 1: 분리 심문 실행,コスト1：分離尋問を実行,ui_i18n_message,D6,P2,コスト1：個別尋問を実行,,a,0.84,Action copy should match the main mechanic label.,コスト1：個別尋問を実行,applied option_a per recommendation=a
ui-layout.pc.court.control.separation,분리 심문,分離尋問,ui_i18n_message,D6,P2,個別尋問,,a,0.84,Control label should match separate_interrogation glossary.,個別尋問,applied option_a per recommendation=a
ui-layout.pc.actions.dialogue.objection,이의 있습니다.,異議あり。,ui_i18n_message,D6,P2,異議あり！,,a,0.90,In-character objection bark should use the established punctuation/tone.,異議あり！,applied option_a per recommendation=a
