id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.briefing-advance.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.body,사건 개요를 확인하고 아래 시작 버튼을 눌러주세요.,"Take a look at the case overview, then tap the Start button below.",事件概要を確認したら、下の開始ボタンを押してください。,请先查看案件概要，然后点击下方的开始按钮。,KR 재작성 (존댓말 + Flicky 마스코트 톤). 명확한 행동 지시. EN/JA/ZH-CN 재번역 필요.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.initial-statement-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.body,양측의 진술을 모두 들으셨어요. [다음 진술] 버튼을 눌러 다음으로 넘어가주세요.,You've heard statements from both sides. Tap the [Next Statement] button to continue.,双方の陳述をすべて聞き終えました。[次の陳述]ボタンを押して、次へ進みましょう。,您已经听完双方的陈述了。请点击[下一陈述]按钮继续。,KR 재작성. [다음 진술] 버튼 명시. 대괄호 안 표기는 그대로 유지.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.dispute-focus-d1.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.body,심리할 쟁점을 골라주세요. 강조된 쟁점부터 시작해볼까요?,Pick an issue to examine. Let's start with the highlighted one.,審理する争点を選んでください。まずは強調表示された争点から始めてみましょう。,请选择要审理的争议点。先从高亮的争议点开始试试看吧。,KR 재작성. 친근한 안내 톤 (~볼까요?).
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.target-select-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.body,누구에게 질문할지 골라주세요. 대상에 따라 답이 달라져요.,Choose who you'd like to question. The answer will change depending on who you choose.,誰に質問するか選んでください。相手によって答えが変わります。,请选择要向谁提问。对象不同，回答也会不同。,KR 재작성. 누구에게 질문할지 명확.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.question-fact.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.body,[사실 추궁] 메뉴에서 묻고 싶은 질문을 골라주세요. 어떤 질문이든 좋아요.,"From the [Press for Facts] menu, choose any question you’d like to ask.",[事実追及]メニューから、聞いてみたい質問を選んでください。どの質問を選んでも大丈夫です。,请在[事实追问]菜单中选择想问的问题。任何问题都可以。,KR 재작성. [사실 추궁] 메뉴 명시 + 어떤 질문이든 좋다는 자유 선택 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.evidence-investigate-e2.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-investigate-e2.body,증거 카드를 눌러 자세히 살펴보세요. 단서가 추가로 드러나요.,Tap an evidence card to examine it closely. More clues will come to light.,証拠カードを押して、詳しく調べてみましょう。新しい手がかりが見えてきます。,请点击证据卡仔细查看。会有更多线索显现出来。,KR 재작성. 증거 카드 클릭 동작 명시.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.evidence-present-e2-to-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-present-e2-to-b.body,조사한 증거를 상대에게 제시해 진술을 흔들어보세요.,"Present the evidence you've examined to the other party, and see if it shakes their statement.",調べた証拠を相手に提示して、陳述を揺さぶってみましょう。,请把调查过的证据出示给对方，试着动摇对方的陈述。,KR 재작성. 조사 → 제시 흐름 연결.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.feedback-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.feedback-acknowledge.body,상대의 반응을 살펴보세요. 진술이 어떻게 흔들리는지 보여요.,Watch the other party's response. You'll see how the statement starts to waver.,相手の反応を見てみましょう。陳述がどう揺らぐのか分かります。,请看看对方的反应。你会看到陈述是如何动摇的。,KR 재작성. 상대 반응을 살피라는 명확한 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.observation-hint.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.observation-hint.body,중요한 변화는 [재판관 수첩]에 자동으로 기록돼요. 잠시 후 다음으로 넘어가요.,Important changes are recorded automatically in [Judge's Notebook]. We'll move on in a moment.,重要な変化は[裁判官ノート]に自動で記録されます。まもなく次へ進みます。,重要变化会自动记录在[法官笔记]中。稍后会进入下一步。,KR 재작성. [재판관 수첩] 위치 명시 + 자동 진행 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.tutorial-complete.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.tutorial-complete.title,준비 완료!,All Set!,準備完了！,准备就绪！,KR title 끝 ! 추가 (열기). 다국어도 동일 emphasis.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.tutorial-complete.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.tutorial-complete.body,이제 진실은 당신의 손에 달려 있어요. 직접 밝혀주세요.,Now the truth is in your hands. It's your turn to uncover it.,いよいよ真実はあなたの手に委ねられています。あなたの手で明らかにしてください。,现在，真相就掌握在你手中。请亲自揭开它。,KR 재작성. 마무리 emotional beat. 직접 밝혀달라는 요청.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.waiting-target,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.waiting-target,안내를 준비하고 있어요,Getting guidance ready…,案内を準備しています…,正在准备指引…,KR 재작성 (존댓말). 짧은 시스템 메시지.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.reopen-button,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.reopen-button,튜토리얼 안내,Tutorial Guide,チュートリアルガイド,教程指引,신규 키. 우상단 안내 재열기 pill 라벨. 메인 1차 작성.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.close-button,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.close-button,안내 접기,Close Guide,案内を閉じる,关闭指引,신규 키. 카드 (i)/X 버튼 aria-label. 메인 1차 작성.
