source_ko,en,ja,zh_cn,issue,recommendation,blocks_bulk_translation
재판관님,Your Honor,裁判官,裁判官,"EN script-only vocative form missing from `glossary.csv`. UI glossary `judge=Judge` is referential, not vocative. JA + zh-CN reuse `裁判官` as both — no extra row needed. EN intake P0 question 2.","Add row `judge_vocative,role,재판관님,Your Honor,裁判官,裁判官,...,locked,true` to `glossary.csv` OR script-glossary appendix. Lock before EN bulk.",yes
자기야,Honey,あなた,(needs decision: 老公 / 亲爱的 / omit),"3-way locale divergence. EN intake = `Honey` (locked candidate). JA intake = `あなた` (intimate accusatory; native review). zh-CN intake = needs PCT decision (`老公` / `亲爱的` / omit). High frequency in spouse-01 phase1 + mediation tone.","Codex add `glossary.csv` row per locale. zh-CN PCT decision: recommend `亲爱的` for general accusatory register; `老公` reads more colloquial-warm and may misread tone. JA `あなた` confirmed. EN `Honey` confirmed.",yes
형 (B's),(my) brother,兄,(my) 哥 (in-character A accusation only),"S5-only truth lexeme per disclosure-policy §4.1. EN intake = `(my) older brother` (forbidden in surface channels before S5). JA intake = `兄` / `実の兄` (forbidden surface). zh-CN intake = `哥` (FORBIDDEN in judge/system/dossier channels; allowed only in A's in-character accusation register per phase1 line 31 — `당신 형님` = `您哥`).","Per-locale forbidden-lexeme block in disclosure-policy: `brother` / `older brother` / `my brother` (EN), `兄` / `実の兄` (JA), `哥` / `亲哥` / `他哥` / `丈夫的哥哥` (zh-CN). Negative validator: must appear in S5 confessions. Positive validator: must NOT appear in pre-S5 surface channels EXCEPT A's accusation tone in phase1 (whitelist that specific entry).",yes
조카,nephew (gender-split 필수),甥,侄子,"All 3 intakes flag as critical S5-only truth lexeme. EN: gender-neutral KO `조카` must include both `nephew` and `niece` in forbidden list (paraphrase guard catches both). spouse-01 specifies `중2` nephew. JA `甥` direct. zh-CN `侄子` direct (gender-marked).","EN forbidden block includes both `nephew` + `niece`. Add `cousin` for `사촌` paraphrase variants. JA + zh-CN single-form. All 3 locales: forbidden in surface channels before S5; required in S5 confession + aftermath.",yes
중2 / 중학생 조카,middle-school nephew (eighth-grader),中学2年生,初二 / 中学二年级,"spouse-01 §4.1 ★ specific. EN intake row 17 = `eighth-grader (US)` or `second-year middle school`. JA = `中学2年生`. zh-CN intake mediation pilot row 14 = `初二 / 中学二年级` 둘 다 사용 (literal preference 初二).","Lock per locale: EN `middle-school nephew` + `eighth-grader`; JA `中学2年生`; zh-CN `初二 / 中学二年级` (both acceptable). All forbidden in surface before S5.",yes
오피스텔,studio apartment,オフィステル,公寓,"EN: no clean equivalent. `studio apartment` chosen (avoids `condo / flat / hotel-room`). JA: `オフィステル` (loanword). zh-CN: `公寓` (general apartment). Cultural register loss in EN/zh-CN.","Lock per locale. Document in script-glossary that `오피스텔` carries `apartment-cum-discrete-space` connotation absent from EN/zh-CN; surface-only context. Translator note: `오피스텔` is surface-vocab; never carries truth lexeme on its own.",no
공동 적금,joint savings account,共同貯蓄,共同存款,"EN: `joint savings account` (locked candidate; 적금 = installment savings, but the implied lock is preserved by `joint`). JA: `共同貯蓄` (no exact JA `적금` equivalent; compact form chosen). zh-CN: `共同存款` (proposed candidate).","Lock per locale. Surface-only. spouse-01 d-2 anchor + e-7 surface label.",no
위임장,power of attorney,委任状,委托书,"S5-only truth lexeme. spouse-01 h-d3 = forged 위임장. EN locked. JA `委任状`. zh-CN `委托书`.",Per-locale forbidden block: `power of attorney` / `委任状` / `委托书`. Allowed in S5 + aftermath + emotional_overload (S4+).,yes
위임장 조작 / 投資詐欺 / 投资诈骗,"forged power of attorney / investment fraud","委任状の偽造 / 投資詐欺",委托书伪造 / 投资诈骗,All locales: S5-only. zh-CN row 11 of TRUTH_BOUNDARY_RISKS: must remain blocked in zh-CN judge channels until NPC S5.,Per-locale forbidden block.,yes
개인 비자금,personal slush fund,個人の隠し財産,个人小金库,"EN: `slush fund` (right secrecy connotation). JA: `個人の隠し財産`. zh-CN: `个人小金库`. spouse-01 d-2 anchor.",Lock per locale. Surface-allowable (spouse uses it as B's chosen self-incriminating word in mediation per disclosure-policy §3.3 mid-band).,no
판결,Verdict,判決,裁决 (process) / 判决 (record),"zh-CN locale split per restart-thread-05 P1: `裁决` for action/process (brand-aligned with `真相裁决`); `判决` for record/static (`判决记录`). EN/JA single form. Glossary line 28 needs locale-specific note.","Add note to glossary row 28: `zh-CN renders 判决 for record/static contexts and 裁决 for process/action`. No value change, note only. Script translator must distinguish channel + tense.",no
真相 / Truth,Truth,真相,真相,"JA UI restart-05 P1: glossary `truth=真相` (locked). KO source uses 진실 (preferred) and 真実 (older draft). Script JA must use `真相` consistently per glossary.",JA translator must use `真相` (NEVER `真実`) across script. Add validator that flags `真実` occurrences in JA locale files.,no
체념,Resigned,諦観,认命,"All 3: glossary status `needs-rework`. EN `Resigned` (locked candidate). JA `諦観` vs `諦め` — JA intake recommends `諦観` per glossary. zh-CN `认命` (locked, NOT `放弃` / `默许`).",Promote glossary row to `draft`. JA + zh-CN content already locked; native review can confirm later.,no
이의 있습니다 (objection_bark),Objection!,異議あり！,反对！,"3-tier rendering per restart-05 P1 row: UI noun (`异议` etc.) / button verb (`Raise Objection` / `提出异议`) / spoken bark. Script files use `objection_bark` channel for in-character lines.","Lock per locale. Script `objection_bark` channel routes through dialogue addDialogue → run `check:policy` after locale bulk per restart-05 P1.",no
즉답 요구,Demand Answer,即答要求,即答要求,UI glossary already locked.,Reuse UI glossary value. Script consistent.,no
사정이 있다,it's complicated / there are reasons,事情がある,有事情,"S0–S2 paraphrase evasion. EN intake row 29 (`Confirm tone with reviewer per scene`). JA + zh-CN literal preserved. Forbidden-paraphrase variant of `가족 사정`.","Per-locale paraphrase block: forbidden surface in spouse-01 S0–S2 if extended into `family-related` paraphrase (`it's a family thing` / `家族の事情` / `家里的事情`). Allowed if generic.",yes (when paraphrased toward family)
가족 사정 / 가족을 돌본 / 가족의 한 사람 / 혈육 / 친 가족,"family matter / family business / a member of the family / blood-relation / blood relatives","家族の事情 / 家族の世話 / 家族の一員 / 身内 / 実の家族","家里的事情 / 照顾家人 / 家人 / 血亲 / 至亲","CRITICAL — disclosure-policy.md §4.1 spouse-01 paraphrase set + §4.2 family-01 paraphrase set + §4.3 friend-01 paraphrase set. JA TRUTH_BOUNDARY_RISKS row 9: JA literal inherits the same leak risk; without explicit JA paraphrase set, JA bulk translation will silently re-introduce leaks. zh-CN row 16: same. EN intake glossary rows 30+39+40+41+42+43+48: same.","Per-locale paraphrase block per case in disclosure-policy. Author EN/JA/zh-CN equivalents BEFORE bulk pass. Recommended JA surface-allowed alternatives: `身内の件` / `事情のある相手` / `第三者への私的な対応` (per JA intake row 9). zh-CN: `家庭事务` / `亲属事务` (per zh-CN intake glossary).",yes
형 빚 / 형 명의 / 형의 오피스텔 / 형에게 전달,"brother's debt / in brother's name / brother's studio apartment / handed (cash) to brother","兄の借金 / 身内の借金 / 兄の名義 / 兄のオフィステル / 兄に現金で渡した","哥哥的债务 / 哥哥名下 / 哥哥的公寓 / 交给哥哥",spouse-01 truth-channel forbidden lexemes per disclosure-policy §4.1 globalTruthLexemes.,Per-locale forbidden block. All forbidden in surface channels; required in S5 confession + aftermath.,yes
유서 / 유서를 손댄 / 유서를 고친 / 유서를 바꾼,"will / tampered with the will / altered the will / changed the will","遺書 / 遺書を書き換えた / 遺書を改ざんした","遗嘱 / 动过遗嘱 / 改过遗嘱 / 修改了遗嘱",family-01 paraphrase set per disclosure-policy §4.2. EN intake row 13+44. zh-CN intake row 16 critical: Korean `문서를 손으로 고친` maps to multiple zh-CN forms.,Per-locale paraphrase block. Family-01 has highest paraphrase density (14 P1 zh-CN findings) — block bulk family-01 zh-CN until paraphrase blocklist authored.,yes
20년 동안 매달 보낸 / 20년 간 송금 / 어머니 통장으로 정기적으로,"20 years of monthly transfers / two-decade remittance","20年来毎月送金 / 20年間の送金","二十年来每月寄 / 二十年间汇款 / 长期资助",family-01 truth + paraphrase set. EN row 45. zh-CN row 21 abstracted form.,Per-locale forbidden + paraphrase block.,yes
60대 40 / 60대40 / 40 대 60 / 4 대 6,"60-40 / 60/40 / 60 to 40 / 40 to 60",60対40 / 4対6,六比四 / 六四开,family-01 will ratio paraphrase variants. EN intake row 46.,"Per-locale forbidden block with all paraphrase variants (literal numerics + word forms + reverse 40-60). EN: `60-40`, `60/40`, `60 to 40`, `forty-sixty`, etc.",yes
출생 비밀 / 혈연이 다른 / 친생자 / 친자 관계,"birth secret / parentage secret / unrelated by blood / not blood-related / biological child","出生の秘密 / 血縁が違う / 実子",出生秘密 / 血缘不同 / 血亲不同 / 亲生子,family-01 truth + paraphrase set. EN rows 47+48.,Per-locale forbidden block.,yes
선을 넘는 메시지 / 선을 넘은 말,"inappropriate message / out-of-line message / crossing the line",一線を越えるメッセージ / 一線を越えた発言,越界的消息 / 越界的话,friend-01 truth + paraphrase set per disclosure-policy §4.3. EN row 49.,Per-locale forbidden + paraphrase block.,yes
아버지의 사기 / 아버지가 가져간 / 같은 패턴 반복 / 같은 방식으로 돈 얘기,"father's fraud / father's scam / father took / same pattern repeating",父親の詐欺 / 父が取った / 同じパターンの繰り返し,父亲的诈骗 / 父亲拿走 / 反复同样的方式 / 父亲又开口要钱,friend-01 truth + paraphrase set per disclosure-policy §4.3. EN rows 51+52. zh-CN rows 22+17.,Per-locale forbidden + paraphrase block.,yes
거절했다는 / 거절한 사실,"(she) refused / the refusal","拒絶した / 拒絶した事実",曾拒绝 / 拒绝过的事实,friend-01 D2-A-12 catch — judge channel only forbidden. NPC `저는 거절했습니다` allowed.,Per-locale forbidden block (judge-channel scope only). Whitelist NPC self-statement in S3+ surface channels.,yes (judge-only)
