id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].text,"판결 뒤 박지연은 오래 고개를 들지 못했다. 이준호의 숨김이 가벼운 잘못은 아니었지만, 재판관은 위임장 조작과 투자 사기 송금을 더 무겁게 보았다. 이준호는 형과 조카 이야기를 더는 숨기지 않겠다고 했고, 박지연은 잃은 돈보다 먼저 무너진 신뢰를 어떻게 감당할지 마주하게 되었다.","After the verdict, Park Ji-yeon could not raise her head for a long time. Lee Jun-ho's concealment was not a minor wrong, but the Judge treated the power of attorney manipulation and the investment-scam transfer as heavier. Lee Jun-ho said he would no longer hide the matter of his older brother and nephew, and Park Ji-yeon had to face how she would bear the trust that had collapsed before the lost money.",判決の後、パク・ジヨンは長いあいだ顔を上げられなかった。イ・ジュノの隠蔽は軽い過ちではなかったが、裁判官は委任状の操作と投資詐欺への送金をより重く見た。イ・ジュノは兄と甥の話をこれ以上隠さないと言い、パク・ジヨンは失った金より先に崩れた信頼をどう受け止めるのかに向き合うことになった。,裁决之后，朴智妍很久都无法抬头。李俊浩的隐瞒并不是轻微过错，但法官把委托书操纵和向投资诈骗转账看得更重。李俊浩说不再隐瞒哥哥和侄子的事，朴智妍则不得不面对，比失去的钱更早崩塌的信任要如何承受。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].text,"법정이 정리된 뒤에도 부부는 곧바로 서로를 보지 못했다. 재판관은 가족을 위한 침묵보다 문서를 조작하고 공동 적금을 빼낸 선택이 더 치명적이었다고 판단했다. 이준호는 형 문제를 공개적으로 정리하겠다고 했고, 박지연은 자신의 불안이 범죄가 된 순간을 되돌아보며 천천히 자리를 떴다.","Even after the courtroom was cleared, the couple could not look at each other right away. The Judge judged that manipulating documents and taking money out of the joint savings account was more fatal than silence kept for family. Lee Jun-ho said he would openly settle his older brother's matter, and Park Ji-yeon slowly left her seat while looking back on the moment when her anxiety became a crime.",法廷が片づいた後も、夫婦はすぐには互いを見ることができなかった。裁判官は、家族のための沈黙より、文書を操作して共同積立預金を引き出した選択のほうが致命的だったと判断した。イ・ジュノは兄の問題を公に整理すると言い、パク・ジヨンは自分の不安が犯罪になった瞬間を振り返りながら、ゆっくり席を立った。,法庭整理完毕后，这对夫妻仍无法立刻看向彼此。法官判断，比起为了家人的沉默，操纵文件并取走共同储蓄账户款项的选择更致命。李俊浩说会公开整理哥哥的问题，朴智妍则回望自己的不安变成犯罪的那一刻，慢慢离开了座位。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].text,"박지연은 위임장 조작과 투자방 송금 손실을 인정한 뒤 별도 처분 절차를 받아들였다. 뒤늦게 형과 조카 사정을 들은 그는 외도 의심이 전부였던 시간도 다시 보게 되었지만, 그 불안이 서류 조작으로 이어진 책임은 사라지지 않았다. 이준호는 침묵이 오해를 키운 단초였음을 인정했고, 두 사람은 관계를 다시 세울지 이혼 절차로 갈지 상담을 통해 정하기로 했다.","After admitting the power of attorney manipulation and the loss from the investment chat transfer, Park Ji-yeon accepted a separate disposition procedure. After belatedly hearing the circumstances of Lee Jun-ho's older brother and nephew, she also had to revisit the time when suspicion of an affair had been everything, but the responsibility for letting that anxiety lead to document manipulation did not disappear. Lee Jun-ho admitted that his silence had been the starting point that grew the misunderstanding, and the two decided through counseling whether to rebuild their relationship or move toward divorce proceedings.",パク・ジヨンは委任状の操作と投資チャットへの送金損失を認めた後、別途の処分手続きを受け入れた。遅れて兄と甥の事情を聞いた彼女は、不倫の疑いがすべてだった時間も見直すことになったが、その不安が文書操作につながった責任は消えなかった。イ・ジュノは沈黙が誤解を大きくした端緒だったと認め、二人は関係を立て直すのか離婚手続きへ進むのかを相談を通じて決めることにした。,朴智妍承认委托书操纵和投资群转账损失后，接受了另行处分程序。她迟迟听到哥哥和侄子的情况后，也重新审视了那段只剩出轨怀疑的时间，但那份不安走向文件操纵的责任并不会消失。李俊浩承认沉默是误会扩大的开端，两人决定通过咨询来决定是重建关系，还是走向离婚程序。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v4].text,"판결 뒤 박지연에게 남은 건 잃은 돈보다 서명 한 줄의 무게였다. 재판관은 이준호가 피한 점과 가족 사정을 숨긴 점을 짚었지만, 공동 적금을 해지하려고 위임장을 꾸민 선택을 더 무겁게 기록했다. 이준호는 형 문제를 더는 부부 밖에 숨기지 않겠다고 약속했고, 박지연은 사과와 피해 회복 계획을 먼저 내놓아야 했다.","After the verdict, what remained for Park Ji-yeon was the weight of one line of signature more than the money she had lost. The Judge pointed out Lee Jun-ho's avoidance and his concealment of family circumstances, but recorded as more serious the choice to fabricate a power of attorney to close the joint savings account. Lee Jun-ho promised not to keep the issue of his older brother hidden outside the marriage anymore, and Park Ji-yeon first had to present an apology and a plan to repair the harm.",判決の後、パク・ジヨンに残ったのは、失った金よりも署名一行の重みだった。裁判官はイ・ジュノが避けた点と家族の事情を隠した点を指摘したが、共同積立預金を解約するために委任状を作った選択をより重く記録した。イ・ジュノは兄の問題をこれ以上夫婦の外に隠さないと約束し、パク・ジヨンはまず謝罪と被害回復計画を示さなければならなかった。,裁决之后，留给朴智妍的不是失去的钱，而是一行签名的重量。法官指出李俊浩回避问题、隐瞒家人情况，但更重地记录了她为了取消共同储蓄账户而伪造委托书的选择。李俊浩承诺不再把哥哥的问题藏在夫妻关系之外，朴智妍则必须先提出道歉和损害恢复计划。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v5].text,"박지연은 끝까지 자신도 버림받을까 두려웠다고 말했지만, 판결은 그 두려움이 범죄의 방패가 될 수 없다고 정리했다. 이준호는 형과 조카 일을 숨긴 책임을 인정하며 시댁 갈등을 따로 정리하겠다고 했다. 부부는 한동안 별거하며 공동재산 회복과 형사 절차를 분리해 진행하기로 했다.","Park Ji-yeon said to the end that she had been afraid she too would be abandoned, but the verdict concluded that fear could not become a shield for crime. Lee Jun-ho acknowledged his responsibility for hiding the matter of his older brother and nephew, and said he would separately settle the conflict with his in-laws. The couple decided to live apart for a while and proceed with recovery of joint property separately from the criminal proceedings.",パク・ジヨンは最後まで、自分も見捨てられるのが怖かったと言ったが、判決はその恐れが犯罪の盾にはなりえないと整理した。イ・ジュノは兄と甥の件を隠した責任を認め、義実家との葛藤は別に整理すると言った。夫婦はしばらく別居し、共同財産の回復と刑事手続きを分けて進めることにした。,朴智妍直到最后都说，自己也害怕被抛弃，但裁决整理为那份恐惧不能成为犯罪的盾牌。李俊浩承认隐瞒哥哥和侄子之事的责任，并表示会另行整理与婆家的矛盾。这对夫妻决定暂时分居，把共同财产恢复和刑事程序分开推进。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v1].text,"재판관은 이준호가 비자금과 형 문제, 3,000만 원 출금을 계속 숨긴 점을 더 큰 파열로 판단했다. 박지연의 위임장 조작은 명백한 잘못이었지만, 그 이전부터 이어진 침묵이 가정을 무너뜨렸다고 본 것이다. 판결 뒤 이준호는 처음으로 형과 조카의 사정을 모두 설명했고, 박지연은 울음을 삼키며 그 말을 들었다.","The Judge treated Lee Jun-ho's continued concealment of his hidden fund, his older brother's issue, and the ₩30M withdrawal as the greater rupture. Park Ji-yeon's power of attorney manipulation was an obvious wrong, but the Judge viewed the silence that had continued before it as what broke the household. After the verdict, Lee Jun-ho explained for the first time all the circumstances of his older brother and nephew, and Park Ji-yeon listened while swallowing her tears.","裁判官は、イ・ジュノが隠し資金と兄の問題、3,000万ウォンの出金を隠し続けた点をより大きな亀裂と判断した。パク・ジヨンの委任状操作は明白な過ちだったが、それ以前から続いた沈黙が家庭を崩したと見たのである。判決の後、イ・ジュノは初めて兄と甥の事情をすべて説明し、パク・ジヨンは涙をのみ込みながらその言葉を聞いた。",法官把李俊浩继续隐瞒私房钱、哥哥的问题和3000万韩元取款一事，判断为更大的裂痕。朴智妍操纵委托书是明确的错误，但法官认为在那之前持续的沉默才让家庭崩塌。裁决之后，李俊浩第一次说明了哥哥和侄子的全部情况，朴智妍则忍住眼泪听着那些话。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v2].text,"승패가 갈린 뒤에도 분위기는 무겁게 가라앉아 있었다. 재판관은 박지연의 범행을 꾸짖으면서도, 그 배경을 만든 것은 이준호의 오랜 비밀과 일방적인 자금 집행이라고 짚었다. 이준호는 늦게라도 모든 사정을 털어놓았고, 박지연은 그 설명을 듣고도 쉽게 용서하지 못한 채 한참을 침묵했다.","Even after the winner and loser were decided, the atmosphere remained heavily subdued. The Judge reprimanded Park Ji-yeon's crime, but also pointed out that the background had been created by Lee Jun-ho's long-held secrets and unilateral use of funds. Lee Jun-ho finally laid out all the circumstances, and Park Ji-yeon remained silent for a long time, unable to forgive him easily even after hearing the explanation.",勝敗が分かれた後も、空気は重く沈んだままだった。裁判官はパク・ジヨンの犯行を叱責しつつも、その背景を作ったのはイ・ジュノの長い秘密と一方的な資金執行だと指摘した。イ・ジュノは遅れてでもすべての事情を打ち明け、パク・ジヨンはその説明を聞いても簡単には許せないまま、長いあいだ沈黙した。,胜负分出之后，气氛仍然沉重地沉了下来。法官斥责了朴智妍的犯罪行为，同时也指出，造成背景的是李俊浩长期的秘密和单方面的资金执行。李俊浩迟来地吐露了所有情况，朴智妍听完说明后也无法轻易原谅，沉默了许久。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v3].text,"이 결과에서 재판관은 사건의 시작을 이준호의 침묵과 비자금을 숨긴 것으로 보았다. 박지연의 적금 문제는 별도 책임으로 남았지만, 이준호가 형 사정과 현금 전달을 계속 숨기며 외도처럼 보이게 만든 점이 더 크게 잡혔다. 그는 뒤늦게 형과 조카 이야기를 모두 꺼냈고, 박지연은 그 설명을 들으면서도 이미 무너진 신뢰 앞에서 쉽게 고개를 들지 못했다.","In this result, the Judge saw the beginning of the case in Lee Jun-ho's silence and concealment of the hidden fund. Park Ji-yeon's savings issue remained a separate responsibility, but Lee Jun-ho's continued concealment of his older brother's circumstances and cash delivery, which made the situation look like an affair, weighed more heavily. He belatedly brought out the whole story of his older brother and nephew, and Park Ji-yeon, even as she listened to the explanation, could not easily raise her head before the trust that had already collapsed.",この結果で、裁判官は事件の始まりをイ・ジュノの沈黙と隠し資金の秘匿に見た。パク・ジヨンの積立預金問題は別の責任として残ったが、イ・ジュノが兄の事情と現金の受け渡しを隠し続け、不倫のように見せた点がより大きく扱われた。彼は遅れて兄と甥の話をすべて切り出し、パク・ジヨンはその説明を聞きながらも、すでに崩れた信頼の前で簡単には顔を上げられなかった。,在这个结果中，法官把案件的开端看作李俊浩的沉默和私房钱隐瞒。朴智妍的储蓄问题仍作为另行责任保留，但李俊浩持续隐瞒哥哥的情况和现金交付，让事情看起来像出轨，这一点被看得更重。他迟迟才把哥哥和侄子的故事全都说出来，朴智妍一边听着说明，一边仍在已经崩塌的信任面前难以抬头。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v4].text,"법정은 박지연의 불안이 혼자 생겨난 것이 아니라고 보았다. 이준호가 오피스텔 방문, 새벽 통화, 3,000만 원 현금 전달을 모두 늦게 말한 탓에 의심이 결혼 전체를 삼켰다는 판단이었다. 판결 뒤 이준호는 집안 사정을 처리하는 일과 배우자에게 숨기는 일을 더는 같은 말로 묶지 않겠다고 했고, 박지연은 남은 절차를 지켜보며 이혼 여부를 따로 결정하기로 했다.","The court saw that Park Ji-yeon's anxiety had not arisen on its own. It was a judgment that suspicion swallowed the entire marriage because Lee Jun-ho disclosed the officetel visit, the early-morning call, and the ₩30M cash delivery all too late. After the verdict, Lee Jun-ho said he would no longer bundle handling household affairs and hiding things from his spouse into the same words, and Park Ji-yeon decided to watch the remaining procedures and decide separately whether to divorce.","法廷は、パク・ジヨンの不安がひとりで生まれたものではないと見た。イ・ジュノがオフィステル訪問、早朝の通話、3,000万ウォンの現金受け渡しをすべて遅れて話したために、疑いが結婚全体をのみ込んだという判断だった。判決の後、イ・ジュノは家の事情を処理することと配偶者に隠すことをこれ以上同じ言葉でまとめないと言い、パク・ジヨンは残る手続きを見守りながら離婚するかどうかを別に決めることにした。",法庭认为，朴智妍的不安并不是独自产生的。法庭判断，因为李俊浩把韩式商住公寓探访、凌晨通话和3000万韩元现金交付都说得太晚，怀疑才吞没了整段婚姻。裁决之后，李俊浩说不会再把处理家里事情和对配偶隐瞒这两件事混成同一句话，朴智妍则决定看完剩余程序后，再另行决定是否离婚。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v5].text,"이준호에게 더 무거운 책임이 돌아간 결말에서도 박지연의 행동이 깨끗해진 것은 아니었다. 다만 재판관은 먼저 침묵을 만들고 돈의 행방을 감춘 사람이 이준호였다는 점을 선명하게 적었다. 그는 형을 돕는 선의만 내세우던 태도를 접고, 박지연 앞에서 자신이 무엇을 숨겼는지 순서대로 설명해야 했다.","Even in the ending where heavier responsibility returned to Lee Jun-ho, Park Ji-yeon's actions did not become clean. However, the Judge wrote clearly that the person who first created the silence and hid the whereabouts of the money was Lee Jun-ho. He had to drop the attitude of putting forward only the good will of helping his older brother, and explain to Park Ji-yeon in order exactly what he had hidden.",イ・ジュノにより重い責任が戻った結末でも、パク・ジヨンの行動が潔白になったわけではなかった。だが裁判官は、先に沈黙を作り、金の行方を隠した人間がイ・ジュノだった点を明確に記した。彼は兄を助ける善意だけを掲げる態度をやめ、パク・ジヨンの前で自分が何を隠したのかを順番に説明しなければならなかった。,即使在更重责任落到李俊浩身上的结局中，朴智妍的行为也并没有变得清白。只是法官清楚写下，先制造沉默并隐瞒钱款去向的人是李俊浩。他必须放下只强调帮助哥哥善意的态度，在朴智妍面前按顺序说明自己到底隐瞒了什么。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
