priority,locale,path_or_surface,issue,recommendation
P0,all,disclosure-policy.md per-locale forbidden + paraphrase + surfaceMap blocks,"Tier 3 guard / check:policy operates on KO lexemes only. EN/JA/zh-CN bulk translation will silently re-introduce truth leaks (`my brother` / `兄` / `亲哥`, paraphrase variants like `family matter` / `身内の件` / `家人之事`) that pass the KO guard but fail the gameplay rule. All 3 intake threads flagged this as the top P0 blocker (EN SUMMARY Q5+Q8 / JA SUMMARY Q2 / zh-CN SUMMARY Q7+Q8).","Codex extends `src/data/disclosurePolicy/{spouse-01,family-01,friend-01}.json` with `forbiddenLexemes.{en,ja,zh-CN}` + `paraphraseLexemes.{en,ja,zh-CN}` + `surfaceMap.{en,ja,zh-CN}` blocks. Schema sign-off + content authoring BEFORE any locale bulk pass. Author content from disclosure-policy.md §4.1/§4.2/§4.3 cross-walked with intake glossary candidates."
P0,all,`scripts/qa-free-interrogation-policy.mjs` + `npm run check:policy` not locale-aware,"Wrapper currently runs once against KO source. Locale overlays will not be checked unless wrapper accepts `--locale` and walks the locale-specific file tree + per-locale forbidden/paraphrase blocks. Without this, locale-side leaks ship undetected. EN+JA+zh-CN intakes all require this before bulk.","Extend wrapper: `npm run check:policy --locale=en|ja|zh-CN` runs the same gates against the locale-overlay files using the per-locale lexeme block. Build wrapper FIRST (with empty locale blocks) so it runs green on KO-only, then translation populates blocks + locale files in tandem. Order = wrapper before content."
P0,all,Storage architecture not unified across 3 intakes,"EN proposed Option B (sibling `*.en.json` next to KO source). JA proposed Option A (sibling `*.ja.json` — same shape). zh-CN proposed Option 1 (parallel tree under `src/data/locales/zh-CN/`). EN+JA agree on sibling files; zh-CN prefers separate tree. Without a single decision, Codex cannot scaffold loaders and locale glob patterns diverge across locales.","PROJECT_CONTROL_TOWER pick one for ALL 3 locales. Recommend EN+JA pattern: sibling `<file>.<locale>.json` next to KO source (`scriptedText/spouse-01.json` + `scriptedText/spouse-01.en.json` + `.ja.json` + `.zh-CN.json`). Reasons: 2-of-3 thread agreement, minimal loader churn, KO/locale per-file diff readability, matches existing `import.meta.glob` patterns in `mediationScriptLoader.ts` and friends. Document in single `IMPLEMENTATION_PLAN_FOR_CODEX.md` and apply uniformly."
P0,all,`behaviorHint` translation policy not unified across 3 intakes,"EN says KEEP KO across all locales (default). JA accepts KO fallback for v1 (translation optional / cost-doubling). zh-CN pilot translated `behaviorHint` for demonstration but recommends grep audit first. The field is labelled `writer/director note` in `src/types/scriptedText.ts`; runtime grep needed to confirm zero player-visible consumers. Without a single decision, locale volume estimates diverge by 50% (EN ~42,800 vs zh-CN ~84,000).","Codex audit: `grep -rn 'behaviorHint' src/engine src/components src/hooks src/utils` to confirm runtime usage. If only writer/dev tooling consumes it → lock as KO-only across all locales (EN's default). If LLM prompt / fallback resolver reads it → translate per locale. Recommend KO-only based on type comment and EN intake recommendation. Cuts bulk volume ~50%."
P0,en+ja+zh-CN,`dialogues/phase1/spouse-01.json` line `부모님 재산을 형이 다 날린 걸 ~ 숨기고`,"JA intake CRITICAL flag: A names B's `형` (older brother) as a phase1 surface accusation while spouse-01 hidden truth is a different 형-related fact (B caring for nephew at brother's apartment after brother's bankruptcy). KO arguably tolerates because it is A's accusation register about a separate event, but JA literal `兄が両親の財産を全部失った` could conflate with hidden truth. zh-CN intake also flags as `high` for similar reason at index 14. EN intake did NOT flag — possible blind spot in EN review.","Disclosure-policy author + CT-Main review the KO line itself before any locale bulk pass. Decision options: (a) keep KO line + lock locale paraphrase to `husband's family side / 義実家の問題 / 丈夫家里的事` (no `형`/`兄`/`哥`), (b) edit KO line to remove `형` mention (treat as authored leak per disclosure-policy.md §13.1), (c) accept as in-character A-accusation register and add audit pass to `check:policy` confirming downstream variants do not echo the lexeme. Block bulk JA/zh-CN until decided. EN should mirror chosen approach."
P0,all,Active mediation = `spouse-v3-01.json` via versioned alias — NOT `spouse-01.json`,"All 3 intakes confirmed `mediationScriptLoader.ts` resolves `spouse-01` via the versioned alias rule to `spouse-v3-01.json`. Original Thread-04 prep memo flagged `mediation/spouse-01.json` as missing — RESOLVED. But: family-01 and friend-01 mediation files were inferred to be `family-v3-01.json` / `friend-v3-01.json` by zh-CN intake but not strictly verified by EN/JA in the review tables. Bulk pass on the wrong file = wasted translation.","Codex confirm in `mediationScriptLoader.ts` the actual versioned-alias map for all 3 active cases (one-line grep). Lock localize scope to those 3 specific files only. Treat all other 120+ mediation files (`civic-*`, `headline-*`, `neighbor-*`, `online-*`, `partnership-*`, `professional-*`, `tenant-*`, `workplace-*`, `family-{05,09,new-*}`, `friend-{03,07,new-*}`, `spouse-{05,11,12,new-*}`, `spouse-v2-01.json`) as `exclude_legacy`."
P0,all,TS modules `witnessTestimonyData/{case}.ts` / `evidencePresentationScripts.ts` / `confessionScripts.ts` / `combinationComments.ts` block bulk locale work,"All 3 intakes flag: locale strings cannot be added without either editing the TS source (CT-Main change-control scope per memory `feedback_baseline_anchor_scripted_text.md`) or migrating to JSON sidecars. EN intake says EN translation MUST NOT happen until migration lands. JA accepts KO fallback. zh-CN proposes either JSON conversion or `getLocaleString(...)` accessor. Without a unified decision, EN/JA/zh-CN partial coverage creates `unknown locale fallback` runtime cases.","Codex migrate the 4 modules to JSON-sidecar pattern BEFORE bulk locale pass: extract data to `src/data/witnessTestimonyData/{case}.ko.json` / `src/data/evidencePresentationScripts.ko.json` / `src/data/confessionScripts.ko.json` / `src/data/combinationComments.ko.json` and convert each TS module to a thin loader (per EN intake §4 plan). Keep exported function signatures stable — callers untouched. After migration, locale sidecars `*.en.json` / `*.ja.json` / `*.zh-CN.json` follow the same overlay rule as scriptedText. Locks: callers do not change shape, baseline anchor `baseline-pre-policy-v3` not affected (KO content bytes preserved), confessionScripts content stays S5-licensed."
P0,en,`pcHomeShared.ts:134` PC_HOME_INTRO_SLIDES KO hardcode also leaks `현대판 솔로몬` in EN context,"UI restart-thread-05 already flagged this as P0 row 2. Script Thread-04 cross-check: this is UI-side but interacts with locked brand rule (EN must avoid `Solomon` per restart-05). If not promoted to i18n before EN script bulk lands, EN player sees raw KO Korean text containing the KO `솔로몬` framing while courtroom dialogue uses `Verdict Zero` brand — register mismatch.","Sequence: restart-thread-05 P0-1 (`pc.home.intro.slide.*` keys) lands before EN script bulk pass. zh-CN must also avoid `所罗门`. KO + JA may keep Solomon metaphor. This is in UI-i18n scope, not script scope, but it must clear before script EN bulk to avoid surface conflict."
P0,all,`evidence.name` (truth) vs `evidence.surfaceName` (UI) — translator must produce TWO distinct strings,"All 3 intakes flagged this as critical. zh-CN intake row 17 (P0) provides explicit example: `evidence.e-4.name = 形 文字 스레드` MUST translate to `与哥哥的短信对话` (engine-internal, never UI) AND `surfaceName = 발신자 미상 문자` MUST translate to `未知发件人的短信` (UI surface). If a build pipeline or translator confuses these, hidden truth surfaces system-wide. EN intake row 12 says do NOT translate `evidence.name` in this pass at all — translate only `surfaceName`. JA implicit in row 11.","Decide truth-channel mirror policy: (a) translate ONLY `surfaceName` per locale (skip `evidence.name`); rely on KO `evidence.name` for engine reads — simplest, lowest leak risk, EN's recommendation. (b) translate BOTH but enforce field-level audit (validator fails if `name == surfaceName` after translation, fails if any UI component reads `.name`). zh-CN's recommendation. Recommend (a) for v1. If Tier 3 LLM Guard ever runs locale-side, escalate to (b) under per-locale lexeme block."
P0,all,`uiSurfaceMap` per-locale equivalents must be authored before bulk bulk translation,"disclosure-policy.md §4.1/§4.2/§4.3 lists ~10 KO `uiSurfaceMap` rows for spouse-01 alone (e.g. `combinationLab.outputs.dc-2.judgeHint` truth → surface). zh-CN intake row 19+20 lists explicit zh-CN abstraction examples. EN intake row 13 names this critical. JA intake's `dialogues/phase1` line 4 inherits the same risk. Without locale-side `uiSurfaceMap`, translator may follow the truth-bearing KO field instead of the surface form, producing a system-wide leak.","Codex: extend `disclosurePolicy/{caseId}.json` (scope of P0-1) with per-locale `uiSurfaceMap.{en,ja,zh-CN}` block carrying surface-form translation per field. Script translator's contract: for any field listed in `uiSurfaceMap`, source = locale `uiSurfaceMap` surface text, NOT the raw KO truth string from `cases/generated/{case}.json`."
