source_file,source_text,proposed_key,english_text,notes
src/components/pc/home/pcHomeShared.ts:134,현대판 솔로몬이 되어 갈등을 해결해주세요.,pc.home.intro.slide.digitalCourt.title,Step onto the bench and untangle every dispute yourself.,"P0 brand collision. KO copy uses 솔로몬 metaphorically. EN translation MUST drop Solomon per restart rules. Proposed EN avoids any Solomon/Project_Solomon reference and stays brand-clean (Verdict Zero / Trial of Truth allowed)."
src/components/pc/home/pcHomeShared.ts:135,"질문, 증거, 판단을 연결하며 서로 다른 진실을 가려내는 모의 재판 게임입니다.",pc.home.intro.slide.digitalCourt.body,A mock-trial deduction game where questions, evidence, and judgment converge on the truth.,Companion body for slide 1. needs_native_review.
src/components/pc/home/pcHomeShared.ts:139,옳고 그름 보다 어긋난 진실에 집중하세요.,pc.home.intro.slide.conflict.title,Focus on the truths that don’t match — not on right or wrong.,Slide 2 title. needs_native_review.
src/components/pc/home/pcHomeShared.ts:140,"감정과 기록, 침묵과 변명, 계산과 오해가 서로 다른 얼굴을 드러냅니다.",pc.home.intro.slide.conflict.body,"Feeling, records, silence, excuses, calculation, and misunderstanding all wear different faces.",Slide 2 body.
src/components/pc/home/pcHomeShared.ts:144,"질문하고, 증거를 제시하고, 흐름에 집중해주세요.",pc.home.intro.slide.interrogation.title,"Ask, present, and stay with the flow of the trial.",Slide 3 title.
src/components/pc/home/pcHomeShared.ts:145,"중요한 것은 정보의 양이 아니라, 파편화 된 단서의 연결입니다.",pc.home.intro.slide.interrogation.body,What matters is not the volume of information but how the fragments connect.,Slide 3 body.
src/components/pc/home/pcHomeShared.ts:149,첫 사건이 당신을 기다리고 있습니다!,pc.home.intro.slide.ready.title,Your first case is waiting.,Slide 4 title. Drop the exclamation for Steam-PC tone.
src/components/pc/home/pcHomeShared.ts:150,원하는 사건을 선택하여 지금 바로 재판을 시작할 수 있습니다.,pc.home.intro.slide.ready.body,Pick a case to begin the trial.,Slide 4 body.
src/components/pc/home/pcHomeShared.ts:23-119,12 PC_GENERAL_SESSIONS entries (label/tagline/description),pc.home.session.{spouse|family|friend|neighbor|partnership|tenant|workplace|headline|online|medical_education|public_system|lover}.{label|tagline|description},(see notes — 36 entries),"P1. Each session card surfaces a label + tagline + description. All 36 strings are static UI on the home screen. Codex should promote PC_GENERAL_SESSIONS to use translate() at render time. Translations should preserve relationship type without reintroducing Solomon."
src/components/pc/home/pcHomeShared.ts:250-280,getRelationshipLabel returns 부부 / 가족 / 친구 / 이웃 / 동업 / 직장 / 세입자 / 헤드라인 / 온라인 / 의료·교육 / 공공·제도 / 무작위,pc.relationship.{spouse|family|friend|neighbor|partnership|workplace|tenantLandlord|headline|online|medicalEducation|publicSystem|random},(see notes — 12 entries),"P1. Used in leaderboard rows + history modal + brief screen. Codex should promote to translate(). Translations: Spouse / Family / Friend / Neighbor / Business Partner / Workplace / Tenant–Landlord / Headline / Online / Medical · Education / Public · Civic / Random."
src/components/pc/home/pcHomeShared.ts:294-303,getDifficultyLabel returns 쉬움 / 어려움 / 보통,pc.difficulty.{easy|hard|normal},Easy / Hard / Normal,P2. Difficulty selector label.
src/components/pc/layout/PCCourtLayout.tsx:26-37,PHASE_LABELS map (사건 브리핑 / 사전진술 / 심문 / 판결 진입 / 판결 / 결과),pc.phase.{briefing|pretrial|interrogation|mediation|verdict|result},Case Brief / Opening Statements / Interrogation / Mediation / Verdict / Result,"P0. Phase pill label is the most-visible game-state surface. Module-level constant — must move into component scope. Glossary draft says `Pretrial Phase` — recommend `Opening Statements` for Steam UI tone."
src/components/pc/hotbar/PCBottomDock.tsx:24-30,EMOTION_LABELS (경계 / 자신감 / 동요 / 격앙 / 체념),pc.emotion.{defensive|confident|shaken|angry|resigned},Guarded / Confident / Shaken / Enraged / Resigned,P0. Drives character emotion donut + dialogue bubble. Duplicated in PCDialogueLog.tsx. Codex should extract to shared label helper.
src/components/pc/verdict/PCVerdictScreen.tsx:29-36,LIE_STATE_LABEL (방어 / 동요 / 변명 / 궁지 / 한계 / 고백),pc.lieState.{S0|S1|S2|S3|S4|S5},Defense / Wavering / Excuse / Cornered / Breaking / Confession,P0. Truth-progress gauge labels.
src/components/pc/verdict/PCVerdictScreen.tsx:38-43,STEPS array (01 쟁점 판단 / 02 안건 책임 / 03 해결안 / 04 판결문),pc.verdict.step.{fact|responsibility|solution|confirm},01 Dispute Judgment / 02 Responsibility / 03 Solutions / 04 Verdict,P0. Verdict screen step titles.
src/components/pc/home/PCHomeScreen.tsx:41-46,SORTS array (총점 / 탐구 / 판결 / 해결),pc.sort.{total|insight|authority|wisdom},Total / Insight / Authority / Wisdom,"P0. Score axis labels — distinct from judge-axis labels. NOTE: Korean `판결` and `해결` are reused here as score axes (different concept from gameplay phase verdict and gameplay solution step) — see GLOSSARY_AUDIT."
src/components/pc/home/PCHomeScreen.tsx:48-53,HISTORY_RESULT_TABS (01 결과 확인 / 02 판결 선고 / 03 후일담 / 04 보너스),pc.resultTab.{result|verdict|epilogue|bonus},01 Result / 02 Verdict / 03 Epilogue / 04 Bonus,P0. Result screen tabs — duplicated between PCHomeScreen + PCResultScreen.
src/components/pc/settings/PCSettingsPanel.tsx:43-52,9 settings categories (화면 / 오디오 / 게임플레이 / 데이터 / 언어 / 접근성 / 키보드 / 계정 / 정보),pc.settingsFull.category.{display|audio|gameplay|data|language|accessibility|controls|account|about},Display / Audio / Gameplay / Data / Language / Accessibility / Controls / Account / About,P0. Sidebar nav — full settings panel.
src/components/pc/layout/PCDialogueLog.tsx:437,사건이 시작되면 대화가 이곳에 표시됩니다.,pc.dialogueLog.empty,Conversation appears here once the case begins.,P1. Empty-state copy in main chat panel.
src/components/pc/layout/PCDisputeRibbon.tsx:171,쟁점,pc.disputeRibbon.label,Disputes,P1. Top dispute ribbon label.
src/components/pc/layout/PCDisputeRibbon.tsx:222,판결 진행,pc.disputeRibbon.advanceCta,Advance to Verdict,P1.
src/components/pc/layout/PCDisputeRibbon.tsx:248,심문과 증거로 진실을 밝혀내세요.,pc.disputeRibbon.popoverDefault,Reveal the truth through interrogation and evidence.,P1.
src/components/pc/layout/PCDisputeRibbon.tsx:266,잠금,pc.common.locked,Locked,P1. Used in many places — promote to common.
src/components/pc/hotbar/PCBottomDock.tsx:495-533,Hotbar slot names (사실 추궁 / 동기 탐색 / 공감 접근 / 자유 질문 / 증거 제시 / 증인 소환),pc.hotbar.slot.{fact|motive|empathy|free|evidence|witness},Fact Pursuit / Motive Search / Empathy Approach / Free Question / Present Evidence / Call Witness,P0. Glossary already has fact_pursuit / motive_search / empathy_approach. Slot widths constrain text — see LONG_TEXT_RISKS.
src/components/pc/hotbar/PCBottomDock.tsx:478-485,Special skill chips (분리 심문 / 비공개 보호 / 즉답 요구),pc.hotbar.special.{separation|confidential|immediate},Separate / Confidential / Demand Answer,"P0. Compact chips. EN expansion is highest where Korean is shortest — `Demand Answer` may need fallback `Answer Now` in M/S buckets."
src/components/pc/layout/PCRecordSummary.tsx:269,기록 정리,pc.recordSummary.title,Records,P1. Record summary panel title — distinct from `record_summary` glossary draft (`Record Summary`). Compact UI uses `Records`.
src/components/pc/layout/PCInteractionPanel.tsx:84-123,COPY constant (40+ keys),pc.interaction.{caseSummary|preparing|noCase|currentDispute|noDispute|phase|turn|...},(see prior thread output 01-en-ui-translation/SOURCE_STRING_MAP.csv),P0. Already centralised — easiest seam to migrate. Apply by replacing `COPY.x` reads with `t('pc.interaction.x')`.
