row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/scriptedText/friend-01.en.json::channels.judge_question.entries[24].variants[1].text","judge_question","judgeq-d-3-fact_pursuit-1-v2","P0","truth-leak,static-limit","송다은 씨, 아버지가 예비신랑에게 돈 얘기를 꺼낸 사실을 아셨습니까.","Ms. Song, did you know that your father had brought up money with your fiancé?","Ms. Song, did you notice money-related wording in the messages between your father and your fiancé?","FOR-REVIEW: KO baseline also states the fact directly. EN keeps a d-3 hidden fact in judge_question; detect-truth-leak misses it because wording differs from matrix substring and uses accented fiancé."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[51].variants[2].text","dialogue","d-1/S5/fact_pursuit/v3","P0","D2,truth-leak,lieState","문구만 보면 “꼭 할 말”에 가까웠는데, 저는 그걸 만나자는 뜻으로 읽었습니다. 제가 직접 본 기록과 추정은 나눠 말하겠습니다.","My affair reading on those messages closes now; the intent was a warning about my father's fraud reaching the fiance. I will name what was real and let it stand without the cover.","The wording looked closer to 'I need to tell you something,' but I read it as a request to meet. I will separate what I saw from what I assumed.","EN adds father's fraud, a concrete hidden act/fact, where KO only admits misreading the message wording. This is outside substring detector scope because interrogation_answers is not scanned."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[105].variants[2].text","dialogue","d-1/S5/fact_pursuit/v3","P0","D2,truth-leak,lieState","집착이 아니라 경고였지만, 다은이에게 바로 말하지 않은 건 제 잘못입니다.","After the old breakup caused by A's father, the route through Ms. Song was closed; the fiance was the only way left to deliver the warning. I will name what was real and let it stand without the cover.","It was warning, not obsession, but it was my mistake not to tell Da-eun directly.","EN supplies the old-breakup cause and father link; KO only accepts the warning/contact responsibility."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[123].variants[2].text","dialogue","d-1/S5/fact_pursuit/v3","P0","D2,truth-leak,lieState","확인된 기록부터 말씀드리면, 답이 없던 상태에서 경고가 반복됐고, 저는 그걸 집착으로만 몰았습니다.","My harassment reading closes now; the persistence was about father's fraud forming again, not about any relationship. I will name what was real and let it stand without the cover.","The confirmed record is that the warning continued while there was no reply, and I treated it only as obsession.","EN turns a warning/obsession correction into explicit father's fraud. Hidden keyword nature: fraud is a concrete fact claim, not a motive-only statement."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[124].variants[1].text","dialogue","d-1/S5/motive_search/v2","P0","D2,truth-leak,lieState","답이 없던 상태에서 경고가 반복됐고, 저는 그걸 집착으로만 몰았습니다. 그때 왜 그렇게 판단했는지도 그 범위 안에서 말하겠습니다.","Ms. Choi's motive in pressing on through the silence was father's fraud and the same pattern again, not anything personal toward the fiance. I will name the engine of my silence and let it stand without softening.","The warning continued while there was no reply, and I treated it only as obsession. I will explain why I judged it that way within that scope.","EN states father's fraud and same pattern as fact; KO keeps the answer at reading/motive scope."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[142].variants[0].text","dialogue","d-1/S5/motive_search/v1","P0","D2,truth-leak,lieState","그 연락은 송다은 아버지와 돈 문제를 경고하려는 시도였습니다. 직접 말하지 않고 예비신랑에게 간 책임은 인정합니다.","I escalated because father's fraud was the matter at stake, and the same pattern again was already moving while no one answered. My motive is now fully in the open, and I will not hide behind a softer one.","The contact was an attempt to warn about Song Da-eun's father and a money issue. I accept responsibility for going to the fiancé instead of telling her directly.","KO allows money-issue warning but does not legalize it as fraud; EN escalates specificity and legal framing."
"src/data/scriptedAngles/friend-01_interrogation_answers.en.json::answers[143].variants[2].text","dialogue","d-1/S5/empathy_approach/v3","P0","D2,truth-leak,lieState","집착이 아니라 경고였지만, 다은이에게 바로 말하지 않은 건 제 잘못입니다.","In every escalation, Ms. Song was carrying the wrong reading alone, and the truth about father's fraud was sitting unsaid the whole time. I will name what was paid by the other side, while I held this truth back.","It was warning, not obsession, but it was my mistake not to tell Da-eun directly.","EN adds a hidden concrete truth and a payment implication not present in KO."
"src/data/scriptedText/friend-01.en.json::channels.interrogation.entries[15].variants[1].text","dialogue","a-d-1-S5-fact-pursuit-v2","P0","D2,truth-leak,lieState","제가 본 조각만 전부라고 믿었습니다. 확인도 하기 전에 사람부터 못 박아버렸습니다.","The plain fact I have to set down is that Ms. Choi's contact with my fiance was not seduction but warning, and the warning was about my father's fraud history. I will not hide behind those records any longer. I will not put the wound on the other side of the room any longer.","I believed the fragment I saw was the whole story. I fixed the person as guilty before checking.","EN reveals father's fraud history where KO only admits premature judgment."
"src/data/scriptedText/friend-01.en.json::channels.interrogation.entries[16].variants[0].text","dialogue","a-d-1-S5-motive-search-v1","P0","D2,truth-leak,stance","저는 불안하면 이유부터 묻지 않고 결론부터 냅니다. 이번에도 그 버릇대로 움직였습니다.","Your Honor, I now admit my reading was driven by my own fear of being abandoned again, when in truth Ms. Choi was acting out of B's warning intent about my father's fraud. My motive was fear of being abandoned, and I will not dress it up as anything else. I will state the facts as they are, and accept the responsibility that follows.","When I am anxious, I reach the conclusion before asking for the reason. I did the same thing this time.","EN imports hidden fact content and adds redundant confession stance beyond KO."
"src/data/scriptedText/friend-01.en.json::channels.interrogation.entries[17].variants[0].text","dialogue","a-d-1-S5-empathy-approach-v1","P0","D2,truth-leak,lieState","그 사람이 저한테 말하지 못한 이유가 있었다면, 저는 그것부터 물었어야 했습니다.","Your Honor, I now admit that I let an old wound speak first, when in fact Ms. Choi was warning my fiance about my father's fraud, and her contact was not seduction but warning. I admit my own actions caused real harm, and I will not put that under my pain. I will state the facts as they are, and accept the responsibility that follows.","If she had a reason she could not tell me, I should have asked about that first.","EN states the hidden father-fraud reason directly; KO is an empathy admission without the fact."
