id,category,ko,en,ja,zh-CN,context,status,locked,notes
project_solomon,product,Project Solomon,Project Solomon,Project Solomon,Project Solomon,Internal project codename / legacy glossary alias.,locked,true,Never use as a public UI title. Use internal_project_name for dev/internal references and brand_* rows for public titles.
steam_app_id,steam,Steam App ID,Steam App ID,Steam App ID,Steam App ID,Steamworks numeric app identifier,locked,true,Never translate.
achievement_api_name,steam,업적 API 이름,Achievement API Name,実績API名,成就 API 名,Steamworks achievement identifier,locked,true,API IDs stay in English uppercase snake case.
steam_auth_ticket,steam,Steam 인증 티켓,Steam Auth Ticket,Steam認証チケット,Steam 认证票据,Steam Web API authentication payload,draft,false,
steam_cloud,steam,Steam Cloud,Steam Cloud,Steam Cloud,Steam Cloud,Steam Cloud save feature,locked,true,Keep Steam product name unchanged.
steam_deck,steam,Steam Deck,Steam Deck,Steam Deck,Steam Deck,Steam Deck device/platform,locked,true,Keep product name unchanged.
court_simulation,genre,재판 시뮬레이션,Court Simulation,法廷シミュレーション,法庭模拟,Game genre/store copy,draft,false,
courtroom,world,법정,Courtroom,法廷,法庭,Main gameplay space,draft,false,
judge,role,재판관,Judge,裁判官,裁判官,Player role and in-game speaker,draft,false,Use consistently for the player role.
party,role,당사자,Party,当事者,当事人,One side in a dispute,draft,false,Avoid plaintiff/defendant unless a case explicitly needs legal roles.
party_a,role,당사자 A,Party A,当事者A,A 方,Neutral party label,draft,false,
party_b,role,당사자 B,Party B,当事者B,B 方,Neutral party label,draft,false,
witness,role,증인,Witness,証人,证人,Person giving testimony,draft,false,
case,case,사건,Case,事件,案件,Playable case,draft,false,
case_brief,case,사건 브리핑,Case Brief,事件ブリーフィング,案件简报,Initial case summary screen,draft,false,
case_id,case,사건 ID,Case ID,事件ID,案件 ID,Stable internal case identifier,locked,true,Do not translate IDs such as spouse-01.
phase,system,단계,Phase,フェーズ,阶段,Gameplay phase,draft,false,
briefing_phase,phase,브리핑 단계,Case Brief,ブリーフィング,案件简报,Initial case briefing phase,draft,false,
pretrial_phase,phase,사전 진술 단계,Opening Statements,冒頭陳述,庭前陈述,Opening statements/dialogue phase,draft,false,
interrogation_phase,phase,심문 단계,Interrogation,尋問,讯问,Questioning phase,draft,false,
rebuttal_phase,phase,반박 단계,Rebuttal Phase,反論フェーズ,反驳阶段,Phase 2 rebuttal dialogue,draft,false,
evidence_phase,phase,증거 심리 단계,Evidence Phase,証拠審理フェーズ,证据审理阶段,Evidence-focused phase,draft,false,
re_examination_phase,phase,최종 심문 단계,Final Interrogation,再尋問,最终讯问,Late questioning phase,draft,false,
mediation_phase,phase,중재 단계,Mediation Phase,調停,调解阶段,Mediation/resolution phase,draft,false,
verdict_phase,phase,판결 단계,Verdict Phase,判決,判决,Verdict selection phase,draft,false,
result_phase,phase,결과 단계,Result Phase,結果,结果,Post-verdict result screen,draft,false,
verdict,system,판결,Verdict,判決,判决,Final decision/outcome,draft,false,
judgment_basis,system,판결 근거,Verdict Basis,判決根拠,判决依据,Reasoning basis before/after verdict,draft,false,
responsibility,system,책임,Responsibility,責任,责任,Assigned responsibility/culpability,draft,false,Thread-5 recheck: in verdict step context JA uses 責任配分 and zh-CN uses 责任分配; bare noun stays for general responsibility labels.
solution,system,해결안,Solution,解決策,解决方案,Resolution option,draft,false,
dispute,case,쟁점,Dispute,争点,争议点,Contested issue in a case,draft,false,
claim,case,주장,Claim,主張,主张,Party claim,draft,false,
fact,case,사실,Fact,事実,事实,Established factual point,draft,false,
truth,case,진실,Truth,真相,真相,Hidden or established truth,draft,false,
hidden_truth,case,숨은 진실,Hidden Truth,隠された真相,隐藏真相,Truth that must not leak early,draft,false,
surface_text,content,표면 정보,Surface Text,表層情報,表层信息,Safe visible version of truth-bearing content,draft,false,
evidence,case,증거,Evidence,証拠,证据,Evidence item,draft,false,
evidence_card,ui,증거 카드,Evidence Card,証拠カード,证据卡,UI card showing evidence,draft,false,
evidence_stage,system,증거 단계,Evidence Stage,証拠段階,证据阶段,Depth/unlock stage for evidence,draft,false,
deep_investigation,action,심층 조사,Deep Investigation,深掘り調査,深度调查,Advanced investigation action,draft,false,
testimony,case,증언,Testimony,証言,证言,Witness or party testimony,draft,false,
statement,case,진술,Statement,供述,陈述,Party/witness statement,draft,false,
contradiction,case,모순,Contradiction,矛盾,矛盾,Conflict between statements/evidence,draft,false,
contradiction_pursuit,action,모순 추궁,Contradiction Pursuit,矛盾追及,矛盾追问,Action that presses a contradiction,draft,false,
free_interrogation,action,자유심문,Free Interrogation,自由尋問,自由讯问,Player free-text questioning mode,draft,false,
judge_question,action,재판관 질문,Judge Question,裁判官の質問,裁判官提问,Question by the player judge,draft,false,
fact_pursuit,action,사실 추궁,Fact Pursuit,事実追及,事实追问,Questioning mode focused on facts,draft,false,
motive_search,action,동기 탐색,Motive Search,動機探索,动机探查,Questioning mode focused on motive,draft,false,
empathy_approach,action,공감 접근,Empathy Approach,共感アプローチ,共情接近,Questioning mode using empathy,draft,false,
dossier,ui,사건 기록,Dossier,調書,档案,Deprecated legacy user-facing dossier term.,deprecated,false,"User-facing UI should use records, case_file, decisive_question, or notes per surface."
notebook,ui,수첩,Notebook,ノート,笔记本,Judge notebook UI,draft,false,
observation,ui,관찰,Observation,観察,观察,Judge observation feed,draft,false,
record_summary,ui,기록 정리,Records,記録の整理,记录整理,Panel summarizing case progress,draft,false,
action_panel,ui,행동 패널,Action Panel,アクションパネル,行动面板,Player action UI,draft,false,
hotbar,ui,핫바,Hotbar,ホットバー,快捷栏,Bottom action bar,draft,false,
investigation_token,resource,조사 토큰,Investigation Token,調査トークン,调查点数,Resource spent on investigation actions,draft,false,May shorten to Token in compact UI only when icon is present.
skill_point,resource,스킬 포인트,Skill Point,スキルポイント,技能点,Resource for skills/perks,draft,false,
trust,resource,신뢰도,Trust,信頼度,信任,Relationship or response meter,draft,false,
stress,resource,압박도,Stress,圧力,压力,Pressure/stress meter,draft,false,
perk,progression,특전,Perk,パーク,特性,Judge progression perk,draft,false,
trait,progression,특성,Trait,特性,特质,Judge trait/progression property,draft,false,
session,system,세션,Session,セッション,会话,One play session,draft,false,
save_data,system,저장 데이터,Save Data,セーブデータ,存档数据,Local/Steam Cloud save data,draft,false,
mock_mode,dev,Mock 모드,Mock Mode,モックモード,模拟模式,Development/testing fallback mode,draft,false,
test_console,dev,테스트 콘솔,Test Console,テストコンソール,测试控制台,Developer/test token console,draft,false,
llm,tech,LLM,LLM,LLM,LLM,Large language model abbreviation,locked,true,Do not expand in compact UI.
api,tech,API,API,API,API,Application programming interface,locked,true,Do not translate.
jwt,tech,JWT,JWT,JWT,JWT,Session token format,locked,true,Do not translate.
internal_project_name,product,Project_Solomon,Project_Solomon,Project_Solomon,Project_Solomon,"Internal development codename, never public-facing UI.",locked,true,NEW row. Internal/dev codename. Locked across all locales. Not used as public-facing title in any UI surface — package metadata / Steam app config / repo identifier only. NEW. Locked.
brand_title,product,솔로몬의 딜레마,Verdict Zero,ソロモンのジレンマ,真相裁决,Public-facing brand title without subtitle.,locked,true,NEW row. Public-facing in-game title (top half of title + subtitle structure). Locked. PROJECT_CONTROL_TOWER decision 2026-05-06. NEW. Locked. PROJECT_CONTROL_TOWER decision: avoid Solomon-based naming for EN to prevent religious/biblical reading. Verdict Zero conveys judge/wisdom theme. NEW. Locked. NEW. Locked. PROJECT_CONTROL_TOWER decision: rejects 所罗门的法庭 and 所罗门的两难. Use natural localized title — 真相裁决 conveys truth / verdict theme.
brand_subtitle,product,진실의 재판,Trial of Truth,真実の裁き,零点审判,Public-facing brand subtitle.,locked,true,NEW row. Public-facing subtitle. Locked. NEW. Locked.
