priority,recheck_item,subject,result,evidence,notes_or_followup
P0,(none),no remaining P0 blockers for spouse-01 EN polish,CLEAR,All 4 brief commands PASS + variation gate 936/936 + truth boundary 0 violations + S5 strength 77.2% (waiver accepted per brief #4),Promotion path to unqualified GO is open.
RESOLVED,recheck #1,Thread-24 mandatory EN variation blocker,RESOLVED,"Thread-24 PILOT_REVIEW_FINDINGS P1 row 'EN variant variety severely degraded' (was 1 unique 60-char opener / 10 variants). Now 936/936 buckets pass with avg 3 unique opener60 / variant.","Thread-25 sentence-pool pattern (3-anchor opener pool cycled by variantIdx % 3) is the validated mechanism. Mandate this for family-01/friend-01."
RESOLVED,recheck #2,High-volume bucket gate (936/936 / no opener-anchor failures / no prefix-60 repetition / ≥3 anchors for 6+ variant buckets),RESOLVED,"VARIATION_AUDIT_SUMMARY.json: 936/936 passing, 0 opener failures, 0 prefix failures, 0 closer failures, averageUniqueOpener60=3, averageUniqueCloser60=10. All 4 brief gate criteria met.","Opener distribution 40%/30%/30% across the 3 anchors (4-3-3 for 10-variant buckets), well under the 50% prefix-60 threshold."
RESOLVED,recheck #3,Non-S5 truth-boundary cleanliness (forbidden lexeme=0 / brand=0),RESOLVED,"Thread-25 TRUTH_BOUNDARY_SUMMARY.json: violations.total=0. This-thread independent audit: 0 non-S5 leaks across both polished surfaces. Brand sweep: 0 Solomon / 0 Project_Solomon hits in either polished file.","Forbidden-lexeme cleanliness preserved through polish. S5 hits increased (320→439 scriptedText / 1670→1878 answers) — anchor[0] strengthened with truth lexemes."
ACCEPTED,recheck #4,S5 truth disclosure narrative strength,ACCEPTED,"Thread-25 strongS5Ratio=0.772 (1205/1560). Spot-check of 6 distinct S5 buckets shows all 3 anchor positions (Sentence-A pool index 0/1/2) carrying licensed truth lexemes — nephew + older brother + studio apartment + power of attorney + investment fraud + cash + personal-debt rehabilitation contexts. Variants v4–v10 cycle through same anchor pool.","Brief #4 explicitly waives 100% substring detection. The 22.8% weakS5 (355 variants) are narratively valid — truth tokens in Sentence-B/C anchored on previously-established truth from same bucket. Player encounters truth across the 10-variant cycle."
RESOLVED,recheck #5,KO + JA + zh-CN + metadata + ids + tags + sourceRefs + route data + behaviorHint + keywordsLocale unmodified,RESOLVED,"git diff --stat = '<no change>' for all 6 KO source files (scriptedText/scriptedAngles/dialogues/mediation/cases/generated). JA + zh-CN sidecar sizes match prior pilot reports. validator strict mode = 0 spouse-01 errors confirms ID / key / channel / lieState / lieBand / partyId / disputeId / angleId / sourceRefs / tags bit-identical. behaviorHint absent / keywordsLocale not filled per Thread-25 SUMMARY.",Polish stayed strictly within the 2 EN files in scope.
RESOLVED,recheck #6.a,phase1 choices/options handling,RESOLVED,"EN phase1 sidecar uses options[] key with 3 choice nodes × 3 options each (id=4/14/26). KO source uses options[]. Runtime loader phaseScriptLoader.ts:129 accepts both. Validator strict mode passes.","caseId=case-spouse-01 in phase1 EN sidecar matches KO base (case-spouse-01 prefix retained for phase1 surface). Different from cases/generated rule (no prefix)."
RESOLVED,recheck #6.b,generated case caseId normalization,RESOLVED,"EN cases/generated sidecar has caseId='spouse-01' (no prefix). Was 'case-spouse-01' per Thread-24 P1 finding. Codex scaffold fix landed.",Validator's hardcoded 'spouse-01' check passes.
RESOLVED,recheck #6.c,no unsupported surfaceClaim sidecar fields,RESOLVED,"EN cases/generated sidecar disputes[]: 4 disputes / 0 with surfaceClaim field. Per Thread-25 polish + Codex scaffold fix, the field was dropped.",Thread-21 originally left 4 surfaceClaim fields empty (scaffold quirk). Now scaffold no longer emits the field.
INFO,(carried over),Thread-24 design-gap items (non-lieState channel softening / EN forbidden-substring brittleness / aftermath truth disclosure parity / special_scripts schema / localization:scripts:validate in check:all),DESIGN_GAP_OR_DEFERRED,"All 4 are Thread-24 P1 items NOT in Thread-25 polish scope. localization:scripts:validate now appears in check:all (verified: 'script locale validation ok: policies=3, sidecars=21, strings=144950, locales=en,ja,zh-CN, strict=no' ran inside check:all output). Other 3 remain pending PROJECT_CONTROL_TOWER decision.","NOT P0/P1 blockers for family-01/friend-01 expansion. Acceptable as deferred quality items per Thread-24 SUMMARY §9 Tier 1/2/3 priority."
INFO,(new finding from this recheck),localization:scripts:validate accepts --case=spouse-01 filter,RESOLVED_BETTER_THAN_REPORTED,"Thread-25 SUMMARY noted validator does not accept --case filter. Verified this recheck: 'npm run localization:scripts:validate -- --case=spouse-01 --locale=en --strict' passes with policies=1, sidecars=7, strings=47674, strict=yes. Codex appears to have added --case support since Thread-25.","Better than Thread-25 reported. Strict gate now scopable to single case — useful for family-01/friend-01 incremental work."
INFO,(carried over),Thread-25 minor advisories (S5 weakS5 22.8% residue / variation audit script generalization to --case parameter),DEFERRED,"Per Thread-25 SUMMARY §147–151. Not blocking expansion. S5 weak residue is narratively valid; variation audit --case parameterization is reusability polish only.","Recommend Codex parameterize tmp/script-localization/en-polish/audit-variation.cjs + audit-truth-boundary.cjs by --case for family-01/friend-01 reuse. Optional Tier 3 polish."
RECOMMENDED,(forward-looking),Mandate Thread-25 sentence-pool pattern for family-01/friend-01 EN high-volume surfaces,REQUIRED,"Thread-25 demonstrated the sentence-pool with 3-anchor opener cycling solves the variation gate. Without this pattern, family-01 (5,262 variants) + friend-01 (5,097 variants) EN expansion will reproduce the Thread-24 P1 monotony problem at scale.","Sub-agent prompt template for family-01/friend-01 EN must explicitly require: (1) build a Node script that emits partial JSON; (2) Sentence-A pool of 3 distinct anchors per (party, disputeId, angleId, lieState) bucket; (3) cycle by variantIdx % 3; (4) preserve closer + middle rotation; (5) hand-curate S5 anchors to contain licensed truth; (6) run audit-variation.cjs + audit-truth-boundary.cjs before commit; (7) reuse tmp/script-localization/en-polish/build-answers-d1-d2-polish.cjs and build-answers-hd3-hd4-polish.cjs as starting models."
