row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
family-01-b-d-1-S0-fact-pursuit-v2,제가 어머니를 찾아뵌 일 자체를 문제 삼으시는 겁니까. 그건 이상한 말입니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will speak only to what the records can openly confirm. I will not soften the part that was hardest to face.",non_party_scripted_text,D2,P0,Are you taking issue with the fact that I visited my mother at all? That is an odd thing to say.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S0-fact-pursuit-v5,제가 한 일은 어머니를 본 겁니다. 그 이상으로 들으시는 건 제 형의 해석입니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will speak only to what the records can openly confirm. I held this in for longer than I should have, and that is what brought me here.",non_party_scripted_text,D2,P0,What I did was visit my mother. Anything beyond that is my older brother's interpretation.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S0-fact-pursuit-v8,말을 아낀 건 맞습니다. 어머니가 그날 전부 흐리셨다고 보지는 않습니다. 지금은 그 선에서 말하겠습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will speak only to what the records can openly confirm. My pain was not the only thing that built this case; the documents were too.",non_party_scripted_text,D2,P0,"It is true that I held back. I do not think Mother was completely confused that day. For now, that is as far as I will go.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S1-fact-pursuit-v2,예전보다 횟수가 늘어난 것도 맞습니다. 하루하루 컨디션이 달라지셔서 틈날 때마다 갔습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will admit some of it on the record and separate the parts I still need to keep careful. There is a piece of this I will own up to, while the rest still needs sorting.",non_party_scripted_text,D2,P0,"It is true I visited more often than before. Her condition changed day by day, so I went whenever I had time.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S1-fact-pursuit-v5,기록으로 보면 많아 보일 겁니다. 실제로는 잠깐씩 확인하고 나온 날도 적지 않았습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will admit some of it on the record and separate the parts I still need to keep careful. I will keep my admission narrow and be clear about where it ends.",non_party_scripted_text,D2,P0,"On the records it may look like a lot. In reality, there were many days when I just checked in briefly and left.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S1-fact-pursuit-v8,말을 아낀 부분은 있습니다. 어머니가 그날 전부 흐리셨다고 보지는 않습니다. 다만 전부를 연 건 아닙니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I will admit some of it on the record and separate the parts I still need to keep careful. I will not hide behind a wall on every point, but I will be careful about which I open.",non_party_scripted_text,D2,P0,"There are parts I kept back. I do not think Mother was completely confused that day, but I have not opened everything up.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S2-fact-pursuit-v2,어머니가 정리해야 할 일이 남았다고 말씀하신 적이 있습니다. 그 안에 유서 얘기도 있었습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit there were parts I shortened in earlier answers at home. I will admit the middle layer and leave the core for the proper time.",non_party_scripted_text,D2,P0,Mother once said there were matters left to settle. The will was part of that.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S2-fact-pursuit-v5,제가 유서 얘기를 입에 올린 적이 있다는 건 부인하지 않겠습니다. 다만 처음 말씀을 꺼낸 분은 어머니였습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit there were parts I shortened in earlier answers at home. I will widen what I admit, but the central reason is still hard to put into words.",non_party_scripted_text,D2,P0,I will not deny that I brought up the will before. But Mother was the one who first raised it.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S2-fact-pursuit-v8,말을 아낀 건 맞습니다. 유서 준비를 조금 도운 건 맞습니다. 말을 고르는 이유가 있습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit there were parts I shortened in earlier answers at home. I will give a fuller account, while marking what is still untouched.",non_party_scripted_text,D2,P0,It is true I held back. It is true I helped a little with preparing the will. There is a reason I am choosing my words.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S3-fact-pursuit-v2,어머니 곁 환경이 달라진 뒤로 서두른 건 사실입니다. 그때는 시간을 길게 끌 수 없다고 봤습니다. 상대 쪽 책임도 남아 있습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that what I held back made the suspicion stronger on his side. I admit that the way I framed it was already starting to fall apart.",non_party_scripted_text,D2,P0,"It is true I hurried after the situation around Mother changed. At the time, I thought we could not drag it out. The other side still bears responsibility too.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S3-fact-pursuit-v5,결과만 보면 제가 몰아간 것처럼 보일 수 있습니다. 다만 그 급함은 제 형을 밀어내려는 게 아니라 어머니 상태를 보고 내린 판단이었습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that what I held back made the suspicion stronger on his side. I admit that what I am ready to say is not yet the whole truth, but it is closer.",non_party_scripted_text,D2,P0,"Looking only at the result, it may look as if I pushed it through. But that urgency was not about pushing my brother out; it was a judgment I made based on Mother's condition.",,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S3-fact-pursuit-v8,말을 아낀 건 맞습니다. 종이를 읽어드리고 저희 형이 오기 전 마치려 한 부분은 인정합니다. 일부 책임은 제게 있습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that what I held back made the suspicion stronger on his side. I admit that the gap between my words and the records is wider than I let on.",non_party_scripted_text,D2,P0,It is true I held back. I admit I read the paper to her and tried to finish before my brother arrived. Some responsibility is mine.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S4-fact-pursuit-v2,어머니가 걱정하신 건 재산 다툼만이 아니었습니다. 제 형이 알게 되면 버티지 못할 무언가를 두려워하셨습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that my reasons for staying quiet are not the same as a clean record. I admit that the line between what I confirmed and what I assumed was thinner than I claimed.",non_party_scripted_text,D2,P0,What Mother worried about was not only a property dispute. She feared something my brother might not be able to bear if he learned it.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S4-fact-pursuit-v5,그래서 저는 이 일을 단순한 서류 문제로만 볼 수 없습니다. 어머니가 지키려 한 사람은 제 형이었습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that my reasons for staying quiet are not the same as a clean record. I admit that the part I kept refusing to say is the part this court most needs to hear.",non_party_scripted_text,D2,P0,That is why I cannot see this as just a paperwork issue. The person Mother was trying to protect was my brother.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
family-01-b-d-1-S4-fact-pursuit-v8,말을 아낀 건 맞습니다. 종이를 읽어드리고 저희 형이 오기 전 마치려 한 부분은 인정합니다. 저희 형이 다칠까 봐 두려웠습니다.,"On the will, the figure recorded against my name is sixty and my older brother's is forty, and the notary's record matches that without any irregularity I can see. I admit that my reasons for staying quiet are not the same as a clean record. I admit that I cannot keep speaking past the gap any longer.",non_party_scripted_text,D2,P0,It is true I held back. I admit I read the paper to her and tried to finish before my brother arrived. I was afraid my brother would be hurt.,,a,0.96,"Same key has an unrelated English template rather than the KO response; auto-hit also contains literal phrase ""the figure""."
