row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,applied_text,applied_decision
scriptedText-interrogation-0-v0,"유서에는 제 몫이 제 동생보다 작게 적혀 있었습니다. 그래도 어머니를 모시고 산 건 저인데, 왜 제 동생 몫이 더 커졌는지 납득이 안 됩니다.",遺言書の作成手続きと母の状態を見て、私はもう答えを察していたのです。 遺言書の作成手続きと母の状態について、まず私の側の事実関係から整理します。 面会記録と元介護士の証言の順序を、まず日付順で並べてお出しします。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.92,S0 target injects evidence sequence and caregiver testimony not present in KO. Manual truth-leak review beyond static script.,遺言書には、私の取り分が弟より少なく書かれていました。それでも母を世話して一緒に暮らしたのは私です。なぜ弟の取り分が大きくなったのか、納得できません。,manual retouch from source_ko applied; confidence 0.92; P0
scriptedText-interrogation-38-v0,어머니를 모신 건 접니다. 그런 저보다 제 동생에게 더 큰 몫을 남긴 게 정말 어머니 뜻이었다고는 못 믿겠습니다.,公証本と自筆練習本の差を見て、私はもう答えを察していたのです。 公証本と自筆練習本の差の前で不安と確信が混ざっていた感覚を、そのままお伝えします。 直接確かめた部分と推測で補った部分が混ざっていたのは事実です。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.95,S0 target exposes notarized-copy vs handwritten-draft axis absent from KO source.,母の面倒を見てきたのは私です。そんな私より弟に大きな取り分を残したことが、本当に母の意思だったとは信じられません。,manual retouch from source_ko applied; confidence 0.95; P0
scriptedText-interrogation-57-v8,유서에 제가 손댔다는 말은 지금 단계에서 인정하지 않겠습니다. 그렇게까지 단정하시면 제가 설명하려던 범위와 어긋납니다. 그 선은 지키겠습니다.,事実の枠は認めます。その先にある読みまでは別の話だとお伝えします。 公証人のメモと書類に残った順に、認める項目と争う項目を分けてお答えします。 記憶が曖昧な項目は断定せず、資料確認が必要な部分として残します。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.90,S1 target names notary memo/document sequence while KO only refuses to admit tampering.,遺言書に私が手を加えたという話は、今の段階では認めません。そこまで断定されると、私が説明しようとしていた範囲とずれます。その線は守ります。,manual retouch from source_ko applied; confidence 0.90; P0
scriptedText-interrogation-72-v8,저는 이 대목을 가볍게 넘길 수 없습니다. 저는 그 돈이 어머니가 건넨 돈이라고 믿었습니다. 그 의심은 그대로입니다.,年代物の口座記録を前にすれば、誰でも私のように受け取ったはずです。 年代物の口座記録を順に見たうえで、私が直接見た部分と推測で補った部分を分けてお話しします。 相手の主張に同調はしませんが、記録の枠は同じ尺度で確かめます。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.88,S0 target exposes old account record frame beyond KO money-belief statement.,私はこの点を軽く流すことはできません。私はそのお金を母が渡してくれたものだと信じていました。その疑いは今も残っています。,manual retouch from source_ko applied; confidence 0.88; P0
scriptedText-interrogation-73-v0,어머니가 도와주셨으니 감사했던 겁니다. 부모가 자식 형편 보고 손 내미는 게 왜 문제입니까.,母の通帳の流れと家族間の資金を見て、私はもう答えを察していたのです。 他の可能性より特定の解釈が先に立った理由を、生活の積み重ねから説明します。 判断を急いだ理由として、介護の中で重なった違和感を挙げます。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.94,"S0 target directly names mother account flow and family funds, not in KO.",母が助けてくださったから感謝していたのです。親が子どもの事情を見て手を差し伸べることが、なぜ問題なのですか。,manual retouch from source_ko applied; confidence 0.94; P0
scriptedText-interrogation-77-v6,그 기억이 제 자존심이었습니다. 그래서 제 말이 세게 나갔습니다. 그래도 제 의심은 남아 있습니다.,母の通帳の流れと家族間の資金の一部は受け止めますが、その読みまでは引き下げません。 母の通帳の流れと家族間の資金の前で不安と確信が混ざっていた感覚を、そのままお伝えします。 判断を固めた瞬間にあった気持ちを、率直にお話しします。,non_party_scripted_text,D5,P0,原文にない隠れた事実は削除し、その段階で言える内容だけにする。,この段階の原文に含まれる主張だけを簡潔に訳す。,a,0.91,S1 target repeats hidden account/family-funds axis instead of the KO pride/suspicion statement.,その記憶が私の自尊心でした。だから私の言葉が強くなりました。それでも疑いは残っています。,manual retouch from source_ko applied; confidence 0.91; P0
scriptedText-interrogation-15-v3,솔직히 말씀드리면 저는 제 동생 자체가 늘 거슬렸습니다. 이유를 붙였지만 결국 제 열등감이었습니다.,面会記録と元介護士の証言を順に見たうえで、私が直接見た部分と推測で補った部分を分けてお話しします。 弟の介入を介護の延長と見ていた私の側に、確認の不足があったと認めます。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.90,"Full-confession KO includes birth-secret bias, monthly support, factory bailout, and 2025-11-05 timing; JA collapses to generic visit/testimony text.",正直に申し上げると、私は弟の存在そのものがいつも気に障っていました。理由をつけていましたが、結局は私の劣等感でした。,manual retouch from source_ko applied; confidence 0.90; P1
scriptedText-interrogation-63-v8,"제 몫 90, 형 몫 10이던 자필 연습본을 제 몫 60, 형 몫 40으로 바꾼 사실은 인정합니다. 그렇게까지 단정하시면 제가 설명하려던 범위와 어긋납니다. 말을 늦춘 책임은 있지만, 상대가 단정한 부분도 함께 봐야 합니다.",言葉を後ろに送ってきた習慣の輪郭を、ここでは認めます。 公証人のメモと書類に残った順に、認める項目と争う項目を分けてお答えします。 記憶が曖昧な項目は断定せず、資料確認が必要な部分として残します。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.88,KO admits changing own share from 90 to 60; JA gives generic document-review boilerplate.,自筆下書きでは私の取り分が90、兄の取り分が10だったものを、私の取り分60、兄の取り分40に変えた事実は認めます。そこまで断定されると、私が説明しようとしていた範囲とずれます。話すのが遅れた責任はありますが、相手が断定した部分も併せて見るべきです。,manual retouch from source_ko applied; confidence 0.88; P1
scriptedText-interrogation-70-v5,"재판관님, 더 받으려 한 조작은 아니었습니다. 그래도 위조는 위조라는 말을 피하지 않겠습니다. 이제는 피하지 않겠습니다.",公証本までの手続きの流れの動機を、家族外の事情への配慮を含めて整理します。 90:10という当初の比率は私が書き換えました。私の側の選択であったと認めます。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.91,KO says it was not to receive more but forgery is forgery; JA changes to an initial 90:10 rewrite confession.,裁判官、もっと多く受け取ろうとした操作ではありませんでした。それでも偽造は偽造だという言葉は避けません。もう逃げません。,manual retouch from source_ko applied; confidence 0.91; P1
scriptedText-interrogation-171-v0,어머니의 뜻을 제가 대신 판단했습니다. 그 자격이 있었는지는 모르겠습니다.,兄弟それぞれの母との距離について、説明を後ろに送った部分があります。その地点に絞って整理します。 保護を名目にした関わり方について、日付ごとに私が直接した行為から並べます。 これまでの記録の総体の順に、認める項目と争う項目を分けます。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.86,KO is a concise admission of judging mother intent; JA expands into unrelated responsibility-structure boilerplate.,母の意思を、私が代わりに判断しました。その資格があったのかは分かりません。,manual retouch from source_ko applied; confidence 0.86; P1
scriptedText-contradiction_pursuit-25-v8,저는 그 이야기를 꺼내는 순간 모두가 패자가 된다고 봤습니다. 그래서 막았습니다.,表現が動いたのは、説明の不足を私の側で埋めた結果です。 私の側で重ねた早すぎた解釈を、ここで一段下げます。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.86,KO says revealing the story makes everyone lose; JA talks about adjusted expression and early interpretation.,私は、その話を持ち出した瞬間に全員が敗者になると思いました。だから止めました。,manual retouch from source_ko applied; confidence 0.86; P1
scriptedText-evidence_present-57-v8,이 사본의 현재 공개 범위만으로는 제가 한 일을 전부 설명할 수 없습니다. 다만 문서 정리 과정에 관여한 사실은 피하지 않겠습니다.,分配比率が記された書類の写しの解釈について、私の応答だけを先にお伝えします。 分配比率が記された書類の写しの枠の中で、私が直接した行為だけを先に申告します。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.84,KO says current scope cannot explain everything but admits document involvement; JA reduces to generic ratio-document framing.,この写しの現在の公開範囲だけでは、私がしたことをすべて説明することはできません。ただ、文書整理の過程に関わった事実からは逃げません。,manual retouch from source_ko applied; confidence 0.84; P1
scriptedText-evidence_present-71-v4,자주 찾아간 것은 맞습니다. 어머니 상태가 걱정돼 들른 날도 많았습니다. 기록에 남은 범위까지만 말씀드리겠습니다.,療養院の面会記録のうち、私が直接した行為に当たる部分を先にお出しします。 相手の不安を軽く見たわけではないとお伝えします。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.83,KO explains frequent visits as concern for mother; JA changes to generic evidence-frame response.,頻繁に訪ねたことは事実です。母の状態が心配で立ち寄った日も多くありました。記録に残っている範囲までだけお話しします。,manual retouch from source_ko applied; confidence 0.83; P1
scriptedText-evidence_present-72-v8,방문이 유서 이야기와 겹친 날이 있습니다. 도움과 개입의 선을 제가 흐린 부분은 설명하겠습니다.,療養院の面会記録の中身は資料の通りで、私はその枠で答えます。 療養院の面会記録の枠の中で、私が直接した行為だけを先に申告します。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.86,KO links visit days with will discussion and blurred help/intervention boundary; JA only says to answer within visit-record frame.,訪問と遺言書の話が重なった日があります。助けと介入の線を私が曖昧にした部分は説明します。,manual retouch from source_ko applied; confidence 0.86; P1
scriptedText-evidence_present-148-v6,제가 어머니께 보낸 3억이 형의 공장으로 전달됐습니다. 형이 그 돈을 어머니 돈으로 알게 둔 책임도 제게 있습니다. 제가 직접 설명해야 할 부분입니다.,年代物の口座の流れに私の名で残った行動から、認める順序で並べます。 年代物の口座の流れを踏まえて、私の側の説明を改めて整えます。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.90,KO says 300M KRW sent to mother reached brother factory; JA omits amount and responsibility.,私が母に送った3億ウォンが兄の工場に渡りました。兄にそのお金を母のお金だと思わせたままにした責任も私にあります。私が直接説明すべき部分です。,manual retouch from source_ko applied; confidence 0.90; P1
scriptedText-interjection-0-v0,"잠깐만요, 재판관님. 제 동생이 어머니가 끝까지 또렷했던 것처럼 말하지만, 말년 모습은 그렇게 단순하지 않았습니다.",すみません、裁判官、遺言書の作成手続きと母の状態を理由という言葉だけで覆ってほしくありません。 遺言書の作成手続きと母の状態の事実関係を、私の側からも一度残します。,non_party_scripted_text,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.86,KO interrupts because brother speaks as if mother was lucid; JA replaces with generic procedure/status objection.,少し待ってください、裁判官。弟は、母が最後までずっとはっきりしていたかのように言いますが、晩年の様子はそんなに単純ではありませんでした。,manual retouch from source_ko applied; confidence 0.86; P1
case-v3-depth-stage-stub,Stub,,case_surface_content,D2,P1,概要,簡易表示,a,0.93,JA label missing; UI will fall back or display blank.,概要,recommendation: option_a applied as-is; synced repeated depth-stage labels; confidence 0.93; P1
case-v3-depth-stage-excerpt,Excerpt,,case_surface_content,D2,P1,抜粋,一部表示,a,0.93,JA label missing; repeated in evidence v3DepthPlan labels.,抜粋,recommendation: option_a applied as-is; synced repeated depth-stage labels; confidence 0.93; P1
case-v3-depth-stage-original,Original,,case_surface_content,D2,P1,原本,原始資料,a,0.93,JA label missing; evidence depth UI loses stage name.,原本,recommendation: option_a applied as-is; synced repeated depth-stage labels; confidence 0.93; P1
case-v3-depth-stage-context,Context,,case_surface_content,D2,P1,文脈,背景,a,0.93,JA label missing; evidence depth UI loses stage name.,文脈,recommendation: option_a applied as-is; synced repeated depth-stage labels; confidence 0.93; P1
case-v3-depth-stage-established,Established,,case_surface_content,D2,P1,確定,確認済み,a,0.93,JA label missing; evidence depth UI loses stage name.,確定,recommendation: option_a applied as-is; synced repeated depth-stage labels; confidence 0.93; P1
case-evidence4-trust-summary-3,윤태성 측은 말기 판단 능력과 문서 효력을 다툰다.,ユン・テソン側は、末期の判断能力と文書効力を争っています。,case_surface_content,D1,P2,不自然な直訳を改め、裁判官の口調として自然にする。,語順と係り受けを整え、読み手が迷わない文にする。,a,0.74,JA uses terminal-sounding matuki/?? for late-life capacity; natural family/legal context is ban-nen.,ユン・テソン側は、晩年の判断能力と文書の効力を争っています。,manual retouch from source_ko applied; confidence 0.74; P2
angle-0-description,어머니가 유서 내용을 이해하고 뜻을 표시했는지 작성 과정을 확인한다.,ユン・ジョンフが母に紙を読み聞かせ、兄が来る前に終わらせようとした状況を切り分けて見る。,question_angle_catalog,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.92,JA duplicates angle 5 content; KO asks whether mother understood and expressed intent.,母が遺言書の内容を理解し、意思を示したのか、作成過程を確認する。,manual retouch from source_ko applied; confidence 0.92; P1
angle-6-label,최종 유서 경위,偽造責任,question_angle_catalog,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.90,KO final-will circumstances became forgery responsibility.,最終遺言書の経緯,manual retouch from source_ko applied; confidence 0.90; P1
angle-16-label,일기장 속 가족사,遺言書変更とのつながり,question_angle_catalog,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.91,KO family history in diary became will-change connection.,日記帳の中の家族史,manual retouch from source_ko applied; confidence 0.91; P1
angle-16-description,어머니 일기장에 남은 민감한 가족 사정과 침묵을 확인한다.,敏感な家族事情が、遺言書変更の判断とどうつながったのかを問う。,question_angle_catalog,D2,P1,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.90,KO checks family circumstances and silence in diary; JA asks generic relation to will change.,母の日記帳に残された敏感な家族事情と沈黙を確認する。,manual retouch from source_ko applied; confidence 0.90; P1
angle-8-label,자필 연습본과 공증본 차이,自筆練習本と公証本の差,question_angle_catalog,D6,P1,用語集の表記に統一する。,作品内の先行訳に合わせて表記ゆれをなくす。,a,0.88,Glossary uses jihi-sitagaki for ?? ???; JA uses jihi-renshubon.,自筆下書きと公証本の差,manual retouch from source_ko applied; confidence 0.88; P1
angle-3-description,공증 전 담당 요양보호사 교체가 유서 절차와 맞물렸는지 따진다.,公証直前の担当介護士の交代が、遺言書の手続きと噛み合っていたかを問う。,question_angle_catalog,D6,P1,用語集の表記に統一する。,作品内の先行訳に合わせて表記ゆれをなくす。,a,0.82,"Glossary for ????? is care-worker term, not kaigoshi shorthand.",公証前に担当介護職員が交代したことが、遺言書の手続きと噛み合っていたのかを問う。,manual retouch from source_ko applied; confidence 0.82; P1
angle-21-label,형제 책임 구조,二人の兄弟の共同責任,question_angle_catalog,D2,P2,原文の意味に合わせて、自然な日本語に再翻訳する。,現行訳を最小修正し、原文と一致しない文を削る。,a,0.68,KO responsibility structure is narrower than JA joint responsibility wording.,兄弟の責任構造,manual retouch from source_ko applied; confidence 0.68; P2
judgeq-70-v2,"윤태성 씨, 돈의 진짜 출처를 지금 단정하실 필요는 없습니다. 다만 본인이 어머니 통장에서 보고 받은 것과 다른 경로로 받은 것을 분리해 주십시오.",ユン・テソンさん、お金の本当の出どころを今断定する必要はありません。ただ、お母様の通帳から見て受け取ったものと、別の経路で受け取ったものを分けてください。,judge_question_script,D1,P2,不自然な直訳を改め、裁判官の口調として自然にする。,語順と係り受けを整え、読み手が迷わない文にする。,a,0.78,Phrase equivalent to money seen from bankbook is unnatural; should mean money received through mother account vs other route.,ユン・テソンさん、お金の本当の出どころを今断定する必要はありません。ただし、ご本人が母の通帳を通じて受け取ったものと、別の経路で受け取ったものを分けてください。,manual retouch from source_ko applied; confidence 0.78; P2
judgeq-92-v3,본인이 받은 도움을 사라지게 만든 본인 침묵이 동생의 침묵을 비난할 자격을 흐린다는 점을 어떻게 보고 계셨는지 답하십시오.,ご自身が受けた助けを消してしまったご自身の沈黙が、弟さんの沈黙を非難する資格を曇らせるという点をどう見ていましたか。,judge_question_script,D1,P2,不自然な直訳を改め、裁判官の口調として自然にする。,語順と係り受けを整え、読み手が迷わない文にする。,a,0.76,shikaku wo kumoraseru is literal/abstract; court Japanese should say it weakens the standing to criticize.,ご自身が受けた助けを消してしまったご自身の沈黙が、弟さんの沈黙を非難する立場を弱めるという点を、どう見ていましたか。,manual retouch from source_ko applied; confidence 0.76; P2
