glossary_id,locked,used_in_keys_count,used_terms_observed,conflicts,status
project_solomon,true,1,Project Solomon,,clean
steam_app_id,true,0,,,unused
achievement_api_name,true,0,,,unused
steam_auth_ticket,false,0,,,unused
steam_cloud,true,0,,,unused
steam_deck,true,0,,,unused
court_simulation,false,1,COURT SIMULATION GAME,Genre eyebrow stays uppercase; not localised in EN per existing en map,clean
courtroom,false,0,,,unused
judge,false,18,Judge,,clean
party,false,0,Party,,clean
party_a,false,3,Party A,,clean
party_b,false,3,Party B,,clean
witness,false,12,Witness,,clean
case,false,0,Case,Source uses 사건 in dynamic copy; UI uses Case (e.g. caseBrief.list = Case List) — consistent,clean
case_brief,false,1,Case Brief,phase.briefing renders as Case Brief,clean
case_id,true,0,,IDs never translated,unused
phase,false,3,Phase,phase.label / interaction.phase / phase.pillFormat,clean
briefing_phase,false,1,Case Brief,Source label `사건 브리핑` translated as Case Brief; glossary draft says Briefing Phase. EN UI prefers `Case Brief` for hero pill,needs-normalization
pretrial_phase,false,1,Opening Statements,glossary draft says Pretrial Phase; EN UI prefers Opening Statements,needs-normalization
interrogation_phase,false,1,Interrogation,phase.interrogation = Interrogation; glossary draft = Interrogation Phase. EN UI uses bare `Interrogation` for the pill,needs-normalization
rebuttal_phase,false,0,,Pretrial label encompasses both Phase.Pretrial and GamePhase.Phase2_Rebuttal in PHASE_LABELS,unused
evidence_phase,false,1,Evidence Phase,tactical.advance.toEvidence = `To Evidence Phase`,clean
re_examination_phase,false,1,Final Interrogation,glossary draft = Re-examination Phase; EN UI uses `Final Interrogation` (`최종 심문 단계` literal). Confirm with design,needs-normalization
mediation_phase,false,1,Mediation,phase.mediation = Mediation. Source label `판결 진입` (Verdict Entry) functionally maps to Mediation,clean
verdict_phase,false,1,Verdict,phase.verdict / verdict.title etc.,clean
result_phase,false,1,Result,phase.result = Result,clean
verdict,false,15,Verdict,sort.authority=Authority is the score axis of same Korean character `판결` — flagged in DELTA,needs-normalization
judgment_basis,false,0,,,unused
responsibility,false,4,Responsibility,verdict.step.responsibility / verdict.responsibility.*,clean
solution,false,3,Solution / Solutions,verdict.step.solution / verdict.meta.solutions / verdict.confirm.solutionsTitle,clean
dispute,false,30,Disputes / Dispute,glossary `Dispute`. Used consistently,clean
claim,false,0,Claim,Used inside dynamic verdict prose only — out of scope,unused
fact,false,1,True (badge),verdict.badge.true=True is the verdict badge for `사실`. The standalone Korean noun `사실` is not surfaced as a UI label,clean
truth,false,2,Truth,target.drawer.lieStagesHelp uses `truth access`,clean
hidden_truth,false,1,Not yet revealed,verdict.fact.locked enforces gating; verified no truth leak,clean
surface_text,false,0,,Surface text vs deep text is engine-only; no UI label,unused
evidence,false,40,Evidence,Used everywhere (notebook / detail / footer),clean
evidence_card,false,0,Evidence card,Concept exists in CSS class names; no user-facing label uses Evidence Card,unused
evidence_stage,false,2,Stage / Investigation Stage,evidence.detail.stagesLabel = Investigation Stages; interaction.investigationStage = Stage {stage},clean
deep_investigation,false,0,Deep Investigation,Engine concept; not a UI label,unused
testimony,false,0,Testimony,Mentioned in `hotbar.witness.subtitle` indirectly,unused
statement,false,7,Statement,dialogueLog.entry.detailSubtitleRecord / notes.* / verdict.confirm.factTrue uses the noun,clean
