row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/cases/generated/family-01.json $.duo.relationshipLedger[1].description","caseMeta","ledger-2","P0","truth-leak/evidence-unlock","윤정후가 오래 어머니 통장으로 보낸 정기 지원금과, 윤태성의 공장 위기 때 어머니 통장을 거쳐 전달된 3억원의 존재를 윤태성은 전혀 모른다.","윤정후가 오래 어머니 통장으로 보낸 정기 지원금과, 윤태성의 공장 위기 때 어머니 통장을 거쳐 전달된 3억원의 존재를 윤태성은 전혀 모른다.","윤태성이 어머니에게서 도움을 받아 왔다고 기억하지만, 실제 출처와 전달 순서는 아직 확인되지 않았다.","Phase0 history renders active/direct relationshipLedger entries; d-3 hidden fact is exposed before investigation."
"src/data/cases/generated/family-01.json $.duo.relationshipLedger[2].description","caseMeta","ledger-3","P0","truth-leak/evidence-unlock","윤태성의 출생 비밀 — 아버지의 친자가 아니라는 사실을 B만 알고 있다.","윤태성의 출생 비밀 — 아버지의 친자가 아니라는 사실을 B만 알고 있다.","어머니가 남긴 오래된 가족 기록을 윤정후만 알고 있다.","Phase0 history renders this direct ledger before e-7/d-4 gate; concrete birth-secret fact leaks."
"src/data/cases/generated/family-01.json $.duo.partyA.sensitivePoints[1]","caseMeta","partyA.sensitivePoints","P0","truth-leak/profile-gate","공장 위기와 3억원 지원 이력","공장 위기와 3억원 지원 이력","공장 위기 당시 도움의 출처","PartyStatusBar unlocks sensitive points by generic collapse, not by d-3 S5; concrete 3억원 support fact can surface early."
"src/data/cases/generated/family-01.json $.duo.partyA.sensitivePoints[2]","caseMeta","partyA.sensitivePoints","P0","truth-leak/profile-gate","출생 비밀","출생 비밀","장남 정체성에 관한 민감한 사정","Profile sensitive point directly names d-4 hidden fact before e-7/d-4 gate."
"src/data/cases/generated/family-01.json $.duo.partyB.fear","caseMeta","partyB.fear","P0","truth-leak/profile-gate","형이 출생 비밀을 알게 되는 것 — 그것이 두렵다.","형이 출생 비밀을 알게 되는 것 — 그것이 두렵다.","형이 오래된 가족 기록의 의미를 감당하지 못하는 것 — 그것이 두렵다.","Fear is shown after emotional shake, which can happen before d-4 S5; concrete hidden fact should stay surface-safe."
"src/data/cases/generated/family-01.json $.duo.partyB.sensitivePoints[2]","caseMeta","partyB.sensitivePoints","P0","truth-leak/profile-gate","형의 출생 비밀","형의 출생 비밀","형에게 말하지 못한 가족 기록","Generic sensitive-point unlock can reveal d-4 fact without the evidence/lieState gate."
"src/data/cases/generated/family-01.json $.duo.partyB.dailyRoutine","caseMeta","partyB.dailyRoutine","P1","truth-leak/profile-gate","가게를 운영하며 틈틈이 어머니에게 송금하고, 형 몰래 정기 지원금과 병원비를 대 왔다.","가게를 운영하며 틈틈이 어머니에게 송금하고, 형 몰래 정기 지원금과 병원비를 대 왔다.","가게를 운영하며 틈틈이 어머니 쪽 생활비를 챙겨 왔다.","PC profile drawer unlocks dailyRoutine when any dispute reaches S4; d-3 funding fact is not gated per dispute."
"src/data/cases/generated/family-01.json $.context.triggerAmplifier","caseMeta","context.triggerAmplifier","P1","evidence-unlock","초반에는 유서 비율과 요양원 방문 기록이 윤정후의 개입처럼 보인다. 그러나 공증인 메모와 자필 연습본, 오래된 계좌 흐름, 어머니 일기장이 차례로 열리면 사건의 중심은 단순한 유산 다툼을 넘어선다.","초반에는 유서 비율과 요양원 방문 기록이 윤정후의 개입처럼 보인다. 그러나 공증인 메모와 자필 연습본, 오래된 계좌 흐름, 어머니 일기장이 차례로 열리면 사건의 중심은 단순한 유산 다툼을 넘어선다.","초반에는 유서 비율과 요양원 방문 기록이 윤정후의 개입처럼 보인다. 그러나 추가 자료가 차례로 열리면 사건의 중심은 단순한 유산 다툼을 넘어선다.","Phase0 intro renders triggerAmplifier; naming late evidence sequence gives the player the unlock path before discovery."
"src/data/scriptedText/family-01.json $.channels.interrogation.entries[81].variants[0].text","dialogue","a-d-3-S3-fact-pursuit-v1","P0","truth-leak/lieState","어머니 통장에 제 동생 돈이 들어가고, 거기서 제게 나간 겁니까. 제가 받은 정기 지원금의 시작이 제 동생이었다는 말입니까.","어머니 통장에 제 동생 돈이 들어가고, 거기서 제게 나간 겁니까. 제가 받은 정기 지원금의 시작이 제 동생이었다는 말입니까.","어머니 통장으로 들어온 돈의 실제 출처가 다를 수 있다는 뜻입니까. 제가 받은 도움의 시작을 다시 봐야 한다는 말입니까.","S3 partial-slips concrete d-3 act/fact; detector excludes interrogation and exact matrix substring misses this paraphrase."
"src/data/scriptedText/family-01.json $.channels.interrogation.entries[82].variants[9].text","dialogue","a-d-3-S3-motive-search-v10","P0","truth-leak/lieState","공장 위기 때 들어온 큰돈이 제 동생 쪽이었다는 걸 봤습니다. 그래서 돈의 출처를 바로 믿지 못했습니다. 제 판단이 거기서 굳었습니다.","공장 위기 때 들어온 큰돈이 제 동생 쪽이었다는 걸 봤습니다. 그래서 돈의 출처를 바로 믿지 못했습니다. 제 판단이 거기서 굳었습니다.","공장 위기 때 들어온 큰돈의 출처가 다를 수 있다는 걸 봤습니다. 그래서 바로 믿지 못했습니다. 제 판단이 거기서 굳었습니다.","S3 line reveals d-3 source before S5 confession; keep as inference until full reveal."
