path,surface_type,case_id,authoritative_status,text_fields,estimated_text_items,notes
src/data/scriptedText/spouse-01.json,scriptedText_bundle,spouse-01,active,"variants[*].text, variants[*].behaviorHint",~5000,"NPC interrogation/evidence_present/witness/dossier/aftermath/system_message + extended channels (contradiction_pursuit, interjection, emotional_overload, trust_action, mediation, judge_question, judge_contradiction, judge_evidence_combo, judge_witness_summon, rapport_milestone, contradict_milestone). Each variant has localizable text + behaviorHint (stage direction). Tags/IDs/sourceRefs must NOT be translated. Single largest JA surface."
src/data/scriptedText/family-01.json,scriptedText_bundle,family-01,active,"variants[*].text, variants[*].behaviorHint",~5000,"Same schema as spouse-01. family-01 has highest paraphrase truth-leak risk per disclosure-policy.md §4.2 (output 비율 등 50+ paraphrases)."
src/data/scriptedText/friend-01.json,scriptedText_bundle,friend-01,active,"variants[*].text, variants[*].behaviorHint",~5000,"Same schema. friend-01 has narrower lexeme set (선을 넘는 메시지 / 거절했다는 류) per disclosure-policy.md §4.3."
src/data/scriptedAngles/spouse-01_angle_catalog.json,scriptedAngles_catalog,spouse-01,active,"angles[*].label, angles[*].description, angles[*].keywords, unlockCondition.notes, truthBoundary.beforeS5MustNotSay, truthBoundary.s5CanSay",~80-120,"Angle definitions (per dispute × angle). label/description/keywords are NPC-facing text; truthBoundary lexeme arrays are policy data — translate carefully (matching forbiddenLexemes in disclosurePolicy)."
src/data/scriptedAngles/family-01_angle_catalog.json,scriptedAngles_catalog,family-01,active,(same),~80-120,Same schema.
src/data/scriptedAngles/friend-01_angle_catalog.json,scriptedAngles_catalog,friend-01,active,(same),~80-120,Same schema.
src/data/scriptedAngles/spouse-01_judge_questions.json,scriptedAngles_judge_questions,spouse-01,active,"judgeQuestions[*].variants[*].text, .variants[*].behaviorHint",~600-800,"surface-only channel per disclosure-policy.md §2.1 — JA must preserve surface phrasing only, no truth lexemes."
src/data/scriptedAngles/family-01_judge_questions.json,scriptedAngles_judge_questions,family-01,active,(same),~700-900,Same.
src/data/scriptedAngles/friend-01_judge_questions.json,scriptedAngles_judge_questions,friend-01,active,(same),~500-700,Same.
src/data/scriptedAngles/spouse-01_interrogation_answers.json,scriptedAngles_answers,spouse-01,active,"answers[*].variants[*].text, .variants[*].behaviorHint",~8000-10000,"NPC answers indexed by (party, dispute, questionType, angleId, lieState). lieState gating per disclosure-policy.md §3.3 is critical for JA truth-boundary preservation."
src/data/scriptedAngles/family-01_interrogation_answers.json,scriptedAngles_answers,family-01,active,(same),~8000-10000,Same.
src/data/scriptedAngles/friend-01_interrogation_answers.json,scriptedAngles_answers,friend-01,active,(same),~6000-7000,Same.
src/data/scriptedAngles/spouse-01_special_scripts.json,scriptedAngles_special,spouse-01,active,"confessions[*], s5RequestionResponses[*], postS5Requestions[*], interjections[*], emotionalOverload[*], trustAction[*], evidenceDiscovery[*], judgeEvidenceCombo[*], judgeWitnessSummon[*], dossierPrompts[*]",~300-500,"Mixed channels including S5 confession (truth-OK) and surface-only judge channels (truth-forbidden). Per-array truth-boundary differs."
src/data/scriptedAngles/family-01_special_scripts.json,scriptedAngles_special,family-01,active,(same),~500-700,Same.
src/data/scriptedAngles/friend-01_special_scripts.json,scriptedAngles_special,friend-01,active,(same),~300-500,Same.
src/data/scriptedAngles/free_interrogation_mapping_schema.json,test_or_policy,(none),test_or_policy,"schema/policy structure",~30,"Schema/mapping spec for free interrogation routing. Not user-facing dialogue — translate only if labels surface in UI; default skip for JA pilot."
src/data/scriptedAngles/free_interrogation_prompt_blocks.md,test_or_policy,(none),test_or_policy,policy markdown,N/A,Internal LLM prompt blocks; not displayed to player. Skip translation.
src/data/scriptedAngles/free_interrogation_response_policy.json,test_or_policy,(none),test_or_policy,"policy lexeme arrays + fallback strings",~50,"Heuristic/fallback response strings — some user-facing fallback messages may need JA. Audit before translating."
src/data/scriptedAngles/free_interrogation_test_cases.json,test_or_policy,(none),test_or_policy,test fixtures,~200+,QA fixtures only. Do not translate.
src/data/dialogues/phase1/spouse-01.json,phase1_dialogue,spouse-01,active,"dialogues[*].text, dialogues[*].behaviorHint, dialogues[*].options[*].text",~40-60,"Phase 1 opening statement script with branching choices. Text channels = mixed: judge prompts (surface-only), party speeches (lieState-gated), system narration."
src/data/dialogues/phase1/family-01.json,phase1_dialogue,family-01,active,(same),~40-60,Same.
src/data/dialogues/phase1/friend-01.json,phase1_dialogue,friend-01,active,(same),~40-60,Same.
src/data/dialogues/generic-phase1.ts,phase1_dialogue_generic,(generic fallback),likely_active,"exported strings (KO)",~50-80,"Generic fallback phase1 lines — used if a case-specific file is missing. Likely_active because runtime may load it as a fallback."
src/data/dialogues/mediation/spouse-v3-01.json,mediation_dialogue,spouse-01,active,"paths.{immediate|conditional|postpone|fact_first}.judge, paths.*.dialogues[*].text, paths.*.dialogues[*].behaviorHint",~10-20,"Mediation script keyed by 4 mediation paths. spouse-v3-01 alias resolves to spouse-01 via mediationScriptLoader.ts versioned-alias rule."
src/data/dialogues/mediation/family-v3-01.json,mediation_dialogue,family-01,active,(same),~10-20,Same.
src/data/dialogues/mediation/friend-v3-01.json,mediation_dialogue,friend-01,active,(same),~10-20,Same.
src/data/dialogues/mediation/spouse-v2-01.json,mediation_dialogue,spouse-01,legacy,(same),~10-20,Older v2 superseded by v3-01 via versioned-alias priority. Loaded into bundle but unreachable.
src/data/dialogues/mediation/spouse-05.json,mediation_dialogue,(legacy spouse case),legacy,(same),~10-20,Legacy spouse case file. Memory `project_active_cases.md` confirms only 3 active.
src/data/dialogues/mediation/spouse-11.json,mediation_dialogue,(legacy spouse case),legacy,(same),~10-20,Legacy.
src/data/dialogues/mediation/spouse-12.json,mediation_dialogue,(legacy spouse case),legacy,(same),~10-20,Legacy.
src/data/dialogues/mediation/spouse-new-01.json,mediation_dialogue,(legacy spouse case),legacy,(same),~10-20,Legacy.
src/data/dialogues/mediation/(other 110+ files),mediation_dialogue,(legacy cases),legacy,(same),"~10-20 each, ~1500-2500 total","civic-new-* / family-new-* / friend-new-* / neighbor-* / online-* / partnership-* / professional-* / tenant-* / workplace-* / headline-* — bundled by import.meta.glob but unreachable in active 3-case build per project_active_cases.md."
