key_or_source,locale,current_proposal,shorter_alternative,notes
hotbar.slot.fact,en,Fact Pursuit,Facts,Apply when [data-screen-bucket=sm or xs]. Thread-04 P0-2.
hotbar.slot.motive,en,Motive Search,Motive,Compact alias for narrow buckets.
hotbar.slot.empathy,en,Empathy Approach,Empathy,Compact alias.
hotbar.slot.free,en,Free Question,Free Q,Compact alias.
hotbar.slot.evidence,en,Present Evidence,Evidence,Compact alias.
hotbar.slot.witness,en,Call Witness,Witness,Compact alias.
hotbar.special.separation,en,Separate Interrogation,Separate,Compact alias for max-width 56-92px chip.
hotbar.special.confidential,en,Confidential Protection,Confidential,Compact alias.
hotbar.special.immediate,en,Demand Answer,Immediate,Compact alias. JA: 即答 / zh-CN: 即答.
hotbar.choice.fact.title,en,Fact Pursuit — focus on contradictions,"Fact Pursuit / Focus on contradictions","Split title + subtitle pattern. Same for motive / empathy."
hotbar.choice.motive.title,en,Motive Search — surface hidden disputes,"Motive Search / Surface hidden disputes",Same pattern.
hotbar.choice.empathy.title,en,Empathy Approach — invite confession,"Empathy Approach / Invite confession",Same pattern.
combination.kindLabel.upgradeEvidence,en,Evidence Strengthened,Evidence ↑,Inline kind tag in combination feed. Thread-01 P0.
combination.kindLabel.upgradeDispute,en,Dispute Strengthened,Dispute ↑,Same.
combination.kindLabel.reframeEvidence,en,Evidence Reframed,Evidence reframed,Same.
combination.kindLabel.reframeDispute,en,Dispute Reframed,Dispute reframed,Same.
combination.kindLabel.elevateReliability,en,Reliability Raised,Reliability ↑,Same.
court.advance.banner,en,You can {label}.,Ready: {label}.,"Banner over hotbar. Combined with verb Advance to Verdict overflows. Use Ready: prefix and render label as button. Thread-04 P1-5."
verdict.footer.submitBlocked,en,Judge every dispute first ({done}/{total}),Judge all disputes first ({done}/{total}),Inline progress indicator.
target.drawer.contradictionNote,en,Tracked per dispute. Reaching 5/5 lands a decisive contradiction and forces a confession.,Tracked per dispute. 5/5 forces a confession.,Right-panel drawer ~280px. Wraps to 4 lines.
target.drawer.lieStagesNote,en,"Fact Pursuit, Evidence Presentation, and Empathy Approach push the gauge up.","Pushed up by Fact Pursuit, Evidence, or Empathy.",3-line wrap.
progression.fragments.exchangeRule,en,Trade {rate} of the same fragment for 1 different verdict fragment.,Trade {rate} same fragments → 1 different fragment.,Modal body.
combination.drawer.autoMatchCost + .autoMatchProceed,en,Auto-match consumes {cost} Skill Points. Proceed?,Auto-match for {cost} Skill Points?,Combine 2 lines into 1.
tactical.special.confidentialDesc,en,Promise confidentiality to lower defenses.,Lower defenses by promising confidentiality.,Action card description ~3 lines KO → 4 lines EN.
result.judgeArchetype.* (9 entries),en,sentence-length judge persona descriptions 14–22 words,≤14 words; lead with archetype noun then one short clause,Persona block fixed-width on result screen. Thread-01 P1.
court.tools.investigation,en,Investigation Resource,Token (compact) / Investigation Resource (tooltip),Header shows icon + counter only; tooltip is full text.
court.tools.skill,en,Skill Points,Skill (compact),Same header pattern.
court.tools.courtControl,en,Court Control,Court (compact),Same header pattern.
testConsole.investigationTokens,en,Investigation Token,Token,Test console resource head — Thread-04 P2-3.
testConsole.skillPoints,en,Skill Point,Skill,Same.
testConsole.courtControl,en,Court Control,Court,Same.
pc.home.guide.body,ja,モードを選び、セッションを決めて事件をクリックすると、ブリーフィングを経てすぐに公判が始まります。,モードを選びセッションを決めて事件をクリックすれば、すぐに公判が始まります。,Home top-bar guide popover.
pc.intro.slide1.body,ja,質問・証拠・判断を組み合わせて、食い違う真相を見極める模擬法廷ゲームです。,(verify on S/XS — split into two short clauses if needed),Centered hero copy.
pc.settings.data.reset.desc,ja,セーブスロット・事件進行・裁判官の傾向・実績・プロフィールをすべて削除します。元に戻せません。,Split into two <p>: 削除対象: … / 元に戻せません。,Danger action description.
pc.settings.about.credit.desc,ja,ソロモン法廷 ─ AI同士の対立を、人の知恵で裁くリプレイ型推理ゲーム,AI同士の対立を、人の知恵で裁くリプレイ型推理 (drop subtitle prefix),"About credit row. Note: branding ソロモン法廷 to be aligned with home_brand decision."
pc.profile.enhance.hint,ja,各素材スロットを必要数まで満たすと強化ボタンが有効になります。強化が完了すると、その項目のレベルと称号の合計レベルが同時に上がります。,Render as two <p>: split at 「。」,Forge modal help.
