priority,locale,key_or_source,issue,recommendation
PASS,all,decision 1 (numeric prefix),"pc.verdict.step.{fact|responsibility|solution|confirm}: KO retains `01 / 02 / 03 / 04` prefix; en/ja/zh-CN drop. pc.resultTab.* not in this batch (Codex pending other surfaces). Decision 1 correctly applied for verdict steps.",no action
PASS,en|ja|zh-CN,decision 5 (compact aliases),"9 expected `.compact` suffix keys × 4 locales = 36 entries verified. Slot family: pc.hotbar.slot.{fact|motive|empathy|free|evidence|witness}.compact. Special family: pc.hotbar.special.{separation|confidential|immediate}.compact. EN values shortened (Fact/Motive/Empathy/Free/Evidence/Witness + Separate/Protect/Demand). JA + zh-CN compact = same as `.label` (no compact form needed per Thread-05 LONG_TEXT_RECOMMENDATIONS — JA/zh-CN do not need compact aliases).",no action
PASS,all,decision 8 (forbidden-brand linter),"grep across `src/i18n/messages/**` for `Project Solomon` / `Solomon's Dilemma` / `Solomon Court` / `ソロモン法廷` / `所罗门的法庭` / `所罗门的两难` / `所罗门困境`: zero matches in new verdict.ts + hotbar.ts.",no action
PASS,all,disclosure-policy lexeme leak,"pc.verdict.fact.locked keeps abstract gating in all 4 locales (KO 아직 밝혀지지 않은 내용입니다 / EN This has not been revealed yet. / JA まだ明らかになっていない内容です / zh-CN 该内容尚未揭示) — no truth content exposed. pc.verdict.factOption.* uses {party} placeholder, no case-specific truth content.",no action
PASS,zh-CN,裁决 / 判决 process-vs-record split,"verdict.sidebar.eyebrow=裁决工作台 + title.final=最终裁决 + footer.submit=确认裁决 + footer.submitting=正在记录裁决 (process/action). verdict.step.confirm=判决书 (record/document). hotbar.advance.interrogation=进入裁决阶段 (process). Split correctly applied per Thread-05 FINAL_NORMALIZED_TERMS row notes.",no action
P1,ko,lie_state_s4 / lie_state_s5 KO source vs glossary mismatch,"verdict.ts: lie_state_s4 KO=한계 / lie_state_s5 KO=고백. Glossary (line 109-110): lie_state_s4 KO=붕괴 / lie_state_s5 KO=자백. KO source canonical (Codex preserved component literal); glossary KO field is stale.","Update glossary lie_state_s4 KO 붕괴→한계 and lie_state_s5 KO 자백→고백 to match canonical source. Then verify EN/JA/zh-CN values across the cluster (see next 2 rows)."
P1,en,lie_state_* EN form scheme conflict (noun vs adjective/verb),"verdict.ts EN: Defensive / Shaken / Excusing / Cornered / At Limit / Confessed (mostly adjective/verb forms). Glossary EN (lines 105-110): Defense / Wavering / Excuse / Cornered / Breaking / Confession (noun forms). Different schema.","Pick one scheme. If Codex schema canonical, update glossary EN values. Recommend Codex schema (Defensive/Shaken/Excusing/Cornered/At Limit/Confessed) — reads more naturally as character state on a meter. Will affect glossary lie_state_s0/s1/s2/s4/s5 EN rows."
P1,ja|zh-CN,lie_state_* JA / zh-CN drift from glossary,"JA: 防御/動揺/弁明/窮地/限界/告白 (Codex). Glossary JA: 防衛/動揺/弁明/窮地/崩壊/自白. Mismatches at S0 (防御 vs 防衛), S4 (限界 vs 崩壊), S5 (告白 vs 自白). zh-CN: 防备/动摇/辩解/被逼入角/到达极限/承认 (Codex). Glossary zh-CN: 防御/动摇/辩解/窘迫/崩溃/自白. Mismatches at S0 (防备 vs 防御), S3 (被逼入角 vs 窘迫), S4 (到达极限 vs 崩溃), S5 (承认 vs 自白).","After KO/EN scheme decision, propagate to JA/zh-CN. Recommend updating glossary to match Codex (KO source canonical, EN scheme = adjective/verb). Verify JA 告白 vs 自白 and zh-CN 承认 vs 自白 with native review — 自白 is more legal/specific (`confession` proper) while 告白/承认 lean to general admission."
P1,en,emotion_defensive EN deviation,"hotbar.ts: pc.hotbar.emotion.defensive EN=Defensive. Glossary line 100: emotion_defensive EN=Guarded. Same KO 경계.","Pick one. Recommend Codex value Defensive (matches lie_state_s0 Defensive scheme + reads naturally as emotion meter state). Update glossary."
P1,en,emotion_angry EN deviation,"hotbar.ts: pc.hotbar.emotion.angry EN=Agitated. Glossary line 103: emotion_angry EN=Enraged. Same KO 격앙.","Pick one. Both reasonable; Agitated is milder than Enraged. Recommend Codex Agitated for emotion meter (less dramatic than the rare-trigger 격앙 outburst). Update glossary if Agitated stays."
