id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-1_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-1].description,"영수증(머리끈/틴트), 오피스텔 GPS, 새벽 통화가 겹치며 d-1은 외도 의심 프레임으로 굳어졌다.","Receipts (hair ties/tint), officetel GPS, and early morning calls overlapped, solidifying d-1's suspicion of infidelity.",レシート（ヘッドストラップ/ティント）、オフィステルGPS、夜明け通貨が重なり、d-1は外道疑いフレームで固まった。,收据（发带/染发剂）、办公室电话 GPS 和清晨通话重叠，进一步证实了 d-1 对不忠的怀疑。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-1_.distortionDirection,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-1].distortionDirection,"A는 외도 쪽으로, B는 숨김 이유를 말하지 않은 채 생활 패턴만 분리해 기억한다.",,Aは外道の方に、Bは隠された理由を言わずに生活パターンだけ分離して覚えている。,A记得这件事，而B只记得生活方式，没有提及隐藏的原因。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-2_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-2].description,시댁 이야기가 나오면 크게 부딪힌다는 기억 때문에 B는 형네 사정을 말하지 않는 쪽을 택했다.,B chose not to talk about her in-laws' situation because she remembered that there would be a lot of conflict when the topic of her in-laws came up.,シダの話が出れば大きくぶつかるという記憶のため、Bは兄の事情を言わない方を選んだ。,B选择不谈论公婆的情况，因为她记得一提到公婆的话题就会有很多冲突。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-3_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-3].description,"B는 개인 비자금에서 3,000만원을 형에게 현금 전달했고, A는 위임장을 조작해 공동 적금 2,000만원을 해지한 뒤 전액을 투자방에 넣었다가 잃었다.","B gave 30 million won in cash from his personal slush fund to his brother, and A manipulated the power of attorney to cancel the joint savings account of 20 million won and put the entire amount into an investment room and lost it.",Ｂは個人非資金で３０００万ウォンを兄に現金渡し、Ａは委任状を操作して共同積金２０００万ウォンを解除した後、全額を投資室に入れて失った。,B将个人行贿基金中的3000万韩元现金交给了弟弟，A则操纵委托书取消了2000万韩元的共同储蓄账户，并将全部金额放入投资室并丢失。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-4_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-4].description,숨김의 시작과 실제 송금 실행의 순서는 서로 다르다.,The order of starting the hiding and actually executing the remittance is different.,隠しの始まりと実際の送金実行の順序は異なります。,开始隐藏和实际执行汇款的顺序不同。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-4_.distortionDirection,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-4].distortionDirection,각자 자기에게 유리한 선후만 먼저 강조한다.,,各自に有利な先後のみ先に強調する。,每个人首先只强调那些对他/她有利的事情。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.knowledgeScope,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].knowledgeScope,1주일에 2~3번 방문하는 차량을 기억한다. 정확한 호수는 모르지만 그 층에 여자 혼자 사는 집은 없는 것으로 안다.,"I remember the car visiting 2-3 times a week. I don't know the exact number, but I know that there are no houses on that floor where women live alone.",1週間に2～3回訪れる車両を覚えている。正確な湖は知らないが、その階に女一人暮らす家はないと分かる。,我记得这辆车每周来访2-3次。我不知道具体数字，但我知道那一层没有女性独居的房子。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.name,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].name,오피스텔 경비,Officetel Guard,オフィステル警備員,办公公寓保安,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.surfaceKnowledge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].surfaceKnowledge,오피스텔 출입 빈도와 해당 층 거주 현황을 아는 제3자 증인이다.,He is a third-party witness who knows the frequency of access to the officetel and the status of residence on the relevant floor.,オフィステル出入頻度と該当階居住現況を知る第三者証人だ。,他是第三方证人，知道进入办公电话的频率以及相关楼层的居住状况。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressA,이쪽 분,This person,こちらの方,这个人,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressB,그 차 주인분,The car owner,その車の主人,车主,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressJudge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressJudge,재판관님,Your Honor,裁判官,启禀大人,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.occupation,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.occupation,경비원,security guard,警備員,保镖,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
