screen_or_component,text_surface,source_keys,layout_constraint,notes
PCApp splash,brand title,brand.fullTitle,.pc-splash__title font-size:32px letter-spacing:0.04em — single line,"KO/EN/JA fit; zh-CN shortest. EN '"" Verdict Zero: Trial of Truth"" 28 chars. No nowrap — wraps if needed."
PCApp splash,subtitle,splash.subtitle,.pc-splash__sub letter-spacing:0.16em (no uppercase),"EN already uppercase; KO/JA/zh-CN tracking distorts CJK — scope to html[lang^='en']."
PCApp splash,no language switcher,—,—,"PCLanguageSelector removed; first-launch users with mismatched browser locale cannot change language until they reach Settings."
PCApp loading-screen (steam auth),title + description + retry,steam.authRequired.title / .description / .retry,.pc-loading-screen__card,"All localized. EN 'Steam authentication required' is the longest; description wraps."
PCApp loading-screen (session prepare),title + description,session.preparing.title / .description,.pc-loading-screen__card,"Localized."
PCIntroSlides brand band,brand-name + brand-copy + kicker,brand.fullTitle + splash.subtitle + slide.kicker,inline-flex single row .pc-intro__brand,"EN form 'Verdict Zero: Trial of Truth | COURT SIMULATION GAME | <kicker>' overflows at 1280×800; needs flex-wrap and ellipsis."
PCIntroSlides slide body,kicker / title / body,PC_HOME_INTRO_SLIDES (hardcoded ko),.pc-intro__body,"Slides themselves still ko literals — not yet localized."
PCIntroSlides footer,buttons '건너뛰기' / '이전' / '로비 입장' / '다음',—,.pc-intro__skip / .pc-intro__ghost / .pc-intro__primary,"Hardcoded ko; need intro.skip / intro.prev / intro.enter / intro.next keys."
PCHomeScreen home title,h1 game title,home.gameTitle,.pc-home-v2__hero h1 'white-space:nowrap; font-size: clamp(44px, 4.6vw, 64px)' + 2× 48px scale ornaments + 28px gaps,"EN 28 chars × ~30px ≈ 840-980px; tight at 1280×800. Needs controlled wrap."
PCHomeScreen home eyebrow,subtitle,splash.subtitle,.pc-home-v2__eyebrow text-transform:uppercase + letter-spacing:0.2em,"P0 — uppercase no-op for KO/JA/zh-CN but tracking distorts CJK; scope to en only."
PCHomeScreen home tagline,p,home.tagline,.pc-home-v2__hero p font-size:18px,"EN 'Take the bench…' 55 chars vs KO ~24 chars; wraps fine."
PCHomeScreen ModeCard badge,'NORMAL MODE' / season.name,inline literal + season.name (ko),.pc-mode-card__badge text-transform:uppercase + letter-spacing:0.2em,"P0 — mixed source: EN brand string OK; KO season.name distorted. Either split classes or scope to en."
PCHomeScreen ModeCard title,'일반 모드' / '시즌 모드',inline literal,.pc-mode-card__title font-size:28px,"Hardcoded ko; needs home.mode.general / .season keys."
PCHomeScreen InfoCard,title='리더보드' subtitle=season.name actionLabel='재판관 정보 >',inline,.pc-home-info-card,"Hardcoded ko."
PCHomeScreen DepthHeader,eyebrow='GENERAL MODE / JUDGE DESK / SETTINGS' + title='일반 모드 / 재판관 정보 / 설정' + description (ko),inline,.pc-depth-header__copy > span (uppercase + 0.2em),"Eyebrows are intentional EN brand constants; titles + descriptions need home.* keys."
PCHomeScreen judge desk tabs,'정보 확인 / 판결 기록 / 재판관 관리',inline,.pc-desk-tab min-width:132px,"Hardcoded ko; needs home.judgeDesk.tab.* keys."
