source_file,source_text,proposed_key,target_text,notes
src/i18n/messages.ts,Project Solomon,app.title,Project Solomon,Already wired. Locked glossary term — keep verbatim.
src/i18n/messages.ts,COURT SIMULATION GAME,splash.subtitle,COURT SIMULATION GAME,Genre eyebrow. EN keeps verbatim per existing en map.
src/i18n/messages.ts,언어,language.selectorLabel,Language,Already wired.
src/i18n/messages.ts,표시 언어 선택,language.selectorTitle,Select display language,Already wired.
src/i18n/messages.ts,Steam 인증이 필요합니다,steam.authRequired.title,Steam authentication required,Already wired.
src/i18n/messages.ts,Steam 클라이언트와 서버 인증 상태를 확인한 뒤 다시 시도하세요.,steam.authRequired.description,"Check the Steam client and server authentication state, then try again.",Already wired.
src/i18n/messages.ts,다시 시도,steam.authRequired.retry,Retry,Already wired.
src/i18n/messages.ts,Steam 인증에 실패했습니다.,steam.authFailedFallback,Steam authentication failed.,Already wired.
src/i18n/messages.ts,세션 준비 중,session.preparing.title,Preparing session,Already wired.
src/i18n/messages.ts,사건 데이터와 재판 환경을 불러오고 있습니다.,session.preparing.description,Loading case data and the courtroom environment.,Already wired.
src/components/pc/home/PCHomeScreen.tsx:42,총점,sort.total,Total,Score axis label (PCHomeScreen SORTS array). Module-level constant.
src/components/pc/home/PCHomeScreen.tsx:43,탐구,sort.insight,Insight,Score axis label. Distinct from judgeDesk.axes.inquiry (judge axis).
src/components/pc/home/PCHomeScreen.tsx:44,판결,sort.authority,Authority,Score axis label. Distinct from phase.verdict (phase) or verdict.* keys.
src/components/pc/home/PCHomeScreen.tsx:45,해결,sort.wisdom,Wisdom,Score axis label. Distinct from verdict.step.solution (gameplay step).
src/components/pc/home/PCHomeScreen.tsx:49,01 결과 확인,resultTab.result,01 Result,Shared with PCResultScreen.tsx:28.
src/components/pc/home/PCHomeScreen.tsx:50,02 판결 선고,resultTab.verdict,02 Verdict,Shared with PCResultScreen.tsx:29.
src/components/pc/home/PCHomeScreen.tsx:51,03 후일담,resultTab.epilogue,03 Epilogue,Shared with PCResultScreen.tsx:30.
src/components/pc/home/PCHomeScreen.tsx:52,04 보너스,resultTab.bonus,04 Bonus,Shared with PCResultScreen.tsx:31.
src/components/pc/home/PCHomeScreen.tsx:282,도움말,home.helpTitle,Help,Lobby help interaction title.
src/components/pc/home/PCHomeScreen.tsx:283,PC 로비 가이드,home.helpSubtitle,PC Lobby Guide,
src/components/pc/home/PCHomeScreen.tsx:284,모드를 고르고 세션을 선택한 뒤 사건을 클릭하면 브리핑을 거쳐 바로 재판이 시작됩니다.,home.helpBody,Pick a mode and a session, then click a case — the brief loads and the trial begins.,
