id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_conditional_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[conditional].judge,"핵심 책임을 분리한 조건부 조정을 먼저 제시하겠습니다. 유서 작성 절차, 공증본과 자필 연습본의 차이, 장기간 돌봄과 계좌 흐름을 한 덩어리로 처리하지는 않겠습니다.","I will start by proposing a conditional mediation that separates the core responsibilities. The will-drafting procedure, the difference between the notarised copy and the handwritten draft, and the long-running care and account flow will not be bundled into one matter.",核心責任を切り分けた条件付き調停案をまず提示します。遺言書作成の手続き、公証本と自筆練習本の差、長期にわたる介護と口座の流れを、一括にまとめて扱うことはしません。,我先提出一份将核心责任分开来看的条件式调解方案。遗嘱的形成程序、公证副本与亲笔练习本的差异、长期照护与账户流向，这几项不放在一起合并处理。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_fact_first_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[fact_first].judge,"해결책보다 사실관계부터 정리하겠습니다. 유서 작성 절차, 자필 연습본과 공증본의 차이, 장기간 돌봄과 계좌 흐름의 순서부터 고정하겠습니다.","Before any solution, I will fix the facts. The will-drafting procedure, the difference between the handwritten draft and the notarised copy, and the order of the long-running care and account flow come first.",解決策よりも先に、事実関係から整理します。遺言書作成の手続き、自筆練習本と公証本の差、長期にわたる介護と口座の流れの順序から、まず固めます。,比起解决方案，先把事实经过整理清楚。遗嘱形成程序、亲笔练习本与公证副本的差异、长期照护与账户流向的先后次序——先把这些固定下来。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_immediate_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[immediate].judge,정리된 쟁점을 기준으로 즉시 판단하겠습니다. 판결 단계로 넘어가겠습니다.,I will rule on the issues as currently organised. We move to the verdict stage.,整理された争点を基準に、ただちに判断します。判決の段階へ進みます。,我将以已经整理的争点为依据，立即作出判断，进入裁决阶段。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
mediation_judge_line_src_data_dialogues_mediation_family-01_paths_postpone_.judge,mediation_judge_line,src/data/dialogues/mediation,family-01,paths[postpone].judge,확정 가능한 사실만 먼저 고정하고 나머지는 보류하겠습니다. 어머니 뜻을 누가 어떻게 이해했는지는 기록과 증언을 나눠 보겠습니다.,"I will fix only the facts that can be confirmed today and reserve the rest. How each side understood our mother's wishes will be looked at separately, between record and testimony.",確定できる事実だけを先に固め、残りは留保します。母の意思を誰がどう汲み取っていたかは、記録と証言を分けて見ていきます。,现在能确定的事实先固定下来，剩下的暂且搁置。母亲的意思是谁、又是怎样理解的——记录与证言要分开来看。,Mediation path judge line. Party a/b mediation dialogue entries are excluded.
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].behaviorHint,"윤태성 책임이 중심에 놓이되, 윤정후의 문서 책임은 지워지지 않는 결말이다.",,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v1_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].text,"판결 뒤 윤태성은 자신이 붙잡은 장남의 자리가 어머니 뜻을 제대로 듣는 데 방해가 되었음을 인정해야 했다. 윤정후가 문서를 손댄 책임은 별도로 남았지만, 태성의 전면 무효 주장과 동생에 대한 단정은 핵심 사실을 오래 가렸다. 재산 정산은 자필 연습본과 오래 도운 일을 확인하는 절차로 넘어갔고, 태성은 더 받아야 한다는 말보다 먼저 자신이 무엇을 당연시했는지 설명해야 했다. 두 형제의 대화는 사과보다 사실 확인에서 다시 시작됐다.","After the verdict, the older brother sat for a long time without speaking. The court had named the larger share of fault as resting on his side, and he did not look like a man who could argue back.",判決のあと、最初に立ち止まらなければならなかったのはユン・テソンさんだった。,尹泰成必须承认，自己一直紧抓的长子位置，反而挡住了母亲真正的心意。尹正厚在文件处理上的疑点另算，但泰成对弟弟的全盘断言长时间盖住了核心事实。份额安排的事进入逐项核对的程序，泰成在开口要更多之前，先要解释自己把哪些事当成理所当然。两兄弟的对话也从道歉之前先回到事实确认。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].behaviorHint,윤태성의 과잉 단정과 장남 당연시를 후일담 중심축으로 둔다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v2_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].text,"윤태성은 동생이 어머니를 이용했다는 말로 재판을 밀고 왔지만, 마지막에는 그 말이 자신의 상처와 체면에서 출발했다는 판정을 받아들여야 했다. 윤정후의 유서 개입은 위법으로 남았으나, 자기 몫을 줄인 방향과 오래 숨긴 도움이 드러나면서 태성의 공격은 힘을 잃었다. 이후 정산 과정에서 태성은 어머니 돈이라고 믿었던 그 돈의 출처를 다시 확인했고, 동생에게 돌려야 할 말과 돈을 따로 적어 내려갔다. 관계 회복은 즉시 오지 않았지만, 분노만으로는 더 갈 수 없다는 선은 분명해졌다.","He left the courthouse alone that afternoon. The reading had gone against him, and the silence on the way out was heavier than anything either of them had said inside.",長男としての立場と相続を当然視してきた経緯が、より重く扱われた。,宣判之后，尹泰成必须承认，自己一直紧抓的长子位置，反而挡住了母亲真正的心意。尹正厚在文件处理上的疑点另算，但泰成对弟弟的全盘断言长时间盖住了核心事实。份额安排的事进入逐项核对的程序，泰成在开口要更多之前，先要解释自己把哪些事当成理所当然。两兄弟的对话也从道歉之前先回到事实确认。一切都需要时间。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].behaviorHint,법적 위조보다 윤태성의 해석 왜곡이 더 큰 후일담이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_aftermath_.entries_a_primary_fault_.variants_a_primary_fault-v3_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].text,"재판은 윤정후의 조작을 가볍게 보지 않았지만, 윤태성이 어머니의 말년을 자기 공로의 증거처럼 붙들어 온 책임을 더 크게 짚었다. 태성은 유산 비율이 모욕처럼 느껴졌다는 말 뒤에, 자신이 동생의 침묵을 곧바로 탐욕으로 읽은 이유를 인정했다. 남은 절차에서는 유서 효력과 오래된 자금 흐름금 정산이 분리됐고, 태성은 먼저 받은 도움의 실체를 확인하는 자리에 앉게 됐다. 그에게 판결은 패소보다 자기 기억을 다시 쓰는 일에 가까웠다.","In the days that followed, friends noticed a change in him. He spoke less of the will and more of the time he had spent away from his mother in her final years.",兄の早すぎた断定が誤解を広げた中心の要因として整理された。,法庭散场后，尹泰成必须承认，自己一直紧抓的长子位置，反而挡住了母亲真正的心意。尹正厚在文件处理上的疑点另算，但泰成对弟弟的全盘断言长时间盖住了核心事实。份额安排的事进入逐项核对的程序，泰成在开口要更多之前，先要解释自己把哪些事当成理所当然。两兄弟的对话也从道歉之前先回到事实确认。两兄弟各自承担。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
