source_file,source_text,proposed_key,target_text,notes
src/app/PCApp.tsx,솔로몬의 딜레마,splash.title,所罗门的两难,"NEW key; replace hardcoded literal in PCApp.tsx splash heading"
src/app/PCApp.tsx,재판 준비 중입니다,session.preparing.title,正在准备会话,"existing key in messages.ts; replace literal at PCApp.tsx:145"
src/components/pc/home/PCHomeScreen.tsx,도움말,pc.home.helpTitle,帮助,tooltip title
src/components/pc/home/PCHomeScreen.tsx,PC 로비 가이드,pc.home.helpSubtitle,PC 大厅指南,tooltip subtitle
src/components/pc/home/PCHomeScreen.tsx,모드를 고르고 세션을 선택한 뒤 사건을 클릭하면 브리핑을 거쳐 바로 재판이 시작됩니다.,pc.home.helpBody,选择模式与会话，再点击案件即可经过简报直接进入庭审。,help body
src/components/pc/home/PCHomeScreen.tsx,라이브 상태,pc.home.liveStatus,在线状态,panel title
src/components/pc/home/PCHomeScreen.tsx,AI 연결됨,pc.home.aiConnected,AI 已连接,connected state
src/components/pc/home/PCHomeScreen.tsx,오프라인 모드,pc.home.offlineMode,离线模式,offline state
src/components/pc/home/PCHomeScreen.tsx,설정,pc.common.settings,设置,settings button
src/components/pc/home/PCHomeScreen.tsx,솔로몬의 딜레마,pc.home.gameTitle,所罗门的两难,game title heading
src/components/pc/home/PCHomeScreen.tsx,현대판 솔로몬이 되어 판결을 내려보세요.,pc.home.tagline,化身现代所罗门，作出您的判决。,tagline
src/components/pc/home/PCHomeScreen.tsx,시즌 모드 >,pc.home.seasonModeLink,赛季模式 >,mode card link
src/components/pc/home/PCHomeScreen.tsx,재판관 정보 >,pc.home.judgeInfoLink,裁判官信息 >,mode card link
src/components/pc/home/PCHomeScreen.tsx,리더보드,pc.home.leaderboardCard,排行榜,card title
src/components/pc/home/PCHomeScreen.tsx,일반 모드,pc.home.normalMode.title,普通模式,section title
src/components/pc/home/PCHomeScreen.tsx,세션을 고르면 해당 사건 리스트로 바로 이동합니다.,pc.home.normalMode.description,选择会话即可跳转到对应的案件列表。,description
src/components/pc/home/PCHomeScreen.tsx,준비 중,pc.common.preparing,准备中,session card status
src/components/pc/home/PCHomeScreen.tsx,평균,pc.common.average,平均,stat label
src/components/pc/home/PCHomeScreen.tsx,잠김,pc.common.locked,已锁定,lock overlay
src/components/pc/home/PCHomeScreen.tsx,시즌 모드,pc.home.seasonMode.title,赛季模式,section title
src/components/pc/home/PCHomeScreen.tsx,재판관 정보,pc.home.judgeInfo.title,裁判官信息,header
src/components/pc/home/PCHomeScreen.tsx,현재 재판관의 성향과 타이틀, 판결 기록을 확인합니다.,pc.home.judgeInfo.description,查看当前裁判官的倾向、称号与判决记录。,description
src/components/pc/home/PCHomeScreen.tsx,정보 확인,pc.home.judgeInfo.tab.info,查看信息,tab
src/components/pc/home/PCHomeScreen.tsx,판결 기록,pc.home.judgeInfo.tab.records,判决记录,tab
src/components/pc/home/PCHomeScreen.tsx,재판관 관리,pc.home.judgeInfo.tab.manage,裁判官管理,tab
src/components/pc/home/PCHomeScreen.tsx,명성 진행,pc.home.reputationProgress,声望进度,progress label
src/components/pc/home/PCHomeScreen.tsx,처리 사건,pc.home.stats.casesHandled,已审案件,stat
src/components/pc/home/PCHomeScreen.tsx,최고 점수,pc.home.stats.bestScore,最高分,stat
src/components/pc/home/PCHomeScreen.tsx,평균 점수,pc.home.stats.averageScore,平均分,stat
src/components/pc/home/PCHomeScreen.tsx,시즌,pc.home.stats.season,赛季,stat
src/components/pc/home/PCHomeScreen.tsx,JUDGE AXES,pc.home.judgeAxes.eyebrow,JUDGE AXES,keep English (eyebrow style)
src/components/pc/home/PCHomeScreen.tsx,탐구(균형),pc.home.judgeAxes.inquiry,探究（均衡）,axis label
src/components/pc/home/PCHomeScreen.tsx,논리,pc.home.judgeAxes.inquiry.left,逻辑,axis end
src/components/pc/home/PCHomeScreen.tsx,직관,pc.home.judgeAxes.inquiry.right,直觉,axis end
src/components/pc/home/PCHomeScreen.tsx,판결(균형),pc.home.judgeAxes.verdict,判决（均衡）,axis label
src/components/pc/home/PCHomeScreen.tsx,엄격,pc.home.judgeAxes.verdict.left,严正,"axis end; KO source uses 엄격 but glossary trait uses 엄정 → 严正; flag normalization"
src/components/pc/home/PCHomeScreen.tsx,관용,pc.home.judgeAxes.verdict.right,宽容,axis end
src/components/pc/home/PCHomeScreen.tsx,해결(균형),pc.home.judgeAxes.resolution,解决（均衡）,axis label
src/components/pc/home/PCHomeScreen.tsx,원칙,pc.home.judgeAxes.resolution.left,原则,axis end
src/components/pc/home/PCHomeScreen.tsx,봉합,pc.home.judgeAxes.resolution.right,调和,"axis end; literal 缝合 wrong; 调和 conveys reconciliation"
src/components/pc/home/PCHomeScreen.tsx,사건 선택,pc.home.caseSelect.title,选择案件,card title
src/components/pc/home/PCHomeScreen.tsx,표시할 사건이 없습니다.,pc.home.caseSelect.empty.title,暂无可显示的案件。,empty state
src/components/pc/home/PCHomeScreen.tsx,아직 이 모드에 연결된 사건이 없습니다.,pc.home.caseSelect.empty.description,此模式尚未连接任何案件。,empty desc
src/components/pc/home/PCHomeScreen.tsx,플레이,pc.common.plays,游玩次数,stat label
src/components/pc/home/PCHomeScreen.tsx,최고,pc.common.best,最佳,stat label
src/components/pc/home/PCHomeScreen.tsx,기록 없음,pc.common.noRecord,暂无记录,empty
src/components/pc/home/PCHomeScreen.tsx,플레이 이력,pc.home.records.title,游玩记录,card title
src/components/pc/home/PCHomeScreen.tsx,선택한 사건의 플레이 기록이 없습니다.,pc.home.records.empty.title,暂无所选案件的游玩记录。,empty
