id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v1_.behaviorHint,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v1].behaviorHint,사정 확인. 차용증의 무게 각도에서 답하게 한다.,,,,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v1_.text,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v1].text,"송다은 씨, 아버지의 차용증을 확인했을 때 먼저 든 감정에 대해 말씀해 주십시오.","Ms. Song, this is a setting where it is hard to speak. Regarding how much weight you put on the IOU document, please share, at your own pace, what you found most difficult to say.",ソン・ダウンさん、借用証という具体物に向き合う重さを裁判官の前で言葉にしてください。,宋多恩女士，在反复审视那批凭据的过程中，最让您难以释怀的一段，请把您当时最在意的一段先讲出来。,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v2_.behaviorHint,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v2].behaviorHint,사정 확인. 차용증의 무게 각도에서 답하게 한다.,,,,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v2_.text,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v2].text,"송다은 씨, 차용증의 무게을 지금 다시 보면 어떤 감정이 앞서는지 말씀해 주십시오.","If there were circumstances that made it hard to raise how much weight you put on the IOU document, please explain them in your own words first.",直視を避けた具体的な瞬間と時系列に沿ってお答えください。,请在能说的范围内回顾——在反复审视那批凭据的过程中，最让您难以释怀的一段，请把记得最清楚的一段先告诉本席。,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v3_.behaviorHint,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v3].behaviorHint,사정 확인. 차용증의 무게 각도에서 답하게 한다.,,,,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v3_.text,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v3].text,"송다은 씨, 그때 말하지 못했거나 보지 못했던 부분을 솔직히 설명해 주십시오.",You do not need to lay everything out at once. Please begin with the part of how much weight you put on the IOU document that you feel ready to say today.,結論より先に来た傷の形を一つずつ整理してお答えください。,不必现在就下结论。在反复审视那批凭据的过程中，最让您难以释怀的一段，请把您能说出的部分先讲一段。,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v4_.behaviorHint,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v4].behaviorHint,사정 확인. 차용증의 무게 각도에서 답하게 한다.,,,,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v4_.text,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v4].text,"송다은 씨, 당시 감정과 지금의 판단을 나눠 말씀해 주십시오.","If part of how much weight you put on the IOU document is something you can speak about and part is not yet, please separate them and answer on the part you can.",結論を保留できた瞬間が一度でもあったかについて区別して説明してください。,宋多恩女士，在反复审视那批凭据的过程中，最让您难以释怀的一段，请把记得最清楚的一段先告诉本席。,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v5_.behaviorHint,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v5].behaviorHint,사정 확인. 차용증의 무게 각도에서 답하게 한다.,,,,Judge-authored interrogation question or judge behavior hint.
judge_question_script_src_data_scriptedAngles_friend-01_judgeQuestions_d-4_.variants_judgeq-d-4-empathy_approach-a-loan_document_weight-v5_.text,judge_question_script,src/data/scriptedAngles,friend-01,judgeQuestions[d-4].variants[judgeq-d-4-empathy_approach-a-loan_document_weight-v5].text,"송다은 씨, 이 쟁점이 본인에게 가장 부담스러운 이유를 말씀해 주십시오.","Ms. Song, if there is something about how much weight you put on the IOU document you have been carrying alone, please put it down here, in the form you are able to.",振り返って一番こたえている言葉を順を追って明らかにしてください。,请在能说的范围内回顾——在反复审视那批凭据的过程中，最让您难以释怀的一段，请把您能说出的部分先讲一段。,Judge-authored interrogation question or judge behavior hint.
