path,key_or_id,original_ko,proposed_zh_cn,risk,recommendation
src/data/scriptedText/spouse-01.json,interrogation:a|d-1|S0|fact_pursuit:a-d-1-S0-fact-pursuit-v1,"블랙박스를 열어봤을 때, 저는 이미 답을 알고 있었습니다. 매일, 같은 시간, 같은 오피스텔.","翻开行车记录仪的那一刻，我已经知道答案了。每一天、同一时间、同一栋公寓。",low,"S0 surface-only fact: visit pattern visible to A. zh-CN keeps no truth lexeme. PASS — but flag any future variant that uses 哥/侄子/委托书 in zh-CN before NPC S5."
src/data/scriptedText/spouse-01.json,evidence_present:b|e-1|early|self:b-e-1-early-self-v1,그건... 제가 산 겁니다.,那是……我买的。,low,"early lieBand admission of ownership without revealing recipient (truth = nephew). zh-CN preserves abstraction. PASS — translator must NOT add ""为了…"" recipient clause."
src/data/scriptedText/spouse-01.json,witness:w-1|vague:w-1-vague-v1,"그 차 주인분을 본 적은 있습니다. 다만 정확한 호수까지는 제가 확인하지 않습니다.","那位车主我见过。不过具体是哪一户，我没去核对过。",low,"vague witness depth: explicitly does not confirm unit. zh-CN preserves the non-confirmation. PASS — translator must NOT clarify ""哥哥住在那一层"" even if context tempts."
src/data/scriptedText/spouse-01.json,system_message:interrogation|repeat_warning,같은 질문이 맴돈다. 다른 틈을 찾아보자.,同一个问题在打转。换个切口试试。,low,"system_message stays in observation register. PASS. Confirm zh-CN ""换个切口"" doesn't read as crime jargon — alt 换个角度 if reviewer prefers."
src/data/scriptedAngles/spouse-01_judge_questions.json,judgeq-d-1-fact_pursuit-b-general-v1,"이준호 씨, 퇴근 후 오피스텔 방문과 새벽 통화는 본인 행동입니다. 어떤 날짜에 어디까지 들렀는지 시간순으로 먼저 정리해 주십시오.","李俊昊先生，下班后造访公寓和凌晨通话，都是您本人的行为。请按时间顺序先理清——哪一天、到了哪里。",medium,"judge_question = surface-only channel. Truth boundary intact in zh-CN (no 哥/侄子). Risk: translator pressed by emphasis temptation may write ""…到底見了誰?"" — must be avoided. Lock current phrasing as canonical."
src/data/scriptedAngles/spouse-01_interrogation_answers.json,b-d-1-S0-fact_pursuit-general-v1,"방문과 연락, 물건 구매가 있었던 건 맞지만 그걸 외도 정황으로 보는 해석에는 동의하지 않습니다.","造访、联络、购物，这些确实有过，但把它解读成外遇情形——这一点我不能同意。",medium,"S0 partyB statement. zh-CN ""外遇情形"" matches Korean 외도 정황 exactly. Risk: translator may instinctively soften ""外遇情形"" to ""不正当关系"" which would inflate the suspicion register. Keep the literal translation."
src/data/dialogues/phase1/spouse-01.json,index 1 speaker=a,"제 남편은 매일 퇴근하면 집으로 바로 돌아오지 않습니다.",我丈夫每天下班后并不会直接回家。,low,"Pre-interrogation phase. Surface only. PASS."
src/data/dialogues/phase1/spouse-01.json,c1 option c1_press_b,"이준호 씨, '오해'라고 하셨는데 — 어떤 부분이 오해라고 하시는 건지 구체적으로 설명해 주십시오.","李俊昊先生，您说是“误会”——具体哪一部分是误会？请详细说明。",low,"Judge press option (surface-only). PASS."
src/data/dialogues/phase1/spouse-01.json,index 28 speaker=b (c3_press),"… 가족입니다. 그 이상은… 지금은 말씀드리기 어렵습니다.",……是家人。再多的……我现在说不出口。,high,"NPC says 가족 = ""family"" as the maximum admission allowed in phase1 (per disclosure-policy §5.2 partyB S0/S1: ""사정이 있다""). zh-CN equivalent must preserve abstraction — 家人 (general family) NOT 哥/亲哥. PASS as written. Risk: translator may render 家人 → 我哥/我侄子 mistaking it for clarification — STRICT BLOCK."
src/data/dialogues/phase1/spouse-01.json,index 31 speaker=a,"가족? 무슨 가족? 어머님? 아니면 당신 형님? 재판관님, 거짓말입니다.",家人？什么家人？是婆婆？还是您哥？裁判官，他在撒谎。,critical,"⚠️ A says ""당신 형님"" (your older brother) here as a SUSPICION/accusation — not as confirmed fact. zh-CN ""您哥"" is the same suspicion register. RISK: this is a flammable lexeme — guard wrappers must allow 哥/形 as A's accusation but block it from system_message/judge_question. Translator must NOT escalate to ""您哥的家"" or other concretizations."
src/data/dialogues/phase1/spouse-01.json,index 14 speaker=a,"부모님 재산을 형이 다 날린 걸 저한테 끝까지 숨기고 있었습니다.",公婆的财产被我哥(他哥)败光的事，他到最后都瞒着我。,high,"⚠️ A reveals B's brother's past financial trouble — this IS A's narrative knowledge, not the spouse-01 anchor truth (which is care of nephew). RISK: zh-CN ""哥""(my-brother style) vs ""他哥/丈夫的哥哥"" matters. Korean ""형"" here = B's older brother (A speaks of 시아주버니/형). Recommend ""丈夫的哥哥"" (his older brother) to disambiguate. Truth boundary OK — this is in-character A's knowledge, NOT system/judge revealing the truth."
src/data/dialogues/mediation/spouse-v3-01.json,paths.conditional.judge,"각자의 책임을 따로 떼어 보는 조건부 조정안을 먼저 제시하겠습니다. 오피스텔 방문과 새벽 전화, 개인 비자금 출금, 공동 적금 해지 문제는 한꺼번에 묶어 다루지 않겠습니다.","我先提出一份将各自责任分开来看的条件式调解方案。公寓造访与凌晨通话、个人小金库的提款、共同储蓄的解约——这几件事不放在一起合并处理。",medium,"Mediation judge line names dispute SURFACES (visit/call/private fund/joint savings termination) — not the truth (forged proxy/fraud). PASS. Risk: 委托书伪造 / 投资诈骗 must remain blocked in zh-CN judge channels until NPC S5."
src/data/scriptedText/spouse-01.json (S5 confession entries),interrogation:b|d-1|S5|*,(S5 lieState confession variants — see scriptedText),例：那栋公寓是我哥的家。下班后，初中二年级的侄子常常一个人在家，所以我没告诉妻子，每天都过去陪两三个小时。,n/a (intentional reveal),"S5 confession is the LICENSED reveal point per disclosure-policy §3.3. zh-CN MUST faithfully translate the truth lexemes 哥/侄子/中学二年级/조카 돌봄 here — anonymizing them at S5 would break the game's core reveal. Recommendation: translator should treat S5 as a different rule-set from S0-S4 and have a paired checklist (truth lexemes REQUIRED at S5 vs FORBIDDEN before S5)."
src/data/confessionScripts.ts,spouse-01.B-d1.confessionMain,"그곳은 형 집입니다. 퇴근 후에 중2 조카가 혼자 있는 시간이 길어서, 제 아내에게 말하지 않고 매일 들러 2~3시간씩 머물렀습니다.",那是我哥的家。下班后初二的侄子经常一个人在家，所以我没告诉妻子，每天都过去陪两三个小时。,n/a (intentional reveal),"S5 confession dispatch. Same as above — full truth must be in zh-CN. Risk: translator over-softening (e.g., 我去看望了亲戚) breaks the reveal — REJECT softening here."
src/data/scriptedText/family-01.json,(any judge_question / system_message variant),(any variant containing ""유서를 손댄"" / ""자기 몫을 줄"" / ""20년 동안 매달 보낸"" / ""60대 40"" — disclosure-policy §4.2 paraphrase set),(zh-CN equivalents: 动过遗嘱 / 减少自己份额 / 二十年来每月寄 / 六比四),critical,"family-01 paraphrase set must be EXPANDED to zh-CN for guard wrappers. Korean evasion patterns will not auto-translate cleanly — Korean ""문서를 손으로 고친"" maps to multiple zh-CN forms (动过文书 / 改过文件 / 修改了文书). Decision needed before bulk translation: register all zh-CN paraphrase variants per case in disclosurePolicy/{caseId}.json under a new zh-CN block."
src/data/scriptedText/friend-01.json,(any judge_question / system_message variant),(any variant containing ""선을 넘는 메시지"" / ""다은이 아버지가 가져간"" / ""같은 패턴 반복"" — disclosure-policy §4.3 paraphrase set),(zh-CN equivalents: 越界的消息 / 송다은父亲取走 / 反复同样的方式),critical,"Same as family-01: friend-01 paraphrase set requires zh-CN expansion before translation begins. ""거절했다는"" in surface channel = ""曾拒绝"" — MUST stay blocked from judge channel only."
