path_pattern,surface_type,decision,reason,next_action
src/data/scriptedText/spouse-01.json,scripted_npc_lines,localize,"Active case 1 of 3. 4,677 variants × 18 channels (interrogation/evidence_present/dossier/witness/aftermath/system_message + 12 extended). Core NPC dialogue surface. 3-way intake agreement.","Bulk localize per locale to sibling `*.{en,ja,zh-CN}.json` after P0 blockers cleared (storage architecture / behaviorHint policy / disclosure-policy locale extension / wrapper extension)."
src/data/scriptedText/family-01.json,scripted_npc_lines,localize,"Active case 2. 5,262 variants. Highest paraphrase density (14 P1 zh-CN paraphrase findings vs spouse's 1). 3-way intake agreement.","Bulk localize AFTER spouse-01 sign-off + per-case zh-CN paraphrase blocklist authored (P1 review finding). family-01 needs extra rigor."
src/data/scriptedText/friend-01.json,scripted_npc_lines,localize,"Active case 3. 5,097 variants. 4–5 zh-CN paraphrase variants per disclosure-policy §4.3. 3-way intake agreement.","Bulk localize AFTER spouse-01 + family-01 sign-off."
src/data/scriptedAngles/spouse-01_angle_catalog.json,angle_meta,localize,"Surface: `angles[*].label`, `angles[*].description`. ~22 angles per case. Translatable. `keywords[]` deferred — see needs_codex_investigation.","Localize label + description per locale. Defer keywords pending runtime-consumer audit."
src/data/scriptedAngles/family-01_angle_catalog.json,angle_meta,localize,Same as spouse-01_angle_catalog.,Same.
src/data/scriptedAngles/friend-01_angle_catalog.json,angle_meta,localize,Same.,Same.
src/data/scriptedAngles/spouse-01_judge_questions.json,judge_questions,localize,"Surface-only channel per disclosure-policy §2.1. ~2,040 variants total. CRITICAL — strongest forbidden-lexeme enforcement (no lieState gate, surface forever). 3-way intake agreement.","Bulk localize with strict per-locale forbidden-lexeme gate. Wrapper `--locale` MUST run on this file before sign-off."
src/data/scriptedAngles/family-01_judge_questions.json,judge_questions,localize,Same as spouse-01.,Same.
src/data/scriptedAngles/friend-01_judge_questions.json,judge_questions,localize,Same.,Same.
src/data/scriptedAngles/spouse-01_interrogation_answers.json,npc_answers_by_angle,localize,"Largest single surface — ~7,920 variants spouse / ~9,360 family / ~6,300 friend. lieState-gated NPC speech. JA + zh-CN must apply Truth Throttle (disclosure-policy §3.1) per variant lieState.","Bulk localize after Truth Throttle locale extension confirmed in disclosure-policy.md. Validator: variants tagged S0/S1/S2 must NOT contain truth lexemes."
src/data/scriptedAngles/family-01_interrogation_answers.json,npc_answers_by_angle,localize,Same.,Same.
src/data/scriptedAngles/friend-01_interrogation_answers.json,npc_answers_by_angle,localize,Same.,Same.
src/data/scriptedAngles/spouse-01_special_scripts.json,special_npc_scripts,localize,"`confessions[]` (S5-licensed truth disclosure), `interjections[]`, `emotionalOverload[]` (S4+), `trustAction[]`, `evidenceDiscovery[]`, `judgeEvidenceCombo[]`, `judgeWitnessSummon[]`, `dossierPrompts[]`, `s5RequestionResponses[]`. Schema marks each `unknown[]` — per-bucket inspection needed.","Per-bucket schema audit (Codex one-shot) before locale bulk pass. Confession bucket = S5 reveal MUST contain truth lexemes per locale (negative validator: truth lexeme MUST appear at S5)."
src/data/scriptedAngles/family-01_special_scripts.json,special_npc_scripts,localize,Same as spouse-01_special_scripts.,Same.
src/data/scriptedAngles/friend-01_special_scripts.json,special_npc_scripts,localize,Same.,Same.
src/data/scriptedAngles/free_interrogation_mapping_schema.json,policy_test_input,exclude_test_policy,"Test/policy fixture. Not user-facing. 3-way intake agreement.","Lock as KO-only. No translation. If LLM prompt locale-side ever consumes it, escalate to Tier 3 work."
src/data/scriptedAngles/free_interrogation_response_policy.json,policy_test_input,exclude_test_policy,Same.,Same.
src/data/scriptedAngles/free_interrogation_test_cases.json,policy_test_input,exclude_test_policy,Same.,Same.
src/data/scriptedAngles/free_interrogation_prompt_blocks.md,policy_test_input,exclude_test_policy,Same. Prompt-block markdown is dev/policy artefact.,Same.
src/data/dialogues/phase1/spouse-01.json,phase1_dialogue,localize,"Branching opening dialogue. 34 dialogues + choice options. JA + zh-CN flagged the `부모님 재산을 형이 다 날린` line as truth-leak risk — see SCRIPT_REVIEW_FINDINGS P0 row.","Block bulk localize until P0 phase1 KO-line review complete (CT-Main / disclosure-policy author decision). After unblock, localize with locked `husband's family side` style paraphrase."
src/data/dialogues/phase1/family-01.json,phase1_dialogue,localize,Active case 2 phase1.,Same gate as spouse-01 phase1.
