source_term_or_id,en,ja,zh_cn,notes
internal_project_name,Project_Solomon,Project_Solomon,Project_Solomon,Locked. Internal codename only — never user-facing.
brand_title,Verdict Zero,ソロモンのジレンマ,真相裁决,Locked. Public-facing title (top half).
brand_subtitle,Trial of Truth,真実の裁き,零点审判,Locked. Public-facing subtitle.
brand_full_title,Verdict Zero: Trial of Truth,ソロモンのジレンマ：真実の裁き,真相裁决：零点审判,"Locked. JA/zh-CN use full-width colon `：`. KO/EN use Roman colon `:`. PROJECT_CONTROL_TOWER 2026-05-06."
project_solomon,(deprecated user-facing),(deprecated user-facing),(deprecated user-facing),Engine/dev legacy alias only. Linter must reject user-facing usage.
court_simulation,Court Simulation (body) / COURT SIMULATION GAME (genre eyebrow),法廷シミュレーション (body) / 法廷シミュレーションゲーム (genre eyebrow),法庭模拟 (body) / 法庭模拟游戏 (genre eyebrow),splash.subtitle is genre eyebrow — KO/JA/zh-CN render sentence form; EN renders ALL-CAPS via [lang^=en] CSS scope.
courtroom,Courtroom,法廷,法庭,Glossary-aligned.
judge,Judge,裁判官,裁判官,Glossary-aligned. home.tagline JA + zh-CN patches enforce alignment (was 裁き手 / 审判者).
party,Party,当事者,当事人,Glossary-aligned.
witness,Witness,証人,证人,Glossary-aligned.
case,Case,事件,案件,Glossary-aligned.
case_brief,Case Brief,事件ブリーフィング (formal) / ブリーフィング (UI pill),案件简报,JA UI drops 事件 prefix on phase pill.
phase,Phase,フェーズ,阶段,Glossary-aligned. Phase pills drop suffix in UI.
briefing_phase,Case Brief,ブリーフィング,案件简报,Drop suffix.
pretrial_phase,Opening Statements,冒頭陳述,庭前陈述,EN renamed (PROJECT_CONTROL_TOWER decision 9).
interrogation_phase,Interrogation,尋問,讯问,Drop suffix.
mediation_phase,Mediation,調停,调解,Drop suffix.
re_examination_phase,Final Interrogation,再尋問,最终讯问,EN renamed (PROJECT_CONTROL_TOWER decision 10).
verdict_phase,Verdict,判決,判决,Drop suffix.
result_phase,Result,結果,结果,Drop suffix.
verdict,Verdict,判決,判决 (record/static) / 裁决 (process/action),"zh-CN process/record split. KO 판결 collapses to one term in en/ja; zh-CN renders 判决 for static and 裁决 for action. brand 真相裁决 uses the action sense."
judgment_basis,Verdict Basis,判決根拠,判决依据,Glossary-aligned.
responsibility,Responsibility,責任,责任,Glossary-aligned. EN verdict.responsibility.major patch: Major → Primary.
solution,Solution,解決策 (was 解決案),解决方案,JA delta (more natural game-UI choice copy).
dispute,Dispute,争点,争议点,Glossary-aligned.
claim,Claim,主張,主张,Glossary-aligned.
fact,Fact,事実,事实,Glossary-aligned.
truth,Truth,真相,真相,"Glossary-aligned. JA pc.verdictAdvance.conditionsMissing patch: 真実→真相."
hidden_truth,Hidden Truth,隠された真相,隐藏真相,Engine concept; never surfaces.
surface_text,Surface Text,表層情報,表层信息,Engine concept.
evidence,Evidence,証拠,证据,Glossary-aligned.
evidence_card,Evidence Card,証拠カード,证据卡,CSS class only.
evidence_stage,Evidence Stage,証拠段階,证据阶段,Glossary-aligned. Compact UI may render `Stage {stage}`.
investigation_stage,Investigation Stage,調査ステージ,调查阶段,Glossary-aligned. Distinct from evidence_stage.
deep_investigation,Deep Investigation,深掘り調査,深度调查,Engine concept.
testimony,Testimony,証言,证言,Glossary-aligned.
statement,Statement,供述,陈述,Glossary-aligned.
contradiction,Contradiction,矛盾,矛盾,Glossary-aligned.
contradiction_pursuit,Contradiction Pursuit (noun) / Press the Contradiction (verb-imperative),矛盾追及 (noun) / 突く・追及する (verb forms),矛盾追问,EN keeps glossary noun + verb-form usage note.
free_interrogation,Free Interrogation,自由尋問,自由讯问,Gameplay mode. Distinct from per-slot label.
free_question,Free Question,自由質問,自由提问,Per-turn slot label.
judge_question,Judge Question,裁判官の質問,裁判官提问,Engine field.
fact_pursuit,Fact Pursuit,事実追及,事实追问,Glossary-aligned.
motive_search,Motive Search,動機探索,动机探查,Glossary-aligned.
empathy_approach,Empathy Approach,共感アプローチ,共情接近,Glossary-aligned.
dossier,(deprecated user-facing),(deprecated user-facing),(deprecated user-facing),"PROJECT_CONTROL_TOWER decision 3. Use Records / Case File / Decisive Question / Notes per surface."
decisive_question,Decisive Question,決定的質問,决定性提问,One of the dossier replacements.
case_file,Case File,事件ファイル,案件档案,One of the dossier replacements. Use only where Records/Decisive Question/Notes do not fit.
notebook,Notebook,ノート,笔记本,Glossary-aligned. Compounds: Evidence Notebook / 証拠ノート / 证据笔记.
notes,Notes,メモ,笔记,Note-style surface dossier replacement.
observation,Observation,観察,观察,Glossary-aligned.
record_summary,Records,記録の整理,记录整理,KR=기록 정리 confirmed; UI compact form.
records,Records,記録,记录,Compact records label.
slip,Slip,失言,失言,New row from Thread-04 P1 (judgeHistoryDrawer filter).
action_panel,Action Panel,アクションパネル,行动面板,CSS class only.
hotbar,Hotbar,ホットバー,快捷栏,CSS class only.
