id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v1].text,"판결 뒤 박지연은 오래 고개를 들지 못했다. 이준호의 숨김이 가벼운 잘못은 아니었지만, 재판관은 위임장 조작과 투자 사기 송금을 더 무겁게 보았다. 이준호는 형과 조카 이야기를 더는 숨기지 않겠다고 했고, 박지연은 잃은 돈보다 먼저 무너진 신뢰를 어떻게 감당할지 마주하게 되었다.","After the verdict, Park Ji-yeon could not lift her head for a long while. Lee Jun-ho's concealment was not a minor fault, but the Judge weighed the power of attorney manipulation and the investment-scam transfer more heavily. Lee Jun-ho said he would no longer hide the matter of his brother and nephew, and Park Ji-yeon had to face how she would bear the trust that had collapsed before the lost money.",判決のあと、パク・ジヨンは長く顔を上げられなかった。イ・ジュノの隠蔽も軽い過ちではなかったが、裁判官は委任状の操作と投資詐欺への送金をより重く見た。イ・ジュノは兄と甥の話をこれ以上隠さないと言い、パク・ジヨンは失った金より先に崩れた信頼をどう受け止めるかに向き合うことになった。,裁决之后，朴智妍久久无法抬头。李俊浩的隐瞒并非轻微过错，但法官更重地看待委托书操作和投资诈骗转账。李俊浩表示不会再隐瞒哥哥和侄子的事，朴智妍则不得不面对：比失去的钱更早崩塌的信任，要如何承受。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v2].text,"법정이 정리된 뒤에도 부부는 곧바로 서로를 보지 못했다. 재판관은 가족을 위한 침묵보다 문서를 조작하고 공동 적금을 빼낸 선택이 더 치명적이었다고 판단했다. 이준호는 형 문제를 공개적으로 정리하겠다고 했고, 박지연은 자신의 불안이 범죄가 된 순간을 되돌아보며 천천히 자리를 떴다.","Even after the courtroom cleared, the couple could not look at each other right away. The Judge found that manipulating documents and pulling money out of the joint savings was more fatal than silence kept for family. Lee Jun-ho said he would put his brother's matter in order openly, and Park Ji-yeon left slowly, looking back on the moment her anxiety became a crime.",法廷が片づいたあとも、夫婦はすぐには互いを見られなかった。裁判官は、家族のための沈黙よりも、文書を操作して共同積立預金を引き出した選択のほうが致命的だったと判断した。イ・ジュノは兄の問題を公に整理すると述べ、パク・ジヨンは自分の不安が罪になった瞬間を振り返りながら、ゆっくり席を立った。,法庭整理完毕后，这对夫妻仍无法立刻看向彼此。法官判断，比起为了家人的沉默，操纵文件并取走共同储蓄账户款项的选择更加致命。李俊浩表示会公开整理哥哥的问题，朴智妍则回望自己的不安变成犯罪的那一刻，慢慢离开了座位。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v3].text,"박지연은 위임장 조작과 투자방 송금 손실을 인정한 뒤 별도 처분 절차를 받아들였다. 뒤늦게 형과 조카 사정을 들은 그는 외도 의심이 전부였던 시간도 다시 보게 되었지만, 그 불안이 서류 조작으로 이어진 책임은 사라지지 않았다. 이준호는 침묵이 오해를 키운 단초였음을 인정했고, 두 사람은 관계를 다시 세울지 이혼 절차로 갈지 상담을 통해 정하기로 했다.","After admitting the power of attorney manipulation and the loss from the investment chat transfer, Park Ji-yeon accepted a separate disposition procedure. Hearing belatedly about the brother and nephew, she had to revisit the period when suspicion of an affair had been everything; but the responsibility for letting that anxiety lead to document manipulation did not disappear. Lee Jun-ho admitted that his silence had seeded the misunderstanding, and the two agreed to decide through counseling whether to rebuild the relationship or proceed toward divorce.",パク・ジヨンは委任状の操作と投資チャットへの送金損失を認め、別途の処分手続きを受け入れた。遅れて兄と甥の事情を聞いた彼女は、不倫の疑いがすべてだった時間を見直すことになったが、その不安が書類操作につながった責任は消えなかった。イ・ジュノは沈黙が誤解を育てた端緒だったと認め、二人は関係を立て直すか離婚手続きへ進むかを、相談を通じて決めることにした。,朴智妍承认委托书操作和投资群转账损失后，接受了另行处分程序。她迟迟听到哥哥和侄子的情况后，也重新看待了那段只剩出轨怀疑的时间；但那份不安最终走向委托书操作的责任，并不会消失。李俊浩承认自己的沉默是误会扩大的开端，两人决定通过咨询来决定是重建关系，还是走向离婚程序。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v4].text,"판결 뒤 박지연에게 남은 건 잃은 돈보다 서명 한 줄의 무게였다. 재판관은 이준호가 피한 점과 가족 사정을 숨긴 점을 짚었지만, 공동 적금을 해지하려고 위임장을 꾸민 선택을 더 무겁게 기록했다. 이준호는 형 문제를 더는 부부 밖에 숨기지 않겠다고 약속했고, 박지연은 사과와 피해 회복 계획을 먼저 내놓아야 했다.","After the verdict, what remained for Park Ji-yeon was the weight of a single signature, heavier than the money lost. The Judge noted Lee Jun-ho's avoidance and his concealment of family circumstances, but recorded as more serious Park Ji-yeon's choice to fabricate a power of attorney in order to cancel the joint savings. Lee Jun-ho promised not to keep his brother's matter outside the marriage anymore, and Park Ji-yeon had to first offer an apology and a recovery plan.",判決のあと、パク・ジヨンに残ったのは、失った金よりも一行の署名の重みだった。裁判官はイ・ジュノが避けた点と家族の事情を隠した点を指摘したが、共同積立預金を解約するために委任状を作った選択をより重く記録した。イ・ジュノは兄の問題をこれ以上夫婦の外に隠さないと約束し、パク・ジヨンは謝罪と被害回復計画を先に示さなければならなかった。,裁决之后，留给朴智妍的不是失去的钱，而是一行签名的重量。法官指出李俊浩回避问题、隐瞒家人情况，但更重地记录了她为了共同储蓄账户解约而伪造委托书的选择。李俊浩承诺不再把哥哥的问题藏在夫妻关系之外，朴智妍则必须先提出道歉和 损害恢复计划。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[a_primary_fault].variants[a_primary_fault-v5].text,"박지연은 끝까지 자신도 버림받을까 두려웠다고 말했지만, 판결은 그 두려움이 범죄의 방패가 될 수 없다고 정리했다. 이준호는 형과 조카 일을 숨긴 책임을 인정하며 시댁 갈등을 따로 정리하겠다고 했다. 부부는 한동안 별거하며 공동재산 회복과 형사 절차를 분리해 진행하기로 했다.","Park Ji-yeon said to the end that she had feared being abandoned as well, but the verdict made clear that fear could not become a shield for crime. Lee Jun-ho admitted responsibility for hiding the matter of his brother and nephew and said he would address the in-laws conflict separately. The couple decided to live apart for a time and proceed separately with marital property recovery and criminal procedures.",パク・ジヨンは最後まで、自分も見捨てられるのが怖かったと語ったが、判決はその恐れが犯罪の盾にはならないと整理した。イ・ジュノは兄と甥の件を隠した責任を認め、義実家との葛藤は別に整理すると述べた。夫婦はしばらく別居し、共同財産の回復と刑事手続きを分けて進めることにした。,朴智妍直到最后都说自己也害怕被抛弃，但裁决整理为：那份恐惧不能成为犯罪的盾牌。李俊浩承认隐瞒哥哥和侄子一事的责任，并表示会另行整理婆家矛盾。夫妻决定暂时分居，将共同财产恢复与刑事程序分开推进。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v1].text,"재판관은 이준호가 비자금과 형 문제, 3,000만 원 출금을 계속 숨긴 점을 더 큰 파열로 판단했다. 박지연의 위임장 조작은 명백한 잘못이었지만, 그 이전부터 이어진 침묵이 가정을 무너뜨렸다고 본 것이다. 판결 뒤 이준호는 처음으로 형과 조카의 사정을 모두 설명했고, 박지연은 울음을 삼키며 그 말을 들었다.","The Judge found the greater rupture in Lee Jun-ho's continued concealment of his slush fund, his brother's situation, and the ₩30M withdrawal. Park Ji-yeon's power of attorney manipulation was an obvious wrong, but the Judge saw the earlier, continuing silence as what had broken the household. After the verdict, Lee Jun-ho explained the circumstances of his brother and nephew for the first time, and Park Ji-yeon listened while holding back tears.","裁判官は、イ・ジュノが裏資金と兄の問題、3,000万ウォンの出金を隠し続けた点を、より大きな亀裂と判断した。パク・ジヨンの委任状操作は明白な過ちだったが、その前から続いた沈黙が家庭を崩したと見たのである。判決後、イ・ジュノは初めて兄と甥の事情をすべて説明し、パク・ジヨンは涙をこらえてその言葉を聞いた。",法官判断，李俊浩持续隐瞒秘密资金、哥哥的问题以及3000万韩元取款，才是更大的裂痕。朴智妍的委托书操作是明确的过错，但法官认为，在此之前持续的沉默才让家庭崩塌。裁决之后，李俊浩第一次完整说明了哥哥和侄子的情况，朴智妍含着泪听完。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v2].text,"승패가 갈린 뒤에도 분위기는 무겁게 가라앉아 있었다. 재판관은 박지연의 범행을 꾸짖으면서도, 그 배경을 만든 것은 이준호의 오랜 비밀과 일방적인 자금 집행이라고 짚었다. 이준호는 늦게라도 모든 사정을 털어놓았고, 박지연은 그 설명을 듣고도 쉽게 용서하지 못한 채 한참을 침묵했다.","Even after the outcome was decided, the air remained heavy. The Judge rebuked Park Ji-yeon's offense, but pointed out that its background had been created by Lee Jun-ho's long-held secrets and unilateral handling of funds. Lee Jun-ho disclosed all the circumstances, late as it was, and Park Ji-yeon remained silent for a long time, unable to forgive easily even after hearing his explanation.",勝敗が分かれたあとも、空気は重く沈んでいた。裁判官はパク・ジヨンの犯行を叱責しつつ、その背景を作ったのはイ・ジュノの長い秘密と一方的な資金執行だと指摘した。イ・ジュノは遅ればせながらすべての事情を打ち明け、パク・ジヨンはその説明を聞いても簡単には許せず、しばらく沈黙した。,胜负分出后，气氛仍沉重地低落。法官斥责朴智妍的犯罪行为，同时指出，其背景是李俊浩长久的秘密和单方面的资金执行。李俊浩迟来地坦白了所有情况，朴智妍听完说明后仍无法轻易原谅，沉默了许久。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v3].text,"이 결과에서 재판관은 사건의 시작을 이준호의 침묵과 비자금을 숨긴 것으로 보았다. 박지연의 적금 문제는 별도 책임으로 남았지만, 이준호가 형 사정과 현금 전달을 계속 숨기며 외도처럼 보이게 만든 점이 더 크게 잡혔다. 그는 뒤늦게 형과 조카 이야기를 모두 꺼냈고, 박지연은 그 설명을 들으면서도 이미 무너진 신뢰 앞에서 쉽게 고개를 들지 못했다.","In this outcome, the Judge saw the beginning of the case in Lee Jun-ho's silence and his concealment of slush funds. Park Ji-yeon's savings issue remained a separate responsibility, but greater weight fell on Lee Jun-ho for hiding his brother's circumstances and the cash transfer, making it look like an affair. He belatedly told the whole story of his brother and nephew, and Park Ji-yeon, even while listening, could not easily raise her head before the trust that had already collapsed.",この結果で、裁判官は事件の始まりをイ・ジュノの沈黙と裏資金の隠蔽に見た。パク・ジヨンの積立預金問題は別の責任として残ったが、イ・ジュノが兄の事情と現金の受け渡しを隠し続け、不倫のように見せた点がより大きく捉えられた。彼は遅れて兄と甥の話をすべて語ったが、パク・ジヨンはその説明を聞きながらも、すでに崩れた信頼の前で簡単には顔を上げられなかった。,在这一结果中，法官认为案件的起点在于李俊浩的沉默，以及他隐瞒秘密资金。朴智妍的储蓄账户问题作为另行责任保留下来，但李俊浩持续隐瞒哥哥情况和现金交付，使事情看起来像出轨，这一点被看得更重。他迟迟说出了哥哥和侄子的全部故事，朴智妍听着说明，却在已经崩塌的信任面前难以抬头。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v4].text,"법정은 박지연의 불안이 혼자 생겨난 것이 아니라고 보았다. 이준호가 오피스텔 방문, 새벽 통화, 3,000만 원 현금 전달을 모두 늦게 말한 탓에 의심이 결혼 전체를 삼켰다는 판단이었다. 판결 뒤 이준호는 집안 사정을 처리하는 일과 배우자에게 숨기는 일을 더는 같은 말로 묶지 않겠다고 했고, 박지연은 남은 절차를 지켜보며 이혼 여부를 따로 결정하기로 했다.","The court saw that Park Ji-yeon's anxiety had not arisen on its own. The judgement was that the Officetel visits, the late-night calls, and the ₩30M cash transfer being all explained late had let suspicion swallow the entire marriage. After the verdict, Lee Jun-ho said he would no longer bundle handling family matters and hiding things from his spouse into the same phrase, and Park Ji-yeon decided to watch the remaining procedure and rule separately on whether to divorce.",イ・ジュノの沈黙が主たる原因と認められた一方、パク・ジヨンの書類細工は別途重い処分として記された。判決後、ふたりは互いの責任を分けて受け止めることに合意した。,退庭之后，法官将李俊浩持续隐瞒小金库、家人方面的问题与3000万韩元取款的事，判断为更大的破口。朴智妍在文件处理上的疑点固然是明显的过错，但法官认为，正是先前持续的沉默才使家庭崩塌。宣判之后，李俊浩第一次完整地讲出了那位家人和孩子的处境，朴智妍含着泪听完。这是这个家走出的第一步。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[aftermath].entries[b_primary_fault].variants[b_primary_fault-v5].text,"이준호에게 더 무거운 책임이 돌아간 결말에서도 박지연의 행동이 깨끗해진 것은 아니었다. 다만 재판관은 먼저 침묵을 만들고 돈의 행방을 감춘 사람이 이준호였다는 점을 선명하게 적었다. 그는 형을 돕는 선의만 내세우던 태도를 접고, 박지연 앞에서 자신이 무엇을 숨겼는지 순서대로 설명해야 했다.","Even in an ending where Lee Jun-ho carried the heavier responsibility, Park Ji-yeon's actions were not made clean. The Judge wrote clearly, however, that it had been Lee Jun-ho who created the silence first and hid where the money went. He set aside the posture of leading only with good intentions toward family, and had to explain in order, before Park Ji-yeon, what he had actually hidden.",判決のあと、イ・ジュノは家族の事情を伏せ続けた選択の重みを口にした。パク・ジヨンの不安が暴走した側面と、自身の沈黙が引き金となった側面を、裁判官は別の重さで整理した。,法槌落定之后，法官将李俊浩持续隐瞒小金库、家人方面的问题与3000万韩元取款的事，判断为更大的破口。朴智妍在文件处理上的疑点固然是明显的过错，但法官认为，正是先前持续的沉默才使家庭崩塌。宣判之后，李俊浩第一次完整地讲出了那位家人和孩子的处境，朴智妍含着泪听完。事已至此。,Aftermath audit. 사건 종료 후일담 emotional beat. KR 의미·문장 수 완전 반영. 인접 row와 내용 교차 오염 금지. JA/ZH-CN 압축 회피.
