surface,bucket_identity,total_buckets,eligible_buckets,buckets_passing,opener_failures,prefix60_failures,closer_failures,avg_unique_opener60,avg_unique_closer60,gate_status,evidence_source
scriptedText.interrogation,"(party, disputeId, lieState, questionType)",144,144,144,0,0,0,3.0,10.0,PASS,"VARIATION_AUDIT_SUMMARY.json: bucketsPassing=144, overallPassRate=1, averageUniqueOpener60=3"
interrogation_answers,"(party, disputeId, angleId, lieState)",792,792,792,0,0,0,3.0,10.0,PASS,"VARIATION_AUDIT_SUMMARY.json: bucketsPassing=792, overallPassRate=1, averageUniqueOpener60=3"
combined,"(both surfaces)",936,936,936,0,0,0,3.0,10.0,PASS,"VARIATION_AUDIT_SUMMARY.json: bucketsPassing=936, overallPassRate=1, averageUniqueOpener60=3 (was 1.04 baseline)"
spot_check_a|d-1|S0|fact_pursuit,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check: 10 variants / 3 unique 60-char openers. 3 distinct anchors: 'Your Honor, the records I gathered...', 'What I am bringing here is not a feeling...', 'Over several weeks I watched...'. Was 1/10 baseline."
spot_check_a|d-1|S0|motive_search,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check: 10 variants / 3 unique 60-char openers. 3 distinct anchors: 'Your Honor, my suspicion did not come out of nowhere...', 'What I want to explain first is the chain of small things...', 'For months I tried to give him the benefit of the doubt...'."
spot_check_a|d-1|S0|empathy_approach,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check: 10 variants / 3 unique 60-char openers. 3 distinct anchors: 'Your Honor, the moment I saw those records...', 'I am not standing here as the calm party...', 'By the time I gathered enough to come forward...'."
spot_check_a|d-1|S1|fact_pursuit,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,This-thread spot-check: 10 variants / 3 unique 60-char openers.
spot_check_b|d-1|S5|fact_pursuit,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check: 10 variants / 3 unique 60-char openers. 3 distinct S5 anchors with truth lexemes: 'Your Honor, I was caring for my nephew at my older brother's...', 'The plain truth on this charge is that I was caring for my nephew...', 'On a clean reading of the records, the route, hours, and items all map to caring for my nephew at my older brother's studio apartment...'."
spot_check_b|d-2|S5|motive_search,scriptedText.interrogation,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check: 10 variants / 3 unique 60-char openers. 3 distinct S5 anchors: 'Your Honor, I handed the cash to my older brother for personal...', 'What drove me to keep the cash invisible was not guilt over...', 'Each step of secrecy around the money was about protecting my...'."
spot_check_b|d-1|S0|fact_pursuit|general,interrogation_answers,1,1,1,0,0,0,3,n/a,PASS,This-thread spot-check on first 5 entries — all show 10 variants / 3 unique 60-char openers.
spot_check_b|d-1|S5|fact_pursuit|general,interrogation_answers,1,1,1,0,0,0,3,n/a,PASS,"This-thread spot-check S5 entry: 10 variants / 3 unique openers. v1: 'I was caring for my nephew at my older brother's studio apartment, and the late-night calls were urgent contact with my brother.' v2: 'My older brother's studio apartment was the place those visits led to, and my nephew was the reason I was there.' v3: 'On those nights, the calls were from my older brother and the visits were to look after my nephew — that is the actual order of it.' Three structurally distinct openers, all carrying licensed S5 truth."
brief_threshold_check_anchor3_eligible6plus,(global rule),936,936,936,0,n/a,n/a,3,n/a,PASS,"Brief recheck #2 threshold: at least 3 distinct opener anchors for buckets with 6+ variants. All 936 eligible buckets meet this threshold. Per Thread-25 SUMMARY: opener cycling distribution 40%/30%/30% across 3 anchors (4-3-3 for 10-variant buckets), well under the 50% prefix-60 repetition threshold."
overall_variation_gate,(brief recheck #2),936,936,936,0,0,0,3.0,10.0,PASS,"All 4 brief gate criteria met: (a) 936/936 eligible buckets pass, (b) zero opener-anchor failures, (c) zero prefix-60 repetition failures, (d) ≥3 distinct opener anchors for buckets with 6+ variants."
