id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-1_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-1].label,dc-1 오피스텔의 사람들,dc-1 People at the Officetel,dc-1 オフィステルの人々,dc-1 韩式商住公寓里的人,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-2_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-2].label,dc-2 시댁 얘기만 나오면 싸움,dc-2 Fights Whenever the In-Laws Come Up,dc-2 義実家の話になるたび争う,dc-2 一提婆家就争吵,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-3_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-3].label,"dc-3 3,000만 원의 권한",dc-3 Authority over ₩30M,"dc-3 3,000万ウォンの権限",dc-3 3000万韩元的权限,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-4_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-4].label,"dc-4 2,000만 원의 수치",dc-4 The ₩20M Issue,"dc-4 2,000万ウォンの問題",dc-4 2000万韩元的问题,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-5_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-5].label,"dc-5 6,000만 원의 순서",dc-5 Order of the ₩60M,"dc-5 6,000万ウォンの順序",dc-5 6000万韩元的先后顺序,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_dc-6_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[dc-6].label,dc-6 가족 쪽 정황,dc-6 Family Circumstances,dc-6 家族側の事情,dc-6 家族方面的情况,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_e-1_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[e-1].label,e-1 카드 명세서,e-1 Card Statement,e-1 カード明細書,e-1 银行卡账单,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_e-2_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[e-2].label,e-2 오피스텔 출입 기록,e-2 Officetel Entry Logs,e-2 オフィステル出入記録,e-2 韩式商住公寓出入记录,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_e-3_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[e-3].label,e-3 새벽 통화기록,e-3 Early-Morning Call Logs,e-3 早朝の通話記録,e-3 凌晨通话记录,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_combinationLab.nodes_e-4_.label,case_surface_content,src/data/cases/generated,spouse-01,combinationLab.nodes[e-4].label,e-4 발신자 미상 문자,e-4 Text from Unknown Sender,e-4 送信者不明のメッセージ,e-4 未知发件人短信,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
