row_id,severity,status,selected_option,applied_file,json_path,previous_text,applied_text,notes
spouse-01-case-combolab-w1-label,P2,applied,a,src/data/cases/generated/spouse-01.en.json,combinationLab.nodes[10].label,w-1 Officetel Security Guard Testimony Track,w-1 Officetel Security Guard Testimony Lead,"combinationLab.nodes[10].label; ""Testimony Track"" is translationese for 증언 축."
spouse-01-case-ledger-order-desc,P2,applied,a,src/data/cases/generated/spouse-01.en.json,duo.relationshipLedger[3].description,The start of the concealment and the actual execution of the transfer happen in a different order.,The concealment began at a different point than the actual transfer.,duo.relationshipLedger[3].description; awkward agreement and phrasing obscure the intended timing contrast.
spouse-01-phase1-dialogue-002,P1,applied,a,src/data/dialogues/phase1/spouse-01.en.json,dialogues[2].text,I checked the dashcam and found that he was visiting the same studio apartment every day for two or three hours at a time. The address was saved in his GPS bookmarks.,I checked the dashcam and found that he was visiting the same Officetel every day for two or three hours at a time. The address was saved in his GPS favorites.,"dialogues[2].text; glossary locks 오피스텔 as Officetel, not studio apartment."
spouse-01-mediation-conditional-a-v0,P1,applied,a,src/data/dialogues/mediation/spouse-v3-01.en.json,paths.conditional.dialogues[0].text,"If it is a conditional mediation, I can accept that. But the facts about the studio-apartment visits and the late-night calls have to be settled clearly first, or the same suspicion just keeps coming back.","If this is conditional mediation, I can accept that. But the facts about the Officetel visits and early-morning calls need to be clarified first, or the same suspicion will keep coming back.",paths.conditional.dialogues[0].text; Officetel term drift plus late-night weakens 새벽.
spouse-01-mediation-factfirst-b-v0,P2,applied,b,src/data/dialogues/mediation/spouse-v3-01.en.json,paths.fact_first.dialogues[1].text,"If facts come before solutions, I can accept that. But please don't let the studio-apartment visits and late-night calls calcify into a finding of an affair.","I can accept putting facts first, but please do not treat the Officetel visits and early-morning calls as proof of an affair.","paths.fact_first.dialogues[1].text; ""calcify"" is unnatural in this dialogue and Officetel terminology is inconsistent."
spouse-01-angle-00-label,P1,applied,a,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[0].label,Reason for Hiding,Visit and Call Circumstances,angles[0].label; EN shifts from visit/call circumstances to motive for concealment.
spouse-01-angle-00-description,P1,applied,b,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[0].description,"Confirm why the visits, calls, and items were not explained to the spouse.","Check the Officetel visits, early-morning calls, and receipt items together as part of the same suspicion.","angles[0].description; KO asks to verify evidence on one suspicion line, not why it was hidden."
spouse-01-angle-01-label,P1,applied,a,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[1].label,Studio-Apartment Visit Route,Officetel Visit Route,angles[1].label; glossary locks 오피스텔 as Officetel.
spouse-01-angle-04-description,P1,applied,b,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[4].description,"Distinguish whether the studio apartment, the calls, and the items truly point to an affair.","Separate whether the Officetel visits, calls, and items are actually signs of an affair.",angles[4].description; Officetel term drift.
spouse-01-angle-06-label,P1,applied,b,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[6].label,Spouse Consent Excluded,Circumstances of the Large Cash Withdrawal,angles[6].label; EN names a different sub-issue instead of the withdrawal circumstances.
spouse-01-angle-11-label,P1,applied,a,src/data/scriptedAngles/spouse-01_angle_catalog.en.json,angles[11].label,Loss and Legal Responsibility,Savings Cancellation and Transfer Circumstances,"angles[11].label; EN jumps to legal responsibility/loss, which is covered by a later angle."
spouse-01-jq-000-v3,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[0].variants[3].text,"Please organize what can be confirmed from records, without filling the gaps with interpretation.","Please separate the receipts, call logs, and visit times into what you acknowledge here and what you still wish to dispute.",judgeQuestions[0].variants[3].text; EN drops the admit-vs-dispute structure and concrete evidence list.
spouse-01-jq-001-v1,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[1].variants[1].text,Please separate the parts you directly confirmed from the parts that remained inference.,"Which Officetel visit records, early-morning call details, and receipts did you personally verify? Please separate those from the parts that remained inference.",judgeQuestions[1].variants[1].text; concrete evidence anchors are lost.
spouse-01-jq-024-v1,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[24].variants[1].text,Please separate what you personally did from what you only learned afterward or do not remember.,"Do you agree that the Officetel entries, early-morning calls, and receipts in the car all came from your side? Please lay out, in order, why you say they were unrelated to an affair.",judgeQuestions[24].variants[1].text; generic template loses the core affair-denial question.
spouse-01-jq-048-v1,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[48].variants[1].text,Please separate what you personally did from what you only learned afterward or do not remember.,"If the joint savings account and the personal account were separate, please explain the balance changes in each account in chronological order.",judgeQuestions[48].variants[1].text; account-balance timeline is replaced by an unrelated generic prompt.
spouse-01-jq-066-v1,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[66].variants[1].text,Please separate the parts you directly confirmed from the parts that remained inference.,"Please lay out, in order, which steps you handled yourself and which you left to someone else: the cancellation request, document submission, receiving account, and transfer.",judgeQuestions[66].variants[1].text; procedural steps and agency distinction are lost.
spouse-01-jq-115-v0,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[115].variants[0].text,"Mr. Lee Jun-ho, please state the facts about your cash withdrawal four months ago and the silence that followed in chronological order.","Mr. Lee Jun-ho, as far as you know, please state in chronological order the timing of your cash withdrawal four months ago and Ms. Park Ji-yeon's savings cancellation and transfer.",judgeQuestions[115].variants[0].text; EN omits Park Ji-yeon’s cancellation/transfer and adds silence.
spouse-01-jq-126-v0,P1,applied,b,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[126].variants[0].text,"Ms. Park Ji-yeon, please answer first when and through which material you confirmed separating your own responsibility from comparison.","Ms. Park Ji-yeon, please state, in order, your own actions in the account check, authorization paperwork, transfer, and resulting loss.",judgeQuestions[126].variants[0].text; EN is semantically broken and drops all four required steps.
spouse-01-jq-127-v0,P1,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[127].variants[0].text,"Mr. Lee Jun-ho, please state the facts about separating your own responsibility from comparison in chronological order.","Mr. Lee Jun-ho, please answer in chronological order, one line each: when your silence began, when you learned Ms. Park was checking the account, when you moved the cash, and when Ms. Park moved the savings.",judgeQuestions[127].variants[0].text; EN generic/nonsensical template loses the requested four-point chronology.
spouse-01-jq-106-v4,P2,applied,a,src/data/scriptedAngles/spouse-01_judge_questions.en.json,judgeQuestions[106].variants[4].text,"Ms. Park Ji-yeon, this is not meant to settle the order of silence now. Could you revisit even one moment when you first noticed the other side's silence?","Ms. Park Ji-yeon, I am not asking you to decide who stayed silent first. Could you revisit just one moment when you first noticed the other side was holding something back?","judgeQuestions[106].variants[4].text; ""order of silence"" is a literal noun phrase flagged by V01."
spouse-01-st-jq-036-v1,P1,applied,a,src/data/scriptedText/spouse-01.en.json,channels.judge_question.entries[36].variants[1].text,"Ms. Park, please separate what you saw, did, and assumed, and set out the chronology of the order of concealment, monitoring, execution, and manipulation.","Ms. Park, please separate when you first began checking the account from when you cancelled the joint savings account.",channels.judge_question.entries[36].variants[1].text; generic template replaces the specific two-timepoint question.
spouse-01-st-contradiction-010-v1,P1,applied,a,src/data/scriptedText/spouse-01.en.json,channels.judge_contradiction.entries[10].variants[1].text,"Ms. Park, your statements on the order of concealment, monitoring, execution, and manipulation no longer line up. Separate the missing facts from the interpretation and answer plainly.","Ms. Park, feeling betrayed first does not remove your responsibility for the cancellation procedure. Why did you treat those two issues as one?",channels.judge_contradiction.entries[10].variants[1].text; EN loses betrayal/procedure-responsibility contrast.
spouse-01-st-evidence-present-063-v0,P1,applied,a,src/data/scriptedText/spouse-01.en.json,channels.evidence_present.entries[63].variants[0].text,"Your Honor, the dashcam GPS led to the same studio apartment address again and again. I admit my reading may have been colored by fear, but the records themselves are not made up. The act in the record was on my husband's side, not mine.","I did check it myself. The same Officetel address kept repeating, so I read it as an affair route.",channels.evidence_present.entries[63].variants[0].text; EN adds defensive claims not in KO and uses studio apartment.
spouse-01-st-trust-action-002-v0,P1,applied,a,src/data/scriptedText/spouse-01.en.json,channels.trust_action.entries[2].variants[0].text,"Now that we are alone, Your Honor — I admit I was the one who moved money first, even before the truth was clear. Even in this protected setting, I am putting this on record as truth.","Yes. If I am speaking to you alone, I will stop avoiding it. I was not only tracking his route; I was also holding on to the movement of money.",channels.trust_action.entries[2].variants[0].text; EN overstates a confession of first money movement that KO does not directly make.
spouse-01-st-jec-001-v1,P2,applied,a,src/data/scriptedText/spouse-01.en.json,channels.judge_evidence_combo.entries[1].variants[1].text,"Mr. Lee, the submitted evidence narrow the issue to the hidden family circumstances behind the Officetel visits and calls. Please explain the point clearly.","Mr. Lee, where the car went and the personal schedule in the text point to the same area of daily life. You can no longer put off saying who was there.",channels.judge_evidence_combo.entries[1].variants[1].text; subject-verb agreement error plus generic phrasing.
spouse-01-witness-w3-full-v0,P2,applied,a,src/data/scriptedText/spouse-01.en.json,channels.witness.entries[8].variants[0].text,"I sent the investment chat link. I did not know it was a scam, but I was the one who sent Ji-yeon into that room.","I sent the investment chat link. I did not know it was a scam, but I was the one who led Ji-yeon to that chat room.","channels.witness.entries[8].variants[0].text; ""sent Ji-yeon into that room"" is unnatural in witness testimony."
