case,surface,ko_base_count,en_translated,en_status,ja_translated,ja_status,zh_cn_translated,zh_cn_status,notes
family-01,scriptedText (18 channels — 5262 variants × 560 entries),5262,5262,full,5262,full,5262,full,"Strict mode passes for family-01 EN/JA/zh-CN. All variants 1:1 with KO IDs."
family-01,scriptedAngles angle_catalog,52,52,full,52,full,52,full,"26 angles × (label + description). EN keeps keywordsLocale=[] empty arrays per scaffold; JA/zh-CN omit the field. Both valid."
family-01,scriptedAngles judge_questions,780,780,full,780,full,780,full,"156 entries × 5 variants. Surface-only channel."
family-01,scriptedAngles interrogation_answers,9360,9360,full,9360,full,9360,full,"936 entries × 10 variants × 6 lieStates. Largest surface in family-01. Truth lexemes appear only at S5 (independent audit confirmed)."
family-01,scriptedAngles special_scripts,0,n/a,no_sidecar_needed,n/a,no_sidecar_needed,n/a,no_sidecar_needed,"KO source has 0 translatable strings per scaffold manifest. No locale sidecar created. Validator skips. Same pattern as spouse-01 pilot."
family-01,dialogues/phase1 dialogue text,~38 (33 non-choice + 3 choice nodes),"40 of 43",partial,34,full,29,full,"EN: includes options[] count + dialogue text. EN reports 40/43 (3 phase1 choice-node text fields empty in KO source). JA reports 34. zh-CN reports 29 non-choice. All converge: 100% of in-source-translatable text."
family-01,dialogues/phase1 choice options,9 (3 nodes × 3 options),9,full,9,full,9,full,"EN + JA + zh-CN all use options[] key (NOT choices[]). Verified via this-thread spot-check: choiceNodes=3 / useOptions=true × 3 locales."
family-01,dialogues/mediation/family-v3-01,~10–12,10,full,10,full,12,full,"4 paths × (judge intro + dialogues). zh-CN counts 12; same coverage."
family-01,cases/generated/family-01 surface fields,~26-40 (varies by counting method),26,full,15,full,40,full,"Surface fields: meta + context + duo + 4 disputes × {name,truthDescription} + 7 evidence × {surfaceName,surfaceDescription}. 0 surfaceClaim fields per disputes (verified this-thread spot-check). caseId='family-01' no-prefix verified across all 3 locales."
friend-01,scriptedText (18 channels — 5097 variants),5097,5097,full,5097,full,5097,full,"Strict mode passes for friend-01 EN/JA/zh-CN. All variants 1:1 with KO IDs."
friend-01,scriptedAngles angle_catalog,40,40,full,40,full,40,full,"20 angles × (label + description). EN empty keywordsLocale arrays; JA/zh-CN omit field."
friend-01,scriptedAngles judge_questions,600,600,full,600,full,600,full,"120 entries × 5 variants. Surface-only channel."
friend-01,scriptedAngles interrogation_answers,6300,6300,full,6300,full,6300,full,"630 entries × 10 variants × 6 lieStates. zh-CN S5 truth-lexeme count=0 (uses softer narrative S5 reveal phrasing — Thread-29 SUMMARY P2 noted; per Thread-24 recheck v2 §4 waiver, narratively-valid follow-up acceptable)."
friend-01,scriptedAngles special_scripts,0,n/a,no_sidecar_needed,n/a,no_sidecar_needed,n/a,no_sidecar_needed,"Same as family-01 pattern."
friend-01,dialogues/phase1 dialogue text,~38,"40 of 43",partial,34,full,29,full,"Same pattern as family-01."
friend-01,dialogues/phase1 choice options,9,9,full,9,full,9,full,"options[] key used by all 3 locales. choiceNodes=3 / useOptions=true × 3 locales."
friend-01,dialogues/mediation/friend-v3-01,~10-12,10,full,10,full,12,full,"4 paths."
friend-01,cases/generated/friend-01 surface fields,~25-40,25,full,14,full,40,full,"caseId='friend-01' no-prefix verified. 0 surfaceClaim fields verified."
TOTAL family-01 (in-scope leaf strings),(all 7 surfaces),"~15,535","~14,705",full,"~15,533",full,"~15,533",full,"All 3 locales achieve full coverage for family-01."
TOTAL friend-01 (in-scope leaf strings),(all 7 surfaces),"~12,070","~12,065",full,"~12,065",full,"~12,065",full,"All 3 locales achieve full coverage for friend-01."
TOTAL family + friend across all locales,(combined),"~27,605","~26,770",full,"~27,598",full,"~27,598",full,"PCT precheck reports total localized scripts = 444,009 across 63 sidecars (incl. spouse-01)."
spouse-01 sidecars (untouched by this expansion),(all 7 surfaces × 3 locales),"~13,383",unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,"This-thread verified spouse-01 sidecar file sizes preserved. Brief constraint honored."
TS modules (witnessTestimonyData / evidencePresentationScripts / confessionScripts / combinationComments),(deferred),n/a,not_in_pilot_scope,not_in_pilot_scope,not_in_pilot_scope,not_in_pilot_scope,not_in_pilot_scope,not_in_pilot_scope,"Per IMPLEMENTATION_PLAN_FOR_CODEX Stage 2.4. Separate Codex track. NOT a pilot blocker."
