case,term_id,source_ko,locale,pilot_used,glossary_or_policy_locked,delta_kind,recommendation
family-01,birth_secret_truth_lexeme,출생 비밀 / 배다른,en,birth secret / half-brother / half brother / different father / different bloodline (S5+only),"localePolicy.forbiddenLexemes.en (21 lexemes incl. all variants)",OK_LOCKED,Locked. Pilot uses locked forms only at S5; non-S5 leaks=0.
family-01,birth_secret_truth_lexeme,출생 비밀 / 배다른,ja,出生の秘密 / 異父 / 血縁が違う / 父の血ではない (S5+only),"localePolicy.forbiddenLexemes.ja (19 lexemes)",OK_LOCKED,Locked. Pilot non-S5 leaks=0.
family-01,birth_secret_truth_lexeme,출생 비밀 / 배다른,zh-CN,出生秘密 / 同母异父 / 血缘不同 / 不是亲生子 (S5+only),"localePolicy.forbiddenLexemes.zh-CN (19 lexemes)",OK_LOCKED,Locked. Pilot non-S5 leaks=0.
family-01,will_ratio_truth_lexeme,90:10 / 90대10 / 정후 90 / 태성 10,en,90:10 / 90 to 10 / Jung-hoo 90 / Taesung 10 (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked. Surface ratio (60:40 / 60-40) is allowed as pilot uses surface paraphrase pattern.
family-01,will_ratio_truth_lexeme,90:10 / 90대10,ja,90:10 / 90対10 / 正厚90 / 泰成10 (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Same.
family-01,will_ratio_truth_lexeme,90:10 / 90대10,zh-CN,90:10 / 90比10 / 正厚90 / 泰成10 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Same.
family-01,will_manipulation_truth_lexeme,유서 조작,en,will manipulation / reduced his own share (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked.
family-01,will_manipulation_truth_lexeme,유서 조작,ja,遺書操作 / 自分の取り分を減らした (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Locked.
family-01,will_manipulation_truth_lexeme,유서 조작,zh-CN,遗书造假 / 减少自己的份额 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Locked.
family-01,jung_hoo_money_truth_lexeme,정후의 돈 / 20년 송금,en,Jung-hoo's money / Yoon Jung-hoo's money / old regular support (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked.
family-01,jung_hoo_money_truth_lexeme,정후의 돈,ja,正厚の金 / 尹正厚の金 / 古い定期支援 (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Locked.
family-01,jung_hoo_money_truth_lexeme,정후의 돈,zh-CN,正厚的钱 / 尹正厚的钱 / 长期定期支援 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Locked.
family-01,factory_crisis_truth_lexeme,공장 위기 3억,en,factory crisis 300 million / 300 million won / management rights crisis (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked.
family-01,factory_crisis_truth_lexeme,공장 위기,ja,工場危機の3億 / 3億ウォン / 経営権危機 (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Locked.
family-01,factory_crisis_truth_lexeme,공장 위기,zh-CN,工厂危机3亿 / 3亿韩元 / 经营权危机 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Locked.
family-01,brother_identity_truth_lexeme,형의 정체,en,brother's identity (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked.
family-01,brother_identity_truth_lexeme,형의 정체,ja,兄のアイデンティティ (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Locked.
family-01,brother_identity_truth_lexeme,형의 정체,zh-CN,哥哥的身份 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Locked.
family-01,paraphrase_set_family,(disclosure-policy.md §4.2 paraphrase variants),en,"hidden parentage / separate bloodline / not blood-related / Yoon Jung-hoo's hidden funding / changed inheritance ratio / protect his brother's identity",localePolicy.paraphraseLexemes.en (6 lexemes),OK_LOCKED,Locked.
family-01,paraphrase_set_family,(§4.2 paraphrases),ja,隠された親子関係 / 別の血筋 / 血がつながっていない / 別資金 / 相続比率変更 / 兄を守るため,localePolicy.paraphraseLexemes.ja (6),OK_LOCKED,Locked.
family-01,paraphrase_set_family,(§4.2 paraphrases),zh-CN,隐藏的亲子关系 / 不同血脉 / 没有血缘 / 另一笔钱 / 继承比例变更 / 保护哥哥身份,localePolicy.paraphraseLexemes.zh-CN (6),OK_LOCKED,Locked.
family-01,npc_name_a,윤태성,en,Yoon Tae-sung,script-glossary.csv,OK,Locked.
family-01,npc_name_a,윤태성,ja,ユン・テソン,script-glossary.csv,OK,Locked.
family-01,npc_name_a,윤태성,zh-CN,尹泰成,script-glossary.csv,OK,Locked.
family-01,npc_name_b,윤정후,en,Yoon Jung-hoo / Jung-hoo,script-glossary.csv,OK,Locked.
family-01,npc_name_b,윤정후,ja,ユン・ジョンフ / 正厚,script-glossary.csv,OK,Locked. Thread-28 GLOSSARY_DELTAS notes 26 new JA terms used outside script-glossary; medium-risk: お父様 paraphrase boundary near 父の詐欺.
family-01,npc_name_b,윤정후,zh-CN,尹正厚,script-glossary.csv,OK,Locked.
friend-01,fiance_crossed_truth_lexeme,예비신랑이 먼저 / 선을 넘은,en,fiance crossed the line / fiancé crossed the line / fiance approached first / fiancé approached first / inappropriate messages (S5+only),localePolicy.forbiddenLexemes.en (21 lexemes),OK_LOCKED,Locked.
friend-01,fiance_crossed_truth_lexeme,예비신랑이 먼저,ja,婚約者が先に / 婚約者が言い寄った / 一線を越えたメッセージ (S5+only),localePolicy.forbiddenLexemes.ja (18 lexemes),OK_LOCKED,Locked.
friend-01,fiance_crossed_truth_lexeme,예비신랑이 먼저,zh-CN,准新郎先 / 准新郎勾搭 / 准新郎接近 / 越界消息 (S5+only),localePolicy.forbiddenLexemes.zh-CN (18 lexemes),OK_LOCKED,Locked.
friend-01,father_fraud_truth_lexeme,아버지의 사기 / 투자 사기,en,father's fraud / father extorted money / A's father committed fraud / investment fraud / unpaid debt (S5+only),localePolicy.forbiddenLexemes.en,OK_LOCKED,Locked.
friend-01,father_fraud_truth_lexeme,아버지의 사기,ja,父の詐欺 / 父が金を奪った / Aの父が詐欺 / 投資名目の詐欺 / 未返済 (S5+only),localePolicy.forbiddenLexemes.ja,OK_LOCKED,Locked.
friend-01,father_fraud_truth_lexeme,아버지의 사기,zh-CN,父亲诈骗 / 父亲骗钱 / A的父亲诈骗 / 投资名义诈骗 / 未偿还 (S5+only),localePolicy.forbiddenLexemes.zh-CN,OK_LOCKED,Locked.
