id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추고 안쪽 정서를 끌어내는 질문이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].text,"윤정후 씨, 그때 가장 먼저 지키고 싶었던 사람은 어머니였습니까, 윤태성 씨였습니까.",I am not asking you to defend the timing; I am asking what it cost you to be there.,ユン・テソンさん、遺言書の作成手続きと母の状態を前にして揺れていた時間も含めて、率直なところをお答えください。,尹泰成先生，对母亲晚年那段时间的状态，您愿意把您看到的部分先讲一遍吗。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추고 안쪽 정서를 끌어내는 질문이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].text,"윤태성 씨, 그 시기 어머니 모습을 떠올리면 먼저 드는 감정이 분노입니까, 불안입니까.",Set aside the document for a moment — what was that period actually like for you?,ユン・テソンさん、遺言書の作成手続きと母の状態を見て胸の中で結論に向かっていった経緯を、お話しください。,换一个角度。尹泰成先生，对母亲晚年那段时间的状态，您愿意把您看到的部分先讲一遍吗。请按时间顺序回答。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v3].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v3_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v3].text,"윤정후 씨, 말년의 어머니 방에 들어설 때 어떤 마음이 먼저 들었습니까.","I want to understand what you carried in those weeks, before we return to the procedure.",ユン・テソンさん、遺言書の作成手続きと母の状態について、いま胸の中にある事情を整えてお答えください。,让我们再确认一次。尹泰成先生，对母亲晚年那段时间的状态，您愿意把您看到的部分先讲一遍吗。请把这一点定准。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v4].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v4_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v4].text,"윤태성 씨, 그 방문기록을 볼 때 가장 아팠던 부분은 무엇입니까.","Tell me what was on your mind in those days, regardless of what was on the page.",ユン・テソンさん、不安と確信の境目で何が決め手になったのか、お話しいただけますか。,尹泰成先生，对母亲晚年那段时间的状态，您愿意把您看到的部分先讲一遍吗。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v5].behaviorHint,판단보다 감정의 첫 반응을 묻는다. 방어를 조금 낮추는 질문이다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_family-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy-approach-1-v5_.text,non_party_scripted_text,src/data/scriptedText,family-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy-approach-1-v5].text,"두 분, 어머니 마지막 시간을 떠올릴 때 가장 무거운 장면을 말해 주십시오.","Speak to me as a person here, not as a party — what do you remember most clearly?",ユン・テソンさん、遺言書の作成手続きと母の状態を伏せていた間の心情を、率直に整えてください。,换一个角度。尹泰成先生，对母亲晚年那段时间的状态，您愿意把您看到的部分先讲一遍吗。请按时间顺序回答。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
