priority,locale,surface_or_concern,issue,evidence,recommendation
P0,none,(no P0 blockers),Truth boundary holds across all 3 locales × 3 big surfaces. Brand guard 0 violations. Validators all PASS (default + per-locale + strict scoped to spouse-01 + check:policy + glossary). KO source unmodified except for v3 P0 phase1 line edit (intentional + approved).,"localization:scripts:validate strict mode = 42 errors, all family-01/friend-01 missing-sidecar (out of pilot scope). 0 spouse-01 errors. brand guard 0 hits across 7 sidecars × 3 locales. Independent forbidden-lexeme audit: 0 non-S5 leaks across scriptedText + interrogation_answers + judge_questions for all 3 locales. Phase1 KO line edit confirmed in working tree git diff (line 130 + 286).",No P0 action. Spouse-01 pilot has cleared all gating thresholds.
P1,en,scriptedText interrogation channel — variant variety severely degraded,"All 10 variants of `a|d-1|S0|fact_pursuit` share IDENTICAL first 2 sentences (`Your Honor, the records I gathered keep pointing to the same building, the same hours, and items that are not mine. I am not making any of this up.`). Only the third sentence rotates. Audit of first 5 entries in interrogation channel: every entry shows `1 unique 60-char opener / 10 variants`. JA shows 3-6 unique / 10 (better). zh-CN shows 9-10 unique / 10 (closest to KO).","Build-script template approach used by EN sub-agents emitted shared sentence-A anchor + shared sentence-B anchor + rotating sentence-C tail. KO author hand-writes 10 distinct beats per entry. Cumulative effect: EN player hears the same 2-sentence opener up to ~7,000 times across spouse-01 interrogation + interrogation_answers (most repeated channel). **EN polish pass MANDATORY before family-01/friend-01 expansion** — the same template applied to family-01 (5,262 variants) + friend-01 (5,097 variants) will compound monotony at ship scale. Re-run high-volume EN channels with sub-agent prompt mandating opener + closer + middle rotation across at minimum 3 distinct anchors per (party, lieState, questionType) bucket."
P1,all,non-lieState channel truth softening (aftermath / dossier-late / witness-full / evidence_present-late / contradiction_pursuit-late / emotional_overload-S4+ / judge_evidence_combo-postS5 / judge_witness_summon-postS5),"Validator only allows truth lexemes when `entry.lieState === 'S5'`. Channels with `resultClass` / `lieBand` / `depth` instead of `lieState` cannot be truth-allowed at any band/depth. KO source aftermath v1 reveals `위임장 조작과 투자 사기 송금` and `형과 조카` per disclosure-policy.md §2.4 (post-verdict free disclosure). All 3 locales paraphrase to surface vocab: EN `family matter` / JA `家族の事情` + `書類の細工` / zh-CN `相关家人和那个孩子` + `文件处理上的疑点`.","KO aftermath line: `이준호의 숨김이 가벼운 잘못은 아니었지만, 재판관은 위임장 조작과 투자 사기 송금을 더 무겁게 보았다. 이준호는 형과 조카 이야기를 더는 숨기지 않겠다고 했고`. JA equivalent: `家族の事情を黙っていたことは軽い過ちではなかったが、裁판관은 書類の細工と金銭の流出をより重く見た`. zh-CN equivalent: `李俊昊表示不会再隐瞒相关家人和那个孩子的事`. Same softening pattern in dossier-late / witness-full / etc.","PROJECT_CONTROL_TOWER decide: (a) extend `validateOptionalText` to honor aftermath (resultClass-bearing) / dossier-late / witness-full / evidence_present-late / contradiction_pursuit-late / emotional_overload-S4+ / mediation-S3+ / judge_*-postS5 as truth-allowed channels (matches disclosure-policy §3.3 per-channel matrix), OR (b) accept locale-side hardening as deliberate v1 design (locale players get weaker post-verdict reveal). Recommend (a) for narrative parity with KO. Implementation: extend validator's truth-stage logic to read entry shape + channel + lieBand/depth/resultClass and apply per-channel-stage allowance. Locale sidecars then get a polish-up pass to mirror KO truth disclosure where appropriate. Block before spouse-01 ship-quality sign-off; not blocking pilot validation."
P1,all,phase1 `choices[]` vs `options[]` schema mismatch,"KO source dialogues use `options[]` for choice nodes. Validator `validateDialogueOverlay` reads `dialogue.choices[]`. Scaffold extractor emits empty `choices: []`. Result: zh-CN sidecar leaves choice option text untranslated (player sees Korean choice options). EN + JA sidecars worked around by writing `options[]` directly into overlay (runtime loader accepts both `options ?? choices`).",zh-CN intake SUMMARY explicitly notes: 'choice option text remains untranslated... player would see Korean choice options in zh-CN locale'. EN intake SUMMARY recommendation: 'fix the extractor to read entry.options and let validators check dialogue.options ?? dialogue.choices'. JA intake SUMMARY confirms 9 choice options translated as `options[]`.,"Codex one-line scaffold + validator alignment: pick canonical key (`options[]` per KO source) and update both `scripts/extract-script-text.cjs` and `scripts/validate-script-locale.cjs` to read it. Re-emit zh-CN scaffold for phase1; translate 9 choice options. Block family-01/friend-01 phase1 expansion until fixed (otherwise replicates same issue)."
P1,all,scaffold extractor `caseId` mismatch for cases/generated overlay,"Scaffold emits `caseId: 'case-spouse-01'` (matching case-data source convention). Validator hardcodes `assertEqual(overlay.caseId, 'spouse-01')` for `generatedCaseSurface`. EN + zh-CN pilots manually fixed the overlay file. JA pilot main thread caught + fixed during early pass.",3-way agreement in pilot SUMMARYs.,"Codex one-line fix to `scripts/extract-script-text.cjs`: emit `caseId: 'spouse-01'` (no `case-` prefix) for `generatedCaseSurface` overlays. Otherwise family-01/friend-01 expansion replicates same workaround."
P1,all,scaffold `disputes[i].surfaceClaim` field has no KO source,"Scaffold extractor creates `disputes[i].surfaceClaim` as empty per dispute. KO source `cases/generated/spouse-01.json` has no `surfaceClaim` value (only `name` + `truthDescription`). EN coverage shows 25/29 with the 4 unfilled = surfaceClaim. JA + zh-CN report similarly handled.",EN SUMMARY: 'either drop the field from the scaffold or add a KO surfaceClaim source authored separately'.,"PROJECT_CONTROL_TOWER decide: (a) drop `surfaceClaim` from scaffold output, (b) author KO `surfaceClaim` (one-line surface paraphrase per dispute) in case data. Recommend (b) — surfaceClaim is structurally aligned with the surface/truth split policy and would benefit family-01/friend-01 too. KO source addition + per-locale translation in next sidecar pass."
P1,all,`special_scripts` overlay schema gap,"Brief 24 lists `special_scripts.{locale}.json` as expected sidecar but KO `spouse-01_special_scripts.json` has 0 translatable strings per scaffold. No locale sidecar created. Validator skips when KO base is empty. EN SUMMARY notes: 'KO special_scripts schema is heterogeneous bag of confessions/interjections/etc., overlay schema expects only note: ...'.",EN + JA + zh-CN all skip the file. EN SUMMARY flags as schema gap. JA SUMMARY: 'KO has 0 translatable strings... confirm whether intentional (sub-channels not yet authored) or KO authoring gap'.,"PROJECT_CONTROL_TOWER decide: (a) confirm KO `special_scripts` is intentionally minimal in v1 (sub-channel content deferred); locale follows suit. (b) define per-bucket overlay shape (confessions / interjections / s5RequestionResponses / etc.) so locale sidecars can be produced when KO content lands. Recommend (a) for v1 ship — KO special_scripts content is small enough that locale fallback is acceptable. Defer (b) to post-v1 if special_scripts gets authored."
P1,en,EN forbidden-lexeme substring brittleness,"Validator's substring match means `'brother'` blocks `'my brother'`, `'older brother'`, `'a brother's keeper'` etc. Correct for spouse-01's truth gate. Risk: future case dialogue legitimately needing `brother` outside truth context will be blocked.","EN SUMMARY recommendation: 'when expanding past pilot, consider word-boundary regex (e.g. \\bbrother\\b) plus an allowlist of contexts where the word is non-truth-bearing'.","Codex enhance `validateOptionalText` for EN: add per-locale lexeme matcher with optional regex word-boundary + per-channel allowlist. Block before friend-01 expansion (friend-01 has paraphrase-heavy lexemes per disclosure-policy.md §4.3 — substring match likely insufficient)."
P1,en,EN scripted_text aftermath uses surface paraphrase even in EN where KO reveals,"EN aftermath v1 starts: `After the verdict, Park Ji-yeon could not lift her head for a long time. Lee Jun-ho's concealment was not a light fault, but the judge weigh...` (trailing). KO source explicitly reveals `위임장 조작과 투자 사기 송금` + `형과 조카` post-verdict. Same root cause as P1 above (validator gate).",Direct-comparison spot-check.,Same recommendation as 'non-lieState channel truth softening' P1. Resolve at validator level rather than per-locale.
P2,ja,JA `外遇` (Chinese loanword) vs `浮気`/`不倫`,"JA scriptedText sub-agent generator used `外遇` in S0 b/d-1 templates. Standard JA forms are `浮気` (everyday) or `不倫` (legal/formal). `外遇` reads as Chinese loanword.",JA SUMMARY P2 row 1 + glossary delta DRIFT row.,"JA native review pass to normalize to `浮気` (everyday register) or `不倫` (legal/formal register). Per-context decision. Not blocking ship."
