batch_id,file,rows,case_scope,categories
01,batch_01_spouse01_part1.csv,1137,spouse-01,case_surface_content:1137
02,batch_02_spouse01_part2.csv,1459,spouse-01,case_surface_content:139;judge_question_script:1320
03,batch_03_spouse01_part3.csv,1349,spouse-01,mediation_judge_line:4;non_party_scripted_text:1345
04,batch_04_spouse01_part4.csv,564,spouse-01,non_party_scripted_text:485;phase_dialogue_judge_choice:11;question_angle_catalog:8;witness_testimony:60
05,batch_05_family01_part1.csv,1449,family-01,case_surface_content:1089;judge_question_script:360
06,batch_06_family01_part2.csv,1200,family-01,judge_question_script:1200
07,batch_07_family01_part3.csv,1164,family-01,mediation_judge_line:4;non_party_scripted_text:1160
08,batch_08_family01_part4.csv,1046,family-01,non_party_scripted_text:965;phase_dialogue_judge_choice:11;question_angle_catalog:10;witness_testimony:60
09,batch_09_friend01_part1.csv,1527,friend-01,case_surface_content:1527
10,batch_10_friend01_part2.csv,1422,friend-01,case_surface_content:702;judge_question_script:720
11,batch_11_friend01_part3.csv,1439,friend-01,judge_question_script:480;mediation_judge_line:4;non_party_scripted_text:955
12,batch_12_friend01_part4.csv,1046,friend-01,non_party_scripted_text:965;phase_dialogue_judge_choice:11;question_angle_catalog:10;witness_testimony:60
13,batch_13_global_ui_part1.csv,583,(global),ui_i18n_message:583
14,batch_14_global_ui_part2.csv,546,(global),hardcoded_source_literal:150;ui_i18n_message:396
15,batch_15_global_hardcoded_part1.csv,546,(global),hardcoded_source_literal:546
16,batch_16_global_hardcoded_part2.csv,546,(global),hardcoded_source_literal:546
17,batch_17_global_scripted_part1.csv,545,(global),hardcoded_source_literal:545
18,batch_18_global_scripted_part2.csv,545,(global),hardcoded_source_literal:545
19,batch_19_global_scripted_part3.csv,545,(global),hardcoded_source_literal:545
20,batch_20_global_scripted_part4.csv,545,(global),hardcoded_source_literal:545
