case_id,verification_aspect,result,evidence
spouse-01,localePolicy.schemaVersion,PASS,disclosurePolicy/spouse-01.json:306 = "script-localization-v1"
spouse-01,localePolicy.status,PASS,disclosurePolicy/spouse-01.json:307 = "tier-a-draft"
spouse-01,localePolicy.forbiddenLexemes.en,PASS (19 entries),disclosurePolicy/spouse-01.json:309-329
spouse-01,localePolicy.forbiddenLexemes.ja,PASS (18 entries),disclosurePolicy/spouse-01.json:330-349
spouse-01,localePolicy.forbiddenLexemes.zh-CN,PASS (18 entries),disclosurePolicy/spouse-01.json:350-369
spouse-01,localePolicy.paraphraseLexemes.en,PASS (6 entries),disclosurePolicy/spouse-01.json:372-379
spouse-01,localePolicy.paraphraseLexemes.ja,PASS (6 entries),disclosurePolicy/spouse-01.json:380-387
spouse-01,localePolicy.paraphraseLexemes.zh-CN,PASS (6 entries),disclosurePolicy/spouse-01.json:388-395
spouse-01,localePolicy.uiSurfaceMap.en,PASS (6 fields populated),disclosurePolicy/spouse-01.json:398-410 (surfaceOnlyChannels + truthGate + localizeFields + doNotLocalizeFields + safeSubstitutes)
spouse-01,localePolicy.uiSurfaceMap.ja,PASS (6 fields populated),disclosurePolicy/spouse-01.json:411-423
spouse-01,localePolicy.uiSurfaceMap.zh-CN,PASS (6 fields populated),disclosurePolicy/spouse-01.json:424-436
spouse-01,doNotLocalizeFields includes behaviorHint,PASS (en/ja/zh-CN all 3),disclosurePolicy/spouse-01.json:402 / 415 / 428
spouse-01,Tier B deferral note,PASS,disclosurePolicy/spouse-01.json:442 "behaviorHint remains KO-only until the Tier B policy decision lands"
family-01,localePolicy.schemaVersion,PASS,disclosurePolicy/family-01.json:416 = "script-localization-v1"
family-01,localePolicy.status,PASS,disclosurePolicy/family-01.json:417 = "tier-a-draft"
family-01,localePolicy.forbiddenLexemes.en,PASS (21 entries),disclosurePolicy/family-01.json:419-441
family-01,localePolicy.forbiddenLexemes.ja,PASS (19 entries),disclosurePolicy/family-01.json:442-462
family-01,localePolicy.forbiddenLexemes.zh-CN,PASS (19 entries),disclosurePolicy/family-01.json:463-483
family-01,localePolicy.paraphraseLexemes.en,PASS (6 entries),disclosurePolicy/family-01.json:486-493
family-01,localePolicy.paraphraseLexemes.ja,PASS (6 entries),disclosurePolicy/family-01.json:494-501
