row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,applied_text,applied_decision
spouse-01-a-h-d3-S5-fact-pursuit-v1,"서류 처리 경위, 적금 해지, 투자 손실 경위 피해. 전부 제 잘못입니다. 어떤 판결도 달게 받겠습니다.",共同積立金三千万ウォンを解約する際、委任状の夫の署名は私が書きました。あの瞬間、夫が別の生活を持ったと確信し、お金が流れる前に動かねばと思い込みました。偽造が罪と知りながら、恐怖が判断を呑み込みました。その金は投資先に全額入れ、詐欺で全て失いました。今は裁判官をまっすぐ見ることができません。,non_party_scripted_text,D2,P0,書類処理の経緯、積立預金の解約、投資損失の経緯。すべて私の責任です。どんな判決も受け入れます。,書類の処理も、積立預金の解約も、投資で失ったことも、すべて私のしたことです。判決は受け入れます。,a,0.96,JA invents 30M joint-savings detail and a full confession not present in this KO variant; conflates h-d3 with other money facts.,書類処理の経緯、積立預金の解約、投資損失の経緯。すべて私の責任です。どんな判決も受け入れます。,recommendation: option_a applied as-is; confidence 0.96; P0
spouse-01-a-h-d3-S5-motive-search-v1,"범죄인 건 압니다. 제 이름만으로는 못 할 일이라 남편 이름을 빌렸고, 그 순간엔 살아남는 게 먼저라고 여겼습니다.",共同積立金三千万ウォンを解約する際、委任状の夫の署名は私が書きました。あの瞬間、夫が別の生活を持ったと確信し、お金が流れる前に動かねばと思い込みました。偽造が罪と知りながら、恐怖が判断を呑み込みました。その金は投資先に全額入れ、詐欺で全て失いました。今は裁判官をまっすぐ見ることができません。,non_party_scripted_text,D2,P0,犯罪だとは分かっています。私の名義だけではできないことだったので、夫の名前を借りました。その瞬間は、生き残ることが先だと思っていました。,犯罪だと分かっていました。自分の名前だけでは進められず、夫の名前を使いました。その時はまず自分を守ることしか見えていませんでした。,a,0.95,Same wrong template as adjacent row; target adds 30M and loses the source motive.,犯罪だとは分かっています。私の名義だけではできないことだったので、夫の名前を借りました。その瞬間は、生き残ることが先だと思っていました。,recommendation: option_a applied as-is; confidence 0.95; P0
spouse-01-a-h-d3-S5-empathy-approach-v1,되돌리고 싶습니다. 그런데 돌아갈 수가 없습니다. 어떤 판결도 받겠습니다.,共同積立金三千万ウォンを解約する際、委任状の夫の署名は私が書きました。あの瞬間、夫が別の生活を持ったと確信し、お金が流れる前に動かねばと思い込みました。偽造が罪と知りながら、恐怖が判断を呑み込みました。その金は投資先に全額入れ、詐欺で全て失いました。今は裁判官をまっすぐ見ることができません。,non_party_scripted_text,D2,P0,取り返したいです。けれど、もう戻れません。どんな判決も受け入れます。,やり直したいです。でも戻ることはできません。どんな判断も受け入れます。,a,0.96,Target replaces a short remorse line with an over-specific confession and wrong amount.,取り返したいです。けれど、もう戻れません。どんな判決も受け入れます。,recommendation: option_a applied as-is; confidence 0.96; P0
spouse-01-a-d-1-S5-fact-pursuit-v6,"재판관님, 제가 위임장을 조작해 공동 적금 2,000만 원을 해지했습니다. 그 선택을 두려움으로 설명할 수는 있어도 정당화할 수는 없습니다.",ブラックボックスの記録を見た瞬間、頭の中で整理がつきました。 恐怖と疑念に押されて、夫の名を書類に写しました。罪は私です。,non_party_scripted_text,D2,P0,"裁判官、私が委任状を偽造して共同積立預金2,000万ウォンを解約しました。その選択を恐怖で説明することはできても、正当化はできません。","裁判官、私が委任状に手を加え、共同積立預金2,000万ウォンを解約しました。怖かったからといって正当化できることではありません。",a,0.94,"Core 2,000万ウォン joint-savings fact is omitted and replaced with dashcam context.","裁判官、私が委任状を偽造して共同積立預金2,000万ウォンを解約しました。その選択を恐怖で説明することはできても、正当化はできません。",recommendation: option_a applied as-is; confidence 0.94; P0
spouse-01-a-d-2-S5-fact-pursuit-v7,"재판관님, 공동 적금 2,000만 원을 제 판단으로 해지했습니다. 수치심 때문에 끝까지 말하지 못했습니다.",共同口座の動きに違和感を覚えていました。 判決を待つ立場として、整わぬ言葉を重ねるつもりはありません。,non_party_scripted_text,D2,P0,"裁判官、共同積立預金2,000万ウォンを私の判断で解約しました。恥ずかしくて最後まで言えませんでした。","裁判官、共同積立預金2,000万ウォンを私が判断して解約しました。羞恥心から最後まで話せませんでした。",a,0.94,"Target loses admission of the 2,000万ウォン cancellation.","裁判官、共同積立預金2,000万ウォンを私の判断で解約しました。恥ずかしくて最後まで言えませんでした。",recommendation: option_a applied as-is; confidence 0.94; P0
spouse-01-b-d-2-S5-fact-pursuit-v1,…제 아내가 수년째 제 계좌를 봤다는 건 오늘 알았습니다. 할 말이 없습니다.,通帳から動かした金は、兄一家を支えるためのものでした。,non_party_scripted_text,D2,P0,……妻が何年も私の口座を見ていたことを、今日知りました。言葉がありません。,……妻が長年私の口座を見ていたと今日初めて知りました。何も言えません。,a,0.97,Meaning is from a different dispute: account surveillance shock became money support for brother.,……妻が何年も私の口座を見ていたことを、今日知りました。言葉がありません。,recommendation: option_a applied as-is; confidence 0.97; P0
spouse-01-b-d-2-S5-fact-pursuit-v6,"재판관님, 비자금 3,000만 원을 형에게 현금으로 전달했습니다. 그 사실은 인정합니다.",当時、甥の世話と兄の生活を一度に支えねばならず、その費用を私が動かしました。,non_party_scripted_text,D2,P0,"裁判官、隠し資金3,000万ウォンを兄に現金で渡しました。その事実は認めます。","裁判官、隠していた3,000万ウォンを現金で兄に渡しました。その点は認めます。",a,0.95,"Target omits amount, hidden-fund status, and cash handoff.","裁判官、隠し資金3,000万ウォンを兄に現金で渡しました。その事実は認めます。",recommendation: option_a applied as-is; confidence 0.95; P0
spouse-01-b-d-2-S5-empathy-approach-v1,"개인 계좌 비자금 이천만 원을 현금으로 뽑아 제 형에게 건넸습니다. 개인회생 중인 형이 계좌로 받을 수가 없어서 그랬지만, 제 아내한테는 끝내 말하지 못했습니다. 처가 앞에서 가장이 돈 앞에 쩔쩔매는 모습을 보이기 싫었기 때문입니다. 서로 숨기면서 서로를 의심한 겁니다. 둘 다 잘못했습니다.",通帳から動かした金は、兄一家を支えるためのものでした。,non_party_scripted_text,D2,P0,個人口座の隠し資金を現金で引き出して兄に渡しました。個人再生中の兄が口座で受け取れなかったからですが、妻には最後まで言えませんでした。互いに隠し、互いを疑ってしまったのです。二人とも間違っていました。,個人口座の隠し資金を現金で兄に渡しました。兄が個人再生中で口座では受け取れなかったためですが、妻には話せませんでした。隠し合った結果、疑い合うことになりました。,a,0.90,"Source amount itself may need KO baseline recheck, but JA collapses a multi-clause confession into a generic one-liner.",個人口座の隠し資金を現金で引き出して兄に渡しました。個人再生中の兄が口座で受け取れなかったからですが、妻には最後まで言えませんでした。互いに隠し、互いを疑ってしまったのです。二人とも間違っていました。,recommendation: option_a applied as-is; confidence 0.90; P0
spouse-01-b-h-d4-S5-fact-pursuit-v2,"제가 숨긴 돈이 있었고, 3,000만 원을 현금으로 전달했고, 시댁 문제도 감췄고, 오피스텔 출입도 설명하지 않았습니다. 다 제 잘못입니다. 달게 받겠습니다.",私は黙ったまま抱え込もうとしました。 家族の事情を妻に告げなかった、その沈黙の責任は私のものです。,non_party_scripted_text,D2,P0,"私には隠していた金があり、3,000万ウォンを現金で渡し、義実家の問題も隠し、オフィステルへの出入りも説明しませんでした。すべて私の責任です。受け入れます。","隠していたお金があり、3,000万ウォンを現金で渡し、家族の問題もオフィステルの出入りも説明しませんでした。すべて私の過ちです。",a,0.95,"Target loses all enumerated facts, including 3,000万ウォン.","私には隠していた金があり、3,000万ウォンを現金で渡し、義実家の問題も隠し、オフィステルへの出入りも説明しませんでした。すべて私の責任です。受け入れます。",recommendation: option_a applied as-is; confidence 0.95; P0
spouse-01-b-h-d4-S5-fact-pursuit-v7,"재판관님, 형에게 3,000만 원을 현금으로 전한 사실을 인정합니다. 숨긴 책임도 제게 있습니다.",事情を妻にすぐ話さなかった、その点は認めます。 兄と甥の生活を支えていた事実を、もっと早く法廷で述べるべきでした。,non_party_scripted_text,D2,P0,"裁判官、兄に3,000万ウォンを現金で渡した事実を認めます。隠した責任も私にあります。","裁判官、兄へ現金で3,000万ウォンを渡しました。その事実と、隠していた責任を認めます。",a,0.95,Amount and cash-transfer fact omitted; also uses nephew term inconsistent with case surface.,"裁判官、兄に3,000万ウォンを現金で渡した事実を認めます。隠した責任も私にあります。",recommendation: option_a applied as-is; confidence 0.95; P0
