row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,selected_option,applied_text,status,apply_method,resolved_targets,already_count,target_occurrences_exact,applied_files
family-01-dossier-dc-5-a-q1-allBands,"윤태성 씨, 동생 돈이었다는 사실을 몰랐다 해도 장남이니 더 받아야 한다고 여긴 마음까지는 부인하지 않으십니까?",尹泰成先生，即使你不知道那是你哥哥的钱，你不否认你觉得作为长子你应该得到更多吗？,non_party_scripted_text,D2,P0,尹泰成先生，即使您不知道那是弟弟的钱，也不能否认自己曾觉得身为长子就该多拿一些吧？,尹泰成先生，即使您当时不知道那是尹正厚的钱，也不否认自己曾认为长子理应多分一些吧？,a,0.98,dc-5.a.q1 early/mid/late 반복. KO 동생 돈이 zh-CN 你哥哥的钱으로 뒤집혀 형제 관계와 돈 출처가 반전됨.,a,尹泰成先生，即使您不知道那是弟弟的钱，也不能否认自己曾觉得身为长子就该多拿一些吧？,applied,source_path,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-interrogation-b-d-2-S5-fact-pursuit-v2,"제 몫 60, 형 몫 40으로 멈추면 제 형도 분노만 하고 끝낼 수 있을 거라 생각했습니다. 그 아래에 있던 건 다른 비밀이었습니다.",我现在愿意把话说完。我现在愿意把这一段讲清楚：母亲在亲笔练习本里把更多份额给我，是90:10。我自己把它改成60:40，再送去公证。我知道这是遗书造假、减少自己的份额，但当时我只想护住哥哥的脸。这是我必须面对的事实。,non_party_scripted_text,D2,P0,我以为只要停在我60、哥哥40，哥哥最多只会愤怒一阵。可下面还藏着另一个秘密。,我以为把比例定在我60、哥哥40，哥哥就只会因份额发怒而结束。真正压在下面的是另一个秘密。,a,0.93,same id b-d-2-S5-fact-pursuit-v2. Target inserts 90:10/forgery confession not present in KO variant; severe meaning replacement.,a,我以为只要停在我60、哥哥40，哥哥最多只会愤怒一阵。可下面还藏着另一个秘密。,applied,source_path,1,1,0,src/data/scriptedText/family-01.zh-CN.json
family-01-angle-d-1-general,유서 작성 경위 — 어머니가 유서 내용을 이해하고 뜻을 표시했는지 작성 과정을 확인한다.,读纸的场景 — 分开查看尹正厚把纸读给母亲听，并试图在哥哥到来前结束的情形。,question_angle_catalog,D2,P1,遗嘱制作经过 — 确认母亲是否理解遗嘱内容并表达了自己的意思，以及遗嘱形成的过程。,遗嘱形成经过 — 核对母亲理解内容、表达意愿和文件完成的过程。,a,0.95,general angle was replaced by paper_reading-specific angle; scope narrowed incorrectly.,a,遗嘱制作经过 — 确认母亲是否理解遗嘱内容并表达了自己的意思，以及遗嘱形成的过程。,applied,angle,1,2,0,
family-01-angle-d-2-general,최종 유서 경위 — 60:40 유서가 어떤 경로로 최종본이 되었는지 확인한다.,伪造责任 — 无论动机是什么，都确认动过母亲文件的责任。,question_angle_catalog,D2,P1,最终遗嘱形成经过 — 确认60:40遗嘱是通过什么过程成为最终版本的。,60:40遗嘱的最终形成经过 — 追问它如何成为最终版本。,a,0.95,general angle translated as forgery_responsibility; loses route/final-version focus.,a,最终遗嘱形成经过 — 确认60:40遗嘱是通过什么过程成为最终版本的。,applied,angle,1,2,0,
family-01-angle-d-3-general,어머니 통장 자금 — 어머니 통장으로 보인 돈과 형제 사이의 자금 이동을 확인한다.,哥哥的体面与沉默 — 确认没有说出钱的沉默，是保护还是欺骗。,question_angle_catalog,D2,P1,母亲账户里的资金 — 确认看似来自母亲账户的钱，以及兄弟之间的资金流向。,母亲账户资金 — 核对钱为何看似来自母亲，以及兄弟之间的钱款流动。,a,0.96,general angle translated as silence_over_pride; money-flow scope lost.,a,母亲账户里的资金 — 确认看似来自母亲账户的钱，以及兄弟之间的资金流向。,applied,angle,1,2,0,
family-01-angle-d-4-general,일기장 속 가족사 — 어머니 일기장에 남은 민감한 가족 사정과 침묵을 확인한다.,与遗嘱变更的关联 — 询问敏感的家庭情况如何与遗嘱变更判断相连。,question_angle_catalog,D2,P1,日记中的家庭往事 — 确认母亲日记里留下的敏感家庭情况，以及围绕它的沉默。,日记里的家族记录 — 追问其中的敏感家事和知情后的沉默。,a,0.9,general angle prematurely shifts to will-link angle and drops diary/silence framing.,a,日记中的家庭往事 — 确认母亲日记里留下的敏感家庭情况，以及围绕它的沉默。,applied,angle,1,2,0,
family-01-dossier-dc-1-cardName,말년의 종이,晚年的论文,non_party_scripted_text,D2,P1,晚年的那张纸,晚年的文件,a,0.97,"dc-1 entries 0-5. 종이 was mistranslated as 论文, implying an academic paper.",a,晚年的那张纸,applied,source_path,6,6,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-2-cardName,줄인 유서,缩写遗嘱,non_party_scripted_text,D2,P1,调低份额的遗嘱,被改低的遗嘱,a,0.97,"dc-2 entries 6-11. 缩写遗嘱 means abbreviated will, not reduced-share will.",a,调低份额的遗嘱,applied,source_path,6,6,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-1-b-q1-allBands,"윤정후 씨, 공증 직전 방문이 급증했고 어머니에게 종이를 읽어드린 정황까지 있는데, 왜 형이 오기 전에 끝내려 하셨습니까?",尹正厚，公证前夕访问量激增，甚至还出现了给妈妈读报纸的情况。你为什么要在你哥哥来之前完成它？,non_party_scripted_text,D2,P1,尹正厚先生，公证前夕探访次数激增，而且还有给母亲读那张纸的情形。您为什么想在哥哥到来之前把事情结束？,尹正厚先生，公证前夕您的探访明显增加，还曾给母亲读那份文件。为什么要赶在哥哥到来前处理完？,a,0.96,dc-1.b.q1 early/mid/late 반복. 종이->报纸 is evidence mismatch; 妈妈/你 tone also too colloquial for judge question.,a,尹正厚先生，公证前夕探访次数激增，而且还有给母亲读那张纸的情形。您为什么想在哥哥到来之前把事情结束？,applied,source_path,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-2-b-q1-allBands,"윤정후 씨, 같은 날 처음 적힌 자필 연습본과 60대40 공증본이 모두 남아 있는데, 왜 자기 몫을 줄인 서류를 다시 제출하셨습니까?",Jeong-hoo Yoon先生，我还保留着当天写的手写练习副本和60/40公证副本，那么您为什么要减少部分重新提交文件呢？,non_party_scripted_text,D6,P1,尹正厚先生，同一天最初写下的亲笔草稿和60:40公证本都还在，您为什么重新提交了一份降低自己份额的文件？,尹正厚先生，当天的亲笔遗嘱草稿和60:40公证本都保留下来了。您为什么又提交了降低自己份额的文件？,a,0.98,dc-2.b.q1 early/mid/late 반복. Person name violates glossary; target also shifts subject to 我还保留着.,a,尹正厚先生，同一天最初写下的亲笔草稿和60:40公证本都还在，您为什么重新提交了一份降低自己份额的文件？,applied,source_path,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-3-b-q1-allBands,"윤정후 씨, 20년 정기 지원금과 형 사업장 자금 상당수가 실제로는 당신 돈이었다는 점, 이제도 부인하십니까?",尹正虎，你还否认20年的定期补贴和你哥哥工作单位的大部分资金实际上是你自己的钱吗？,non_party_scripted_text,D6,P1,尹正厚先生，20年来的定期支援金和哥哥工厂资金中的相当一部分实际上是您的钱，这一点您现在还否认吗？,尹正厚先生，20年的定期支援金以及哥哥事业资金中的相当一部分其实来自您，您现在还否认吗？,a,0.99,dc-3.b.q1 early/mid/late 반복. 尹正虎 is wrong; glossary requires 尹正厚.,a,尹正厚先生，20年来的定期支援金和哥哥工厂资金中的相当一部分实际上是您的钱，这一点您现在还否认吗？,applied,source_path,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-4-b-q1-allBands,"윤정후 씨, 형의 출생 비밀을 언제 알게 되었고, 그 뒤 왜 혼자 감당하려 하셨습니까?",尹正虎，你是什么时候知道你哥哥出生的秘密的？之后你为什么要独自处理这件事？,non_party_scripted_text,D6,P1,尹正厚先生，您是什么时候知道哥哥的出生秘密的？之后为什么想一个人承担？,尹正厚先生，您何时知道哥哥的出生秘密，后来又为什么独自扛了下来？,a,0.99,dc-4.b.q1 early/mid/late 반복. 尹正虎 is wrong; glossary requires 尹正厚.,a,尹正厚先生，您是什么时候知道哥哥那段敏感家事的？之后为什么想一个人承担？,applied,family_special,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-dossier-dc-5-b-q1-allBands,"윤정후 씨, 형을 지키려 했다는 이유가 있더라도 어머니가 남긴 처음 적힌 비율 뜻을 당신이 고쳐 쓴 책임까지 없어지는 건 아니지 않습니까?",尹正厚先生，即使你有理由保护你的兄弟，这是否意味着你也有责任改变你母亲原来写下的比率的含义？,non_party_scripted_text,D2,P1,尹正厚先生，即使您有保护哥哥的理由，也不能抹去您改写母亲最初留下的比例含义这一责任，不是吗？,尹正厚先生，即便您是为了保护哥哥，您改动母亲最初写下的比例这一责任也不会消失，不是吗？,a,0.9,dc-5.b.q1 early/mid/late 반복. 책임까지 없어지는 건 아니지 않습니까 is weakened/miscast as responsibility to change.,a,尹正厚先生，即使您有保护哥哥的理由，也不能抹去您改写母亲最初留下的比例含义这一责任，不是吗？,applied,source_path,3,3,0,src/data/scriptedText/family-01.zh-CN.json
family-01-witness-w-2-role,김영수 공증인 메모 담당,金英秀 公证人票据,witness_testimony,D6,P1,金英秀 公证人备忘记录负责人,金英秀 公证处记录员,a,0.97,"w-2 entries 3-5. 票据 means bill/note instrument, not memo-record 담당.",a,金英秀 公证人备忘记录负责人,applied,family_special,6,6,0,
family-01-witness-w-3-name-role,박순애 퇴직,苏奈公园 退休,witness_testimony,D6,P1,朴顺爱 退休,朴顺爱 退休人员,a,0.99,w-3 entries 6-8. Park surname was translated as 公园; glossary requires 朴顺爱.,a,朴顺爱 退休,applied,family_special,6,6,0,
family-01-witness-w-3-partial-v2,태성이 공장 일이 어려울 때 정후 돈이 들어갔다는 말을 들었습니다. 직접 본 장부는 아닙니다.,我听说泰成的工厂困难时，另一来源的钱进去了。我没有亲眼看到账簿。,witness_testimony,D2,P1,我听说泰成的工厂陷入困难时，正厚的钱也投了进去。我没有亲眼看到账簿。,我听说泰成工厂出问题时，有正厚的钱流了进去。账簿我没有亲眼见过。,a,0.9,"정후 돈 becomes vague 另一来源的钱, losing the key source.",a,我听说泰成的工厂陷入困难时，正厚的钱也投了进去。我没有亲眼看到账簿。,applied,source_path,1,1,0,src/data/scriptedText/family-01.zh-CN.json
family-01-witness-w-3-full-v1,어머님은 정후가 20년 가까이 매달 돈을 보내줬다고 하셨습니다. 태성이 공장 위기 때도 정후 돈이 들어갔다고 들었습니다.,母亲说，正厚将近二十年来每个月都汇钱。泰成的工厂出现危机时，我也听说另一来源的钱进去了。,witness_testimony,D2,P1,母亲说，正厚将近二十年来每个月都汇钱。泰成的工厂出现危机时，我也听说正厚的钱投了进去。,母亲说正厚近二十年来每月汇钱。泰成的工厂遇到危机时，我也听说进去的是正厚的钱。,a,0.91,정후 돈 again diluted to 另一来源的钱 in full testimony.,a,母亲说，正厚将近二十年来每个月都汇钱。泰成的工厂出现危机时，我也听说正厚的钱投了进去。,applied,source_path,1,1,0,src/data/scriptedText/family-01.zh-CN.json
family-01-term-judge-title-caipanguan,재판관님 / 재판관,裁判官,non_party_scripted_text,D6,P1,法官,,a,0.86,"glossary current_zh=法官. 350 scriptedText occurrences plus 6 phase1 dialogue occurrences use 裁判官, causing term inconsistency.",a,法官,applied,exact,0,3,0,src/data/scriptedText/family-01.zh-CN.json|src/data/cases/generated/family-01.zh-CN.json|src/data/dialogues/phase1/family-01.zh-CN.json
family-01-term-handwritten-draft-lianxiben,자필 연습본,亲笔练习本,non_party_scripted_text,D6,P1,亲笔遗嘱草稿,亲笔草稿,a,0.9,glossary evidence term is 母亲亲笔遗嘱草稿. 353 scriptedText occurrences plus mediation occurrence use 练习本/notebook wording.,a,亲笔遗嘱草稿,applied,unresolved,0,0,0,src/data/scriptedText/family-01.zh-CN.json|src/data/scriptedAngles/family-01_angle_catalog.zh-CN.json|src/data/cases/generated/family-01.zh-CN.json|src/data/dialogues/mediation/family-v3-01.zh-CN.json
family-01-interrogation-a-d-1-S0-fact-pursuit-v4,그 비율을 보는 순간 이건 어머니 뜻만으로 나온 게 아니라고 확신했습니다. 제가 해 온 시간이 통째로 지워진 느낌이었습니다.,遗嘱上记下的份额安排和我多年照顾母亲的经历不相称。母亲晚年判断已经吃力，那张纸不能由它一人说了算。,non_party_scripted_text,D2,P1,看到那个比例的瞬间，我确信这不可能只是母亲自己的意思。我感觉自己付出的时间被整个抹掉了。,看到那份比例时，我立刻认定这不可能只出自母亲的意愿，自己这些年的付出仿佛被一笔抹掉。,a,0.87,Template collapse: same zh reused for v1/v4/v7/v10 while KO variants differ; individual nuance lost.,a,看到那个比例的瞬间，我确信这不可能只是母亲自己的意思。我感觉自己付出的时间被整个抹掉了。,applied,source_path,1,1,3,src/data/scriptedText/family-01.zh-CN.json
family-01-interrogation-a-d-1-S0-motive-search-v4,제 동생은 불리한 말은 잘 안 꺼내는 사람입니다. 어머니가 약해진 때를 골라 자기에게 유리한 말만 쌓았다고 저는 봅니다.,我要问的是这份遗嘱是怎么形成的。母亲身边谁在最后那段日子里影响了她的决定，这个顺序必须先理清。,non_party_scripted_text,D2,P1,我弟弟是不太会主动说不利于自己的话的人。我认为他趁母亲虚弱时，只把对自己有利的话一点点堆了上去。,我看他是在母亲变弱的时候，只把对自己有利的话放到母亲身边。,a,0.88,"Target is a generic will-formation line, not the source's accusation about selective self-serving speech.",a,我弟弟是不太会主动说不利于自己的话的人。我认为他趁母亲虚弱时，只把对自己有利的话一点点堆了上去。,applied,source_path,1,1,3,src/data/scriptedText/family-01.zh-CN.json
family-01-interrogation-a-d-1-S0-empathy-approach-v4,제 동생에게도 큰 몫이 간다는 사실보다 어머니가 제게 아무 말도 없이 떠나셨다는 게 더 아팠습니다.,我不是要剥夺谁的份额。我只是希望母亲真正的意思能被听见，而不是被一张纸盖过去。,non_party_scripted_text,D2,P1,比起弟弟也分到很大份额这件事，更让我痛的是母亲一句话也没留给我就离开了。,不是弟弟拿得多更痛，而是母亲没有对我说一句就走了，这一点更刺痛我。,a,0.88,Target replaces emotional nuance with a generic fairness statement.,a,比起弟弟也分到很大份额这件事，更让我痛的是母亲一句话也没留给我就离开了。,applied,source_path,1,1,3,src/data/scriptedText/family-01.zh-CN.json
