row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/cases/generated/family-01.en.json::v3Design.leadLines[3].interpretationChoices[0].text","case_generated","L-4-A","P0","D5; lieState; truth-leak","가족 안쪽 사정을 지키려 한 보호였다","It was protection meant to keep the birth secret","It was protection meant to keep a private family matter","KO safe abstraction was translated into direct hidden fact. `birth secret` is a concrete fact keyword; detect-truth-leak does not scan case_generated."
"src/data/scriptedText/family-01.en.json::channels.interrogation.entries[3].variants[*].text","dialogue","a|d-1|S1|fact_pursuit","P0","D2; lieState; stance","제 동생이 말년에 유독 자주 찾아갔습니다. 전에는 명절에도 얼굴 보기 힘들던 사람입니다.","Your Honor, the will copy in front of us shows my younger brother at sixty and me at forty, and that does not match anything I lived through with our mother. I will admit some of it, but the core of what I observed still stands.","My younger brother started visiting unusually often near the end. Before that, it was hard to see him even on holidays.","S1 fact-pursuit becomes ratio grievance plus added admission. This is not the stance:admit moment and distorts lieState progression."
"src/data/scriptedText/family-01.en.json::channels.interrogation.entries[12].variants[*].text","dialogue","a|d-1|S4|fact_pursuit","P0","D2; lieState","어머니가 마지막 몇 달 동안 무슨 생각을 하셨는지 저는 모릅니다. 같이 살았으면서도 그런 얘기를 거의 못 했습니다.","Your Honor, the will copy in front of us shows my younger brother at sixty and me at forty, and that does not match anything I lived through with our mother. I admit that, in the moment, I confused old grievance with what the records actually said.","I do not know what Mother was thinking in her last few months. Even though I lived with her, we barely spoke about that.","KO is a late self-limitation about not knowing Mother's inner thoughts; EN repeats the ratio template and adds an unrelated admission."
"src/data/scriptedText/family-01.en.json::channels.interrogation.entries[20].variants[*].text","dialogue","b|d-1|S0|empathy_approach","P0","D2; lieState; archetype","제 형이 저를 의심하는 건 어제오늘 일이 아닙니다. 이제는 놀랍지도 않습니다.","Your Honor, I admit that staying so quiet around the will left my older brother with very little to read except his own anxiety.","My brother suspecting me is not new. It does not even surprise me anymore.","B's S0 avoidant line is converted into an admission about silence around the will, which reveals too much too early."
"src/data/scriptedText/family-01.en.json::channels.interrogation.entries[*].variants[*].text","dialogue","stance:admit template","P1","stance; lieState; archetype","말을 아낀 건 맞습니다 / 인정합니다 / 아직 전부를 연 건 아닙니다","I will admit the easy part first and come back to the hard one. / I will admit the middle layer and leave the core for the proper time.","Regenerate only where KO actually contains an admission; otherwise preserve the specific fact, doubt, or refusal in the KO line.","This applies the learned stance:admit redundancy rule. `admit` is not banned, but repeated boilerplate overwrites many non-admission KO variants."
"src/data/scriptedText/family-01.en.json::channels.evidence_present.entries[3].variants[*].text","scriptedText","b-e-1-early-self","P1","D2; lieState","공증본은 처음부터 60:40이었습니다. 저는 어머니 뜻을 문서로 정리하는 일을 도왔습니다.","I do not deny that this copy of the distribution ratio document carries my name, but the figures had a reason behind them. I do not deny the record, but I would rather not lay out the reason in long form right now.","The notarized copy was 60:40 from the start. I helped put Mother's wishes into document form.","EN imports hidden-reason framing into early evidence presentation; KO only states the surface document fact and procedural help."
"src/data/scriptedText/family-01.en.json::channels.evidence_present.entries[10].variants[*].text","scriptedText","b-e-2-mid-self","P0","D2; lieState","방문이 유서 이야기와 겹친 날이 있습니다. 도움과 개입의 선을 제가 흐린 부분은 설명하겠습니다.","The care-home visit log is mine; I went there because I was the one carrying her care. I will admit there were circumstances behind it, though I am not yet ready to set them down in full.","Some visits overlapped with discussions about the will. I will explain where I blurred the line between helping and intervening.","Target invents that B was carrying care, which belongs to A's self-image, and loses the will-discussion fact."
"src/data/scriptedText/family-01.en.json::channels.contradiction_pursuit.entries[*].variants[*].text","dialogue","contradiction_pursuit all","P0","D2; lieState; archetype","재판관님, 그건 말을 바꾼 게 아닙니다. 말년 어머니 상태를 넓게 말하다가 범위를 좁힌 겁니다.","Your Honor, the will drafting did not happen in the calm way the other side is describing. I am not going to overstate it on the first pass, but the contradiction is plain on the page.","Regenerate contradiction_pursuit from each KO variant; preserve whether the speaker denies, narrows, concedes, or redirects the contradiction.","Whole channel is template-driven. It often names a contradiction on the page even when KO is not admitting a contradiction."
"src/data/scriptedText/family-01.en.json::channels.contradiction_pursuit.entries[12].variants[*].text","dialogue","b|d-2|S1","P0","D2; lieState; evidence-unlock","재판관님, 숫자를 몰랐다는 말은 정확한 근거를 몰랐다는 뜻이었습니다. 일부러 빠진 척한 건 아닙니다.","About the difference between the notarised text and the earlier draft — I will not deny the gap, but I will explain how it grew.","When I said I did not know the number, I meant I did not know the exact basis for it. I was not pretending to be absent on purpose.","S1 answer is about the basis for knowing the number; target prematurely turns it into the draft-vs-copy gap and a broader concession."
"src/data/scriptedText/family-01.en.json::channels.interjection.entries[*].variants[*].text","dialogue","interjection all","P1","D2; tone; archetype","잠깐만요, 재판관님. 오래된 가족 이야기를 바로 사실처럼 올리면 모두가 다칩니다.","That account of the family record leaves out the part that matters most. I am not raising my voice here; I am just asking the court to keep the record accurate.","Wait, Your Honor. If an old family story is put on the record as fact right away, everyone gets hurt.","Interjections are flattened into a generic court-record objection, losing party-specific urgency and emotional force."
