row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/scriptedText/friend-01.ja.json#channels.interrogation.entries[*].variants[*].text(A/B placeholder)","dialogue","A/B placeholder leak in scriptedText; 111 strings","P0","D5,truth-leak,placeholder","KO 원문은 송다은/최수민 역할을 실제 인물 관계로 유지하며 A/B 기호를 쓰지 않는다.","Bがまた悪役として扱われた構図 / Aの父 / Bの警告意図","A/B를 실제 인물명 또는 역할로 치환하지 말고, 각 KO variant 기준으로 ソン・ダウン / チェ・スミン / 父 등 실제 지시어를 재작성한다.","§7 placeholder leak. Player-visible text에 A/B authoring placeholder가 그대로 남아 actor와 truth owner가 불명확해짐."
"src/data/scriptedAngles/friend-01_interrogation_answers.ja.json#answers[*].variants[*].text(A/B placeholder)","scriptedAngles","A/B placeholder leak in interrogation answers; 135 strings","P0","D5,truth-leak,placeholder","KO 원문은 A/B 메타 기호 없이 당사자 발화로 구성된다.","過去の絶交はAの父が原因でした / わたしはBがまた悪役の側に残る道を選びました","A/B 기호가 보이는 affected variants를 전수 재번역하고, speaker 관점에 맞춰 私/相手/ソン・ダウン/チェ・スミン 중 하나로 명확히 고친다.","§7 placeholder leak + §1.(3) 정적 분석 한계. detect-truth-leak는 scriptedAngles interrogation_answers를 보지 않아 baseline 0으로 남음."
"src/data/scriptedText/friend-01.ja.json#channels.interrogation.entries[*].variants[id=/^[ab]-d-3-S[0-2]/].text","dialogue","d-3 S0-S2 money-pattern pre-confession leak; 95 strings","P0","D5,lieState,truth-leak","S0~S2 KO는 가족/문자/작은 부탁/정황 수준에서 방어하거나 유보한다.","金銭の依頼と過去との重なりを見て、私はもう答えを察していたんです。","S0~S2에서는 金銭の依頼と過去との重なり 같은 확정형을 금지하고, 家族側のメッセージ / 金の頼みの状況 / 現在のメッセージ 등 surface 표현으로 낮춘다.","hidden keyword 본성상 돈 요구/과거 중첩은 행위·사실 계열. substring detector matrix의 exact keyword가 아니라 수동 검출 필요."
"src/data/scriptedText/friend-01.ja.json#channels.interrogation.entries[*].variants[id=/^[ab]-d-4-S[0-2]/].text","dialogue","d-4 S0-S2 old-fallout true-cause leak; 96 strings","P0","D5,lieState,truth-leak","S0~S2 KO는 과거 손절의 구체 원인을 직접 확정하지 않고 회피/방어한다.","昔の絶交の本当の事情について、まず私の側の事実関係から整理します。","S0~S2에서는 昔の絶交 / 過去のやり取り / 金銭問題 정도로 낮추고, 本当の事情 또는 원인 확정형은 late/confession variants로만 이동한다.","d-4 hidden fact는 차용금 미상환/부분 상환. 本当の事情 phrasing이 S5 전 진실 존재를 먼저 확정함."
"src/data/scriptedText/friend-01.ja.json#channels.interrogation.entries[*].variants[*].text(card-ledger contamination)","dialogue","spouse/card evidence contamination; 22 strings","P0","D2,D5,cultural","friend-01 KO에는 카드 명세나 카드 증거가 없다.","カード明細や履歴のうち、私が目を通した部分から先に答えます。","カード明細를 전부 제거하고 해당 dispute의 실제 증거(連絡記録, メッセージ, カカオトーク, 送金記録 등)로 재번역한다.","다른 case 계열 template bleed. 의미 뒤바뀜이며 일부 S0~S2에서는 존재하지 않는 증거로 사실관계를 조기 고정함."
"src/data/scriptedText/friend-01.ja.json#channels.interrogation.entries[*].variants[*].text(fraud wording)","dialogue","fraud/legal overstatement in scriptedText; 66 strings","P1","D2,cultural,legal","KO truth는 차용금 미상환/돈 접근 패턴/일부 상환이지 형사 사기 사건 확정이 아니다.","父の詐欺 / 投資名目の詐欺 / 父が金を奪った","詐欺・奪った 같은 형사/단정 표현은 借用金の未返済, 金銭問題, 返済されなかった借金, 金銭接近パターン 등 민사적 표현으로 낮춘다.","§1.(2) 법률 용어. JA에서 詐欺事件은 형사 범죄 인상을 줘 사건 frame이 과격해짐."
"src/data/scriptedAngles/friend-01_interrogation_answers.ja.json#answers[*].variants[id=/S5/].text(fraud wording)","scriptedAngles","S5 fraud/legal overstatement in interrogation answers; 735 strings","P1","D2,cultural,legal","S5에서 진실 공개는 가능하지만 KO는 차용금 미상환/돈 접근 패턴으로 말한다.","ダウンの父の詐欺事件 / 投資名目の詐欺 / 父の詐欺と未返済","S5 confession에서도 詐欺事件은 피하고, 借用金の未返済 / 金銭問題 / 一部だけ返済された借金 / 金銭接近パターン으로 통일한다.","spouse-01 정책은 직접 해당 없음. 다만 §1.(2) 법률 frame상 한국 민사 분쟁을 JA 형사 사기 사건으로 올려치면 의미가 바뀜."
"src/data/cases/generated/friend-01.ja.json#duo.partyB.fear","case_generated","partyB fear pronoun/entity drift","P1","D2,D6","송다은에게 아버지의 진실을 말하면 친구가 아버지를 돈을 갚지 않은 사람으로 봐야 한다는 것을 알기에 끝까지 말하지 못한다.","私が彼に父の真実を話せば、私の友人は私の父を返済していない人として見るべきだ","ソン・ダウンに父の真相を話せば、友人である彼女が自分の父を「借りた金を返していない人」と見なさなければならなくなると分かっていたため、最後まで言えない。","彼/私の父가 partyB 관점과 송다은 부친 관계를 흐림."
"src/data/cases/generated/friend-01.ja.json#duo.relationshipLedger[1].description","case_generated","stop-loss mistranslation and moral-role reversal","P1","D1,D2","과거 손절의 진짜 원인은 송다은 아버지의 차용금 미상환이었으나, 최수민은 송다은에게 말하지 못하고 악역을 자처했다.","過去のストップロスの本当の原因は...ひどく行動しました。","過去に絶交した本当の原因は、ソン・ダウンの父の借用金未返済だった。しかしチェ・スミンはそれをソン・ダウンに言えず、自分が悪役になる道を選んだ。","손절=ストップロス는 투자 용어 오역. 悪役を自ら 선택한 의미가 ひどく行動로 반전됨."
"src/data/cases/generated/friend-01.ja.json#duo.partyB.dailyRoutine","case_generated","daily routine literal/relationship drift","P1","D2,D6","필라테스 수업을 마치면 혼자 정리하고, 공통 친구들과의 연락은 점점 줄었다. 예비신랑에게 연락할 때도 카페에서 혼자 문자를 보냈다.","一人で掃除しました / 新郎候補に連絡しても","ピラティスのレッスンを終えると一人で片づけ、共通の友人たちとの連絡は少しずつ減っていった。婚約者に連絡するときも、カフェで一人でメッセージを送っていた。","정리=掃除로 과도하게 구체화, 예비신랑 glossary도 婚約者가 아니라 新郎候補로 흔들림."
"src/data/cases/generated/friend-01.ja.json#*(新郎候補/将来の新郎/予定されている新郎)","case_generated","fiance glossary divergence; 12 strings","P1","D6,glossary,cultural","예비신랑","新郎候補 / 将来の新郎 / 予定されている新郎","모든 예비신랑 지칭을 glossary locked term 婚約者로 통일한다.","§1.(2) 인명/지명/도메인 glossary 100% 준수. 婚約者가 locked JA term."
"src/data/cases/generated/friend-01.ja.json#disputes[0].verdictOptions.truth","case_generated","ambiguous pronoun in core truth option","P1","D2,D6","최수민은 송다은 아버지의 돈 접근 패턴을 경고하려 예비신랑에게 연락했다.","彼の父親の金銭接近パターンについて彼に警告するために、将来の新郎に連絡しました。","チェ・スミンは、ソン・ダウンの父の金銭接近パターンを警告するため、婚約者に連絡した。","彼/彼가 각각 누구인지 흐려져 core truth relation이 무너짐. glossary도 같이 위반."
"src/data/cases/generated/friend-01.ja.json#duo.relationshipLedger[0].description;disputes[0].judgmentStatement","case_generated","clinical wording for obsession; 2 strings","P2","D1,cultural","집착","強迫観念","執着 또는 しつこい執着으로 낮춘다.","強迫観念은 임상적 obsessive-compulsive nuance가 강해 단톡방 낙인/사회적 프레이밍의 자연성이 떨어짐."
"src/data/cases/generated/friend-01.ja.json#duo.socialGraph[1].knowledgeScope/surfaceKnowledge/hiddenAgenda","case_generated","witness metadata voice drift","P1","D2,D6","예비신랑의 회사 후배로, 예비신랑이 최수민에게 먼저 접근한 사실을 알고 있다.","予定されている新郎の後輩として... / 私は、将来の新郎の行動パターンを知っている第三者の目撃者です。","婚約者の会社の後輩として、婚約者が先にチェ・スミンへ近づいた事実を知っている。 / 婚約者の行動パターンを知る第三者証人。","metadata 설명문이 1인칭 발화처럼 바뀌고 glossary가 흔들림."
"src/data/cases/generated/friend-01.ja.json#combinationLab.nodes[9-11].label","case_generated","axis metaphor in witness node labels; 3 strings","P2","D1,cultural","w-1 김세라 증언 축 / w-2 박준혁 증언 축 / w-3 오미경 증언 축","w-1 キム・セラ証言軸","w-1 キム・セラ証言の観点 또는 w-1 キム・セラ証言ライン","§1.(1) 자연 한국어 vs 번역체 학습의 외국어 적용. 軸 직역은 UI label에서 딱딱함."
"src/data/scriptedAngles/friend-01_judge_questions.ja.json#judgeQuestions[*].variants[motive_search].text","scriptedAngles","motive_search generic collapse; 20 duplicate target clusters","P1","D2,archetype,continuity","KO는 각 angle별로 발신 횟수, 메시지 문구, 우회 연락, 원본 확인, 차용증 등 다른 확인 이유를 묻는다.","その時点でどの選択をし、当時ご自身にどんな理由を与えていましたか。","중복 generic motive_search 문장을 angle별 정보가 살아나게 재번역한다. 예: 발신 횟수/메시지 원문/예비신랑 설명/차용증/단톡방 확산 경로를 질문에 직접 넣는다.","전수 duplicate scan에서 서로 다른 KO 질문들이 같은 JA 문장으로 접힘. 의미 보존 9차원 중 angle/stance 손실."
