surface,ko_base_count,en_translated,en_coverage_pct,en_status,ja_translated,ja_coverage_pct,ja_status,zh_cn_translated,zh_cn_coverage_pct,zh_cn_status,notes
scriptedText (18 channels — interrogation/evidence_present/dossier/witness/aftermath/system_message/contradiction_pursuit/interjection/emotional_overload/evidence_discovery/trust_action/mediation/judge_question/judge_contradiction/judge_evidence_combo/judge_witness_summon/rapport_milestone/contradict_milestone),"4,677","4,677",100.0,full,"4,677",100.0,full,"4,677",100.0,full,"All 3 locales achieve full variant coverage. Strict mode passes for spouse-01."
scriptedAngles angle_catalog,44,44,100.0,full,44,100.0,full,44,100.0,full,"22 angles × (label + description). keywordsLocale intentionally empty per script-localization-decisions.md §7."
scriptedAngles judge_questions,660,660,100.0,full,660,100.0,full,660,100.0,full,"132 entries × 5 variants. Surface-only channel — no truth lexemes anywhere across all 3 locales (independent audit confirmed)."
scriptedAngles interrogation_answers,"7,920","7,920",100.0,full,"7,920",100.0,full,"7,920",100.0,full,"792 entries × 10 variants × 6 lieStates. Largest single surface. Truth lexemes appear only at S5 (EN=1,670 / JA=1,380 / zh-CN=1,200). Zero non-S5 leaks."
scriptedAngles special_scripts,0,n/a,n/a,no_sidecar_needed,n/a,n/a,no_sidecar_needed,n/a,n/a,no_sidecar_needed,"KO source has 0 translatable strings in scaffold. No locale sidecar created. Validator skips. P1 — verify intentional vs authoring gap."
dialogues/phase1 dialogue text,"34 (29 non-choice + 5 choice nodes)",40,93.0,partial,34,100.0,full,29,100.0,full,"EN: 40 of 43 fields including option text (3 empty choice-node `text` fields skipped — KO source also empty). JA: 34 dialogue + 9 choice options translated separately. zh-CN: 29 non-choice + choice options NOT translated (schema mismatch — see PILOT_REVIEW_FINDINGS P1)."
dialogues/phase1 choice options,"9 (across 3 choice nodes)",9,100.0,full,9,100.0,full,0,0.0,blocked_by_schema,"EN + JA translate options[] in overlay. zh-CN blocked — KO uses options[] but validator/scaffold expect choices[]. zh-CN player sees Korean choice options. P1 schema reconciliation needed."
dialogues/mediation/spouse-v3-01,10,10,100.0,full,10,100.0,full,12,100.0,full,"4 paths × (judge intro + dialogues). zh-CN counts 12 because counted differently — same coverage."
cases/generated/spouse-01 surface fields,"29 (or 37 by zh-CN counting)","25 of 29",86.2,partial,29,100.0,full,37,100.0,full,"Translatable surface: meta.title + context.description/triggerAmplifier + duo.partyA/B.{name,occupation} + 4 disputes × {name,surfaceClaim} + 7 evidence × {surfaceName,surfaceDescription}. EN's 4 unfilled = `disputes[i].surfaceClaim` (scaffold-extractor bug — KO source has no surfaceClaim field). evidence.name not translated per script-localization-decisions.md §3."
witnessTestimonyData (TS module),~57,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,"Brief 24 listed scriptedText/scriptedAngles/dialogues/cases/generated only. TS module migration to JSON sidecar pattern is Stage 2.4 of IMPLEMENTATION_PLAN — separate Codex track. NOT a pilot blocker."
evidencePresentationScripts (TS module),~85,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,Same as witnessTestimonyData.
confessionScripts (TS module),~12,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,Same.
combinationComments (TS module),~6,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,n/a,n/a,not_in_pilot_scope,Same.
TOTAL spouse-01 (in-scope leaf strings),"~13,383","13,376",99.95,near_full,"13,374",100.0,full,"13,379",100.0,full,"Aggregate. EN 7-string gap is 100% structural artifact (4 surfaceClaim no-source + 3 phase1 choice-node text empty in KO source). NOT a translation gap."
