row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
"case-duo-partyA-speechStyle","결론부터 말하고 그 안에 근거를 끼워 넣는다. 상대가 반박하면 이미 끝난 얘기를 다시 꺼내며 맥락을 자기 쪽으로 좁힌다.","从结论开始，并在其中包含证据。当对方反驳时，你会提出已经说过的话，并将上下文缩小到自己的范围内。","case_surface_content","D2","P1","她说话总是先下结论，再把依据塞进去；对方反驳时，她会翻出早已结束的话题，把语境收窄到自己这一边。","她习惯先给结论，再把证据补进去；被反驳时，会把旧事重新拉回来，把语境收向自己这边。","a","0.91","KO is third-person profile text, but zh switches to second person and loses character profile consistency."
"case-duo-partyA-dailyRoutine","쇼핑몰 CS 업무를 마치면 예비신랑과 결혼 준비를 하고, 공통 친구 단톡방에 일상을 올리며 관계를 유지한다.","在商场完成CS工作后，我准备与我的未婚夫结婚，并通过在与共同朋友的群聊中发布我的日常生活来维持关系。","case_surface_content","D2","P1","结束网店客服工作后，她会和未婚夫准备婚礼，并在共同朋友群聊里分享日常、维持关系。","做完网店客服后，她会准备婚礼，也会在共同朋友群聊里发日常来维系关系。","a","0.93","First-person shift and 商场 mistranslate online shopping mall CS into physical mall work."
"case-duo-partyB-speechStyle","감정을 눌러 담고 사실만 나열한다. 정작 가장 아픈 이야기를 할 때 목소리가 더 평평해진다.","抑制你的情绪，只列出事实。当我讲述最痛苦的故事时，我的声音变得平淡。","case_surface_content","D2","P1","她把情绪压下去，只陈述事实。真正说到最痛的事时，声音反而更平。","她克制情绪，只把事实一项项说出来；越是痛处，声音越平。","a","0.94","Target mixes second and first person, breaking the profile register."
"case-duo-partyB-fear","송다은에게 아버지의 진실을 말하면 친구가 아버지를 돈을 갚지 않은 사람으로 봐야 한다는 것을 알기에 끝까지 말하지 못한다.","他知道，如果他告诉宋多恩关于他父亲的真相，他的朋友会认为他是没有还钱的人，所以他不能说到底。","case_surface_content","D2","P1","她知道，一旦把宋多恩父亲的真相告诉宋多恩，对方就不得不把父亲看成没有还钱的人，所以一直说不出口。","她明白，如果说出宋多恩父亲的事，朋友就必须面对父亲欠钱未还这一点，因此到最后都没能开口。","a","0.95","Pronouns point to the wrong person/father and obscure that the father is Song Da-eun's."
"case-duo-partyB-dailyRoutine","필라테스 수업을 마치면 혼자 정리하고, 공통 친구들과의 연락은 점점 줄었다. 예비신랑에게 연락할 때도 카페에서 혼자 문자를 보냈다.","普拉提课结束后，我就自己收拾东西，和普通朋友的接触也逐渐减少。当我联系我的准丈夫时，我独自在一家咖啡馆发了一条短信。","case_surface_content","D2","P1","普拉提课结束后，她会独自收拾，和共同朋友的联系也越来越少。联系未婚夫时，她也是一个人在咖啡馆发短信。","结束普拉提课后，她独自收拾，渐渐减少和共同朋友的联系；给宋多恩的未婚夫发消息时，也是在咖啡馆一个人完成的。","a","0.94","First-person shift and 准丈夫 incorrectly make the fiance her own."
"case-callterm-a-angry","최수민!","崔苏民！","case_surface_content","D6","P1","崔秀敏！","秀敏！","a","0.99","Glossary requires 崔秀敏; current target uses 崔苏民."
"case-w1-hiddenAgenda-name","자신도 최수민을 비난하는 데 가담한 것이 부끄럽다.","我很惭愧，我也参与了批评崔秀民的活动。","case_surface_content","D6","P1","我也参与了指责崔秀敏，这让我感到羞愧。","我很惭愧，因为自己也加入了批评崔秀敏的那一边。","a","0.98","Glossary name divergence: 崔秀民 should be 崔秀敏."
"case-dispute-d2-judgment","예비신랑이 먼저 선을 넘었고 최수민은 거절한 쪽이었다.","未婚夫第一个冲过终点线，崔秀敏拒绝了。","case_surface_content","D2","P1","未婚夫先越了界，而崔秀敏是拒绝的一方。","先越界的是未婚夫，崔秀敏则明确拒绝了。","a","0.96","선을 넘다 was literalized as crossing a finish line."
"case-dispute-d4-wrong-option","과거 손절은 최수민이 변심해서 일방적으로 끊은 것이다.","以前，崔秀敏改变了主意，单方面断绝了分手。","case_surface_content","D2","P1","旧日决裂是崔秀敏变心后单方面断联造成的。","过去的断交，是崔秀敏变了心并单方面切断关系。","a","0.91","단절/손절 was mistranslated as breaking up a breakup, damaging verdict option meaning."
"case-dispute-d5-truthDescription","송다은이 확인 없이 단톡방에서 최수민을 매도했고, 최수민은 또 악역을 자처하는 구조가 반복됐다. 두 사람 모두 확인 전에 단정한 책임이 있다.","重复了宋多恩在群聊中未经证实地批评崔秀敏、崔秀敏自称是坏人的结构。他们双方都有责任在确认之前确定。","case_surface_content","D2","P1","宋多恩未经确认就在群聊里抹黑崔秀敏，崔秀敏又一次被迫承担反面角色。两人都要为确认前就下定论负责。","宋多恩在没有核实的情况下于群聊中贬损崔秀敏，而崔秀敏再次把自己放进反面角色。两人都有先下结论的责任。","a","0.94","Target loses 매도/악역 nuance and ends with unnatural 在确认之前确定."
"case-truthTable-t1","최수민의 연락은 집착이 아니라 송다은 아버지의 돈 접근을 경고하려는 것이었다.","崔秀敏的联系并不是痴迷，而是试图警告宋多恩她父亲有权获取金钱。","case_surface_content","D2","P1","崔秀敏联系未婚夫并非出于执着，而是想警告他宋多恩父亲接近借钱的模式。","崔秀敏的联络不是纠缠，而是为了提醒对方注意宋多恩父亲围绕金钱接近人的方式。","a","0.97","돈 접근 became 有权获取金钱, reversing the meaning into a right/authority claim."
"case-combination-w1-angle","w-1 김세라 증언 축","w-1 金世拉作证祝贺","case_surface_content","D6","P1","w-1 金世罗证言轴","w-1 金世罗证言线索","a","0.99","Name should be 金世罗, and 증언 축 was mistranslated as 作证祝贺."
"case-combination-w2-angle","w-2 박준혁 증언 축","w-2 恭喜w-2朴俊赫作证","case_surface_content","D2","P1","w-2 朴俊赫证言轴","w-2 朴俊赫证言线索","a","0.98","증언 축 became congratulatory text and duplicates w-2."
"case-v3-lead-L1-name","집착 프레임 리드","紧贴框架引线","case_surface_content","D2","P1","执着框架线索","纠缠框架线索","a","0.94","집착 was mistranslated as 紧贴, losing the obsession-frame meaning."
"case-v3-lead-L2-name","예비신랑 반전 리드","未婚夫的扭绳","case_surface_content","D2","P1","未婚夫反转线索","未婚夫转折线索","a","0.98","반전 was mistranslated into 扭绳, a nonsensical literal."
"case-authority-original-order","원본 제출 명령","原始提交订单","case_surface_content","D2","P1","原件提交命令","要求提交原件","a","0.95","명령/order was translated as purchase order 订单."
